name,rating,date,text
Gelandang Bertahan,1,3 minggu lalu,"Parah.
Tiket Dewasa 10rb
Anak2 5rb …"
kuncoro fajar wiroantoyo,1,3 minggu lalu,"Kotor
Banyak Nyamuk
Kasihan banget lokasi dan desa wisata adat kondisinya sekarang kyk gini …"
ed iwan,5,Diedit 2 bulan lalu,Desa wisata dgn jajanan dan kebudayaan Osing. Siap2 utk acara kopi sewu dilokasi ini
Secret Menu,3,setahun lalu,"Pertama kali datang ke tempat ini dan tidak ada apa-apa di dalam kosong. Kondisi agak kurang terawat dan banyak bangunan yang sudah rusak.
Hanya ada penjaga parkir dan di dalamnya ada kolam renang yg bersih. …"
Dias Yunanda,5,2 bulan lalu,"Pas banget kesana ada acara Kopi Sepuluh Ewu..
Rame bgt..
Jajanan nya banyak dan meriah.. …"
Miss Pj,5,2 minggu lalu,"Gak kaya dulu pertama datang sekarang gak telalu bwrsih, banyak bangunan tbengkakai kasih kesan kotor dan serem. Tapi dia punya pemandangan cantik banget"
Ferdian PPF,5,2 tahun lalu,Salah satu Desa Wisata yang menjadi salah satu desa wisata percontohan yang ditetapkan oleh Kementerian Pariwisata RI. Di desa wisata ini kita bisa melihat akar budaya suku osing banyuwangi serta pada saat weekend pagi kita bisa kulineran …
Ira Dwi A,5,setahun lalu,"Desa adat osing ini tempatnya bagus, pendhapanya lumayan luas untuk pertemuan, masyarakat lokalnya ramah bangettt & masih kental adatnya. Worth it kesini, homestay live in nya juga layak banget untuk menginap.. Makanannya enak enak"
fauzan kariim,5,2 tahun lalu,"Saat itu kesini karena tugas kuliah
Jadi desa adat osing ini memiliki banyak keunikan salah satunya dari masyarakatnya yang masih menjunjung tinggi adat istiadatnya. Mereka juga adalah suku asli …"
Aprilia Ayu Setyawati,5,3 tahun lalu,"BAGUS DAN COZY BANGET 😭💚💚💚 suka banget disini.
✅harganya standart
✅makanannya enak …"
Rosana Sari,4,sebulan lalu,"Tempat tidak terawat, hanya ada pemandian. Jam operasional hanya sampai jam 16.00"
Dwi Indra Nurcahya,5,3 tahun lalu,"An unique experience going to this place, the food bazzar giving you the osing's taste. From the main course, the dessert, and the snack. Its awesome and very tasty. All the Osing Traditional Food available here. And its cheap"
Sigit Basuki,5,Diedit 2 tahun lalu,"Desa suku asli Banyuwangi yg masih memegang teguh adat istiadat leluhur, ada rumah adat yg masih terpelihara, ada juga buah durian merah khas desa Kemiren"
Klitscho aloynski Morits,1,2 bulan lalu,"Kamar mandi yang rusak, seperti tak ada perawatan, apalagi yang ada di atas, one for all nya kerasa"
Yogi Vemau,2,Diedit setahun lalu,"Bukan tempat wisata adat dan budaya ,melainkan hanya tempat rekreasi yg didalamnya ada kolam renangnya ,
Jika ingin ke desa kemiren harap mencari ""DESA ADAT OSING KEMIREN"""
Andrei Arnando,5,2 bulan lalu,Destinasi untuk mengetahui kehidupan osing dari dekat
Noor Aufa Shiddiq,4,setahun lalu,mungkin klo sy datang pas ad event lbh bagus. waktu saya kesana ya hanya seperti perkampungan pada umumnya
Asteria Sinta,5,setahun lalu,"Tempatnya agak masuk , parkiran nya agak susah ,tapi suasana nya nyaman sejuk dan orang nya ramah pakai sekali 💚💚🫶 …"
Tafati linia Larosa,5,setahun lalu,"Desa ini penduduknya masih asli sukunosing, masih memegangbteguhnadat suku sing, berbicara dengan bahasa osing. Banyak event unik suku osing yg diadakan di desa ini, contohnya Tiap Tanggal 2 Syawal (lebaran hati ke-2) ada tradisi unik: barong ider bumi. Jadi ada arak2an barong dari ujung ke ujung desa. Khas suku osing di kemiren"
Ach. Farhan,4,setahun lalu,Bagus banyak jajanan kuliner dengan budaya Osing. Dijamin tidak menyesal
Amelia Wulandari,3,3 tahun lalu,"Lebih baik pergi dalam grup. Jadi bisa reservasi untuk kegiatan acara di sini. Jika tidak reservasi, desanya sepi layaknya perumahan desa biasa. Jalannya jauh dari jalan utama, naik turun. Sebaiknya menggunakan sepatu karena jalan mulai berlumut."
Meila Fitriana,3,5 tahun lalu,"Saya kesini hari selasa sore. Sepi sekali, tidak ada kegiatan apa2.. Jadi saya hanya melihat rumah2 adatnya saja.."
Praja Utomo,3,4 tahun lalu,"Suasana sepi, g  rame,, enak unt renang anak anak,, sayang msholla dan km mandi perlu perbaikan...."
Hitchhiker Nusantara,5,Diedit 4 tahun lalu,"Ramah tamah orang2 nya, tmptnya pun masih khas rumah kuno...
Klo mau ksana lebih bagusnya lgi klo pas lgi ada upacara adat, pasti lbih seru...👍 …"
Mia Marina,2,4 tahun lalu,it's actually quite a shame that it's abandoned. some buildings got ruined inside. they still use rhe swimming pool though. it looks more like a place for ghosts' hunters.
Reka Dani,5,4 bulan lalu,Sangat mudah digunakan
Rizki Dandy,5,2 tahun lalu,Kawasan dan adat yang sudah jarang ditemui. Ini bisa jadi pilihan wisata budaya kalau ke banyuwangi
Rahman 69,5,2 bulan lalu,Orangnya ramah
Eni Mardiana,1,sebulan lalu,"The place closed in the weakday, it's kind like nothing that you can see there. Like it has stopped operating"
Windy 99,4,2 tahun lalu,"Ketemu orang banyuwangi asli (osing), pas musim duren ada yg jual durennya enakkkkk"
Mutiara Firdaus,4,4 tahun lalu,Bermacam² jajanan pasar yg mumer.. lengkap.. tempat bersih..
Arlisah Ariasih,5,6 bulan lalu,"Kedua kalinya berkunjung ke Banyuwangi,, kota yang mengesankan  , sejuk dan ramah"" Orang-orang nya ☺☺next time liburan ke sini lagi 🥰😍 …"
judio de,4,2 tahun lalu,Menyediakan makanan/jajanan khas. Juga penampilan kesenian daerahnya OK!
Rahman the unique explorer,5,Diedit 2 tahun lalu,"I came here in 2014 year ago with my friends to see festival ngopi sepuluh ewu, i try some unique coffee for free, why unique? because Banyuwangi coffee robusta mixed with herb and spices ingredients make it very bold and strong coffee and …"
ansori ardi,4,2 tahun lalu,"Tempat nyaman, tapi perlu perbaikan karena wilayah masuk kampung wisata oseng banyuwangi 🙏🙏 …"
Vũ Thị Kim Chi,5,6 bulan lalu,"A charming little village with unique architecture. The locals are friendly, and there’s a rich tradition of music and beautiful traditional dances"
Ita Mardiati,5,4 tahun lalu,"Tempat Wisata Air Ramah Anak
Tiket Masuk aman dikantong👍🥰 …"
Andi Rahmad Syahputra,5,setahun lalu,"Bisa mencoba makanan khas bwi yang unik, dengan perpaduan UMKM lokal"
Apri Diantono,5,2 tahun lalu,Sebagai desa wisata percontohan masih eksis dalam melestarikan budaya suku osing
bengkel ud.gps_garage,5,sebulan lalu,Air pemandian sumber alam khas banyuwangi
Moh. Budiman,4,5 tahun lalu,"Destinasi kuliner warga adat Osing lokasi Kemiren Glagah Banyuwangi... Mulai jajanan hingga makanan... Pokoknya mantap, lengkap dan harga bersahabat. 😊👍👍 …"
umam maneh,3,5 tahun lalu,Sepertinya kami salah hari (Selasa) berkunjung ke sini.. aktifitasnya sepi
Anik Wahyuningsih,5,3 tahun lalu,Saat kesini akhir pekan. Banyak warga berjualan saat cara free day. Masyarakatnya ramah
Lita Pertiwi,4,setahun lalu,"Seperti perkampungan atau pemukiman warga biasa pd umumnya, cuma yg membedakan itu saat ad acara” tertentu disini dan maih ad bbrpa rumah” yg masih bangunan lama atau rumah adat"
Rahmi Amaliah,5,setahun lalu,Yang cari sarapan cocok bgt nih.
Nur Hasanah,5,3 tahun lalu,Tempatnya tetap tidak ada perubahan dari dulu.. Sebenarnya tempatnya enak cuma kurang peremajaan aja..
wec wanter ethnic collaboration (wec),2,setahun lalu,"ini Bukan Desa Wisata Adat Osing ya.
ini Anjungan Desa Wisata Using yang didalamnya ada Kolam Renang Keluarga."
Yulia Ayu S,3,4 tahun lalu,Sebenernya tempat yang saya tuju tadi wisata osing. Ini merupakan salah satu pemandian kolam renang di daerah Kemiren. Rate 3/5 karena tempatnya memang sudah tidak terawat seperti dulu lagi. Tempatnya terlihat kotor dan kurang nyaman. Tapi …
Alice Dewanti,5,3 tahun lalu,Mengenal type rumah asli. Tidak terlalu istimewa
Yunike Dwi Iskandar,5,2 tahun lalu,tempatnya luas banget.. suasana tenang banget..
Dicky Faisal,5,3 tahun lalu,"Tempat untuk bertandang ke kediaman Penduduk asli Banyuwangi, banyak ragam tradisinya. Hari Minggu adalah waktu terbaik untuk berkunjung.
Lokasi depan Balai Desa Kemiren, saya sempat salah titik tuju, karena diarahkan ke kolam berenang, semoga bisa diperbaiki alamatnya."
