name,rating,date,text
Agus Mukhlisin,5,seminggu lalu,Pemandangan yang sangat indah sekali. Wajib bagi yang suka perjalanan Alam kesini.
Nicole,5,seminggu lalu,"Visiting Kawah Ijen was an unforgettable experience. The hike starts very early in the morning, but it’s absolutely worth it. The trail is manageable with a moderate level of fitness, and the views along the way are beautiful. Reaching the …"
Agus Sudharnoko,4,Diedit 2 minggu lalu,"Salah satu tempat wisata alam terbaik di Jawa Timur. Blue fire, api biru akibat belerang yang sangat panas, juga hanya ada 2 tempat di dunia. Yaitu di Indonesia dan Fiji. Bagi ku naik ketempat ini adalah untuk menguji fisik, selain …"
The Queen,5,3 minggu lalu,Bagus banget tempatnya.
Dâmaris Souza,3,3 minggu lalu,"Jika Anda berada di Bali - sebuah tips: Jangan pergi! Jauh, melelahkan, dan mahal! Tidak sepadan!
Ini adalah gunung berapi, seindah dan semegah gunung berapi lainnya. Tetapi api …"
Rianto Tito,5,4 minggu lalu,"Full Blue fire itu di Bulan Mei, Juni dan Juli ya"
Feri Irawan,5,sebulan lalu,Ayudia homestay treveler juga buka tour wisata ke kawah ijen dengan ke indahan gunungnya serta sunrisenya dan juva blue firenya
REX,5,sebulan lalu,"Sungguh melelahkan, tetapi juga sangat indah. Pastikan untuk mengenakan masker gas saat berada di dekat danau vulkanik."
Suta Wijaya,5,sebulan lalu,"Pendakiannya cukup menantang tapi setiap langkah sepadan. Begitu sampai di puncak, panoramanya menakjubkan! Angin sejuk, udara segar, dan rasa lega. Recommended banget!"
Lily Sita,5,Diedit 2 bulan lalu,"Perjalanan keatas puncak lumayan menantang untuk pemula. tapi lelahnya akan terbayar  begitu mencapai puncak. Jasa dorong menggunakan gerobak juga ada bagi yang tidak kuat, mereka menampilkan gerobak nya  Lambo, Ferrari atau mobil-mobil …"
Ummu Ahyana,5,2 bulan lalu,"Kereeen, insyaallah pengen ke sana lagi"
Widia Ana,5,3 bulan lalu,Keren gan
so hin sing,5,3 bulan lalu,"Perlu kesiapan phisik dan stamina yg prima.
Medan yg terjal, waktu mendaki perlu stamina yg prima, harus istirahat tidur yg cukup sebelum pendakian menuju puncak , jarak tempuh berkisar 4km. Waktu tempuh …"
Ma Lia,5,3 bulan lalu,"Tempat yang menarik, untuk dapat blue max sampai di kawah itu jam 4. Kalau sudajh lewat biasanya jadi ngak kelihatan."
Muhammed İkbal ÖZBEY,5,3 bulan lalu,Pretty enjoying and good.
Sang Muda Trans Sewa Hiace Elf Inova,5,3 bulan lalu,"Dingin nya 18©
Yg tidak kuat,ada sewa gerobak 1.5 jt utk sekali jln"
Federico Guiati,5,4 bulan lalu,"Aktivitas luar biasa di tempat yang luar biasa. Wajib dicoba jika Anda merencanakan perjalanan ke Indonesia. Sangat disarankan untuk melakukan aktivitas ini dengan operator tur lokal (kami menggunakan Tripperhood), yang menyediakan masker …"
Audrey Tanzil,4,4 bulan lalu,"Joined an open trip to here, the guide was so helpful and care. He always made sure that the team members were safe and had no problem. Many guides in Kawah Ijen can speak multi language from English, Spanish and even French! And the fruit …"
engkonk cool,4,4 bulan lalu,Lama bener abdet perubahan
Andrew Prasetio,1,4 bulan lalu,Tolong disampaikan ke pengelola ditambah loket tiket jangan hanya 1 jika long weekend. 1 loket tiket mengurus ribuan orang yang ingin melihat blue fire jam 2 pagi tidak akan cukup. …
Oki Alex Candra,5,4 bulan lalu,Pengalaman yang sangat berharga dengan pemandangan yang indah
shoe and surf,5,4 bulan lalu,the best experiences for the nature vibe
Prima Arie,5,4 bulan lalu,Nice place..
Z K,4,4 bulan lalu,Wow.. luar biasa sekali perjuangan untuk sampai ke puncak… dengkul gemetar dibuatnya tapi terbayar sudah dengan keindahan kawahnya.. …
Yoggy 69,5,5 bulan lalu,Nice view with caldera Ijen
Sopyan Hadi,5,5 bulan lalu,"Gunung dengan kawah terindah di Indonesia
Kawah cantik dan bagus buat berfoto
Keren bgt pokoknya.."
Sandra Mestrovic,5,Diedit 5 bulan lalu,"Pengalaman unik yang tak terlupakan..... Pendakiannya sungguh melelahkan, apalagi jika tidak terlatih😬.... Pendakian dilakukan bersama pemandu lokal, di malam hari, dengan penerangan lampu, pendakian sepanjang 450/500 m, bersama ratusan …"
Reysal Official,5,6 bulan lalu,"Gunung Ijen adalah sebuah gunung berapi yang terletak di perbatasan Kabupaten Banyuwangi dan Kabupaten Bondowoso, Jawa Timur, Indonesia. Gunung ini memiliki ketinggian 2.386 mdpl. Gunung Ijen terakhir meletus pada tahun 1999. Salah satu …"
galih akademik,5,6 bulan lalu,"Taman Wisata Alam Kawah Ijen sebenarnya terletak di 2 wilayah, Banyuwangi dan Bondowoso. Bisa dicoba jalur Bondowoso, hutannya lebih rimbun dan jalur panjang hingga ke Kota, suepiii. TWA ini sering ditutup karena statusnya, namun berkemah …"
Riza Mayta Wardhani,5,6 bulan lalu,"Baguus gaaeesss...
Siapkan balsem dan minyak kayu putih.."
Meidawati,5,6 bulan lalu,Pengalaman baru...ga kuattt jadi naik lambo..murah aku dapetnya
Wahyu Yani,5,6 bulan lalu,Gunung ijen yg mempesona dengan kawah dan blue fire nya. Harus perlu tenaga ekstrak untuk sampai ke blue fire karena perhitungan waktu dan tenaga kita harus tepat. Klw g gitu hilang kesempatan kita liat blue fire. Tp ad cara mudah yg …
mifta kj,4,7 bulan lalu,"Setelah sekian tahun tidak ke kawah ijen, kemarin datang cukup kaget karrna harus menggunakan surat sehat (pengalaman saya mendaki gunung baru kali ini kita diminta surat sehat, agak aneh dan merepotkan) kita pergi hiking ke Jepang, Swiss, …"
Dharis Purba,1,7 bulan lalu,Jgn kesini neymar sama ronaldinho tersesat disini
Graeme Holroyd,4,7 bulan lalu,This is a good tour. It's a reasonably strenuous hike to the top of the volcano but is worth the effort. It was raining when we did the tour which makes it very muddy. Our guide was OK. Maybe rushing us along in the beginning. We were lucky …
Ahmad Nur Subachtir (Bachtiar),4,7 bulan lalu,"Spot bagus berada di atas puncaknya lagi, estimasi pendakian kurang lebih 2-3 jam. Bawa masker yang tebel karena bau belerang saat matahari belum muncul sangat terasa"
Gina Indra Widia,5,7 bulan lalu,"Salah satu tempat yang amat sangat worth it untuk dikunjungi. Perjalanan sekitar 2-3 jam tergantung kecepatan jalan, disepanjang jalan pemandangan juga oke. Ada pos yg bisa untuk istirahat, jajan dan kamar mandi. Ada musola juga diatas jadi …"
ARISMAYA PARAHITA,5,7 bulan lalu,Selalu kangen utk balik lagi ...
Muhammad Alif Al Raihan,5,8 bulan lalu,"Pengalaman yang luar biasa dapat mendaki gunung Ijen dan melihat pemandangan yang sungguh menakjubkan, gak dapet melihat blue fire namun setidaknya bisa sampai ke puncak dengan selamat 'afiyat"
Eka wahyu Prasetya,5,8 bulan lalu,You definitely need a guide if you'll be having a group visit.
Ulrich Hallbauer,5,8 bulan lalu,bali ferry to java ijen and all the way back took 24h without rest... the hike very exausting and partly dangerous when climbing between 1000 others... severe muscle pain day after ... but greatest hiking tour of my life...
Apin Mona,5,8 bulan lalu,Wajib Kesana
Bang Roni,5,8 bulan lalu,Nice
kattaline kattaline,4,8 bulan lalu,"Tempatnya luar biasa. Pendakiannya sulit, jadi menggunakan ""Ferrari"" bukanlah ide yang buruk; pendakiannya curam dan menanjak sejauh bermil-mil. Tapi harus saya akui, melihat danau biru saat matahari terbit sungguh menakjubkan."
Trans Tour Malang City,5,8 bulan lalu,Pokonya bagus banget deh...
Spoorthi S,5,8 bulan lalu,"It was best trek.
They did perfect arrangement which never made us wait. Worth the money for the arrangements. Pick up time was somehow flexible where other organisations have it …"
Holyvacations,2,8 bulan lalu,"Pendakian ini sungguh menegangkan. Kami berangkat bersama hampir 2.000 orang, semuanya mendaki gunung pada saat yang bersamaan. Benar-benar kacau.
Kondisi jalurnya buruk, dan terasa tidak aman, sehingga beberapa orang menolak …"
Fary Pase,5,8 bulan lalu,yang pasti indah banget gak sia sia perjuangan buat keatas + ngejer waktu buat liat blue fire
Elgan Alvandra putra,5,9 bulan lalu,🔥🔥 …
Sunny irawan Halim,5,9 bulan lalu,Luar biasa....
Hikmah Fajri,5,9 bulan lalu,"Kawah yang Indaaaah. Cakep banget. Mulai traking jam 2, nyampe atas jam 4.18 tapi ga turun di blue fire karna bingung dan takut ga dapet. Akhirnya istirahat, nunggu sunrise point naik. Disini klo capek bisa naik lamborghini nyaa. Ga nyesel kesini, pengen balik lagiiii"
Albertus Daru UKDC,5,9 bulan lalu,Ngapain buang uang banyak ke luar negri - di Indonesia sendiri banyak tempat menakjubkan - salah satunya Kawah Ijen
Dafne Marcelletti,5,10 bulan lalu,"Amazing place. We did it with a guide but if you want to do it at your own pace and not have to depend on anyone, it is possible to do it on your own (The price difference is not that much)"
