name,rating,date,text
siska pratiwi,5,sebulan lalu,"Tempat bersih, masuk gratis cuma bayar parkir aja, luas, ada museum"
Mboh Karepmu,5,sebulan lalu,Mantab
reo akbar,5,2 bulan lalu,"Ke Candi Jawi hari Sabtu 29 Desember 2025 pukul 12.00 gerbang utara ditutup, nunggu sampai jam 13.30 masih dikunci gk ada petugas. Saran untuk mengunjungi Candi Jawi di Pagi Hari"
Najib Muhammad Ali,4,3 bulan lalu,Bagus candinya.
Gilang Guinandra,5,Diedit 3 bulan lalu,"Penjaga candi sangat ramah, posisi candi Tepi jalan raya, pengendara mobil agak sulit buat parkir"
moh rois,5,Diedit 5 bulan lalu,Bagus untuk foto
Oktavia permata,5,5 bulan lalu,"tempat favorit dan wajib dikunjungi dulu waktu masih ada alm.mbah kong,terkahir kesini ya sama mbah konh itu 2010 ada fotonya tp udah hilang karna dulu fotonya pake hp cross dan gaptek parahh sedihhh fotonya ilang krna memory rusak 😭😭 …"
Yuli Yandri,4,5 bulan lalu,Wisata sejarah dan salah satu candi tunggal peninggalan kerajaan Singosari.
Eko Widyo,5,6 bulan lalu,Tempat belajar bagaimana mana leluhur kita telah mengajarkan hidup bersama tanpa harus berdebat tentang perbedaan
Imam Mashudi Latif,5,6 bulan lalu,Bangunan bersejarah yang harus dilestarikan.
japra infinity,5,6 bulan lalu,Awalnya sedih nga bisa masuk.. tapi setelah lihat ada tulisan pintu masuk di utara.. wah seneng banget bisa liha peninggalan nusantara
MMF,5,Diedit 8 bulan lalu,"Berikut adalah review dari kunjunganku ke Candi Jawi, Pasuruan.

Kelebihan : …"
Meggy Kadam Aryanto,5,8 bulan lalu,"Salah satu candi yang bangunannya lengkap yang ada di Jawa Timur especially di pandaan, masuk ke sini gratis cuman ngisi buku tamu aja bisa nerbangin Drone dan bikin konten pokoknya Which is really good banget ya"
Arfan Riyansah,5,8 bulan lalu,Bangunan klasik era kerajaan Singhasari
Retno Anggun Pramita,4,10 bulan lalu,"Candi Jawi, candi yang letakknya pas di pinggir jalan pandaan-trawas, prigen. Tempat parkirnya ga ada jadi parkir dipinggir jalan aja, ga masuk krn siang panas bgt."
Ciaao,5,11 bulan lalu,"EPtugasnya helpfull. Sayang memang minim informasi tentang candi dan runtuhan sekitarnya. Parkir gratis, untuk mobil harus jalan dikit karena pintunya berubah. Areanya bersih tapi tidak teduh. Nyaman untuk sembahyangan."
wahyu handoko,5,11 bulan lalu,Candi megah
Muhammad Wahyudi,5,11 bulan lalu,Warisan budaya
medyarasmi nurman,5,11 bulan lalu,"Candi Jawi dibangun untuk pendharmaan kepada Raja Kertanegara. Ada bangunan didekat pagar masuk yg menyediakan informasi terkait candi ini. Bentuk candinya bagus, tinggi, ramping, tangganya curam naik keatas sebaiknya lepas sepatu/alas …"
yogi namaste,5,setahun lalu,"sangat asri dan tertata rapi, penjaga juga baik dan komunikatif, cuma sayang parkir mobil tidak ada (pinggir jln besar) tp asli bagus"
