name,rating,date,text
Nelsha Fariska,5,3 hari lalu,"Top puncak Arjuno gunung tertinggi no 2 di Jawa Timur, sangat kental dengan cerita dan nuansa mistis nya🤩🙌🏻 …"
Safila Noviani,5,sebulan lalu,"sejuk, pemandangan indah"
Hamim Thohari,5,sebulan lalu,Via Sumber Brantas Bisa 4 Puncak
Yuni wahyuni,5,sebulan lalu,Suka banget sama panorama di sana kangen ingin mendaki kesana lagi
Fattan Raditya Bestari,5,2 bulan lalu,"kerenn,pengalaman pertama kali ngecamp di gunung 3000+ mdpl"
Faris Alfafaz,5,3 bulan lalu,"TOP🔥🔥
Pendakian Agustus 2024 …"
Rendra Kurniawan,5,4 bulan lalu,Belum didaki tapi dari jauh bagus
Anggaproperty Surabaya,5,5 bulan lalu,"Luar biasa ada beberapa  jalur ke Gunung Arjuna
Melalui Wonosari Lawang jalur Petilasan
Melalui Sumber Brantas Cangar …"
Elita Nursetiari,5,6 bulan lalu,"Mendaki sekali dapat 4 puncak, Arjuno, Welirang, Kembar 1 dan Kembar 2.

Estimasi waktu pada umumnya agar bisa menikmati trek dan istirahat cukup 3 hari …"
Ahmad Ru'yan,5,7 bulan lalu,Jalur jelas pemandangan baguss
Wahyu Tri Ananda,5,7 bulan lalu,Salah satu gunung berapi favorit saya. Selain sangat indah juga dekat dengan rumah. Motoran dari Kota Batu hingga ke Cangar atau Mojokerto melewati kaki gunung ini pernah jadi rute mingguan saya saat di semester awal kuliah.
Putra Yudha,5,8 bulan lalu,sangat bagus dari kecil saya ingin ke puncak gunung Arjuno akhirnya kesampaian
agus margono,5,11 bulan lalu,"Mantra Summit Challenge 2023 - 2024 , jalur Arjuno 34k.
Jalur Trail Run terbaik di Jawa Timur, start dan finish di Kaliandra Resort,  start pk 24.00 , COT 15 jam.. …"
Alexrudy,5,Diedit 11 bulan lalu,View pemandangan indah
Yant Bastian,4,setahun lalu,amazing for hiking-camp with wondeful 360° view
Yemima Anggun Angelina,5,setahun lalu,"Pendakian dan puncak pertamaku😭 bersyukur polll, terimakasih juga buat kawan kawan ku yang hebat selalu support, susah senang bersama ngelewatin banyak rintangan, yang awalnya udah mau nyerah tapi kita berhasil sampe puncak dan turun dengan selamat ga kurang suatu apapun, kenangan terindah terkeren🔥God Bless u all🫶🏻. juli2024 …"
SABILL,5,setahun lalu,"tinggi indahh banget gunung nya, atap Jawa Timur"
Arifarif Arifarif,5,setahun lalu,"Every staff member we interacted with was genuinely happy to be there and eager to help. They kept the good vibes flowing, and we felt so welcomed. It’s hard to find places with this level of friendliness!"
Putri Nabila,5,setahun lalu,"Akhirnya setelah beberapa lamanya ditutup, wishlist aku buat ke salah satu gunung tertinggi ke-2 di Jawa timur yaitu gunung arjuno dgn ketinggian 3.339 mdpl terwujud juga wkwk …"
Kaito H,5,Diedit setahun lalu,Surabaya Fuji 🗻 …
Fauzy El karimy,4,setahun lalu,"Gunung dengan syarat keindahan dan ketenangan....

Trimakasih gunung Arjuna, Sudah memberikan banyak pengalaman dalam hdup saya."
Teguh Arie,5,setahun lalu,Bagus
Sandy andri yatna,5,setahun lalu,Setelah ditutup hampir 1 tahun pendakian arjuno dibuka kembali! Jgn lupa booking tiket online ya di tahura raden soerjo. Per hari 20ribu per orang dan ada biaya 10 ribu per orang (di pos) untuk asuransi. Saya naik via tretes
