name,rating,date,text
Alfi Laili Azizah,5,7 jam lalu,meskipun ramai tapi tetap banyak space untuk bersantai
Putri Yuva,4,2 hari lalu,"Bersih, terawat, banyak tempat untuk duduk,musholla n toilet tersedia, ada penyewaan sepeda n perlengkapan piknik."
Abdillah Muhammad,5,2 hari lalu,"Pusat konservasi tumbuhan diluar habitat asli di daerah Kabupaten Pasuruan, sekilas dari luar terlihat menarik, namun disayangkan banyak fasilitas yang kurang berfungsi maksimal seperti Kamar mandi meski ada yang berfungsi di bagian depan, …"
Fakhrina FM,5,3 hari lalu,"kali keduaku ke kebun raya ✨
kebun raya kali ini bareng teman-temanku 💗 …"
Roikhanatin Nafisah,5,3 hari lalu,"Gabosen sihh kesinii, nyaman banget. ademm suka bangett soalnya banyak tanaman yang aku sukaa. i love pohonnnnn🫶 …"
Diana Oktaviani,5,3 hari lalu,wajibb sewa sepedaa listrikk soalnya tempat luas dan wajib keliling keliling buat nikmati suasana yg syahduu
julian pratama,5,5 hari lalu,"Sejuk, cocok buat berlibur dan santai barenh keluarga"
Mayrza Adelia,5,seminggu lalu,"First time ke sini waktu musim hujan, suasananya bener2 syahduu dahh. Weekend lumayan rame sih tapi masi oke buat foto2 hahah. Tempatnya luas banget, gk sempet explore semua huhu. Kataku si bbq an di sini enak bgt!!"
Fandy Kusjanto,5,seminggu lalu,Tempat yang nyaman untuk berkumpul dg keluarga
thoyyibah,5,seminggu lalu,"luas wilayahnya, seru ada kumpulan burung, ada kepiting di sekitar mangrove dan kecebong"
kaa ikaa,5,seminggu lalu,"Tempatnya nyaman buat pasangan, teman , dan keluarga,
Cuman kalo mau ke kamar mandi aga jauh an sedikit karena kebunnya luas, buat bersepeda juga sangat mendukung, tempatnya sejuk rindang , untuk sewa sepeda dll …"
Wahyudi Wahyudi,5,seminggu lalu,Udaranya sejuk segar suasana alami
Rasidy Cakra Pratama,5,Diedit 2 minggu lalu,good place to picnic
Indra Sutan Hanif,3,2 minggu lalu,"Tiket masuk orang dan mobil cenderung mahal ya, pemandangan hanya kebun mirim hutan dan semak, tidak ada spot lain kecuali Cafe. Saran buat yang mau piknik bawa saja barangnya masuk menggunakan mobil (ijin petugas drop barang) karena …"
Achmad Charissuddin,5,2 minggu lalu,Liburan di kebun Raya Purwodadi
Aslichatul Insiyah Azelin (Azelin),5,2 minggu lalu,Semakin bagus dan lengkap.  Sarana rekreasi keluarga dan kegiatan. Fasilitas lengkap dan asri
Cinnamonkiim,4,2 minggu lalu,"Tiket masuk 28k/prsn, parkir mobil 15k, sewa e-bike 150/jam, sumpah worth it sih luas bangetttttt dan ademmm, cocok banget buat ngedate, mau balik kesini lagi sambil baca buku deh kapan-kapann. …"
Danang Sandhito Prabowo,5,2 minggu lalu,Healing alam
Nur Jahan,5,2 minggu lalu,pelayanan ramah cs nya baik semuanya baik
Bellapusss,5,3 minggu lalu,"Tempat ngadem, release stresss nyamaaaan pomoknya"
Winie Kanisa,5,3 minggu lalu,"Hiburan yang menyenangkan ke Kebun raya Purwodadi, tempat bersih, indah, nyaman, murah"
Agung Pribadi,5,Diedit 3 minggu lalu,Nonton konser sunset di kebun
silvia,5,3 minggu lalu,"Tempatnya tenang, sejuk, dan asri cocok untuk menenangkan pikiran sejenak karena tidak terlalu ramai dan sangat luas"
Fauzi Irfan Nasrulloh,5,3 minggu lalu,Tempatnya nyamat buat wisata keluarga
Ishomatul Faizah,5,3 minggu lalu,"bagus pemandangan hijau nan asri, bisa sewa sepeda ontel/sepeda listrik, dll. seru buat sekedar foto-foto, jalan santai atau duduk-duduk sambil ngemil"
afm mataram,5,3 minggu lalu,"ada resto,sewa sepeda,ATV,shuttle,tempat sejuk"
Mansur Hidayat,5,3 minggu lalu,"Alternatif wisata saat batu sangat rame dan sesak, dsini sangat luas disarankan sewa sepeda atau naik bus wisata. Cocok untuk keluarga apalagi masih kecil, bisa lari atau sepedahan sepuasnya sangat2 luas.. ada monyet, taman bunga, jajan2 ringan juga ada. Bersih, bakalan sering kesini kalau suntuk kerjaan"
Fajar Kun Mubarok,5,3 minggu lalu,"Sekarang jadi semakin menyenangkan, ditengah trend anak muda untuk posting, karena pengelola banyak dari Gen Z tempat nya jadi semakin nyaman."
Patonah Nursiti,5,4 minggu lalu,"Kebun raya yg bisa diulik seharian full karena banyak bgt jenis tanaman dan area publiknya luas, bisa piknik, ada kantin, toilet juga aman."
Chanel Mas Agus,5,4 minggu lalu,Tempat edukasi yang bagus
Ahmad Fathi Rizki,5,4 minggu lalu,"second aniv, cantikk ketembah pacar aing makin makin indah, ga panjang lebar vlog di yutube @fathirizki_"
Ini Hesti,2,4 minggu lalu,Sangat disayangkan tidak ada playground untuk yg membawa balita..  harusnya sih diberi yaa. Jgn hanya ayunan sajaa..
Rizky Firdaus,4,sebulan lalu,Enak untuk piknik bareng teman dan keluarga
Septi Kurniasih,5,sebulan lalu,"Kebun raya yang memiliki luas hingga 85 hektar ini menawarkan pengalaman rekreasi yang berbeda. Meski sudah dikenal lama, pembaharuan yang kekinian trus dilakukan. Berbagai aktivitas seperti fotografi, piknik, kulineran hingga berbagai …"
Ambar Moto,3,sebulan lalu,"Bagus lokasinya, tapi sayang kurang terawat, juga kurang branding"
Sri Wilujeng,5,sebulan lalu,Tempatnya asri cocok buat piknik....
