name,rating,date,text
Nhaa Yowna,5,2 minggu lalu,"Kolam bersih
Tempat sejuk
Wahana seru
Harga menentukan pelayanan"
Sinta Purnama Sari,5,sebulan lalu,Airnya cukup dingin.
milakhi ahmad,5,sebulan lalu,"Masih terawat dengan baik.

Kalian wajib mencoba sate ayam nya plus lontong. Cocok d makan sehabis berenang."
adi susanto,5,sebulan lalu,Bersih dan aman krn ada guidenya yg selalu standby
Arka Gepeng,5,sebulan lalu,Tempatnya bagus cocok utk keluarga dan anak kecil
rantan dyan lachspri,5,2 bulan lalu,semua nya ramah poll💯 makanan di sana juga enak kok. kemarin pas kesana hari minggu harga 60rb dan adem bgt enakkkk😫 ga rame bgt enak jadinya huhu. untuk sewa ban gratis kemudian untuk prosotannya nyala di jam 10 dan 12 siang …
Adista Aprilianti,4,3 bulan lalu,Tempatnya bersih. Tdk terlalu banyak pengunjung juga. Jd untuk kaum introvet jika mau renang cocok banget. Air kolam sangat bersih dan toiletnya juga cukup bersih. …
Fathir Hidayat,5,4 bulan lalu,"sudah 2 kali kesini tidak mengecewakan, anak2 betah mainnya. Harga makanan juga bersahabat"
Yusuf Affandi,5,4 bulan lalu,"Ane lihat doank di gmap, kalo ada promo baru akan maen dari bypass Krian Sidoarjo. Suwun berkah sehat makmur sakinah boss n karyawan aamiiin"
Glenn Noya,5,6 bulan lalu,"Clean and the service from the staff is great, the food is also good with a fair price ....love this place, but they open only on the weekend, friday to sunday only"
josy busquest,5,7 bulan lalu,"Tempat yang bersih, nyaman, dan aman
Nilai yang bagus untuk uang yang dikeluarkan"
kuman skatszy,5,7 bulan lalu,Mantap
Ardi Mo,4,7 bulan lalu,Kolam anak-anak Kurang terawat aja sih... Menu makanannya tergolong sesuai harga...
Ir Setiyawan,3,7 bulan lalu,Lumayan
Citra Putri,5,8 bulan lalu,"Dari satpam sampai stafnya semua ramah dan baik
Ada perokok di area kolam anak langsung ditegur
Kolam pun bersih, rutin dibersihkan …"
Shine Odete,5,8 bulan lalu,"Seru Sekali Bermain Voli Di Kolam Renangnya, Bersih."
Bujas Devi,5,8 bulan lalu,Mau main air dengan nyaman dan santai. Inilah Tempatnya
Muhammad atok Illah,5,8 bulan lalu,Karyawan nya ramah²🥰 …
Nindy aprillia,5,8 bulan lalu,"Bersih , suasana nya enak , harga tiket masuk worth it, seruuu"
Haris Wijaya,5,8 bulan lalu,"Good veiw
Rekomended banget"
Bambe,5,9 bulan lalu,"Salah satu Waterpark Favorit keluarga, lokasinya cukup sejuk dan tentunya petugasnya ramah, semuanya bersih, dan airnya juga enggak buat mata dan kulit sakit. …"
Roni Putra,5,9 bulan lalu,tenang dan menyegarkan
Rahmah Sholeh,5,9 bulan lalu,Pelayanannya oke bgt... rekomended....
borny handriko,4,9 bulan lalu,Good and clean water park. Life guard always stand by.
Xanayu Fu,5,10 bulan lalu,Waterpark yg terawat sejak 2015 kesini selalu air bersih segar & ga terlalu dingin kyk di tretes/trawas/batu. Cuma kmrn weekend dtg jam 15.30 udah ditolak mau tutup 😢 sad bgt pdhl jauh” w belain dr sby loh …
Erdin 888,4,setahun lalu,"Tempatnya enak sejuk, saya bagian kolam kecil untuk anak anak keramiknya banyak yg lepas dan rasanya jadi berbahaya untuk anak anak"
Fara Dilla,4,setahun lalu,"The taman dayu waterpark lokasi yang strategis  dengan view hijau pohon pohon.
Kebersihan sangatlah bersih, kamar ganti bahkan kamar mandi pun bersih. Area kolam renang pun bersih. …"
Ratna Fajarwati,4,setahun lalu,Nice
Haikal Aulia,5,setahun lalu,Menyenangkan dan seru
One Baba79,5,setahun lalu,Suasana yang nyaman
listyawati 76,5,setahun lalu,"Bersih air kolam renangnya.
Anak2 happy"
Mochamad Maulana Santoso,5,setahun lalu,"Kolam renang nya luas dan bagus, kalau hari Minggu biasanya dikolam untuk anak kecil ada main busa.
Ada perosotan memakai ban juga dikedalaman kolam 120 cm.
Parkiran motor dan mobil juga luas, suasana tempat kolamnya sejuk."
Bulan Pagi,5,setahun lalu,"pricey sih tapi nagih kesini, nyaman 👍 …"
dewi dian,5,setahun lalu,"Dulu kesana weekdays, agak sepi. Kolam renangnya bersih, air bersih, kamar mandi pun bersih."
Roesmala Sukmaningtyas,5,setahun lalu,"Kolamnya bersih, kamar mandi juga bersih, banyak pilihan makanan yg harganya terjangkau..
Menyenangkan pokoknya ❤❤"
