name,rating,date,text
JustMe,2,sebulan lalu,"Sebenarnya tempatnya adem dan indah, tapi aksesnya susah, jalannya masih belum diperbaiki, masih banyak batuan dan kerikil di jalan, akses masuknya juga susah, jalannya ""ekstrem"" jalan alternatif lain juga ekstrem , masuk hutan-hutan, susah …"
Aldhi,2,setahun lalu,Karena tidak ada akses jalan/kurangnya akses jalan untuk menuju ke situs airterjun tersebut
InDra Aluminium,1,2 tahun lalu,"sayang sekali ada tempat wisata tapi terbengkalai hanya karna 2 pihak yg saling berebut hak/untung dari penghasilan wisata.. oh ponorogo emang gitu,
selain itu, icon wisata terbaik masih berada di telaga ngebel. itu pun masih kalah jauuuhhh dibanding telaga sarangan.. astagaaa pemimpin kita luar biasa 👍🏿 …"
Giri Bagus Bagaskara,4,2 tahun lalu,Air terjun ini bagus dengan karakteristik yang berbeda dengan air terjun lainnya tapi sayang ketika saya kesana tidak ada akses untuk turun ke bawah jadi hanya bisa melihat dari dekat hutan Pinus aja
Heriansah Febianto,5,Diedit 2 tahun lalu,tempat yang ideal untuk melepaskan diri dari hiruk-pikuk kota dan menikmati keindahan alam
Retno S,3,3 tahun lalu,"Bagus sebenarnya, cuman pemerintah nggak mengelolanya,, nggak ada akses yg mendukung untuk turun sampai air terjunnya, danasih banyak tmpt lainnya, tapu sama jg,, nggak di urus. …"
Abbasy Putra,4,3 tahun lalu,"Sedih banget ternyata akses ke air terjun sudah ga bisa dan tdk ada..hanya mliat dr sberang hutan pinus, dam saat itu hanya kami bdua di keheningan dua bukit ni  jd tkesan seramm.lsg kami pulang. Kata warga sdh jrg di kujungi aksesnya sejak …"
Ardiyan Ardiyan,5,4 tahun lalu,Bagus idah
Minang Putra,5,4 tahun lalu,air terjun yang cukup tinggi dengan pemandangan yang indah
willy yoga46,3,4 tahun lalu,Lumayan
