name,rating,date,text
Fahreza Daffa,5,1 hari lalu,cocok buat pemulaa mskipun rada nanjak dikitt😂😂 …
Siska Fitriana,5,seminggu lalu,"Cukup aman untuk pemula, tanjakannya ga bikin mengkis2. Buat yg mau ajak bocil muncak juga bisa asal dipakaikan alas kaki yg proper karena medannya licin kalo habis hujan"
Intuisi-34,5,2 minggu lalu,"Tempatnya oke banget cocok untuk pendaki pemula, jalurnya tidak terlalu ektrim, pemandangannya keren. Buka 24 jam, fasilitas lengkap, bisa beli logistik di warung area parkir dan bisa sewa peralatan hiking."
Ari Susanti,5,2 minggu lalu,Baru ke padang sabana kapan kapan coba muncak deh. Kalo  dari wonogiri sampe pos 1 cuma 10 menitan
Kaleya Jabar,5,2 minggu lalu,"tracknya friendly bgt buat pemula,view diatas bagus poll kalau cerah,apalagi kalo di sabana nya,akses kendaraan dari jalan raya ke basecamp kurang bgt,tapi semuanya dibayar pas uda sampe atas,bener bener sebagus itu🔥 …"
fahmi alfian,5,3 minggu lalu,"""Jalan minimal view maksimal""
20 menit jalan dah nyampe
Jalur ada yang nanjak ada yang landai, tinggal milih. Track awal berupa tanah, …"
Udin Prazetyoe,5,3 minggu lalu,"Bukit yang terletak di perbatasan antara Kabupaten Wonogiri, Jawa Tengah dan Kabupaten Ponorogo, Jawa Timur. …"
Salsa Bila,4,3 minggu lalu,"""Ati,"" gadis, sebaiknya kamu bertanya pada masyarakat sekitar, jangan ikuti Google Maps."
Dar Yanti,5,4 minggu lalu,Pull happy
Running Mate,5,4 minggu lalu,"Hidden gem, akses mobil agak sulit, keindahannya luar biasa. Masuk gratis, bayar parkir aja"
Dewa Ndaru,5,4 minggu lalu,Beautiful view
Sarra Desti,5,4 minggu lalu,"Cakeppp banget.
Kesini pas cerah cerah nya. Goks banget. Keren"
panda,5,sebulan lalu,"Tracknya beginner friendly. Kalau dari utara, perjalanan di area jalan setapak kebun kurang lebih 15-25 menitan. Jalanan terlihat dan mudah dilalui selama tidak hujan. Setelah itu, akan ketemu area warung di dekat sabana, titik pertemuan …"
Hafid Husen,5,sebulan lalu,"pertama kali ke bukit cumbri..suasana masih asri, untuk medan jalan menuju objek wisata menanjak, berada diantara dua provinsi, jateng dan jatim,,cocok untuk yang gabut mau mencoba trakking, kalo cuaca baru mendukung view nya top..akan dimanjakan dengan pemandangan alam sekitar"
Fadjar Edhi,5,Diedit sebulan lalu,Bukit cumbri yg bikin nyandu krn viewnya luar biasaaaaa..3x ke cumbri gk ada bosannya..next ke cumbri lagi ..nasi pecel godong jatinya okee banget
