name,rating,date,text
Reza Gastanyo,5,setahun lalu,Terakhir ksini 2017 sma tman pdkt ank jetis..syg blm jodoh huhu😁 …
ariel cah sobo,1,2 tahun lalu,Biar bintang yg menilai. Sayakurang pas sama pengelolanya. Seharusnya ada berbedaan antara pengunjung 1 desa sama dari luar desa atau luar kota. Tapi di sayangkan saya pas berkunjung sama keluaraga meskipun saya bilang orang sekitar tetep …
AVIOLENA RETINOVALIANI,1,2 tahun lalu,Tempatnya sudah sangat tidak terawat. Tidak ada wahana apa apa. Jalannya sangat buruk
Fajar Wijaya Putra,5,2 tahun lalu,Pemandangannya sangat bagus.
teddy setiawan,3,2 tahun lalu,"Udah tutup tempatnya, sepi dan tak terawat"
haris murpy,2,Diedit 2 tahun lalu,"mati suri.. sepi, bahakan jalan menuju lokasi gunung beruk banyak ilalang"
A-H-A CHANNEL,5,3 tahun lalu,Bagus
Bunda Wniq,3,3 tahun lalu,"Awal kesini karena iseng pas pulang dari Puncak Kuik Gajah, mampirlah yang deket2 gitu.
Perjalanan lumayan lah. …"
Ratna Silvani,1,3 tahun lalu,Tempat Wisata Gunung Beruk sangat disayangkan kurangnya adanya perawatan.Jadi fasilitas yg ada di gunung banyak yg rusak.
Ria Agustina,5,3 tahun lalu,"Bagus, tapi sayang toiletnya gada air.. Trs yg jualan minum/snack dah gada."
Elsa,5,Diedit 3 tahun lalu,"Saya sudah 3 kali kesini, banyak sekali perubahan, jalannya sudah mulai membaik dibanding pertama kali saya kesini, tapi fasilitas seperti Toilet dan Musholla belum ada. Untuk tiketnya juga murah, tiket masuk Rp 3.000 dan parkir motor Rp …"
Ladangberlian,5,4 tahun lalu,"Sebuah tempat yang menyenangkan untuk berlibur bersama pasangan, maupun keluarga. …"
Naa,4,Diedit 4 tahun lalu,"Tempatnya masih asri, walaupun nggak seadem dan sehijau dulu waktu baru up. Fasilitasnya banyak yang sudah rusak namun juga ada beberapa penambahan spot spot tertentu. Seperti musholla, tempat duduk/istirahat. Sarannya hati hati aja kalau …"
Muhammad Iqwanul,5,4 tahun lalu,Tempatnya sangat kaltcher dan saat indag
DSW Official,5,4 tahun lalu,Mantab
Mas Dhan,4,4 tahun lalu,Penanaman pohon
Dicky Tri Indrata S.,3,4 tahun lalu,"Sudah tidak terawat lg, dan sepii.mungkin karena semakin banyak tempat2 wisata lainnya."
Erik Pranata,5,4 tahun lalu,bagus
christian lie,5,4 tahun lalu,"Wisata alam pegunungan, cocok untuk keluarga karena jalan ga terlalu menanjak.
Parkir di pelataran warga, lalu ikuti jalan cor setapak di sebelah kiri.
Pos pertama; Warung, persiapan beli minum & makanan kecil kalo lupa bawa dari …"
Faris Mahesa,3,4 tahun lalu,Tempat yang cocok buat refresh dan menenangkan pikiran.
Anam Prianata,3,4 tahun lalu,"Sangat indah dan asri, tetapi semenjak pandemi corona, sudah tidak terawat lagi, padahal dulu sempat ada event music loh disini."
Oodeliass,1,4 tahun lalu,"Mau cerita tentang pengalam saya ke gunung beruk kali ini, di tahun 2021 bulan januari kemarin saya dan saudara laki laki atau adek saya berkunjung ke gunung beruk, kita datang untuk observasi tempat, bisa dibuat refreshing keluarga apa …"
