name,rating,date,text
Gus Ipul Official (Gus Ipul),5,2 bulan lalu,"Gedung Kesenian Padepokan Reyog Ponorogo adalah pusat kegiatan kesenian Reog Ponorogo yang berfungsi sebagai tempat belajar, berlatih, serta pertunjukan seni khas Ponorogo. Gedung ini dirancang dengan pendekatan arsitektur ikonik yang …"
Nawang wulan,5,4 bulan lalu,Sangat cantik dan sangat bagus
Rosiana Asmajiyah,5,4 bulan lalu,Pertama kali ke sini Krn acara lomba nya anak2...  Kursi penonton nya pas banget cocok untuk menonton pertunjukkan anak2
Ella Aziz,4,5 bulan lalu,Nyaman
Ahmad Sulkhi,5,setahun lalu,Tempat kesenian
Dratis Dewi,5,setahun lalu,"Tempatnya bersih, gedung serbaguna, banyak history nya"
Aa Nnnn,3,setahun lalu,Dulu selalu ramai... semenjak ada panggung di alun alun ponorogo menurun tingkat kunjungannya
Rusdianto yanto,5,2 tahun lalu,Tempat kesenian tari ponorogo
yasir arafad,5,2 tahun lalu,Padepokan Reog Rekomended
Max strong,5,2 tahun lalu,Tempat untuk berkesenian
Istna Ida Matut Tho'ah,5,3 tahun lalu,"Selasa, 24 Januari 2023 kami melaksanakan Pelantikan PPS untuk Pemilu Tahun 2024 di gedung ini dengan peserta kurang lebih 1100an.
Pada saat acara, cuaca terang jadi aman untuk menyelenggarakan acara disini."
Mei Yana,5,3 tahun lalu,Mantap
Suci Ramadhani Putri,5,3 tahun lalu,"Tempat untuk menonton pagelaran seni reyog Ponorogo
Lestarikan budaya Indonesia"
Sarono Sarono,3,3 tahun lalu,👍👍👍👍❤️ …
mas haguro,5,3 tahun lalu,Luas. Dan sejuk suasananya
my name Risa,5,3 tahun lalu,Tempat bernuansa seni yg astetik
Darmawan Zulfikar,4,3 tahun lalu,Gedung serba guna
Rara Adelia Putri,5,3 tahun lalu,tempatnya luas
edi siswoyo,4,3 tahun lalu,Tempat yg Bagus untuk pertunjukan
Riesyarie Afifah,5,3 tahun lalu,Tempat bersih dan nyaman
Endah Supartin,4,3 tahun lalu,"Bagus, dekat dng taman"
Rocky Aji,5,3 tahun lalu,tempatnya para pemuda pemudi Ponorogo dalam menggelar pertunjukan kesenian dan budaya indonesia
Aan Supriyanto,4,3 tahun lalu,Nice
Kang Pardi Prabowo,3,3 tahun lalu,Harus dijaga kebersihannya
Wonk,5,3 tahun lalu,Tempat hiburan yg bagus...
Ipank 3121,5,4 tahun lalu,Fasilitas publik yang kurang termanfaatkan
JE Ponorogo,5,4 tahun lalu,Audio sound system ku selalu di pakai acara live streming di sini trimakasih pd pemakab ponorogo & crew manduro juga para dalang2 di ponorogo telah mempercayai kami.sehat sukses selamat semua salam budaya
bayu gimbong,5,4 tahun lalu,Perlu sedikit renovasi
Himawan Alfan,3,4 tahun lalu,butuh perhatian dan perawatan ..
Ervan Andryawan,5,4 tahun lalu,"Tempat kesenian yang sangat menarik untuk dikunjungi, karena ada pentas Seni Reog Ponorogo yang terkenal di dunia."
D.I. P.,5,4 tahun lalu,Gedung kesenian biasanya digunakan untuk kegiatan pentas atau pertunjukan
