name,rating,date,text
Priyan didik,5,5 jam lalu,Tempat indah
Sulistyawan Dwi Prasetya,5,1 hari lalu,"penasaran banget karna Fyp tiktok ternyata emang sebagus itu , worth it buat whislist kalian☺️"
Mo,3,2 hari lalu,"Speedboat nya ugal-ugalan
membahayakan nyawa penumpang.
Mohon ditertibkan. Tks"
Shilva Agna,5,3 hari lalu,"tempatnya dingin dingin sejuk, jalan nya juga bagus, makanan disana juga enak 10/10🫶🏻 cocok kesini sama pacar ataupun keluarga 🤩 …"
Agus Widarbo,5,5 hari lalu,"Ngadem, jalan2 bersama keluarga"
Wijaya Kusuma,4,seminggu lalu,jalan menuju telaga ngebel banyak yang rusak dan berlubang
Kuki Kiya,1,seminggu lalu,"tolong dong pedagang durian yang nakal di tangani, saya beli durian 4 di ngebel, di cek disana bagus tapi saat dibawa pulang ternyata busuk2 dan ada yang mentah gak bisa dimakan sepertinya saat pembayaran diganti dengan yang jelek,  penjualnya menggunakan pik up untuk jualan dan yang jual ibu²"
Ciska Detrisa,5,seminggu lalu,Enak buat santai santaii..
Anita Suwito,5,2 minggu lalu,"Danau yg berlokasi di Kecamatan Ngebel Ponorogo Jatim.
Lokasi lumayan jauh dari kota -alun alun Ponorogo dg rute yg mudah dijangkau.
Tapi akses jalan menuju Telaga Ngebel makin menanjak dan menyempit, tetap …"
Ferry Saputra,5,2 minggu lalu,Bagusss
Subowo,5,3 minggu lalu,"Tempat wisata yang sejuk dan indah.Ada speedboad yang harga sewa sangat terjangkau 100K untuk 5 orang.Ada perahu Naga 10K per orang.Naik kuda juga ada.Banyak pedagang kaki lima dengan harga yang wajar.Banyak penginapan,hotel maupun homestay.Ada beberapa bengkel juga.Rute bisa ditempuh mobil maupun motor"
Denis Moerty,5,3 minggu lalu,Tempat nyaman sejuk
Seoul heri,4,3 minggu lalu,"Pas Hari jumat.
Bisa jemaah jum'at dimasjid
Tdk harus keluar dari lokasi telaga"
CINDY AMORA,5,4 minggu lalu,"Asri, bersih, ramah sekali semua penjualnya. Menu2 yg di sajikan enak dan gak getok harga pas musim liburan harga normal sih. Suka sekali"
