name,rating,date,text
OMG- Oh My Games!,5,4 minggu lalu,"Pengalaman yg tak terlupakan..libur nataru 25 ini kami akhirnya bisa menikmati indahnya air terjun tertinggi di Jawa (sblmnya mau kesini dari bromo tp ditutup). Kami datang pagi (disarankan sblm jam 9 krn siang sering hujan), di parkiran …"
Dendy Surya Bakti,5,sebulan lalu,"Air Terjun Madakaripura adalah salah satu destinasi alam paling menakjubkan di Jawa Timur. Begitu memasuki kawasan lembahnya, suasana langsung berubah menjadi tenang, megah, dan penuh kesan mistis. Tebing-tebing tinggi yang mengelilingi air …"
Agung Pribadi,5,Diedit 3 minggu lalu,Air terjun terbaik di Jawa Timur. Tertinggi nomor 2 setelah sigura gura. Terleta7di jalan menuju kawasan Bromo Tengger Semeru. Dari parkir mobil naik ojek sekitar 1 km dan dilanjutkan berjalan kaki sekitar 3 km. Harus waspada kare6jalan menuju air terjun memanfaatkan jalur air.
Ann SK,5,5 hari lalu,"I visited Madakaripura in December, reaching the falls around 2:30 PM. The trip started with a 20-minute ojek ride from the parking area. The road is clean and lined with green trees. …"
Rio Dwi Putra Perkasa,5,3 bulan lalu,"Air terjunnya keren, ada beberapa air terjun disini. Tebingnya juga tinggi tinggi. …"
Martin Hao Chen,5,sebulan lalu,"This place is amazing, but you’re going to get soaked no matter what. Wear comfortable outdoor shoes and, do yourself a favor, bring a raincoat or even swimwear, then just enjoy the magnificent waterfall. Also, don’t stand too close to the …"
Dewvy Charisma Angelia,5,3 bulan lalu,"Salah Satu Spot Mantab Air Terjun dijawatimur yang Amazing Selain Tumpak Sewu, Harga Tiket Sudah Paket Lengkat Tiket Wisata, Parkir, Ojek (bagi yang membawa mobil), Guide, Helm Safety(New SOP), Jika membawa jas hujan dan sendal sendiri tidak perlu beli..guide rama jago bikin video koreo..hehe"
Nuringtyas Sekarayu,5,3 bulan lalu,"Fyi, you’ll be amazed seeing this view. I’ll suggest you to come between June-August because the guide said that it was the most beautiful moment to visit waterfall. …"
Muhammed İkbal ÖZBEY,5,3 bulan lalu,"Very beautiful and unbelievable. At first we just walked but when we noticed it was far away we just  get a guide,  and dont let them force you to pay huge money on guides if you dont want to pay it. (it is probably not mandotory but after …"
Rosariana Chrisnadya Ariesta Da Costa Luis,5,5 bulan lalu,Bagus banget. Kaya water park 🤩 Kalo kesini better ber 4 biar fee guide nya bisa di bagi. Kalo naik mobil harus pake ojek buat ke pintu masuk. Nanti harus sewa helm juga 15rb. …
Wahyu Sea,5,5 bulan lalu,"Tempatnya sangat bagus ga rugi lah ya jauh2 dri mojokerto kesana, kupikir hanya bayar loket masuk aja trnyata wajib ada guidenya juga. tpi bisa bayar berkelompok, biasanya max 10 org. Sewa helm only 15k. Amazing semoga makin majuu"
