name,rating,date,text
Su dar,5,2 bulan lalu,"Seru banget, gak nyangka airnya dingin"
Slamet Hariyanto,2,2 bulan lalu,"Tempatnya sudah tidak dibuka lagi untuk wisata.
dikarenakan tempatnya rawan longsor saat musik hujan"
Jakob Kienzler,2,3 bulan lalu,"Sayangnya, tidak ada jalur pendakian menuju ke sana dan tidak dapat diakses."
Mickael Foret,1,5 bulan lalu,inaccessible..
Rahmat Surya,5,7 bulan lalu,"Sudah 2 tahun ditutup untuk umum, bismillah saya kesini sendirian.... Untuk menelusuri apakah masih layak jalan setapak untuk dilalui.... Dan hasilnya masyallah masih bisa dilalui untuk amatir2 tidak saya rekomendasi, saya sempatkan membaca …"
Bergas Pradana,5,setahun lalu,Tempat wisata yang menarik
alifia aradhani,1,setahun lalu,"Minggu lalu kesana wisatanya tutup, sbnernya bisa masuk tp harus sewa guide🙄Kalo emng belum bisa buka gausah nawarin harus pke guide, giliran knpa"" psti gamau tanggung jawab, mnding renov aja dlu …"
PURWO SUNOKO,3,setahun lalu,Sebenarnya bagus tempatnya tapi belum boleh di kunjungi sayang sekali
Nanda Saputra,5,setahun lalu,Tempat bagus
Candra Aris,5,Diedit setahun lalu,"Air terjun yang masih sangat alami, air yang sangat jernih dan tidak kalah menarik dengan air terjun lainya. Bisa untuk berenang 😊 …"
Mochamad Yulianto SH,4,2 tahun lalu,Air terjun fenomena alam dan suasana desa sukapura
boy sandy,4,2 tahun lalu,"Tempatnya bagus tapi kurang terawat, harus hati""melewati jembatannya."
Subadar Dazz,5,2 tahun lalu,sangat indah
Fhaiz Khan,5,3 tahun lalu,"Alamiah, menyegarkan, mantan buat relaksasi pikiran.."
Felix Nugraha,3,3 tahun lalu,"Super fresh air, but its has been closed permanently because of death 2 person, and the road to waterfall extremely damage because of no one passed that road on a few years"
Raisa Duinaima,5,3 tahun lalu,Sangat mudah mencari informasi
Nabila Zhazha P.R,5,Diedit 3 tahun lalu,"sangat asri, dan perjalanan menuju air terjunnya cukup menantang"
Aufa Izri Zuraidah,5,4 tahun lalu,"Sudah tidak terawat,tapi sejuk"
Ahmad Muhyidin,4,4 tahun lalu,Tempat cukup bagus akses lumayan hanya saja bagi yang kesana jangan lupa sediakan bekal tembakau untuk pelepasan hewan lintah yang menempel di kaki
Imam Hakim,5,4 tahun lalu,Baik dan nyaman
Fery Indriyanto,3,4 tahun lalu,"Potensi wisata ada...lokasi alami asyik buat hiking, cuma tdk terurus dan terawat, eman sekali"
No comment,4,4 tahun lalu,"Pas kesini musim hujan bnr2 bagus pemandangannya, g sia2 dibelain tidur ngemper semalaman dpn toko orang biar jd pengunjung pertama so pas disana sendirian serasa taman bermain milik pribadi"
Himawan Singa timoer,4,Diedit 4 tahun lalu,asik buat refresing
Danang Budiman,5,4 tahun lalu,"Banyu bening, banyu seweger"
