name,rating,date,text
Neird,5,2 hari lalu,"Siapa yang memberi nama ""Telletubies""? Memalukan"
Agus Sudharnoko,4,Diedit 2 hari lalu,Salah satu destinasi yang harus dikunjungi saat berwisata ke Bromo.
Ratna Natalia,5,3 hari lalu,Datang di bulan Desember pas sedang hijau hijaunya. MasyaAllah hamparan hijau nan luas dan bukit yang indah. Tersedia warung dan toilet. Dan beberapa penjual souvenir
yuda saputra,5,2 minggu lalu,Sabtu 17 januari 2026
Budi Setiawan,5,3 minggu lalu,"Pemandangan yang bagus dan indah, suasana sejuk dan tenang"
mohhammad abd,5,3 minggu lalu,Kenangan yg tak terlupakan
Istda Van Jabar,5,4 minggu lalu,Sayang masih ada orang yg tidak bertanggungjawab buang sampah plastik 😡 …
C-08-Fernando Tan,5,sebulan lalu,Wonderful panorama..
Abdul Rohman,5,sebulan lalu,Enaknya datang pas bulan desember semuanya hijau dan mekar
12 _ Hayyu muara bagya,5,sebulan lalu,Selalu indah
Made Nias,5,sebulan lalu,"Masya Allah, benar benar indah ciptaan-Mu ya Allah, hamparan hijau menyejukkan mata, dengan udara yang sejuk. Menghabiskan liburan disini sangat menyenangkan"
ARI TEGUH SUTANTO,4,sebulan lalu,Magical.. tapi sayang berisik.. pedagang disana setel speaker kenceng2
Pak Iwan vlog,5,sebulan lalu,You come here when you go to Bromo. It is green and push when it is rainy season
Hermawan Dwicahyono,5,sebulan lalu,Tempat sejuk yang menyejukkan hati...perbukitan hijau nan indah
Nunna Shazia,3,sebulan lalu,Sampe sini kelaparan...Dan cuma bisa makan bakso. Lumayan kok... Start from 15rb dah dapet semangkuk bakso...
pororo pow,3,2 bulan lalu,Menarik
y y,5,2 bulan lalu,Wajibbbbb ke bromoo 😃 …
Nasrudin,5,2 bulan lalu,Cukup jauhh treknya
MARII,4,2 bulan lalu,"2018 kesini masih ijo segar
udara sejuk …"
Annisa Nasrullah,5,2 bulan lalu,Everything about this place is beyond amazing and I would encourage everyone to visit this place at least once in their lifetime. You can actually do picnic here and enjoy the scenery. Best time to visit this place is before 10 AM or after 3 PM. I will be back for sure.
Erwe Republic 113,5,2 bulan lalu,"Dari masuk beli sampai STNK,PLAT NOMER BPKB jadi kita selalu di konfirmasi oleh salesnya.
harga paling murah dr yang lain"
Salamah Trisno Budiyanto,5,2 bulan lalu,Keren dan seru
Pak Hasan,5,2 bulan lalu,Tempat itu sangat dingin.
Tri Achmadi,5,2 bulan lalu,Pernah ke sini Juni 2019. Belum punya kesempatan ke sini lagi.
Maria Hutomo,5,Diedit 2 bulan lalu,Nice view 👍👍👍 …
Fikri Azali,5,3 bulan lalu,Semoga terjaga keasriannya selalu
Zahrotul Mutoharoh,4,3 bulan lalu,Bukit ini pas hijau-hijaunya. Terlihat bagus.
Darwin Tan,5,3 bulan lalu,"Spot wajib kalau wisata Bromo
Tempatnya bener-bener indah dan bikin terperanjat. cuma saat berkunjung kesini udah termasuk siang bolong jadi panas poll dan karena ga ada pohon2 buat berteduh …"
yeni orbayati,5,3 bulan lalu,"Bukit bukit pemandangan yang indah mengajarkan bahwa keindahan tak selalu datang dari kemegahan, tapi dari kesederhanaan yang menyentuh jiwa. Di sana, aku belajar bahwa diam pun bisa menjadi doa."" nggak bisa diceritaiiiiiinnn wuiiiiih bener bener Karunia ILLAHI ."
Wulansari Handayani,5,3 bulan lalu,Bagus... Luas.. Banyak angin... Banyak pasir... Banyak jajanan juga yang dijual.... 😋 …
Carpe Diem,5,3 bulan lalu,Seindah ituuu
Bunga SR,5,3 bulan lalu,Indah sekali
Syamil Nordin,5,4 bulan lalu,Good spot for ootd and photography. Marvelous 👍😎😄 …
Kang Drone,5,4 bulan lalu,Salah satu spot wajib kalau ke gunung Bromo
Mi Lee,5,4 bulan lalu,"Pergi pas bulan okt 2024 kebetulan bukitnya lagi gersang, gak sehijau yang viral, walau begitu tetep bagus pemandangan alamnya bentuk bukitnya berjajar dan unik"
Meyrisca Meyrisca,4,4 bulan lalu,Hamparan luas bukit hijau yang saat ini agak menguning....sejauh mata memandang...alam memang indah. Nilai plus nya...bisa foto dengan kuda nya....bayar sih ke bapaknya 1 orang 20 ribu....tapi worth it...foto bagus2 bersama kuda putih.
fajar muharam,5,4 bulan lalu,"Bukit Teletubbies Bromo sekarang sudah berganti nama,,hal ini dikarenakan usulan warga setempat yg ingin nama tersebut memakai nama sesuai dengan nama tempat ny jangan memakai nama tidak pada tempatnya 🙏 …"
Nguyễn Phương Quỳnh,5,4 bulan lalu,"Hamparan bunga yang luas dan hamparan gunung yang menjulang, sungguh indah."
Sunny Dewi,5,4 bulan lalu,Beautiful place for healing ❤️
Adetya Ichsan Hartono,5,4 bulan lalu,"tak de pungli, motoran atau jeep dikondisikan aja :)"
Widodo S,5,4 bulan lalu,Sekarang diganti nama jadi lembah watangan
Mariza Fauzya,5,4 bulan lalu,"Mengesankan..
Memanjakan mata, banyak spot2 foto terbaik..
Namun jika musim berangin, pasir2 banyak berterbangan..
Jadi temukan momen dan waktu yg tepat untuk anda berwisata.. 👌 …"
Ar Tina Saputra,5,5 bulan lalu,Bromo Vibes : Datang saat akan sunset
anggi aprilia,5,Diedit 5 bulan lalu,Takjub keindahan alamnya..
Untung Darsono,5,5 bulan lalu,Bukit Teletubbies dan Lembah Watangan Bromo Tengger Semeru.
dhenis setyo nugroho,5,5 bulan lalu,"Spor terbaik melihat savana rumput di bromo, bentuk perbukitan yang cantik serta memukau mata dan pikiran. Wajib kesini kalau berangkat ke bromo via malang."
Muttaqina Mafaza,5,6 bulan lalu,"Mengunjungi tempat ini disaat weekday sangatlah worth it, karena terasa seperti private holiday"
Ade Purwanto,5,6 bulan lalu,Tempat yang paling recommend di areal bromo dengan hamparan rumput yang hijau dan pemandangan yang bagus.
Wahyu Tri Ananda,5,6 bulan lalu,"Destinasi bonus ketika ingin turun via Gubugklakah. Tempat ini menawarkan view perbukitan vulkanik yang sangat indah dan asri di kaki Gunung Kursi. Perbukitan berupa sabana dan tanah berpasir. Fasilitas penunjang wisatawan tersedia dengan cukup baik, hanya saja tempat ini selalu ramai."
Adam Arrasy,5,6 bulan lalu,"Silau kena mata, sejuk di hati karna pakai jaket, kalau gak pakai jaket jadi hati yg dingin"
rizkya,3,6 bulan lalu,"Tempat luas, banyak penjual makanan dan cindera mata khas Bromo. Tersedia toilet di dekat parkiran jeep."
arie jack,4,6 bulan lalu,Sebenernya pemandangan gunung gak membosankan..hanya perlu kesadaran pengunjung dalam menjaga lingkungan bukit.
agus budiono,5,6 bulan lalu,Salah satu tempat wisata dengan pemandangan alam yang menarik lokasi yang mudah dijangkau dengan mobil tertentu Jeep hardtop. Perjalanan yang dikelilingi bukit dan jurang.. Masya Allah pemandangannya luar biasa 🙏 wisata yang recommended buat keluarga …
Bennett Yonatan,5,6 bulan lalu,"The view is amazing, there is a trail to the path of the photo spots, so it looks 🔥. It is just overall stunning, 9:10 …"
Vũ Thị Kim Chi,5,6 bulan lalu,"The best route in East Java for someone who want to drive by themself. I made it from the bromo to malang. It was so wonderfull, so unreal landscapes"
