name,rating,date,text
Intan elasari,5,5 jam lalu,1jt/10 mau diliat seribu kalipun ga pernah bosen sama bromo
Citra Berliana,5,13 jam lalu,"bromo dan kenangan nyaa, semoga nanti kalo dikasih umur panjang bisa kesini lagi udah nambah personil yaa"
Meli Maryani,5,1 hari lalu,Next bakalan ke sinii lagii
ANDIKA DWI PRADANA,5,1 hari lalu,Kesini waktu weekend rame poll dan macet banget tapi tidak masalah karena dibayar dengan pemandangan yang indah serta lihatnya bareng dengan kesayangan🤭 …
11. Berlian Titania,5,2 hari lalu,"one of the most beautiful place in the world🤩🤩 walaupun badan pegel semua karena pp dari solo tapi terbayarkan sama indahnya bromo, kalian harus kesini sekali dalam hidup si🤩🫵🏻 …"
nasser abdulaziz,5,2 hari lalu,I will never forget that moment
Andrean,5,2 hari lalu,"Suasana nya dingin,harap persiapkan perlengkapan sebelum kesana"
Igycnd,5,3 hari lalu,😍😍😍 …
uut sutiaaa,5,3 hari lalu,"6 november 2024
first time ke gunung bromo ^_^"
wanda meilindaaa,5,3 hari lalu,"Meskipun pips berkali"", tp masih mau bgt balik sini lagi wey"
Andria Febrianti,5,3 hari lalu,bromo in 2023⛰🫶🏻 …
Radytyas wahyu saputra,5,seminggu lalu,Menakjubkan dan sangat indah pemandangannya goodjob
hnfa hbb,5,seminggu lalu,"1.kalimat
(Ciptaan Tuhan)"
AlbanliYoshi Li-Yoshi,5,seminggu lalu,"A nice place , there is a freeway from the village between 2 hotels"
Hon's,5,seminggu lalu,"Gunung Bromo tempat yang  di buru pencinta pemandangan alam, menyaksikan sunrice jika beruntung bisa menemukan, saat cuaca cerah"
Risma Rahmatika,4,seminggu lalu,"View nyaa mantap kali lah, jalan nya ampunn saat turun ke pasir berbisik curam banget guys,"
MASKUR 07,5,seminggu lalu,Suasananya bagus banget pengan hiburan ke Gn bromo
mikael rinto,4,2 minggu lalu,Spot wahana wisata alam yang menjadi andalan warga Jawa Timur. Bisa dijangkau dari rute yang bertolak dari kota Malang maupun Probolinggo. Sangat dianjurkan untuk menggunakan jasa jip wisata karena medan jalan yang sangat ekstrim dan …
Rempeyek,5,Diedit 2 minggu lalu,"pengen ke sini lagi, warga lokal sangat santun terimakasih"
Natha Natha,5,2 minggu lalu,"BROMO, aku datang bersama orang yang tak kalah indah denganmu❤‍🔥🫂🫂 …"
mumtaz aliza aklian,5,Diedit 2 minggu lalu,Sejuk dan menenangkan
Adiaztha Chairizki,5,2 minggu lalu,Seru
reeva damayanti,5,3 minggu lalu,"Saya ke sini di bulan Desember saat libur Nataru, ikut trip dapat harga 400rb/org. Dijemput di Malang kota sampai ke basecamp, sudah termasuk jaket (jadi tidak perlu sewa), mobil jeep ke bromo (10org/mobil), pemandu, dan sudah di fotokan. …"
Fitri Husra,5,3 minggu lalu,Mauuu kesinii lagiiii🥹🥹🥹😭🙌🏻🥰 …
nnndaa,5,3 minggu lalu,"PENGALAMAN GA TERLUPAKANN,bawa aku kesana lagi sayanggg,mau liat sunrise lagiii"
Zakiya Anjar irfendi,5,3 minggu lalu,Tidak perlu di ragukan lagi siihh kalau disini✨
Rizqi Najih L,5,3 minggu lalu,indah bangettt
Lailatul Fitria,5,3 minggu lalu,"akhirnya wishlist kita buat ngedate ke bromo tercapai, alhamdulillah, buat kalia semoga secepatnya bisa kesini bareng orang tercinta yaaa"
Kaji Rafa,5,3 minggu lalu,kok ngak bisa yakalawmencari mep bromo
Vyleana Tsabita,5,3 minggu lalu,"gunungnya cantik banget view nya, ini ga terlalu keliatan gunungnya, padahal aslinya bagus poll, ditambah lagi aku jalannya sama sepupu sepupu aku yang imut jadi seru poll dehh, ini fotonya sekitar tahun 2018 sampe sekarang aku liat bromo di medsos view nya masih sama, sama sama indah."
Satmiko Supraptono,5,Diedit 3 minggu lalu,"UNTUK menikmati kedamaian, ketenangan dan kenyamanan di Gunung Bromo sebaiknya pilih kunjungan pada weekday. Jangan lupa bawa bekal pengganjal perut dan air minum dalam jumlah cukup. Toilet mahal karena susah air, terutama di dekat savana."
Iqbal Sugoi,5,3 minggu lalu,Gunung ini sangat bagus dan indah
Sofyan Hamid,5,3 minggu lalu,Beautiful Nice Places
service komputer,5,4 minggu lalu,"Masya Alloh ciptaan Kuasa Nya,bangun tengah malam untuk dapat sunrise awan ditas gunung bromo, naik jeep gahar di gurun pasir bebisik dan bukit savana hamparan rumput.makanan bakwan malang muantap di tengah pegunungan bromo tengger dan semeru"
Hakimie Talib,5,4 minggu lalu,"Pemandangan yang indah, Subhanallah"
Tripnya Afi,5,4 minggu lalu,Wajib sih minimal sekali seumur hidup ke Bromo. Kami memulai perjalanan dari Malang. Menggunakan jeep keluar tengah malam. Sampai di peberhentian satu mengisi perut dengan mie rebus dan teh manis. Karena cuaca yang dingin hati-hati minum …
Andri anto,5,Diedit 4 minggu lalu,Gunung yang selalu dirindukan.
lew cher yong,5,sebulan lalu,"Bromo’s magic hits different when you explore it at your own pace—this free & easy trip was the best decision I made in East Java! No rushed schedules, no crowded tour buses—just me, my motorcycle, and the raw beauty of nature unfolding. …"
Andrew Bakunin,5,sebulan lalu,"Saya sangat merekomendasikan untuk berkunjung!
Tempat yang sangat indah dan pengalaman yang benar-benar menarik!
Ongkos taksi Grab dari Probolinggo adalah 140.000 dan perjalanan pulang pergi ke …"
Bagus Setiawan,5,sebulan lalu,"G Bromo
Mantab 👍🏼👍🏼👍🏼 …"
Ayu Wulandari,5,sebulan lalu,Bagus banget
mas imung,5,sebulan lalu,Pengalaman yang menyenangkan.. bagus banget pemandangannya...
sindy vertikasari,5,sebulan lalu,"Pemandanganya bagus, cocok untuk menenangkan pikiran dan menambah koleksi foto disana"
Umi Istifaiyah,5,sebulan lalu,"Disela-sela kesibukan bekerja, pergi liburan kesini sangat membuat otak rasanya fresh kembali 😄 …"
Desi Septiani,3,sebulan lalu,"I was really disappointed because this place had been on my wishlist for a long time. Unfortunately, I didn’t realize that I booked an open trip during the rainy season, so when it was time to see the sunrise, everything was covered in …"
Alip HT,5,sebulan lalu,Gunung nya sangat bagus.
Nur,5,sebulan lalu,View sangat bagus
Ilham Lana,5,sebulan lalu,sangat rekomend untuk para pecinta gunung untuk perjalanan bisa di ditempuh 3 lokasi malang pasuruan probolinggo
Cahya Aditya Permana,5,sebulan lalu,Masyaallah tabarakallah. Pemandangan indah bgt
Milan Radovic,5,sebulan lalu,Truly magical experience 🌋 …
meiry maulidya,5,sebulan lalu,Soooo happy to be here!!! Kesini bulan mei lalu dan Alhamdulillah dapet suasana yang cerah. Berangkat dari malang kota motoran sekitar jam set 2 an dan sampe d loket via pasuruan jam 3. Sempet ada kendala ban bocor waktu udah di sunrise …
Alea Fahrezi,5,sebulan lalu,Pemandangan nya mantap cuaca nya dingin banget 😁😁😁 …
Daina Asri Pradhita (Dhita),1,sebulan lalu,"Banyak sampah berserakan di mana-mana (salah satu bentuk penghinaan terbesar terhadap alam), Indonesia tidak pantas diberkati dengan keindahan Gunung Bromo dan kalderanya. shame on you all."
REX,5,sebulan lalu,"Perjalanan itu sangat melelahkan, tetapi pemandangannya benar-benar menakjubkan. Memang benar bahwa Anda jarang melihat pemandangan seperti itu jika cuaca buruk, tetapi kami diberkati dengan pemandangan Gunung Bromo yang sempurna. Kaki kami …"
Kiki Fatmawati,5,Diedit sebulan lalu,"Bromo mengajarkan yang indah seringkali butuh perjuangan.

Gatau harus ngetik apa intinya bromo cantikk bgttt😭❤❤⭐⭐ …"
Wiwin 088,5,sebulan lalu,"Masyaallah tiada kata lain selain indahhhhh...pake banget, perjuangan dinginnya terbayar dgn ciptaan Allah yang sungguh luar biasa, serangkaian tempat yang di datangi gak ada yg gak cantik 🤩🤩 …"
Dean Manu,5,sebulan lalu,"What a place.. Love to see the beautiful sunrise and see  best scane of vilcano mountains and the clouds ☁️. The traffic is little bit crowded but its ok, we don’t need an aircon 🤭 …"
Hoshi Anwar,4,sebulan lalu,"Bulan Oktober 2024, waktu itu tiket masuk masih 36k"
Bang Romadhon,5,sebulan lalu,Sangat melelehkan perjalanan menuju puncak tapi terbayar Lelehny begitu sampai puncak
M Arif R.C,5,sebulan lalu,Pas cerah
Adinda Javanese123,5,sebulan lalu,Cusss ke Bromo guys
Ali Farshad,5,sebulan lalu,"Ini bagus banget, views dari gunung ini sangat memukau, dan lembah-lembah disekitarnya bagus buat photo². Jangan lupa, kalau ada yang bilang Bromo subuh² itu dingin, emng dingin banget. Jadi kalau mau liat sunrise, tolong ya, tolong bawa …"
Rawadee Kumlert,5,sebulan lalu,"Nice atmosphere, enjoy with walking or horse ricing."
Ula's Holiday Apartments,5,sebulan lalu,"Brilliant landscape and scenery!  We arrived in Cemoro Lawang mid afternoon in the pouring rain which continued until about 1 AM.  At 3 AM we set out on foot to King Kong Hill and based upon the very few people we encountered, we were …"
audri ramadwitama,5,sebulan lalu,Ok 👌🏻👌🏻👌🏻 …
Edi Penjas,5,sebulan lalu,Pemandangan Alam yang Sangat Indah. bukti Kekuasaan Allah Yang Sangat Luar biasa. Awal tahun 2024 Lalu
Marsuki,5,sebulan lalu,Tak pernah bosan dengan bakso bromo
aditya putrihelpiani,5,sebulan lalu,"sukaaa ke bromo seruuu, mau kesana lagi tiap taun🤭 …"
dewa,5,sebulan lalu,Sangat indah
Manda Mendol,5,sebulan lalu,"Ses Mak ft di Instagram
Mandabgs"
Anisa Ae,5,sebulan lalu,Emang sebagus itu sih Bromo. Jadi ketagihan ke sini terus. ❤️
Alvi Karian,5,sebulan lalu,Indah
DIAN KURNIA A,5,sebulan lalu,Pgn kesana lg kpn ya..???
jamak sari,5,sebulan lalu,Bagus
tuwita alice,5,sebulan lalu,good
Sunanjar Sunanjar,5,sebulan lalu,Indahnya alam jawa timur
Martin Hao Chen,5,sebulan lalu,"Mt. Bromo is a true natural wonder. Words can’t fully describe its beauty. Standing at the viewpoint, waiting for the sunrise to reveal the landscape, just feels incredible. With Mt. Semeru rising in the background, the view is …"
Syahril Akbar,5,sebulan lalu,"Keren sih, tapi harus remedi gk dapat hasilnya"
Azzahrotul Jannah,5,sebulan lalu,Bagus
Satria Wisnu,5,2 bulan lalu,Sangat baik
Lucy Clark,5,2 bulan lalu,"If you are considering going to Mount Bromo without a jeep tour, definitely bring a motorbike that is above 125 cc. This will help you get across the sea of sand if you choose to ride instead of walk. I rented one in Surabaya and the drive …"
iNews Tuban id,5,2 bulan lalu,Dingin kabutnya tebal
Pazz,5,2 bulan lalu,😹🙏 …
y y,5,2 bulan lalu,Baguusss dan jdi tempat yg ngangeni
joko pitoyo,5,2 bulan lalu,"Cocok untuk anda yang suka traveling dialam terbuka, berjalan diantara kabut yang dingin, jurang terjal dan pengalaman menantang lainnya"
Nur arif Wicaksono,5,2 bulan lalu,dirumah kakek parsudi
Dyfa_Que,4,2 bulan lalu,Good place pastinya....
