name,rating,date,text
yuli,5,3 hari lalu,pantai nya indah dan bersih
Melanie Damha,5,seminggu lalu,"Salah satu pantai yg cukup tenang di Probolinggo karna cukup sepi padahal view dan fasilitasnya bagus loh, tempatnya luas, banyak permainan juga untuk anak anak, untuk harga tiket 20rb menurut saya sudah worth it👍🏻 …"
Manahilul Irfan,5,2 minggu lalu,"Datang kesini pukul 5 sore
Suasana nya menenangkan hati dan pikiran"
Saroh Mai,5,2 minggu lalu,"Bagus bersih sejuk banyak wahana, htm parkir ramah di kantong"
Clarce Nanulaitta,5,2 minggu lalu,"Tempatnya cakep sekali 😍, klo view sore untum sunset cakep …"
agustin golel,5,2 minggu lalu,"Jos gandos...
Makanan tidak mengecewakan ...."
Tile Tine,3,sebulan lalu,"plusnya :
parkir luas sekali
lokasi strategis pinggir jalan raya …"
Citra Nur'aini Agmar,1,sebulan lalu,"pemandangannya lumayan bagus tapi pegawainya sangat tidak mencerminkan attitude baik, saya bersama teman saya sedang foto foto dan kami terus terusan cat calling dengan suara yang keras dan beramai ramai sampai membuat saya dan teman saya risih, tolong untuk dievaluasi para pegawainya."
Agus Aja,5,sebulan lalu,karyawan nya ramah & baik  . tempat ny ok . permainan juga banyak .
Nur Fatir,5,sebulan lalu,Suasananya sangat sejuk dan indah apalagi ke pantainya liat ikan hiu tutul bagus banget
Agus Nu'man,5,Diedit sebulan lalu,seru sih.... tapi katanya sih lebih seru di bulan satu atau bulan tiga gitu ( musim hujan)  karena di waktu2 itu hiu tutulnya pada keluar
Laili Shuroh,5,sebulan lalu,I am very happy playing on this ride. ✨
Ika Nuraini,5,sebulan lalu,"seru"" wahananya🤩, pemandangannya bagus juga …"
arief rh,5,sebulan lalu,"Tiket masuk murah meriah, Pantainya bagus banget, bersih. tempatnya adem, anginnya sepoi2, toilet banyak, musholla juga ada, dan parkirnya luas. kalau lagi rame pengunjung, Banyak spot foto dan viewnya mantap... 👍👍👍 …"
Aulia 'Ilma,5,sebulan lalu,"Wisata dengan harga terjangkau, area yang bersih dan nyaman buat keluarga apalagi anak². Seruuuu banget menikmati suasana pantai dengan angin sepoi-sepoi. Staffnya ramah² semua, recommended 👍🏻 …"
zainal abidin,5,sebulan lalu,Bersantai dengan tiupan angin sepoi sepoi bersama keluarga
Kartika Arisadewi,5,sebulan lalu,"Pantai bersih, banyak permainan untuk anak2. Naik kereta dinosaurus, kolam renang, playground, dll. Main pasir tapi hati2 karena banyak kucing jadi ada pup di pasir pantainya."
Deva Namira,5,sebulan lalu,"Tiket masuk murah meriah, Pantainya bagus banget, bersih. pasir putih, anginnya sepoi2, toilet banyak, musholla juga ada, parkirnya luass bangett dan ada tempat camping juga. kalau lagi rame pengunjung, Banyak spot foto dan viewnya luar biasa."
Widi Pradana p,5,sebulan lalu,semakin komplit wahana permainannya
Natasya Dianaputri,5,sebulan lalu,baguss poll
Aisyah Elvia “Aisyah Elvia Putri” Putri,5,sebulan lalu,baguss tempat nyaa adem juga
pak blu,1,sebulan lalu,Tiket masuk terlalu mahal menurut saya 10 ribu sudah merakyat...jangan di bebankan di tiket masuk . Ini yang membuat pengunjung sepi.... Pengunjung rata kalangan menengah ke bawah
Adek Naura,5,sebulan lalu,"pengalaman yang seruu,pelayanan ramah, sangat worth it untuk pelajart"
Safira_ Maulidiah,5,sebulan lalu,"ramah dan menarik, menyenangkan, suasananya nyaman"
Yuli Atin,5,sebulan lalu,Wisata yang rekomended untuk dikunjungi karena memiliki spot-spot foto yang indah apalagi keindahan pantai yang dipadukan dengan keindahan sunset yang sangat menabjubkan untuk dilihat dan difoto
Yanuarifka Indri,5,sebulan lalu,Wisata pantai bentar skr sdh bnyak perubahan
Gracy Tulio,2,sebulan lalu,"Saya sarankan untuk tidak datang ke sini. Anda tidak bisa berenang dan harus membayar biaya masuk 50 ribu, yang lebih dari €2,50."
Ifa Lutfiyah,5,2 bulan lalu,Pantai nya bagus dan wahananya seru cocok untuk liburan
Misbahul Munir,5,2 bulan lalu,Pantai nya sangat indah dan bagus senang berlibur disana🥰 …
Yustika Dewi Melina,5,2 bulan lalu,Keren banget. Banyak wisata untuk anak-anak dan menyenangkan. Tempat wisata untuk keluarga
Bahrul ulum,5,2 bulan lalu,Seru
Dini Nur,5,2 bulan lalu,"Tempatnya semakin bagus dan wahananya semakin seru..
Smg ada harga tiket terusan yg murah"
Multazam Channel,5,2 bulan lalu,Mantab
Akbar Doni,5,2 bulan lalu,Jelek
Novi Cell,5,2 bulan lalu,"baguss,wahananya banyakk,areanya luass"
Kindi Nasya,5,2 bulan lalu,Rekomendasi untuk liburan keluarga
Ulan Rahma,5,2 bulan lalu,"Pantai paling kids friendly . HTM 20.000/org . . Parkir mobil 5.000
ada playground dan bberapa wahana . saran berkunjung agak siang ya biar tidak terlalu panas ."
Deni Putra,5,2 bulan lalu,Tempat wisata yg cocok buat keluarga hilling tmptnya luas dan bny macam spot wahana bermain
lita justitiapou,5,2 bulan lalu,"Objek Wisata Pantai Bentar, wahana rekreasi bersama Keluarga yg mengasyikkan.. Banyak permainan yg bisa dicoba dan kuliner yg bisa dinikmati sesuai selera..
Yuuukk ajak Keluarga bersantai di Pantai Bentar.."
Rahayu Ayu,4,2 bulan lalu,Wisata yang bagus dan estetik
Lisa Clorot,5,2 bulan lalu,pantai nya baguss
Alya you 123,5,2 bulan lalu,Indah dan bagus banget tempatnya
Alfiah Irfania,5,2 bulan lalu,tempatnya nyaman bagus apalagi suasana nyaman buat hati yang lagi retak😻 …
Muhammad Khoirul Anam,5,2 bulan lalu,Harga tiket yang relatif murah
Abdul Hamid2000aaa,5,2 bulan lalu,Bagus sekali
SMK Syeck,5,2 bulan lalu,Bagus sekali
hasan risqi1984,5,2 bulan lalu,"Sudah ada perubahan
Tempatnya sangat nyaman"
Zall R,5,2 bulan lalu,"Rekomendasi tempat wisata yang murah terjangkau praktis dekat dengan kota namun tetap bisa having fun bersama keluarga.
Pantai bentar berada di sebelah timur kota probolinggo atau tepatnya di utara …"
Deny Agung Mahendra,5,3 bulan lalu,Pantai bersih bagus dan terawat recomed untuk dituju
Elvano Agestian,5,3 bulan lalu,Tempat wisata pantai bentar...harga tiket terjangkau dan tempatnya baguss 🥰🥰banyak spot foto …
rahmad baitullah,5,3 bulan lalu,"ayo segera ke pantai bentarrr,,,dijamin gaa bosann👍 …"
Sudi Pratikno,5,3 bulan lalu,"Bagus dan banyak wahana. Kereta wisata masih glodak glodak tidak ada smooth smooth nya. Lalu beli es teh di resto bentar beach, sangat lama pesen es teh 3 saja hampir 1 jam. Es teh tidak begitu nikmat karena kebanyakan es batu."
Pur Wanti,5,3 bulan lalu,Klu ke malang jangan lupa mampir ke bakso lombok cak Umar kreweh
Arfino Alwafi,4,3 bulan lalu,Disana adem banyak pohon 🌲 makanya adem ditambah bisa berenang …
Diah Rusilowati,5,3 bulan lalu,"Wahananya banyak,restorannya enak dan murah,toilet bersih yang bikin betah pemandangan lautnya yg bagus."
Wira Laras,5,3 bulan lalu,"Lama gak pernah ke pantai bentar,liat di social media sudah bersolek tambah bagus langsung ke bentar eeh ternyata beneran sudah bersolek semqkin bagus banyak wahana baru ,kolam renang bersih dan banyak wahana permainan anak,toilet bersih dan ada resto nya juga."
Yada Arianto,5,3 bulan lalu,"lama tidak ke bentar sekalinya kesana rame wahananya beragam,buat anak2 dan juga kekuarga"
moch Gufron,5,3 bulan lalu,"Bagus,menarik,view pantai yg bagus dan wahana lengkap."
suka anime,5,3 bulan lalu,"Wahana nya menarik, parkiran luas dan toilet bersih cocok untuk rekreasi keluarga"
Fiki Andrian,5,3 bulan lalu,"Pantai rekomendad untuk didatangi ketika liburan bersama keluarga, fasilitasnya oke banget toiletnya bersih poll"
Rosa Amalinda,5,3 bulan lalu,Pengalaman berlibur bersama keluarga dan wahana ramah anak.pemandangan bagus view laut
Umi hanifa Hanifa123,5,4 bulan lalu,Pemandangan nya sangat indah 👍 …
Ahmmad Allvin,5,4 bulan lalu,Pemandangan nya sangat indah sekali ❤️
Rini Zaki,5,4 bulan lalu,Pemandangan pantai bentar sangat indah
Rohma Bendul,5,4 bulan lalu,pantai bentar sangat indah pemandangannya 🤩 …
zahrotul asiroh,5,4 bulan lalu,"Pantainya sejuk bngt, wisatanya seru dan murah meriah🤩😍 …"
ZahraAurani Islami,5,4 bulan lalu,sangat sangat indah
dwi eni,5,4 bulan lalu,"Lama gak ke bentar banyak perubahan terutama lebih bersih,toiletnya banyak,wahana menarik dan mushallah tersedia mukenah"
Nanang Kosim,5,4 bulan lalu,Sangat seru naik peluncuran
Tatatt Humility,5,4 bulan lalu,"Tempat nyaman, sejuk,,, masakan enak bintang 5++"
Ming Yean,5,4 bulan lalu,Jembatannya sudah lebih bagus
Surya Edi,5,4 bulan lalu,Pantai bagus dan angin sejuk
RESTU BUMI,5,4 bulan lalu,Es kelapa nya mantap.. suasana nya juga ok..
Leni Tamara,5,Diedit 4 bulan lalu,Pantai bentar semakin bagus 😍😍 …
Bagas Hendrianto,5,4 bulan lalu,"Pantainya sangat bagus dan bersih,pengawasnya juga sangat ramah"
Inun aja deh,5,4 bulan lalu,Kerennnn banyak spot fotonya
Ocha Rosa,5,4 bulan lalu,Cucok
Mastura Alaydrus,5,4 bulan lalu,"sekarang bentar udah banyak banget perubahannya yaa dan udah makin bagus juga udah makin banyak wahananya dan juga pelayanannya ramah"" intinya pantai bentar sekarang kerenn"
Saulina Efatania,5,4 bulan lalu,"Tempatnya nyaman, bersih, ada taman bermain cocok untuk liburan singkat dengan keluarga"
Lidia Nur Khomariya,5,4 bulan lalu,Pemandangan bagus
Din Dorezz,5,4 bulan lalu,Pantai benar nyaman karyawannya murah senyum..dan banyak wahana yang Laen nyaman pokoknya dah
Lambang Tyas,5,4 bulan lalu,"mampir kesini makan di Kampoeng Seafood masakannya enak, sambil nikmati angin pantai yg sepoi sepoi🫶🏻 …"
Om Pits,5,4 bulan lalu,"Tempatnya bersih, enak buat nongkrong, ada live music nya..

Menu makanan mantab di kampoeng seafood"
Yuda Pratama,5,4 bulan lalu,pantai nya bersih end bagus
Gunawan agus setiadi,5,4 bulan lalu,Sangat memuaskan sebagai rekomendasi wisata pada hari libur
Fakhri Ahmadsyauqi,5,4 bulan lalu,hiunya lucu
Alif Maulana,5,5 bulan lalu,pemandangan indah
Happy Tour Surabaya,3,5 bulan lalu,Seperti pada umumnya hawa ditandai panas. Wahananya masih sedikit.
Heru Purwanto,5,5 bulan lalu,Bagus.... banyak wahana permainan dan kolam renang anak
Febrica Nuril,5,5 bulan lalu,pelayanan ramah dan tempat sangat cantikk
Andika Pujianto,5,5 bulan lalu,Pantai wisata yg bersih dan nyaman. Harga terjangkau dan palayanannya ramah.
Karlinda Novita,5,5 bulan lalu,Mampir sebentar untuk refreshing
lisa aryani,5,5 bulan lalu,Sangat seru dan banyak spot foto foto yg bagus tapi rute jalan kurang jauh tapi okeyy bagus bolehlhhh
Rinay Melody,1,5 bulan lalu,Kotor bgt
lenni sartika,5,5 bulan lalu,"Hasil foto cakep disana
Bentar yang lama.. Jadi kepingin ke pantai bentar yg skrg. Santorini nya probolinggo"
Hanif Hilmi Ali,5,5 bulan lalu,"pantainya bersih dan indah, parkirnya juga luas. crewnya ramah-ramah. recomended buat main keluarga dan buat bersantai."
Citra Ayu,5,5 bulan lalu,"tempatnya bersih, makanannya enak dan relevan murah"
DWI SANTOS,5,5 bulan lalu,Pelayanan terbaik dengan tempat spot foto foto aesthetic
Naili Risqi,5,5 bulan lalu,Tempat nya indah dan bagus
Fazafaresta Faresta,5,5 bulan lalu,"Pemandangan lebih estetix, luas buat acara keluarga."
Lailatul Karimah,5,5 bulan lalu,"Seru, boleh di rekomendasi bagi pengunjung untuk mencoba di bentar beac"
rahmanda riko,5,5 bulan lalu,Sangat rekomended untuk liburan keluarga 🤗 …
riswan riswantoro,5,5 bulan lalu,"Pemandangan sangat bagus,banyak tempat permainannya juga"
Husni Mubassyir,5,5 bulan lalu,Lengkap sudah.. Di wisata pantai bentar ada kampung seafod.. Habis berenang bermain. Makan². Masakan jg enak. Pantainya adem
Dwi Intan Cahya,5,5 bulan lalu,"Pemandangan dan kenyaman pengunjung, permainan anak sangat menyenangkan dan betah"
Rudi Ihwan,5,5 bulan lalu,"Pantai yg strategis dari jalan raya langsung masuk..
Karywanya ramah..istrht the best.."
32. ZASKIA SHARA F.C,4,6 bulan lalu,"Sepii, sayang banget kalo tetep sepi kayak gini padahal fasilitasnya bagus, menurutku ini ada yg perlu diperhatikan, kalo perluu pihak pengelola mungkin bisa ngadain event event interaktif kayak misal valentine day adain konser dngn guest …"
Muhammad Imadudin,5,6 bulan lalu,"Pemandangannya bagus banget, hawanya adem, anginnya kenceng, banyak wahana anaknya. Ada kolam anak, kereta, flying fox, bebek, ayunan, sewa mobil, perosotan. Biaya masuk cuma 20ribu untuk dewasa dan anak di atas usia 5 tahun. Usia di bawah 5 tahun gratis ya gak bayar. Ayo ke Bentar Beach 😁 …"
Yanuar Rizky,2,7 bulan lalu,Kolam dan playgorund gratis tapi sayang kolam renang kotor tidak dirawat
Naning Pujo,5,7 bulan lalu,"kesini bareng keluarga asik banget dan banyak wahana nya, cocok untuk liburan bareng disini."
ratu amelia,5,7 bulan lalu,"cocok banget untuk wisata bareng keluarga, pantainya cakep banget dan indah. gabakal nyesel kalo kesini, seru banget!"
Muhammadiqbal Maulana,5,7 bulan lalu,Sangat menyenangkan dan aman
Ratna Hidayati,5,7 bulan lalu,"Bertahun-tahun melintas di sini tapi nggak pernah mampir. Tahun ini mampir, eh ternyata bagus. Ada beragam wahana. Bisa makan siang di pinggir laut."
Dedy krisna,4,7 bulan lalu,"Lumayan bersih ...
Lumayan buat liburan keluarga...
Lumayan menghibur...."
Ilham Mutovi,2,7 bulan lalu,"Kalo tempatnya bagus , pelayanan loket juga bagus ramah. Cuma restonya sangat minus,mix seafod ada lalatnya es teh ada putih kaya apa gitu. Telur ada bulunya. Pihak pelayan resto yang cowok2 gak konfirmasi kalo per menu ada nasinya, sy JD pesen nasi  banyak banget. Minus banget kebersihan restonya."
SANDIK MISDIANTORO,4,8 bulan lalu,"Pengunjung maupun penyewaan tempat hiburan panggung  belum sadar buang sampah. Penyelenggara juga demikian, klo ada even mbok ditambahi tempat sampahnya. Agar tidak berserakan."
H choliq,5,8 bulan lalu,Tempatnya sejuk dan estetik apalagi wahana keranjang sultan yang terbentang di laut pantai bentar itu sangat seru dan menyenangkan . The bentar beach is te best
Andre Official,1,8 bulan lalu,"Jelek tidak memuaskan, ini bukan pantai pasir yg alami, hanya tempat nongkrong di pinggir laut, sepi karena tiket mahal.Yg jual makanan hanya 1, gak ada yg jual ikan bakar yg alami, adanya sudah hidangan yg di masak salah satu kafe."
murry stiono,5,8 bulan lalu,Masih dalam pembangunan
Husni Mubarok,5,8 bulan lalu,Baru kali ini menemukan wisata yang bagus di Probolinggo 🖤yuk liburan ke pantai bentar …
Rayhan_ 27,5,8 bulan lalu,Amazing service and super friendly artists. Felt really welcome from the moment I walked in!
Safina Aulia Firdausi,5,8 bulan lalu,"Pantai bentar skr bagus👍👍👍
Bisa jadi opsi liburan disaat suntuk 👍 …"
mey chan,5,8 bulan lalu,Banyak perubahan dari terakhir kesini sudah lupa. Bagus untuk yg sekarang.
Nur sholeh 3217,4,9 bulan lalu,Bagus tiket 20 rb
Bang Dzul,5,9 bulan lalu,"Lumayan Cukup bagus buat anak2, cuma wahana bayar sendiri tidak include tiket masuk"
Abdillah Adam,5,9 bulan lalu,"Datang ke sini pas libur lebaran,
Jadi keliatan rame banyak pengunjung,
HTM nya relative terjangkau, …"
Sitta Zafa,5,11 bulan lalu,Nice… tempat wisata keluarga..
Muhammad Fikri,5,11 bulan lalu,Pantai bentar keren banget
Ike Kusmayanti,5,11 bulan lalu,"Pantai Bentar sangat bagus
Dan tidak mengecewakan"
24. Muhammad Nuril Hidayah,5,11 bulan lalu,"Wisata pantai Bentar memang terbaik
View nya bagus banget dan wahana nya seru seru"
Mas Yudi,5,11 bulan lalu,Serunya liburan di pantai bentar tempat nyaman dan pas banget buat nyantai loh jangan lupa hiling hanya ke pantai bentar gaes🥳 …
rahmad hidayat,5,11 bulan lalu,"Tempatnya bagus, banyak tambahan wahananya. Kebersihan tetap terjaga yang perlu dibenahi perahu wisatanya"
Vinna Gullible,5,11 bulan lalu,wisata nya sudh d upgrade dulu masih mudanya sering main kesini. sekrang udh tanba bagus dn nyaman juga bawa toodler
Gracya Tasya Adillavega,5,11 bulan lalu,"seru bgt disini, apalagi lihat hiu tutulnya. jarang banget aku nemuin wisata yang ada hiu tutulnyaa, bahkan kayanya disini satu2nya wisata di probolinggo yang mempunyai wahana seseru ituu"
Ade jayanta,5,11 bulan lalu,Tempatnya tambah baguss poll bnyak wahana yg menarik cocok buat foto2 estetikkk
Azam Gallery,5,11 bulan lalu,"Pantai Bentar... Pantai yang terletak di jalur Pantura probolinggo.. tempatnya strategis, setelah keluar dari pintu tol Gending belok kiri kurang lebih 3 km.. pantai yang berlatar hutan bakau dan dermaga kayu …"
Colby Sorensen,1,11 bulan lalu,"Rip off for foreign tourists. 50,000k entry fee for what??? There’s nothing there and I’m not paying that to walk on a pier. And 1.2m for a whale shark 1 hour boat ride where you’re not necessarily likely to find them in the brown murky …"
Fajar Sd3,5,11 bulan lalu,"Baru kali ini liat hiu tutul langsung di the bentar beach.
Ticket 20rb dgn fasilitas yg sekrng menurut saya oke siii"
21. Lauhil Mahfud,5,11 bulan lalu,"Pantai bentar sekrng punya wajah baru. Makin rame
Hiu tutulnya seruu"
Sofi Hasanah,5,11 bulan lalu,"Wajah baru the bentar beach sekarang semakin cantik yahh😍,banyak spot²buat foto ala²selebgram, dan cocok banget buat para pecinta sunset nih bisa banget dateng ke the bentar beach buat nikmatin pantai sambil liat sunset yukk buruan Dateng ke the bentar beach …"
Alinda Afitasari,5,11 bulan lalu,"Hanya dengan tiket 20rb sudah bisa menikmati pantai The Bentar Beach, pantainya sangat bersih jadi cocok buat bersantai sambil bersejuk disini"
Mega dwi Wahyuni,4,11 bulan lalu,"Bagus,, sudah mulai berkembang... Cuma tiket masuknya lumayanlah yaa....
Mgkn bisa diturunin🤭 …"
Nida Faizah,5,11 bulan lalu,"Pantainya bagus, pemandangannya juga cantik banyak spot foto, tiket masuknya murah bgttt jadi recomended buat liburan sama keluarga"
Supardi,5,11 bulan lalu,"Oke banget kalau mau jalan jalan bareng keluarga disini, sekarang juga ada hiu tutulnya bisa dilihat dengan menggunakan perahu"
Nur Shinda Damayanti,5,11 bulan lalu,"Pantai bentar sekarang lebih upgrade loh, kawasannya sangat bersih dan pelayanannya sangat baiiikk. Yuk agendakan bersama dengan orang terdekat!!"
Lyan ID,5,11 bulan lalu,"Banyak hal menarik dalam wisata Pantai Bentar ini
Beragam wahana juga bisa dinikmati untuk semua kalangan
Harga terjangkau dan semakin banyak pembaharuan beberapa fasilitas yang tersedia …"
Dzakiy _313,5,11 bulan lalu,"keren tempat e cck family dan pasangan lihat suasana sore , sejuk juga"
Sri Wahyu,5,11 bulan lalu,Pemandanganx Sangat Bagus Aku Suka😇 …
BOYO BAJOL,5,11 bulan lalu,Menjadi tempat favorit di probolinggo
DWI PRISTIYANTI,5,11 bulan lalu,Wisata akhir pekan yg rekomen utk keluarga
araya,5,setahun lalu,"HTM 20rb, naik kapal untuk liat hiu paus 50rb minimal 5 orang, ada lebih dari 5 ekor"
Fajar Taxiasia,3,setahun lalu,Apakah ke sini boleh bawa pancing..??
Nuzulia MJ,5,setahun lalu,"Tempatnya bagus, ada jembatan gantung juga, tapi tiketnya lumayan mahal. Ada persewaan mobil untuk anak2 juga, ada ayunan, perusutan, dll, kolam renang juga ada. Musholla dan toilet ada, cafe dan tempat makan juga tersedia. Tenpat parkir luas. Kemarin saya kesini tiketnya 20rbu/orang minimal usia 5 tahun."
Abdur Rohim Mawardi,5,setahun lalu,"Hiu di perairan Pantai Bentar beneran gede banget, ada yang panjangnya sampe 10 meter. Jumlahnya belasan ekor dan jinak. Seumur² belum pernah liat hiu, pas datang ke Bentar malah bisa dekat banget sama hiunya. …"
Dyah Maulidya Pratiwi,5,setahun lalu,Alhamdulillah hiu tutul 22 Desember tahun 2024 udah pada datang lokasinya ada di wisata the bentar beach ya...🥰🥰🥰 …
Muhamad Khoirul Anwar,4,Diedit setahun lalu,Pantainya indah
Verry Libre Lazuardi,5,setahun lalu,"Pantai Bentar terletak di Desa Curahsawo, Kecamatan Gending, Kabupaten Probolinggo, Jawa timur. Sangat cocok mewarnai kebersamaan keluarga anda karena ditempat wisata ini tiket masuknya hanya 20,000,- /org (Usia 5 tahun kebawah gratis), …"
Digna Nirwana,5,setahun lalu,"Sekarang sudah membaik.
Hati-hati jika kendaraan ditambahkan."
chanyeol baekhyun (Dtsy),5,setahun lalu,"Sekarang sudah banyak pilihan destinasinya, ada kolam remang, flying fox, perahu bebek, kereta dll.
Sayangnya di dekat kolam renang tempat gantinya agak jauh, jadi anak² banyak yg …"
Nunung Ariadillah,4,setahun lalu,"Bagus banyak tempat bermain untuk anak, Dermaga2 bagus utk spot foto (disarankan penggantian kayu2 yang lapuk agar aman utk wisatawan), ada panggung hiburan utk Music atau acara2 lainnya, parkiran luas, apalagi baru renovasi, ada …"
sawi sawi,5,setahun lalu,Sangat cocok buat rekreasi bagus tenpatxa
Titis Putri Pamungkas,5,setahun lalu,"Tempatnya strategis, cocok buat liburan keluarga. Wajib ke sini 🙌🏻 …"
Tika Afif,5,setahun lalu,Bagus skr udh indah bersih udh ada reastonya jg d dlm jd udh gk bingung cari makan ..ada kampoeng seafood 🥰 …
Foni Puspita,5,setahun lalu,pantai yang bagus
Yanuar Hartadimata,5,setahun lalu,Sangat terbaik
dyand rahaiiu,5,setahun lalu,"Cocok untuk segala acara..
Bisa buat have fun bareng bocil karena kids friendly.. bisa juga buat arisan mamak"" karena tempatnya nyaman☺️"
Halimatus Sa'diyah,5,setahun lalu,Cocok buat santai bersama keluarga
Pracelia Yonanda,5,setahun lalu,Menarik sekali!!!
Dwi Damayanti_D3 TBD,5,setahun lalu,Good ambience
Najmatuz Zahiroh,3,setahun lalu,"Kebersihan kurang,kolam renang keruh🥴 …"
Muhammad Toher,5,setahun lalu,Bagus
mochtar effendi,5,setahun lalu,"Alhamdulillah perkembangan P. Bentar dr masa k masa mengalami peningkatan apalagi berada d tempat yg strategis.
Semoga Bentar senantiasa berinovasi dg wahana2 kekinian"
dewi soviatus zahro,5,setahun lalu,wisata Probolinggo yg sangat menarik dan pantai baguss 💗 …
Lina Rusandy,5,setahun lalu,"Makin hari makin buagus aja nich pantai bentar🥳
Love it 🥰😍 …"
akhmad fadil,3,setahun lalu,"musholla kurang terawat.
kolam renang kotor dan ember besar tidak fungsi
tidak semua tempat berjualan makan buka... …"
laylifa 82,5,setahun lalu,Bentar beach recommended banget buat liburan ajak keluarga ataupun teman 👍👍👍 …
Miskatun Tun,5,setahun lalu,Seru banget liburan kesini cocok buat yg suka hiling
Maz Andre,5,setahun lalu,Bentar is the best 👍 …
Havi Korniawan,4,setahun lalu,Wisata pantai yang indah . Tapi banyak kayu jembatan yang mulai lapuk dan harus di ganti . Serta kebersihan yang harus di tingkatkan lagi ... Saya yakin jika tempat wisata ini dikelola dan di rawat dengan baik akan menjadi destinasi kunjungan di probolinggo.karena view sunset nya yang bagus
triono sakti,4,setahun lalu,Hari senin rencana mau renang bersama keluarga dan anak2 kecil banyak.. Tapi ?
Abid Eka,4,setahun lalu,Sdh bersih sayang spot fotonya sedikit
