name,rating,date,text
Risna,3,4 minggu lalu,"Sayang destinasi wisata sebagus ini tidak di kelola dengan baik.Banyak sampah dmn²,ada orang yg asik mandi meski banyak org🤭,jln ke pantai juga dr tumpukan sampah.Bila di kelola dgn baik,pasti akan banyak wisatawan yg berkunjung.Waktu …"
nuris 465,4,sebulan lalu,lumayan
arrya catur,5,sebulan lalu,Deras langsung ke laut.
"lalaa, Arbeliz",5,Diedit sebulan lalu,agak keruh yaa sekarang airnya
Firman Kustiyawan,5,sebulan lalu,Natural bingitzzzzz
toko bab makkah,5,sebulan lalu,Tempat sejuk dan tenang
Gaz Illo,5,2 bulan lalu,baguss banget
Ali Zenoemar,5,3 bulan lalu,"Pengalaman yg menyenangkan, tempat wisata yg tergolong sepi dan menenangkan, keunikan disini terletak pada air terjunnya yg surprisingly air tawar, jadi kita bisa mandi² air tawar dgn view lautan. …"
Miftahul Jannah,5,3 bulan lalu,Wisata murah tp masyAllah😍😍😍 …
Qaharu Aulia,5,Diedit 3 bulan lalu,"bagus tempatnya. apalagi kalo sore. mungkin kalo sampah yg numpuk/terdampar dibersihkan, bakal lebih cantik lg👍 …"
Fitriya Ramadhani,5,3 bulan lalu,"Air terjunnya asri~ hanya saja banyak sampah. Saya harap pengunjung lebih menjaga wisata alam yang ada~ jangan buang sampah sembarangan yaa~ Oiya, di karcis tertulis sepeda motor 5k. Tapi aku diminta 15k dengan dalih kalau masuk ke air …"
Theloving You,5,3 bulan lalu,Enak buat refreshing
Mochamad Sapuan,5,4 bulan lalu,Seru bagus pas pagi g panas
budi susilo,5,5 bulan lalu,"Unik, air terjun di pinggir pantai. Boleh buat ngadem."
Ibnu Hajjar,5,5 bulan lalu,Beautiful View
Nur sholeh 3217,5,6 bulan lalu,"Salah satu air terjun terindah. Air terjun yang langsung ke pantai, dengan warna air yang jernih dan suasana yang masih sepi dan alami. Menempuh jarak sekitar 100 kilo meter dari sidoarjo, tapi terbayar dengan keindahan air terjun. …"
Riky saputra,5,6 bulan lalu,Asik
MUFTI SABILI,5,6 bulan lalu,Bangus banget tapi sayang kalau udh naik ke atas dan turun lagi harus bayar lagi
Onez,5,Diedit 7 bulan lalu,Lokasi ini cocok bangrt buat berlibur bagi keluarga dan spot yang bagus untuk mengabadikan momen senja...
Catur Surya Irawan,5,7 bulan lalu,"ada banyak cerita dan informasi, bahwa air terjun langsung bermuara di laut, dan ini adalah salah satunya. …"
Hdk,1,7 bulan lalu,"Dulu wkt k sini beberapa th yg lalu bagus banget,pemandangannya trs bisa jg foto turun d bebatuan dkt air terjun tp skg knp kok kotor skli byk sampah menumpuk jd g mood trs malu jg sdh merecomendasikn k teman2"
Aswin Nobby,5,7 bulan lalu,"Toroan Waterfall in Ketapang District, Sampang Regency, Madura Island, East Java Province. Toroan Waterfall becomes a tourist attraction together with Toroan Beach, in which the water sourced from a river that originates on the mountainous …"
restu antasena,4,7 bulan lalu,"Tempat yang keren, cocok buat kalian yang mau healing 😁👍 …"
Mecz Novel,5,7 bulan lalu,Wow!
Vikri Muhaimin,5,7 bulan lalu,Sayang sekali banyak sampahnya
IRA SETIABUDI,5,8 bulan lalu,Air terjun yg alami  Bagus pemandangannya
Ida Ch,5,8 bulan lalu,"Keren
Akses ke lokasi mudah
Biaya masuk murah …"
Firsty Irlia,4,8 bulan lalu,Sangat cocok untuk yang ingin melihat pesona alam
Fachreza YF,5,8 bulan lalu,Harga 15rb (tiket masuk dan parkir) worth it sekali. Disini masih sepi jadi akan sangat nyaman nikmatin pemandangan
Tahapan ID,5,9 bulan lalu,Tiket murah cuma 5 ribu perorang dan parkir mobil 10 ribu. Ada tempat makan juga dengan berbagai pilihan ikan.
SYAFI'I,5,9 bulan lalu,"AIR TERJUN TOROAN

wisata alam penuh keindahan …"
D'signer Nisa,4,10 bulan lalu,"Tempat dan viewnya sangat memanjakan mata, rekomended banget, sayangnya tidak ada perbaikan atau pemeliharaan padahal ada karcis masuk dan uang parkir yang lumayan pricely"
nabil koceng,4,10 bulan lalu,Sejuk banget kalo langsung Deket sama air terjunnya
Wahyu Ika Wulandari,5,10 bulan lalu,"Air terjunnya bagus. Toilet juga ada. Lumayan bersih.
Kalo lihat dari atas kayak g mood gitu tapi pas turun, cakep banget woyyyy...
Keren sih. …"
Kristian Wibisono,4,11 bulan lalu,Perlu di tata ulang tempat wusata inj
Sri Astuti Astuti,5,setahun lalu,"Setelah dari makam Syaikona Kholil Bangkalan, sore mampir ke pantai Toroan Kab. Sampang."
Syakir Ali,3,Diedit setahun lalu,"Kecewa dengan pemandangannya, mungkin karena saya datang di siang hari.

Mungkin akan lebih bagus pemandangannya ketika sunset atau sunrise"
Bagus Rochadi,4,setahun lalu,"Air terjun ini sebenere bagus, lokasi tidak jauh dari tempat parkir. Sayang kurang terawat, banyak sampah di bawah. Bahkan banyak pula sampah berbentuk botol kaca yang tentunya membahayakan. …"
SIDIK SUHENDRA,5,setahun lalu,mudah di cari
Cak Yasin,4,Diedit setahun lalu,"Top, pertama lihat di google map, smpe sana sprti mimpi kbtuln suami asli Ketapang , klo pas mudik klo smpt psti mau dtng lagi, PNGN si ajak klrg dri BMS Jateng, TPI jauh bngt,seleraku bngt air terjun lngsung ke lautan❤️, matursakalangkong❤️👍khusus buat suami tercinta ❤️ …"
Munasa,5,setahun lalu,"Air Terjun yg cukup bagus. Aksesnya untuk mobil sangat mudah karena tepi jalan raya lintas utara madura. Tiket masuk 5 ribu, parkir mobim 10 ribu, ada musholla dan toilet bersih. Hati2 saat turun mwnuju air terjun dan dekat dengan air terjunnya."
Wahyudil Ghoffar,5,setahun lalu,Wisata pantai air terjun satu-satunya yang ada di pulau Madura. Rekomendasi banget.
Suwito madu,4,setahun lalu,Pinggir jln raya seblh rmh makan dg view laut jawa
Mahrus Ali,5,Diedit setahun lalu,Pemandangannya indah pelayanannya baik
Hidayat M,5,setahun lalu,lumayann htm 5k bisa dapet view secakep ini
Diyan Official,5,setahun lalu,"Tetap hati-hati karena air terjun menyatu dengan laut,terutama anak-anak."
Dwiretno Yuliarti,5,setahun lalu,"Unik sekali, air terjun langsung ke laut. Lokasinya juga tak terduga, pantai utara Madura. Baru pertama kali ke Madura, langsung bertemu dengan obyek2 wisata yg cakep2, jalan pantura Madura juga mulus, sepi, tenang, nyaman sekali buat nyetir."
Masobihul Abror,5,setahun lalu,"Mantab, saya kayaknya harus ksana lagi. Luar biasa."
Fitria Jufry,5,setahun lalu,Gakseru
Achmad Zidni Irfani (Ifan),5,setahun lalu,Tempat cocok buat rekreasi
Zainal Abidin,4,setahun lalu,"Tmpt x indah bgus untuk foto""biaya masuk lumayan murah d.kantong👍😀 …"
syaikhoni wahab,5,setahun lalu,"Mantab.. air terjun dipesisir pantai utara madura..

Recomend.."
Djoko Kuntjoro,5,setahun lalu,Nice place..
Ahmadi,5,setahun lalu,Alamat yang dimasukkan salah.
Cahaya Bintang,5,setahun lalu,Bagus
Setianita Nur,5,setahun lalu,Keren pake bangeett
Al Ghozali,5,setahun lalu,"Tenang, nyaman, bersih"
Arni Arni,5,setahun lalu,bersih sejuk pemandangan nya indah
Ach.sirron. Ulwan,5,setahun lalu,Tempatnya bagus tidak kotor
Grow With Tania,5,setahun lalu,"Tanggal 18 Agustus 2024 sekitar jam 2 sore saya kesana dengan teman saya selepas dari Sumenep, sekalian pulang lewat jalur Utara. Ini tempat yang sangat dianjurkan untuk anda kunjungi!!! …"
Marmut Amp,4,setahun lalu,Wisata kelas menengah ke bawah
Muhammad Zulhan Akbar,5,setahun lalu,"Lokasi pinggir jalan, akses menuju air terjun cukup mudah dan tiket terjangkau"
Renaldy Brada,5,setahun lalu,"Hidden gem di madura. Cukup jarang terdapat air terjun yang langsung turun ke laut, infonya airnya masih tawar, karena jarak air sumbernya dekat. Hari sabtu siang kesana dan masih sepi. HTM kalau tidak salah 5 ribu parkir motor, dan 5 ribu …"
Hafiluddin,5,setahun lalu,"Berapa hari lalu aku pergi kesini
Tempatnya masih nyaman untuk berburu photo"
ragaalvito ganteng,1,setahun lalu,"Jangan datang kesini, saya waktu itu pergi ke air terjun toroan masuk bayar pulang juga bayar, kakean pungli! Wisata ga jelas, banyak sampah, banyak beling sama sekali ga safety, mending ke pantai lon malangnya!"
Abdul Riadi,4,setahun lalu,Tempat e cukup bagus dekat dengan pantai
Sukari Yanto,4,setahun lalu,"Air terjun pinggor laut, tidak terlalu tinggi, perlu dikembangkan agar lebih menarik.."
Ivon Ayunatasari,5,setahun lalu,"air terjunnya baguss, tapi jalan menuju air terjunnya tuh kyk kurang diurus masih ada beberapa sampah di tangganya gitu"
Gilang Aja,5,setahun lalu,"Bagus air terjunya, In Syaa Allah kapan"" berkunjung kembali"
silviana gunawan,4,setahun lalu,"Pemandangan bagus, tapi pantai nya kotor, banyak sampah plastik dan popok bayi, lebih baik jika dikelola dan dibersihkan lebih lanjut"
Yunus Yusakh,5,setahun lalu,Tempat nya bagus.. Hanya saja saya kurang tau apakah bisa mandi disini..
winodianto dodi,4,setahun lalu,Wisata pantai yang memiliki air terjun alami..
Mudni Mustofa,3,setahun lalu,Lumayan lah
Widodo deny sigit,3,setahun lalu,Unik air terjunnya langsung menuju ke laut
Ara Chanel,5,setahun lalu,"Baguuuussss....... Masih blm banyak dijangkau orang.. salah satu tempat wisata di daerah Sampang madura.. pemandangan yg cantik.. tapi jangan coba untuk renang yaaa..... Diatas ada tempat makan dan ada karaokenya, lupa belum difoto..."
RUSTAM Effendi,5,setahun lalu,Siap berusaha
Rudy Saja,5,setahun lalu,"Salah satu air terjun terbaik di sampang madura, air langsung jatuh ke arah laut dan kalau sampai sana sore saat musim panas bisa liat sunset juga...
Instagram 👉🏻 rudy_82 …"
muhammad luqman triaji,4,setahun lalu,"tempat bagus, hanya problem sampah"
mery andayani,5,setahun lalu,"Tiket murah. Tempat bersih. Langsng hadap ke laut lepas.
Wajib dikunjungi kalau ada yang ke madura"
ABONK219,4,setahun lalu,indah
Imam Sukamto,5,Diedit setahun lalu,"Saya suka pada pemandangan background latar belakang sekitar AIR TERJUNNYA, selain itu juga ada tempat duduk bersantai sambil minum kopi dan lainnya. Untuk pengunjungnya cukup ramai."
Amin Amin,5,setahun lalu,Sayang waktu kesini air nya keruh.
Steven Adiy Jr,5,setahun lalu,bagus estetik
Wa Dud,5,setahun lalu,Paass hari santri
fenny hairani,5,setahun lalu,"Tiket 5rb aja per org, parkir 10rb.
Air terjun bagus, dtg pas bln puasa suepi pol."
Yoga Cavalera,4,setahun lalu,Lumayan menarik. Wisata yg alam  pemandangan laut dan air terjun.
Masamar Channel,5,setahun lalu,Pejuang Rupiah
Faiqur 101,5,setahun lalu,Seru indah
P Mancing,4,setahun lalu,"tempatnya bagus,sayang dulu 2006 aku belum ada hp android,jadi gak ada kenangan ft2 di sini"
Riski Susanti,5,setahun lalu,Keren...
Rohman 69,5,2 tahun lalu,Bagus banget tambalannyaa
Gouw Rinto,5,2 tahun lalu,"Unik, air sari sungai terjun ke laut"
Milennial adventure,5,2 tahun lalu,"Good Waterfall, short trekking and good for chillin"
Shelvia SùFén,3,2 tahun lalu,"Kebetulan sedang banjir jadi air sangat keruh, tidak bisa turun ke pantai jg cuma bisa liat dari atas."
Alfin Alfin,5,2 tahun lalu,Air terjun toroan the best pokoknya.lengkap SMA pemandangan laut dan karang nya jga.pling bagus kalo main sore hari
Zuhal Murniati,3,2 tahun lalu,"Kurang safety, pas musim hujan kalau mau turun ke bawah batunya licin dan tidak ada pegangannya"
Julian Rahmadi Rasdianto,5,2 tahun lalu,View pemandangannya bagus & langsung menghadap ke pantai...
Hamdan Imam Maulana,5,2 tahun lalu,Mantap
Vero Yakiban,5,2 tahun lalu,"Keindahan alam yang blm diketahui banyak orang recomend  tempat bagus , bersih toilet dan tempat sholat bersih"
Indana Zulfa,5,2 tahun lalu,"Bagus, relatif bagi yg biasanya berkunjung ke pantai selatan. Yg paling menonjol adalah air terjunnya. Untuk pantai tidak terlalu. …"
Optimus Lubis,1,2 tahun lalu,"Sangat tidak worth it.
1. PARKIR 10 RIBU ngalah2in mal
2. area air terjun banyak sampah …"
Mat Hori,1,2 tahun lalu,"pemandangannya bagus
cocok buat liburan"
احمد ابوغيث,5,2 tahun lalu,"Wah, patut dikunjungi."
Nardi Yanto,5,2 tahun lalu,"Lokasinya mudah ditemukan krn 0 Km dari jalan raya utama. Ada tempat makan yg langsung menghadap laut. Tiketnya cm 5rb/orang,parkir motor 2rb,mobil 5rb.
Pas kebetulan dsna hari biasa,semuanya gratis krn ga ada yg jaga. Banyak yg mancing juga di sekitar pantainya. Buat singgah melepas lelah cocok banget deh."
Anis L N,5,2 tahun lalu,Bagus dan terlihat bersih serta alami
Nusantara,5,2 tahun lalu,Pemandangan yang lumayan indah
Raden Kece,5,2 tahun lalu,Jam kantor
