name,rating,date,text
Pit 123olhenk,5,9 bulan lalu,Sangat akurat sekali
Fajar NP,3,setahun lalu,Sebenarnya viewnya bagus tapi sampai puncak sepi ... tidak ada aktivitas disana. Bangunan sudah tidak terawat. Mungkin sudah tidak aktif dan saya tidak tahu. Jalan mendekati lokasi cukup sempit.
makmun abrori,4,setahun lalu,Alhamdulillah keberadaan tempat wisata ini yang berada di pedesaan mulai awal lounching selalu berkembang dan juga bermanfaat juga bagi anak didik kami dengan fasilitas olahraganya cuma masih kurang wahana olahraga untuk anak² usia dini …
Lailatul Fitriani,5,setahun lalu,"Cukup bagus untuk dijadikan tempat camping, cuma saja untuk fasilitas kamar mandinya masih belum oke. Tiketnya terjangkau banget sih, dan spot fotonya tidak terlalu tinggi jadi aman, banyak gasebo juga untuk berteduh. Ada pendoponya untuk membuat kegiatan, ada lapanganya juga. Mantab deh pkoknya. Bisa ditingkatkan lagi"
Rohma Wati,5,setahun lalu,"Bagus banget tempat nya, tepat di belakang rumah saudara ku di madura..."
M Syarif Hidayatullah,5,setahun lalu,Iya sangat bagus dan pemandangannya indah sekali
inni qonitatilah,3,setahun lalu,"Saya dari banyuwangi.Pertama kali ke bukit kehi. View nya bagus hanya saja kamar mandi dan kolamnya kurang terawat..
Masukan buat pengelolanya saja.. terimakasih... Selebihnya   semua bagus🙏🙏 …"
anugerah pratama,4,setahun lalu,"Pemandangan sangat bagus, sayang nya kolam renang kurang terurus"
Kuflan efendi,3,2 tahun lalu,Tempatnya sangat nyaman untuk bersantai
Faidhul Qudsiy,4,2 tahun lalu,"Tolong pemkab. Pamekasan klo memang niat buat wisata dibukit2, aksesnya 1km menjelang wisata jalannya dilebarin biar aman ketika papasan yg mau masuk & keluar bukit kehi..kenapa? Kanan kirinya sawah.. dan tolong petugas ditambah di …"
Feny Rieswie,3,2 tahun lalu,Lumayan.....jalannya jga ga terlalu  extrem....cuman yg jualan makanan kurang banyak...
sitti aisyah,4,2 tahun lalu,"Tempatnya bagus, nyaman, cocok bgt buat kalian yang suka foto dengan latar pengunungan yang indah... Tersedia cafe, kamar mandi, serta musholla sehingga bagi kalian yang sudah sampai di sana menjelang waktu solat tidak perlu khawatir akan …"
Asyrof Putra KangNdeso,3,2 tahun lalu,Indah
Serli Aulia Rahman,4,2 tahun lalu,"Akses masuk wisata sulit kalo naik mobil, banyak tanjakannya, jalannya juga rusak, tapi untuk wisatanya baguss dan asri, cocok untuk liburan bersama dengan keluarga."
dedy sutrisno,5,2 tahun lalu,Tempatnya bagus dan bersih
Rifatul Islamiyah,4,2 tahun lalu,"Asik bet dah tempatnya! Pas buat family vacation. Karena tempatnya tinggi, jadi banyak angin semilir, ada kolam renangnya juga airnya bersihh, bisa naik sepeda layang juga... Katanya sih habis ini dibangun flying fox, makin mantap 👍 …"
maya tri wardani,5,2 tahun lalu,"Masih lumayan terawat tanamannya, tapi udah sepi pengunjung."
Sandy Orlhando,5,Diedit 2 tahun lalu,menyarankan
Just Anna,5,2 tahun lalu,Tempatnya bagus dan banyak spot foto cocok untuk liburan keluarga..  Kamar mandi bersih.
Nurul Wijiani,5,2 tahun lalu,Masih banyak yang bisa dioptimalkan seperti kolam renang dan playground
Alifatul Holifah,4,2 tahun lalu,Indah pemandangan nya sejuk saat pagii
Rizal Cool,5,2 tahun lalu,Tempat yg cocok untuk shooting video klip
NUGROHO WAHYUNIAJI,4,2 tahun lalu,"akses jalan kecil
gazebo luas tp jumlahnya sedikit, shg apabila pengunjung banyak akan kesulitan mencari tempat duduk santai bersama keluarga
tempat rekreasi murah meriah bersama keluarga"
Yaser Arafat,5,2 tahun lalu,"Tempat wisata yang sangat bersih, harga tiket murah. Yang paling penting itu menurut saya kebersihannya sangat terjaga, jadi nyaman untuk berwisata.."
