name,rating,date,text
ASTRI RINO OKVITASARI,1,Diedit sebulan lalu,"Akses jalan menuju lokasi rusak. Sampai di sana tidak ada yang menjaga di pos, kondisi juga terbengkalai. Tidak rekomendasi"
Rijal Rosyad,5,3 bulan lalu,"Matorsakalangkong...
Th 2000 bisa skripsi tentang Monyet di situ.
Smoga sukses slalu... …"
MIKI MIKO,5,7 bulan lalu,Hutan kera Nipa
Bobi Gravenda,5,7 bulan lalu,Sangat luar biasa
Taufikur rahman,5,11 bulan lalu,"Hutan sejuk di tepi laut, banyak monyet"
SYAFIQ ZAYYADI RUSLI,1,setahun lalu,"Sayang tempat parkirnya tidak tertata, dihadang warga lokal untuk tempat parkir dengan jarak tempuh masih 180M"
Nsvrelaa Cci (Cl4vccii._),5,setahun lalu,"BAGUS BANGET, PERTAMA KALI KE PANTAI DI JATIM🍂 …"
Jamali aliwefa,5,setahun lalu,Wisata madura
Faidzlavetz,5,setahun lalu,Tempatnya indah
Atiyatul Afifah,5,setahun lalu,"Sunsetnya bagus
Tapi memamg kurang bersih pantainya"
muhammad luqman triaji,4,setahun lalu,dikejar kera
Rizka Amalia,5,setahun lalu,Bagus banget
Chika Zaveera,5,2 tahun lalu,Bagus sekali
Jefri Ramadhan,5,2 tahun lalu,"Wisata alam yang sangat menarik untuk dikunjungi, karena disini kita bisa berinteraksi dengan kawanan kera liar yang hidup bebas di hutan nipah"
Tahfidz Bumi Tilawah,5,2 tahun lalu,Keren
Nur Latifah,5,2 tahun lalu,Jika ingin ke sini harus bawa jagung pilihan kering ya.. Untuk ngasih makan keranya.
Syafik Abdurrahman 02,5,2 tahun lalu,Orangnya ramah2
Dyah Perwitasari-Farajallah,5,2 tahun lalu,Relatively clean beach. We could see beautiful sunset.
Imam Syafi'i,5,Diedit 2 tahun lalu,"Nyaman ,sejuk ,bersih"
Ari Astono,4,3 tahun lalu,Pantainya bersih
MONSTER GHOSTS,4,3 tahun lalu,Cukup menyenangkan
M. Nur Syamsi,4,3 tahun lalu,"Parkir luas, pemandangan bagus"
Agus Budianto,5,3 tahun lalu,Konon katanya kawasan ini bagian dari sejarah berdirinya Madura
