name,rating,date,text
ahmad wahyu habibi,2,sebulan lalu,Mohon maaf jika kami memberikan penilaian yang kurang Semestinya Pantai Camplong diperhatikan lagi ke higienis dan kenyamanannya terima kasih.. 😇😇 …
Vicky Febrian,1,sebulan lalu,"Kumuh, kotor
Banyak sampah di mana-mana"
Sulistyo Dwikoraputra,1,2 bulan lalu,Pantainya kotor dan tidak terawat.
Anisa Ae,4,Diedit 2 bulan lalu,"Pantainya kotor. Padahal weekend, pas hari Sabtu ke sini, tapi masih bisa terbilang sangat sepi. Seperti pantai milik sendiri. Banyak penjual kuliner yang tutup. Gak tau lagi kalau hari Minggu."
muhyidin firda,4,3 bulan lalu,Wisata pantai Camplong sering kali jadi tempat liburan yang terjangkau bagi warga Sampang khususnya yang suka pantai
intan shurullah,5,3 bulan lalu,"Tempatnya bagus, fasilitas lengkap, parkiran luas"
Baim Doang,5,4 bulan lalu,Bantu dong.lg butuh banget
oM Dageldu,5,4 bulan lalu,"Kebetulan laut lagi surut jadi bisa mainan agak ke tengah pantai..
Agak kurang terawat,..
Padahal hari minggu dan libur nasional, pantai nya masih sepi.."
Ahmad Fawzan Rohman,4,Diedit 4 bulan lalu,Lumayanlah
budi susilo,4,4 bulan lalu,"Sepi, sudah kurang bagus"
Tiara regita pramasti,5,Diedit 5 bulan lalu,Baguss
Karel Malibunga Hurulean,4,5 bulan lalu,"Hanya kurang perawatan saja, pantainya Indah"
angger soebagyo,2,7 bulan lalu,Ticket masuk cenderung mahal dan tidak sesuai expetasi. Pantainya kotor juga
awan n,4,7 bulan lalu,"Camplong Beach in Sampang, Madura, offers beautiful views especially at sunrise and sunset. Although the beach is not very clean, the atmosphere is still crowded on certain days. The silhouette of fishing boats under the orange sky creates …"
Siti Humairoh,5,8 bulan lalu,"Kalau ke pantai camplong jangan lupa beli rujak petisnya di rombong merah rasanya enak banget Sampek habis 2 piring harga juga murah hanya 10k , pantainya cukup bersih sayang waktu kesana gak ada kuda & perahunya karna hari biasa 🥺 …"
Julian Tauran,2,8 bulan lalu,"Tempatnya tidak dimanage dengan baik, pantai Kotor, fasilitas bermain tidak bisa digunakan lagi"
R. Ivan B.,1,9 bulan lalu,"Suasana wisata pantai yg sangat KUMUH, tidak tertata dan tidak terawat. Sangat tidak direkomendasikan"
MOH. ARIF SUGIYANTO Arif,5,Diedit 9 bulan lalu,Pantai yang bagus tp harus perhatikan kembali masalah kebersihannya.
Icha Rizmawati,3,10 bulan lalu,"Tempat nya lumayan bagus sih hanya saja kurang di lestarikan,dan kurang nyaman krn banyak pengemis silih berganti"
5_Alfito Arif Syahbana,1,10 bulan lalu,"Destinasi wisata tapi gak mau ngerawat wisatanya, kotor semua, gak layak pakai."
Tukang Gigi Arizona,5,10 bulan lalu,Pantai Camplong
kang SAMY,1,10 bulan lalu,"Gak cocok ini tmpat disebut wisata pantai,sdh kotor gk terawat,banyak wahana anak yg rusak,mnding buat wisata kuliner lbh cocok kali,tiket jg gk sesuai."
Daffa Al-hafidz,2,10 bulan lalu,Pantainya bagus cuma dari segi pengelolaan pinggir pantai kurang bagus dan kurang rapi jadi kelihatan berantakan dan kurang perawatan smoga bs di kelola lagi
Bambang Eko Listrianto,5,10 bulan lalu,"wisata lokal, dekat tangki pertamina. fasilitas lengksp ddan ada masjid."
Frengky Liling,5,10 bulan lalu,Sippp
Wahyu Ika Wulandari,5,10 bulan lalu,Panas banget 🤣 beli srikaya disini rasanya manis banget. …
066_ MOHAMMAD ADITYA PUTRA,5,setahun lalu,mantapp baguss
Arum Shadewi,5,setahun lalu,"Kasih bintang 5 krn sesungguhnya pantai ini bersih lho..
Mushola nya juga bersih..
Minusnya ya emang ga begitu bagus pemandangannya hehe..
Lumayan kalo di Madura mau transit abis lelah perjalanan.."
roros,4,setahun lalu,"Satu-satunya wisata pantai di Kota Sampang. Pantai Selat Madura jadi ombak tidak besar, pasir lembut cocok untuk anak2 kecil. Ada wahana naik perahu dan naik Kuda dengan harga yang standard. …"
Sih Yuniarsasi,4,setahun lalu,"Ketika kami mengunjungi Pantai Camplong, suasana masih sepi. Jadi enak, bisa foto sepuasnya.
Sholat juga nyaman."
Sarwono Eddy,3,setahun lalu,"Pantainya gitu2 saja.
Tdk ada fasilitas2 utk kenyamanan pengunjung.
Mohon kepedulian Dinas Pariwisata utk bisa membuat pantai yg bagus ini jd lbh menarik utk dikunjungi."
Masobihul Abror,5,Diedit setahun lalu,"Dalam tingkatan Madura,  cukup bagus untuk bersantai dan mampir."
Hasip Photography,5,setahun lalu,Mantap tempatnya
Rina Channel,4,setahun lalu,Pemandangan yang cukup bagus dan cocok untuk menikmati sunset
Ach Asnawi Bakrie,4,setahun lalu,Tempat wisata yang adem... Dengan nuansa pantai yg sejuk
Saifur Rochman,5,setahun lalu,"Tempat nyaman, bersih, banyak pilihan permainan untuk toodler di area taman depan, pantainya bersih, pasir halus, makanan dijual dengan harga yg relatif murah, hanya saja beberapa Spot foto seperti sudah rusak"
eko koen,4,setahun lalu,Kesannya sudah tidak diperhatikan pemda lagi
Vijaz Sehaldi (Vijaz),4,setahun lalu,"Tempat ckp bagus, tempat parkir ckp luas, fasilitas toilet. Tidak bgt ramai karena berkunjung bukan hari libur"
Muhtar Abady,5,setahun lalu,Hebat
wahyu bhaskoro,1,setahun lalu,dulu tahun 2013 pantai bagus banget. sekarang bobrok kumuh gajelas. nyesel kesini👎 …
Iswahyudi KRIS,5,setahun lalu,"Bagus banget...""cuma..."" Dikuasai oleh warga sekitar...mulai dr parkir mobil 15rb.... tiket masuk 15rb hari biasa 25rb weekend/libur👍🏻... kopi 10rb...degan 15rb..popmie 15rb...🤦🏼‍♂️ Pemkab perlu turun tangan turut controling agar tidak semakin sepi pengunjung... Di krn kan oknum² seperti diatas …"
Aries Purwantiny,5,setahun lalu,Bagus sih sebenarnya hanya saja perlu diperbaiki dan ditata dengan baik.. Penataan ulang dengan cantik bisa menambah pendapatan
adi purnomo,4,setahun lalu,Tiket masuk 15 k/ orang.
Desry Darwin,3,setahun lalu,Agak kotor dan pas kesana lg pasang jadi gak bisa ke pantainya. Parkiran bayar 10.000 padahal sdh ada entrance ticket
muyas saroh,5,setahun lalu,Klo di pagi hari indah
Silca Miraz FN,3,setahun lalu,"Semoga ada perhatian dari dinas terkait, untuk penataan ulang tempat wisata, karena tidak tertata rapi dan sudah usang"
Firdaaaid,5,setahun lalu,tempat makan nya mantap kali disini
Husen Efendi Mohammad,3,Diedit setahun lalu,Akses mudah di pinggir jl raya
Subhan Rullyansyah,2,setahun lalu,"Seharusnya lebih dirawat, dan ditata kembali"
Faqih Ramadhan,3,setahun lalu,"Tempat kurang diperhatikan dengan baik, dari sisi kebersihan, kenyamanan, maupun fasilitas."
Atika Riskiyawati,5,setahun lalu,Kalo lagi mumet mending ke pantai 😍 …
Bahrudin Udin,1,setahun lalu,Tempat ini cukup bagus
Yudha Rachman Wijaya,3,setahun lalu,perlu kepedulian bersama dalam menjaga kelestarian dan keindahan alam agar lestari dan dapat dinikmati oleh anak cucu kita kelak
fendik sugianto,1,setahun lalu,"pantai kok penuh warung
agak laen emang wkwkwkwkwk"
Sudarmanto Ismail,3,setahun lalu,"Wisata Pantai Camplong sangat tdk menarik, krn permainan/destinasinya banyak yg rusak/hilang. Tiket masuk 15 rb."
