name,rating,date,text
Ainun Qolbi,2,2 hari lalu,Pantai kecil. Sulit parkir big bus. Makanan mahal. Nasi goreng ga ada lauk e cm dikasih saos sj ga ada rasa 20rb. Pelayanan lama banget. Pdhl kita yg bw rombongan malah ga dihiraukan. Ga presentatif sama sekali.
Amel Amel,3,3 hari lalu,ok
Meii,2,2 minggu lalu,"* Uang parkir mobil 10rb.
* HTM weekday 8rb/org & weekend 10rb/org.
* Toilet Rp.2000 buang air kecil. …"
Sheylla,5,sebulan lalu,Seperti tempat wisata pada umumnyaaa yuk mainin sinii
Denny Arista,5,sebulan lalu,Tempatnya bagus
Abdur Rahman,1,sebulan lalu,SANGAT DISAYANGKAN SAMPAMPAH BERSERAKAN DIMANA MANA TIDAK TER URUS..
nuris 465,3,sebulan lalu,"sampahnya cukup banyak,tadi di pinggir pantai saya nemuin popok"
Devanie Amartha,4,sebulan lalu,"pantainya bersihh, cuman mushollanya tempat wudhunya bau pesing :(
mungkin pengelolanya bisa rutin dibersihkan musholla dan kamar mandinya 🙏🏻 …"
Najmah Najmi,2,sebulan lalu,"Suka semua disana, tapi helm yg di motor tiba-tiba di parkir helm katanya"
Adit Aditya,5,sebulan lalu,Bagus
idarus03 sur,3,sebulan lalu,"Skitar 3 thn lalu ke pantai ini bersih sekali pantainya. Skrg kembali lagi dan sudah berubah jadi kotor, banyak sampah plastik."
Firman Kustiyawan,5,sebulan lalu,Kampung halaman😍😍😍😍😍 …
buaya psht,5,sebulan lalu,Pantai nya bagus tp synk g ada banana boot nya
Veronica Hessy ko hesi,5,2 bulan lalu,"Jalan jalan ke Sumenep Madura. Mampir ke Pantai Lon Malang, lumayan merasakan angin dan pemandangan sekitar. Pasir putih."
Wahyu Prayogo,5,2 bulan lalu,Pantai lon malang under rated tapi bagus untuk dikunjungi. Sesekali saat berkunjung ke madura sempatkan mampir
Ferry Riawan,5,2 bulan lalu,"Pantai berhasil putih, berada di sebelah utara kabupaten sampang, ombaknya lantai cocok untuk bawa keluarga.."
Hanzo Hatori,2,2 bulan lalu,Yang jaga TOILET .....TOILET BELAKANG CAFE ZONA KIP TOLONG DIKONDISIKAN KALAU NGOMONG  KURANG SOPAN....DAN JUGA JAGA KEBERSIHAN NYA JANGAN DIAMBIL UANGNYA SAJA....
Christovel Sugiarto,5,3 bulan lalu,"Tempat yang sangat nyaman... tiket masuk murah meriah, harga makanan dan minuman sangat terjangkau. Sebulan sekali selalu mampir kesini sebelum ke Sumenep"
seblak campur,4,3 bulan lalu,Harus lebih di rawat lagi biar banyak pengunjung
Ricky Rachman,5,5 bulan lalu,"Pantai nya bagus dan ramai, namun untuk kebersihan agar di tingkatkan lagi demi kenyamanan"
R Sigit wahyu wibawa,5,Diedit 6 bulan lalu,"Bersih tempatnya,bagus pasirnya, ada atv juga"
Lollipop Chanel,5,6 bulan lalu,"Lumayan bagus
Sudah memuaskan
Hari biasa parkir 10k tiket 8k"
ManKir,1,6 bulan lalu,"Sekelas tempat wisata di Madura biaya parkir 10k di tambah harus beli tiket lagi, pantesan wisatanya agak sepi, ngalahin tempat wisata di luar Madura yang kualitasnya lebih bagus. Sangat disayangkan"
Nanda Fauzia,5,6 bulan lalu,"Seru sekali.. tempatnya juga dingin tidak panas

Kpn kpn ksana lg deh"
Riski Nofal,5,6 bulan lalu,"Kepantai ini waktu liburan dr jakarta. Indah banyak pohonya, tapi tembok pembatas ada yg mo roboh."
Amalinda Putri,3,7 bulan lalu,Agak mahal yaa mobil bermuatan sedang aja parkirnya 20 masuk 10k.
Adit Cuakzz,5,7 bulan lalu,"Pelayanan di klinik terapi fisik ini sangat baik, terapisnya profesional dan ramah, hasil terapinya juga terasa efektif."
Khosinul Yakin,1,7 bulan lalu,"Pantainya sudah baguh tinggal fasilitas sama SDMnya dibenahi
Parkiran mahal masih kenak tiket sama mahalnya makanan dan minuman ikut mahal
Sahrusnga salah satu aja …"
Wawa Riya,5,7 bulan lalu,"Bagus dan nyaman... Hanya saja tolong diperhatikan petugas penjaga kamar mandi galak banget. Sampe mengeluarkan kata
kasar. Contohnya: ""tak a jhelling matanah yeh"""
Arsyifa zahira,5,7 bulan lalu,"Bagus banget keren pkoknya , cuman jualan nya harganya fantastis😂 …"
Very Yusuf,3,7 bulan lalu,"The entry ticket is affordable only 10K per person and the parking ticket is 5K for motorcycle. The beach is beautiful but there are tons of garbage, so dirty where is the beach cleaner?!. The facilities existed aren't maintained well and many of them are broken."
Abdul Kodir,2,7 bulan lalu,"Males banyak ulasan
Inti nya mau ganti bengkel lain aja"
Nazar EDM,5,7 bulan lalu,"Lon Malang Beach which is located in Ketapang The place is clean and not crowded and there are car and horse rentals for visitors, the tickets are cheap, the last time I went there was 10,000 highly recommended for those who want to vacation in the Sampang area"
Faira Annisa Irman,5,7 bulan lalu,"Firstime kesini bareng anak keci
Pantainya nyaman bersih ,kidsfriendly pokoknya
Salah satu rekomendasi buat wisata bareng keluarga"
Anaaa,4,8 bulan lalu,"Untuk parkir mobil 10k dan tiket masuk per orang 10k
Masih bagus dan lumayan bersih juga dibanding yang lain
Kalau mau naik ATV harganya 20k per 10 menit, 50k per 30 menit. …"
"Farhan Alfikri, Alc",5,8 bulan lalu,"Pantai Madura Utara yang bagus, masuk 10k dan didalamnya ada naik atv atau naik kuda. Ada juga semacam cafenya dengan berbagai pilihan jus buah ataupun es lainnya. Terletak di daerah Sampang Madura."
Jony Adiananta,5,9 bulan lalu,suasa bagus dan ok. berlibur sama kluarga sangat nyaman
Nurul Qomariah,3,9 bulan lalu,"Pantai bagus. Kebersihan perlu ditingkatkan, petugas kebersihan datang  siang hari sehingga saat sampai di pantai pagi hari, sampah masih belum dibersihkan. Toilet bersih. Variasi makanan lumayan banyak untuk wisata lokal Madura. Petugas ramah."
Moh Taufiq,5,9 bulan lalu,Sebelum dan sesudah renofasi.
Ayu Apriyanti,2,9 bulan lalu,"Untuk pantai nya bagus, tapi saking penasaran, tempatnya spt apa krna dr luar kota ,lain kali kalo bisa area kamar mandi yg berbayAr 3rb d kasi cctv ya,, karna tas saya tiba"" hilang gak tau kmn. Pdhal saya lg mandiin anak saya posisi yg pke …"
Chinta Sisca,3,9 bulan lalu,"Sebaiknya berkunjung saat hari biasa supaya tidak terlalu ramai. Kalo view pantainya bagus, fasilitasnya jg lengkap, tapi toiletnya kurang nyaman dan aman, bisa lebih ditingkatkan lagi, supaya pengunjung ga kapok"
nana Wang,5,10 bulan lalu,"Pantai dengan pasir putih yang lembut dengan pemandangan yang indah
Jika ingin menginap ada homestay nyaman walaupun hanya 1, disediakan sarapan nasi pecel madura yg enak. Untuk reservasi menghubungi tourist information center. …"
Supriyadi Ahmad,5,10 bulan lalu,"Tempatnya bagus, tapi kalo bisa untuk tempat sampah ditambah biar sampahnya tidak berserakan"
Evadatus Sholihah,5,10 bulan lalu,Tempatnya baguss dengan suasana yang menyenangkan
Giovanny Parisqi,1,11 bulan lalu,Biaya parkir sepeda motor  5000 pas mau keluar tiba tiba helm di sepeda motor  ada di penitipan helm dan di minta 5000 tanpa ada konfirmasi. mantap oknum kang parkirnya
joe vandoel,5,11 bulan lalu,Suasana seperti di Bali
Iffah Asith,5,Diedit 11 bulan lalu,Anginnya kencang banget
Ach.sirron. Ulwan,4,setahun lalu,"Bagus, tapi masalah penitipan helm ini agak seperti pemaksaan juga sebenarnya. Ya gak papa demi keamanan tapi lebih baik di tawarkan saja dulu pada setiap pengunjung yang baru datang, jangan tiba tiba diambil pas tidak ada orangnya. Apalagi banner pemberitahuannya kurang mencolok."
Mas Faruq,5,setahun lalu,sangat seru
nabil koceng,4,setahun lalu,Keren pasirnya putih banget nyman banget buat pristel
MaSHT Eko Hariyanto,4,Diedit setahun lalu,"Pantai Lon Malang adalah salah satu pantai yang sedang hits di Madura, Jawa Timur. Terkenal dengan pemandangannya yang indah, terutama saat matahari terbenam. ""Lon Malang"" berasal dari kata ""kali melintang"" karena adanya sungai kecil yang …"
NAJIBUL CHOIR,5,setahun lalu,Rekomended untuk tempat berlibur dan bersantai bersama teman dan keluarga
Alesha,5,Diedit setahun lalu,"Pantai dengan nuansa yang sangat epic tersedia tempat makan, kamar mandi, mushallah.
Ini rekomen banget untuk kalian yg suka mantai"
SUPPLIER BATIK MADURA,3,setahun lalu,"Parkir 10
Masuk 10/org
Makanan standart tempat wisata lah harganya …"
Masobihul Abror,5,setahun lalu,"Pantai terbaik di pulau madura, fasilitas lengkap. Dan yg paling utama pantai bersih dan nyaman buat bersantai dan bermain dipantai bersama keluarga atau teman2"
Djoko Kuntjoro,5,setahun lalu,Great..
Al Ghozali,5,setahun lalu,"Bersih, indah, nyaman"
tri ratna adiningrum,5,setahun lalu,"Pantainya bersih, tiap sore sampah di bersihkan. Pasirnya putih dan lembut. Tiket masuk 10rb, tergolong murah. 3 jam aja dari Surabaya, bibir pantainya luas, jadi anak"" bisa leluasa main di pantai. Ada mini playground, banana boat, atv.
Pantainya ga terlalu ramai, jadi ga takut bocor"" Kalau mau bikin konten estetik 😁 …"
vastvictoryagain,4,setahun lalu,"Pantai bagus dan bersih.
Hati-hati kalau parkir motor, harga parkir 5rb. Namun dipaksa menitipkan helm 10rb/helm."
Deny Saifulrizal,5,setahun lalu,Bersih
Rizki Rachmansyah,5,setahun lalu,"Bali : ❌️
Madura : ✅️ …"
ALESANDRO RISKIANTO,5,setahun lalu,Good pantainya
Andres hasim pw,5,setahun lalu,"Hanya kesadaran para pengunjung untuk keberhasilan, padahal sudah ada kotak sampah di setiap gazebo"
Hema Christy Efitasari,4,setahun lalu,"Pantainya bersih, pasirnya lembut.
HTM 10.000, free pass untuk anak usia balita.
Banyak gazebo dan saung2, cuma karena weekend jadi pada penuh. …"
Muchtar Legend,5,setahun lalu,Indah pemandangan
Arya Putra,5,setahun lalu,Saya senang
Yudi,4,Diedit setahun lalu,"Pantau lon malang , tiket masuknya 10k + parkir 10k"
Afriyudi 049,5,setahun lalu,"Seru sekali,dan 1 Hal. Saya kira helm udh hilang. Gtw nya di tolong sama jaga parkir.Meskipun bayar tidak apa apa terimakasih bapak parkir"
Fara Muchtar,5,setahun lalu,"tolongggg, dridulu mau kesini ragu""
dannn ternyata gabikin nyesel samasekali, rasa capek ilang punggung panas karna perjalanan  3jam lebih dari gresik. tapi tetep terbayarr dong sama keindahannya 🫶🏻 …"
Muttaqin Hardiwansyah,5,setahun lalu,"Pantai yang sangat bagus. Tiket masuk 10rb/org. Bs main motor ATV 20rb/10mnit, 50rb/30menit. Akses jalan bagus jalur pantura. Parkir 10rb mobil. Berkunjung kesana bulanJuli 2024. Sudah 2x kesana. …"
Ikhwanul M,5,setahun lalu,"Indah tempatnya, recommended pokoknya untuk bersantai di pantai bareng keluarga dan teman-teman"
Suami,1,setahun lalu,"PUNGLI!!!!!
Masuk Parkir Motor Bayar 5000
Helm kalian bakal diumpetin dan di suruh bayar 5000 lagii, PUNGLI!!!!"
Ayu Aisyah,5,setahun lalu,Sempetin maen ke Lon Malang Beach.... sebelum balik ke Bandung ....pantai yg sejuk
