name,rating,date,text
Feerenza,5,sebulan lalu,"CANDI PARI, SIDOARJO.
Buat kalian yang ingin mengunjungi situs bersejarah di Sidoarjo, maka Candi Pari menjadi salah satu destinasi wajib. Berikut adalah reviewku : …"
Mugen project,5,sebulan lalu,tempat wisata edukasi
Rudianto Rud,5,2 bulan lalu,Nyaman
luna sari,5,2 bulan lalu,joss istimewah
Dewi,5,Diedit 2 bulan lalu,"Bersih, semakin berbenah, sayang jalanan wisata kesini rusak saat hujan sedikit banjir"
Tokeng Nyambek,5,3 bulan lalu,candi pari dan candi sumur
arief nur andrianto,5,3 bulan lalu,Menemani sang putra mengenal lebih dekat asal usul candi pari untuk pelajaran sejarah dari sekolah
mohammad mutaqin,5,4 bulan lalu,Jejak masa lalu Dari leluhur bangsa
H.m Sukoco,5,4 bulan lalu,Pas lewat baru tau kalo ada candi.
Dunung Susilo,5,4 bulan lalu,Menu masakan nya beragam 🤗 …
Triana Nofianty,5,4 bulan lalu,"Tempat bersejarah yang cocok untuk wisata dengan anak2 atau pemotretan pre-wedding. Bapak juru kuncinya ramah, lokasi terawat dengan baik 👍 …"
Eko Sudaryanto,5,4 bulan lalu,Explore Candi RDL Waru
Dicky Fanani,5,4 bulan lalu,Terawat...
Bahrul Ilmi Suprayogi,5,4 bulan lalu,Tempat yg pas utk sesi prewedding... sore hari cocok buat bersama keluarga
David G Review,4,4 bulan lalu,Bagus...tempat yg ccok buat ambil sesi foto prewed..
Dwi Siswanto,5,5 bulan lalu,Tempatnya bagus. Kalau ke sana disarankan bawa topi
A NeyuU NeyuU,5,6 bulan lalu,😍😍😍😍😍 …
Maman Davency,5,6 bulan lalu,Sangat indah jadi pengusaha sembako
squat pusat,5,7 bulan lalu,"Bagus, melestarikan peninggalan sejarah nenek moyang"
Nur sholeh 3217,3,Diedit 7 bulan lalu,Cuma candi ini yang dikenakan bayar parkir dan bayar lagi saat isi buku tamu.
Noor Setiawan,5,7 bulan lalu,Nyaman tempatnya ada lontong kupangnya enak...warkopnya nyaman
tata ayu,5,8 bulan lalu,bagusss
Evan Amin Rafasya,5,8 bulan lalu,Bagus masih terawat warisan leluhur
Selly Rizkiyah,5,Diedit 8 bulan lalu,"Suasana kunonya terjaga, bersih, kerawat lingkungan sekitar, bagus, cocok buat bikin tugas sekolah dan foto-foto"
Alfun Salam,5,9 bulan lalu,"Seru,. Selalu ada cerita di tempat ini"
Rizwan Gulzar,3,10 bulan lalu,"Need maintenance, and place is very quiet. Hindus devotees must visits."
Yolanda Nuroctavina,4,10 bulan lalu,"Bangunan bersejarah yg berada di tengah2 perkampungan. Nampak biasa saja, cukup bagus jika ada kebutuhan pemotretan"
Arfan Riyansah,5,10 bulan lalu,"Petugas nya ramah ..bayar bisa seikhlas nya
Akses jalan mudah
Pokok isok the best lahh"
RUANG DINASTI,5,11 bulan lalu,Dapat menemukan lokasi yang akurat
Cmix Creatif,5,11 bulan lalu,Alhamdulillah... Tempatnya bersih dan terawat dengan baik
ham dug,5,11 bulan lalu,Candi nya bagus
Moh Ilham,5,11 bulan lalu,Tempatnya bersih terawat.masih terjaga dengan baik
aziz nihonjin,5,setahun lalu,"Luar Biasa,."
Dewa Ayu Made Candra Dewi,5,setahun lalu,Mengingat Sejarah. Bagus buat edukasi anak2.
Devano Assegaff,5,setahun lalu,Semoga selalu tetap terawat dan terjaga.
A. Fajar,5,setahun lalu,Histori majapahit
Nayla Aftanie,5,setahun lalu,Bagus candinya
Supomo ST,5,setahun lalu,Situs sejarah peninggalan masa kerajaan majapahit
Amien,5,setahun lalu,Aku orang purbalingga. Pernah liat candi itu waktu nonton MONATA. Tahun 2011
sugi yanto,5,setahun lalu,"Candi berbata merah ciri khas kerajaan Majapahit, cuma sayang kurang narasi dan detail tentang candi ini"
Dieno Tjantja,5,setahun lalu,"Tempatnya bersih dan terawat
Lokasinya sekitar 1 Km dr arteri Porong ke arah barat...
Kita bisa bawa mobil atau motor kl berkunjung ke Candi ini... …"
Fahmi Hanif,5,setahun lalu,Tempat nya bagus sudah ke sana hari minggu lalu
Anak Timur,5,setahun lalu,Oke
agus suher,5,setahun lalu,"Sarana jalan menuju kesana sangat mendukung, posisi candi juga berada disamping jalan, jadi tidak sulit menemukan tempat ini."
Heri Kamerad,5,setahun lalu,"Candi yg di bangun di akhir kerajaan majapahit,pada masa Prabu Haham wuruk"
Taufik sparko,5,setahun lalu,Baik
Muhammad Firdaus Arrifqi,5,setahun lalu,"Bagus banget, bangunan lama dan antik"
Arizal Pamulang,5,setahun lalu,Hanya kebetulan lewat saja. Semoga tetap terawat.
Lestari Pancawardani,4,setahun lalu,Aslinya sih biasa aja ya....tp untuk mempertahankan cagar budaya kita hrs kunjungi candi2 spt ini. Lumayan buat foto2.
galih akademik,5,setahun lalu,Candi Pari sejodo dengan Candi Sumur. Karena Joko Pandelegan hilang di lumbung dan isterinya di sumur maka kedua tempat ini dibangunlah Candi untuk menperingatinya. Keduanya terletak berdekatan hanya kurang lebih 100 meter. Hanya saja Candi …
Akhmad Marzuki,5,setahun lalu,Luar biasa indah alam desa dengan wisata budaya candi pari dan candi sumur sidoarjo.
Haidar Ali,5,setahun lalu,"Saya orang Sidoarjo, dibesarkan dari kecil di Sidoarjo, tapi baru pertama kali kesini. Seandainya ada literasi di sekolah bahwa kita punya cagar budaya Candi seperti ini, mungkin saya tidak perlu jauh2 ke borobudur dsb. …"
WP 007,5,setahun lalu,Tempat bersejarah yang mudah ditempuh
Yan Rian,5,setahun lalu,Bagus
Ajang N Fatwa,5,setahun lalu,Suasananya enak
Radhitya Ditto,4,setahun lalu,"Jika mengunjungi Candi Pari harusnya juga kunjungi Candi Sumur yang letaknya tidak jauh dari Candi Pari ±100 m, karena kedua Candi ini mengisahkan kisah yang berdampingan"
Agus Tafadol,1,setahun lalu,Sungguh indah✌🏻✌🏻 …
galuheva afiah,5,setahun lalu,Pelataran Parkiran Yang Menunjang Tempat Berteduh ....
Kholid Irsyadi,5,setahun lalu,"Ho.oh ada situs sejarahnya, gede poool"
Firmansyah Hakim,5,setahun lalu,terawat dengan baik
suryo gigih,5,setahun lalu,Pertama kali dengan Bu guru kesini tempatnya bagus dan masih terjaga situs sejarahnya
Putu Hari Krniawan,5,setahun lalu,Keren ada pendopo
Andri Setiawan,4,setahun lalu,candi yg berada di kompleks perkampungan warga
Alfiandra Wafi,5,setahun lalu,Malam masih bisa nyuci mobil pagi nya bersih buat kerja
Dinar Putri,4,Diedit setahun lalu,semoga semakin terawat👍 …
Sujatmiko Sujatmiko,4,setahun lalu,Lestarikan sejarah bangsa kerajaan masa lalu
Reska Ayu,5,2 tahun lalu,Penyetan Murah Enak
Dinantiyo Perdana Putra,5,2 tahun lalu,"Cocok utk belajar sejarah, tempat dilingkungan rumah² penduduk"
Andi Kusuma,5,2 tahun lalu,Tempat yang bagus untuk mengenang kejayaan masa lalu di kepulauan ini
Teddy Purwanto,5,2 tahun lalu,Peninggalan Sejarah Kerajaan Mojopahit yg masih terjaga dan terawat di Sidoarjo
Refalina Putri,5,2 tahun lalu,candi pari Desember tahun 2013
Agung Sejahtera Motor,5,2 tahun lalu,Bagus
Fx Syuralpha,5,2 tahun lalu,"Candi yang masih aktif u kegiatan sosial masyarakat sekitar.. sungguh warisan heritage yg masih berdaya guna ... viva medang , singosari, dan majapahit!"
Denny Jari Tengah,5,2 tahun lalu,tempat yg indah
Adjar Prabowo,5,2 tahun lalu,Penghijauan nya kurang
Candra Ery Fani,4,2 tahun lalu,unik & artistik
Mas Mad,5,2 tahun lalu,bau dupa menyan campur tai batmen.kelelawar...mungkin tradisi
Yadi jaya gorden & Achiken chrispy Gunawan,5,2 tahun lalu,Otentik
Kharis Purwanyo,4,2 tahun lalu,Lumayan...
Anur Mahmuda,5,2 tahun lalu,"Tempat sejarah yg perlu dilestarikan dan diapresiasi,ganti tujuan wisata kesalah satu tempat bersejarah seperti ini yuk..karena kunjungan kita sangat berarti bagi perekonomian masyarakat sekitar candi juga.."
Ikhsan Akbar 16,5,2 tahun lalu,"Tempatnya masih bersih, adem kalo malem disini"
Titik Hepy,5,Diedit 2 tahun lalu,Mengenal peninggalan sejarah
arini tathagati,5,2 tahun lalu,"Peninggalan jaman majapahit, arsitekturnya unik karena berbeda dengan candi lain di Jawa Timur. Jika butuh informasi, bisa tanya ke Juru Pelihara"
Hadi Witono,5,2 tahun lalu,Waktu itu pengambilan api porprov tempatnya ok
Kamto Junior,5,2 tahun lalu,"candi jawa timur'an,  Mampir ke sini ya, dekat lumpur porong."
Ririn Messi,5,2 tahun lalu,salah satu situs sejarah di kota Sidoarjo di kecamatan Porong tempatnya di perkampungan desa
Judy Gunawan,4,2 tahun lalu,"Tempat bersejarah dikota Sidoarjo. Peninggalan kerajaan Majapahit di era pemerintahan raja Hayam Wuruk. Konon katanya dibangun untuk menghormati kerabat, teman atau saudara dari anak raja Hayam Wuruk yang hilang. Namun ada pula cerita …"
Briyan Wensley,4,2 tahun lalu,"Candi yg indah, dan masih terjaga dngn baik"
Ahmad Bahrudin,5,2 tahun lalu,asri masyarakat yg ramah☺️
Yofi Rakhmawan,5,2 tahun lalu,Seru
Earlyta Avrilya,4,2 tahun lalu,Peninggalan leluhur harus di jaga salam Rahayu Rahayu Rahayu 🙏 🙏🙏 …
indah wahjuni,5,2 tahun lalu,Bener2 mengagumkan peninggalan nenek moyang kami
Agus Kurniawan,5,2 tahun lalu,Bisa lebih banyak belajar mengenal sejarah
Super Yitno,4,2 tahun lalu,"Yach lumayan menambah wawasan candinya, tapi tempatnya di tengah perkampungan, saran untuk masuk sebaiknya pake ticket jangan sukarela biar nggak ragu.."
Danang Fitrianto,5,2 tahun lalu,Tempatx bersih dan nyaman..
Rizal Aprizal,5,2 tahun lalu,"Candi ini merupakan suatu bangunan persegi empat yang terbuat dari batu bata, menghadap ke barat dengan ambang serta tutup gerbang dari batu andesit."
bona,5,2 tahun lalu,lokasi yang bagus utk rekreasi dan mendidik
Heru Gojek,5,2 tahun lalu,Murah Meriah Dan Parkiran Luas.. Cocok Buat Di Singgahi Poko Nya.
Haekal Mohamad,5,2 tahun lalu,Good place
Ahmad Rofi Uddin,4,2 tahun lalu,"Rekomendasi for study historical local Sidoarjo. A site Tampel from 13 M, Majapahit Kingdom."
Tutor Serba Bisa,5,2 tahun lalu,Selayaknya banyak yang harus datang ke sini. Bagus untuk menjadi salah satu sumber pengetahuan budaya
mas helmi,3,2 tahun lalu,Tempat bersejarah dan peninggalan kerajaan Majapahit
Fitri Yuniarti,3,2 tahun lalu,"Baru tahu ada candi beneran di Sidoarjo, kalau buat foto-foto bagus sih walaupun disananya B aja hehehe...soalnya di tengah pemukiman penduduk jd agak gimana gitu"
Oktavian Saktria,5,2 tahun lalu,Cagar budaya
Fatkhur Rokhim,5,2 tahun lalu,Tidak mengecewakan
Aktip Untari,5,2 tahun lalu,Destinasi wisata sejarah yang ada di Sidoarjo tempatnya nggak jauh dari pusat kota dan akses jalannya sudah bagus .Jaga tempat sejarah supaya anak cucu masih bisa menikmati
yudistiro gandhi,5,2 tahun lalu,good
Hawa,5,2 tahun lalu,Buat foto bagus
Tuan EmWe,5,2 tahun lalu,"Wisata sejarah dan budaya , sayangnya sy blm sempat masuk ke dalam candi"
Malik R.,5,2 tahun lalu,perlu lebih ditingkatkan dan ditambahkan konsep wisatanya
Keluarga seJati,4,2 tahun lalu,"Warisan budaya leluhur...
Bayar tiket masuk seiklasnya.
Untuk tarif parkir juga normal. …"
Rohma Martha,5,2 tahun lalu,Okeee
Indra Sudjarwo,5,2 tahun lalu,Tempat cukup bersih
ranii wahyu,4,2 tahun lalu,okee buat foto prewedd maupun wedding dg tema jawa
wahyu handoko,5,2 tahun lalu,🥰 …
Farrel Muhammad Putra,5,2 tahun lalu,Candi yang indah serta dengan sejarah yang mengagumkan.
Made Dwita Shanti,5,2 tahun lalu,"Libur lebaran tetap ada penjaganya, parkir mobil juga bisa di depan pagar masuk candi , di seberang candi ada warung bakso enak"
Maulana,4,Diedit 2 tahun lalu,👍👍 …
Ardi WD,5,2 tahun lalu,"Salam Rahayu Rahayu🙏🏾🙏🏾
Akses menuju lokasi sangat mudah, melewati persawahan kalau dari arah Utara. Jalan lebar mobil dan truk bisa, di depan candi pari ada gazebo buat istirahat dan …"
EVAN'S D,5,2 tahun lalu,"Salah satu cagar budaya peninggalan kerajaan Majapahit yang terletak di Porong Sidoarjo adalah Candi Pari. Terbuat dari batu bata merah yg disusun membentuk candi. Disekitar Porong masih banyak situs Sejarah Candi Sumur, Candi Dermo & mungkin situs lainnya yang perlu dilakukan penggalian arkeologi."
Maulana Zulkarnain,5,2 tahun lalu,Sejarah masa lalu yg membanggakan
Lolita Dian,5,2 tahun lalu,👍 …
ari nur dwi yanti,5,2 tahun lalu,👍 …
Rosita Puryono,5,2 tahun lalu,Bersih dan terawat
Henky Dwi,4,2 tahun lalu,Candi yg megah peninggalan kerajaan yg beradab abad lampau
Umey Handayani Kalimin,5,2 tahun lalu,"Letak Candi Pari di Kecamatan Porong Kabupaten Sidoarjo.
Selain lumpur panas, ternyata kecamatan Porong mempunyai pesona wisata sejarah lain yaitu,  Candi Pari namanya. …"
Yayasan Ayashi,5,3 tahun lalu,Peninggalan sejarah yg patut di lestarikan..masuk gratis
Fahmi Rizqi Amrullah,5,3 tahun lalu,Dekat dari rumah saya
David Setya,4,3 tahun lalu,Candi di Sidoarjo itu banyak. Namun yang banyak orang ketahui hanya candi pari... Kenapa Sidoarjo tidak mempunyai perda cangar budaya
Ftmh. windari,5,3 tahun lalu,Salasatu peninggalan sejarah yang ada di dekat desa aku hihiww sekarang makin bagus aja candipari ada candi sumur juga lohh gaiss buat kalian kalau mau kesini jangan meninggalkan bekas sampah di sini ya gaiss karena di sini bersih bangett …
Estuningtyas Putri,5,3 tahun lalu,Bersih nyaman
Ainul Yusuf,5,3 tahun lalu,Situs bersejarah
yahya travelista,5,3 tahun lalu,Candi megah didaerah Porong Sidoarjo
jowodigowo channel,5,3 tahun lalu,"Tempatnya bersih, fasilitas oke, juru kunci ramah, masuk bayar seiklasnya"
Budy's Channel,5,3 tahun lalu,Rasa tidak pernah bohong sesuai dengan lidah jawa timuran
Nanin rinda savitri,4,3 tahun lalu,Tempat edukasi dan cagar budaya
Fredy Kurniawan,5,3 tahun lalu,"Bersih, bagus tertata rapi"
ambar flow,3,3 tahun lalu,Berbagi pengalaman sejarah
Kasmani Bin Dollah,5,3 tahun lalu,Great place to visit
Dzaki 160 A,5,3 tahun lalu,Memperkenalkan anak pada sejarah berdirinya candi tersebut
Budi Aja,4,3 tahun lalu,Tempat peninggalan sejarah
dieta abdi,5,3 tahun lalu,Terlihat utuh dan kokoh walaupun sudah lama
Endang Haji,5,3 tahun lalu,Tempatnya bersih tapi lumayan panas
Surya Purwanto,5,3 tahun lalu,"Tempat Bersih, cuma jarang ada kuliner"
Abdul Halim,5,3 tahun lalu,Bagus
Fay Bromo Tour,5,3 tahun lalu,Sayang jalannya kecil dan kurang terawat
Boby Oala,5,3 tahun lalu,Bagus
YUSUP PRIYONO,5,3 tahun lalu,Wisata budaya
zainal arif,5,3 tahun lalu,Situs keren yang wajib dikunjungi
Nana chelsea Pratiwi,5,3 tahun lalu,Cagar budaya yg harus di lestarikan agar anak cucu kita paham sejarah desa candi pari ini...
