name,rating,date,text
Rudianto Rud,5,2 bulan lalu,Jurkun nya welcome banget mesti belum kenal.. Mantap dah
Dicky Fanani,5,4 bulan lalu,Terawat bagus... tidak melupakan sejarah
Firman Sirait,5,5 bulan lalu,"Candi yang ada sumurnya. Letak sumurnya di atas, jadi klo mau lihat naik ke atas lewat tangga candi. Masuk gratis, letaknya sangat dengan dengan candi pari. Datanglah di pagi hari untuk mendapatkan hasil foto yang maksimal."
guruhsh sh,5,6 bulan lalu,Sebuah candi Hindu abad ke 14
reo akbar,5,setahun lalu,"Candi Sumur berasal dari sebuah sumur yang berada didalam bangunan induknya, namun sayang saat ini keadaan sumur sudah kering …"
NoVanti Indria,4,setahun lalu,"Candi sumur yang konon katanya ada kaitannya dg candi pari, letaknya memang ndak terlalu jauh dari candi pari sekitar 100mtr dari candi pari. …"
Heri Kamerad,5,setahun lalu,Candi sumur berada di sebelah selatan candi pari.
Andy Hardianto,5,2 tahun lalu,Terawat..
nabilah ainiyy,5,2 tahun lalu,"Salah satu destinasi sejarah di kabupaten Sidoarjo, tepatnya di desa candipari kecamatan Porong. Letaknya di area perkampungan , bangunan candi nya masih sangat megah cocok untuk studytour kecil kecil an untuk menambah pengetahuan generasi muda saat ini , dan yang terpenting free htm  👍 …"
riyo darminto,3,2 tahun lalu,Candi yg terletak diperkampungan .bahan dasar pembentukan dr bata merah yg ukuran besar
EVAN'S D,5,Diedit 2 tahun lalu,Ini adalah situs sejarah yg masih ada & terawat meskipun kondisinya sdh banyak yg hilang dindingnya tidak utuh lagi.
Endang Haji,5,3 tahun lalu,"Saya tahu klo ada candi sumur,dari resto ndalem prabu,keliling pakai mobil FIAT dr resto ke candi  sumur sama candi pari"
Waskitho Wee,4,3 tahun lalu,"Lokasi ada di dekat candi sari, masuk kampung .."
Haris Ryant,5,3 tahun lalu,Bagusuuusss 👍👍👍👍👍 …
Dieno Tjantja,4,3 tahun lalu,"Salah satu Candi bersejarah di Sidoarjo...
Tepatnya di Desa Candipari Porong.
Candi Sumur secara fisik bisa dikatakan tinggal separuh yg masih berdiri, itupun …"
Mas Mus,5,3 tahun lalu,"dari informasi yang saya dapatkan, candi sumur ini dibangun pada waktu yang hampir bersamaan dengan candi pari. keduanya dibangun pada masa kekuasaan prabu brawijaya. jarak antara candi sumur dengan candi pari sekitar 200 - 250 meter. akan …"
pipit,4,3 tahun lalu,"Candi Sumur letaknya tidak seberapa jauh dari Candi Pari, sekitar 50m.
letaknya masuk kedalaman pemukiman warga, jadi kalau mau parkir kendaraan di tempat parkiran Candi Pari ya. …"
