name,rating,date,text
ABA RONI 001,1,seminggu lalu,"ikannnya gak ada , kayak kolam pancing harian"
Nur Cholik,1,sebulan lalu,"Biar bintang berbicara ,no rekomendasi liburan awal tahun sebel pancing 4 jam 12 sampai jam 4 0 ikan dapat ikan mujair kecil banget pelayanan buruk judes judes pemesanan makanannya,kayaknya tunggu waktu akan tutup ini wisata"
Ike Wulandari,1,sebulan lalu,Tempat panas .. Kolam renang kotor .. Aq kira kalau hasil pancing bisa di masak disana ternyta tidak... Dan harga ikan lebih mahal drpd d pasar
Chef Kuncoro Putri,1,sebulan lalu,"Tempatnya ga nyaman, ga enak , kumuh, masuk bayar tiket utk liat semak belukar dan kolam tambak yg kotor, ditempat sampah banyak ikan sapu2 yg mati sampe dikerubuti lalat, …"
Lailie Suryani,1,sebulan lalu,"Pesen makan terlalu lama tidak sesuai antrian percuma bikin kecewa..
Hampir 3 kali menanyakan makanan tapi malah pesenannya diambil2 orang 1 jam lebih nunggu makanan bikin gak mood makan."
Riz,1,sebulan lalu,"Semakin sepi, semakin tidak terawat, mungkin 3-5 tahun akan terbengkalai"
Ari Wisata,4,sebulan lalu,"kolam pancing zaman kuliah dulu. pengalaman pertama kali casting freshwater, ikan bawalnya galak2.
pertama kenal fly fishing juga di kolam ini, diajarin mas gedang manggala.
memori indah masa sekolah di surabaya"
axel kay,5,2 bulan lalu,"Tadi siang mampir kesini, seperti biasa mantap"
radief rahmad,5,3 bulan lalu,Tempat yang cocok untuk berakhir pekan
Abdul Halim,3,3 bulan lalu,Tak terawat makanan lumayan mahal
Nur Laili Niswah,5,4 bulan lalu,tempat pemancingan. seru
Rangga Prasetyawan,1,4 bulan lalu,ga ada ikan e
David Edison,1,Diedit 4 bulan lalu,"Tempatnya kotor. Sudah info ke kasir untuk dibersihkan tetapi tidak ada tindakan.
Banyak semut hitam . …"
Zagat Zagat,1,4 bulan lalu,ikanyang saya dapat itu kecil
Kipli Pali,1,5 bulan lalu,Mancing kiloan berasa harian. Kolamtidak terawat sama sekali
Sam 007,1,5 bulan lalu,"Iwak gak sepiro gondol, bosen !!!
Pesen makan datangnya lebih dari 1 jam,
Bakul nasi tidak dikasih daun pisang banyak semutnya,"
Afif Abdillah,4,5 bulan lalu,"Sekarang cukup sepi dibandingkan beberapa tahun yg lalu, penurunan terhadap sarana prasarana disana seperti tidak terawat...., bagi yg ingin memancing dapat menyewa pancing di dalam..."
Mriya Andri2707,2,6 bulan lalu,Mungkin bisa ganti pengelola. Sayang bgd Krn tempat sperti delta fishing ini susah di temui jarang ada. Sayang bgd Krn tempat tidak terawat butuh renovasi tempatnya kotor. Sangat2 di sayangkan Krn tidak di rawat dengan baik. Ini masukan ya …
Hav Hav,2,7 bulan lalu,"Parkir 5rb motor, tiker masuk 5rb. Lumayan murah lah. Kolam pancing harga ikan perkilo sesuai dengan yang kita dapat, nanti ditimbah oleh pengelola. …"
Nabiilah Thalita 6D2,5,7 bulan lalu,Tempat rekreasi dan kumpul2 yang pas dibagjad
Rachmad Mucharom,5,Diedit 7 bulan lalu,"Mantab, menyenangkan, top.. mulai anak masih tk.. HTM masih 2k.. sampai skarang sering banget..."
Eko Prasetyo,5,8 bulan lalu,"Tempat nya rame, buat mancing dengan keluarga oke👌 …"
sumadi gembol,5,8 bulan lalu,Permainannya banyak yang rusak
TYO kreasi home industri,5,9 bulan lalu,Jika.....
Bagus Setiawan,3,Diedit 9 bulan lalu,"Parkir mobil 10ribu karcisnya kelihatan bekas dan waktu pulang karcisnya diminta lagi.
tiket masuk 10ribu per orang. …"
Syaifudin Zuhri,1,Diedit 10 bulan lalu,"Niat ny mancing Bawal ,malah sepi GK dapat ikan ,pdahal SDH 3kli kstu Bawal ny sepi trus"
Rissa S,5,11 bulan lalu,"Sistemnya ambil tempat dulu, lalu diarea saung bagian atas ada nama saung fungsinya nanti ketika order makanan. Lalu pergi ke bagian kasir untuk order makanan minuman & bayar. …"
ageng teguh wardoyo,3,11 bulan lalu,"Tempat mancing yang bisa dimasak langsung hasil pancingannya. disediakan alat pancing yg bisa disewa. Ada umpannya juga. Variasi ikannya macem2, ada gurame, patin, nila, bawal. Tersedia gazebo, tempat main anak2, dan kolam renang. Parkiran …"
Mrs Ndv,1,setahun lalu,"Pertama kali kesini,
Tempatnya kotor gak terawat
Pelayanan baru masuk pesan mkn mbaknya galak banget ngomel2, kurang profesional …"
dony khomario,1,setahun lalu,Kotor
Muhammad Firmansyah,1,setahun lalu,Serba Bayar tpi gaada Ikan nya
aditya Siahaan,1,setahun lalu,mancing dapet hikmahnya
Razaky Arka,1,setahun lalu,"Jauh2 dibelain kesini... Masyaallah... Bocor2...☹️,kotor... Mushola bocor, toilet berkerak...
Pas lihat minuman seger...mak nyuss... …"
Anjar Prasetyo,5,Diedit setahun lalu,Tiket masuk 5k
Raka Zidan,3,setahun lalu,"Ikannya gacor² ,besar semua"
Ali Imron,5,setahun lalu,Bagus
Nur Rizky Alridho,3,setahun lalu,"Sayang sekali tempat gak kayak dulu, skrg kurang terawat"
Febri Cola,4,setahun lalu,"Pertama kali kesini, ternyata lumayan ramai dengan pengunjung..
Kolamnya beragam dengan ikan yang ditawarkan.Bawal, patin, nila, gurame.
Jika ingin mancing, dapat menyewa alat serta membeli umpan yang telah tersedia. …"
Isnannur Afandi,5,setahun lalu,Ikan melimpah dan tempat rekreasi keluarga.
Ahmad “Mainan Cak Mad” Fairuz,1,setahun lalu,"Udah lama gk kesini, sekalinya kesini udah kyk gk terawat, kolam pancing kotor, tempat makan lesehannya jg kotor, masa pesen makanan trus pindah tempat lesehan dimintain suruh bersihin malah petugasnya ngeluh"
chyka aleysia,1,setahun lalu,Pesen mkn lamaaaaaaaaa
Dian Lestari,3,setahun lalu,"Dulu pernah kesini kemudian setelah 8 tahunan. Kondisi kolam kotor, krg terawat gazebo byk semut merah kecil. Petugas krg tanggap, krg helpfull. Dimintain tlg sekali gak dtg2."
Fatchur Rofiq Syaroni,5,setahun lalu,"Suasananya sejuk, cocok untuk refresing, kumpul bareng keluarga"
M.aristyo rahardian,1,setahun lalu,"Pelayanan buruk tadi sore mengalami service yang bad attitude dari pihak pengelola pada pukul 16.00 pengunjung di beri tau bahwa tempat akan tutup, belum ada 5-10 mnt sudah ngode pake umpatan non verbal hal tersebut dilakukan beberapa kali …"
rati Purwani,5,setahun lalu,"Ada tempat bermain anak2,ada musholla,ada tempat makannya juga,parkiran luas"
Rini Setyo,1,setahun lalu,"Iseng nyoba kesini beli Ikan bakarnya ternyta ga enak, hambarr iya,  sambal encer kayak saus sambal botolan. Mau beli ikan bakar saja banyak biaya, biaya parkir lah, biaya masuk kolam pemancingan lag. NOT WORTH IT"
Anang Dony Irawan,4,setahun lalu,"Baru pertama kalinya ke delta fishing setelah beberapa kali rencana. Lokasi yang memang cocok utk mancing mania. Bagi yg bukan mancing mania bisa menikmati kuliner yg ada, termasuk kolam renang anak². Ada kandang kambing diskitar lokasi. …"
Fitri Arina,1,setahun lalu,Baru Sabtu kemarin ke delta fishing .hari yg tidakmenyenakngkan kapok aja ke situ  kepinggin healing yg enk ternyata zonk ..pesan makanan ke kasir eehh sama kasirnya pembelian di lebihkan ..sy pesan makanan habis 429.000 di lebihkan sama …
Abrar Septiano,5,setahun lalu,Enak tempatnya adem
Adik Suryantoro,2,setahun lalu,"Kurang terawat, tempat nya kotor mau makan jdi jijay & makanan rasanya biasa aja"
Thomas Danang Setiawan,3,setahun lalu,"Buat yg suka mancing mending bawa joran sendiri , klo sewa cm dpt bambu kaku panjang dan berat ....."
Hobi Gori,4,Diedit setahun lalu,Ikan nya jarang d isi
cah blukk,5,setahun lalu,Seneng banget bisa mancing walaupun kadang gak dapet ikan
Dhavin Ariya,3,setahun lalu,Saran dari saya ikan patin nya jangan dicampur sama ikan lain jadinya gamau makan harap di dengar
R. Ibrahim,5,2 tahun lalu,Lumayan tempat wisata mancing dan juga bisa makan ditmpt.
Sandha Ardhia,4,Diedit 2 tahun lalu,Super super...
AKHDAN_NOY GEMING,4,2 tahun lalu,Cuma aku todak suka gasebo nya jagan dikasih kolam nanti banyak anak² main dan becek gasebo nya di tunggi in lagi orang tinggi ke bentuk
Thoriqul_ maf,2,2 tahun lalu,"Jam buka nya kurang lama, buka jam 10 s/d jam 4 sore, ikan kemahalan lagi /kg nya"
Papa Rawn,5,2 tahun lalu,👍 …
Cicik Hariyani,3,Diedit 2 tahun lalu,"Enak buat mancing. Sayang, menu makanannya lumayan pedas buat anak2"
adi prabowo,4,2 tahun lalu,good place for fishing activity with family
Wahyu Gunawan,4,2 tahun lalu,Ada kemundurun sejak terakhir ke sini. Mungkin karen terdampak wabah.
RIO wibowo,3,2 tahun lalu,"Wahana banyak yg tidak terawat, air kolam renang keruh, flying fox tutup, sepeda air tutup semua wahana bermain tutup.
Akhirnya cuman bisa mancing saja, anak2 kecewa banget
Mohon dimaksimalkan boss"
Dewi Novita Rachmayani,3,2 tahun lalu,"Dulu pernah kesini, trs kesini lagi setelah sekian lama.
Tempatnya jadi agak kurang kerawat sekarang, kolamnya lumayan kotor,
Harga standar, gazebo buat tempat makan kurang proper sih, dan banyak semut itemnya kalo ada sesuatu yg tumpah."
Cakmat Sda,4,2 tahun lalu,Bagus dan murah meriah
lisnaini muchlis,4,2 tahun lalu,Nice
Maria ulfah Permatasari,5,2 tahun lalu,tempat asik buat mancing bareng keluarga
Khoirudin Syifa syafiq,5,2 tahun lalu,Adem
Ricky Kurniawan,5,2 tahun lalu,"Makanan yang segar, enak murah.. Cocok untuk rame"" Bersama teman ataupun keluarga"
Afidatun Nisak,3,2 tahun lalu,Tempat kurang bersih
Yenik Kurniawati,5,2 tahun lalu,Makanan 9/10. Murah
akhmad utari,4,2 tahun lalu,"Tempat bagus healing tipis2
CITRA PRATAMA MEDIKA ""Rumah Luka Dan Sunnat Modern Di Krian"""
Cahyono,5,2 tahun lalu,"Pas nyampe ke area parkir sdh terlihat ramai di antrian loket tiket, sblm pandemi segala sarana mainan anak bisa dinikmati dg maksimal, salahsatunya adalah flyng fox sangat digemari anak2 semoga kedepan akan lbh maju."
Danang putra Ferdianto,2,2 tahun lalu,"Tempat bagus, pelayanan kurang, untuk masalah pancing 15 ribu dapet kerek an, tapi pas ada masalah misal kail putus, tali pancing putus minta di tuker malah di tuker yang jelek, harus nya mah tinggal bilang aja kalau mau tuker tambah berapa gitu, mancing jadi males banget"
cici nengtyaz,5,Diedit 2 tahun lalu,"Tempat wisata pemancing an ikan 🎏, recommended guys …"
indah permata,1,2 tahun lalu,Semua hidangan yang disajikan tidak panas.
Handphone Smartfren,1,2 tahun lalu,Makanannya gak panas alasannya kewalahan
Wi Jaya,4,2 tahun lalu,"Lumayan bagus tempat nya bersih....walapun udah rada sepi....tapi tetep ok buat liburan sama suami anak yang suka mancing....makan an nya juga lumayan enak....soal harga... tergantung masing""
orang nya yang menilai...."
Dilaci Ver,5,2 tahun lalu,"Rekomendasi buat mancing sih apalagi yang punya hobby mancing mania kayak keluargaku emang wajib ke sini, ikannya juga banyak pilihannya trus kita juga di sediakan sewa alat buat pancing tpi keluarga sukanya bawa pancingan sendiri, ada juga …"
FIKRIM HANIM,5,2 tahun lalu,Tempat pancing dan makan bersama
caz caz,1,2 tahun lalu,"Tempatnya mahal, stafnya kasar, makanannya mahal, kolam renangnya kotor, sudah lama bangkrut, minus semuanya 🤟😜 …"
M. Rikza Azkiya,5,2 tahun lalu,Bagus tapi ikannya susah ga kayak dulu
kezhia arini,4,2 tahun lalu,"Masih oke,cuma kurag terawat,tapi untuk kumpul2 keluarga dgn budget yg slow,ini tempat yg oke punya.kmren ke sana lagi rame yg mancing,rombongan keluarga juga,seru,,"
Faeyza Ara,5,2 tahun lalu,Sukaaa..... Nyaman.. Ank2 seneng... Tp jaaaauuuuuuhhhhh dr rmh... Kl mo mancing lg mesti nunggu weekend.. Biar ank2 bisa ikut
Priyo_SUMBODO,5,2 tahun lalu,"Tempat Mancing, tamasya bersama keluarga,..."
mochammad murtado,5,2 tahun lalu,"Cocok untuk liburan keluarga,cuman sayang sebagian tempat kurang terawat...tp ok lah"
Puguh Ilyas supanji,3,2 tahun lalu,"Pas aku dateng ke sini agak sore tempat nya kotor trus ikan nya jarang mendekati umpan , kayak nya aku datang e kesiangan  , mungkin bisa dicoba datang pagi"
Reza Khulaifi,4,2 tahun lalu,"Ikannya ga banyak, mancing seharian orang semobil ga ada yg dapet.. Serasa mancing di sungai brantas belakang rumah.."
Distributor Utama SR12,5,2 tahun lalu,Enak buat santai bareng keluarga
Isma Wati,3,2 tahun lalu,"Kyk sudah gk terawat sih ya tempatnya,,, gk kyk dulu. Kamar mandinya pun kurang bersih begitupun dengan musholla nya... Semoga ada peningkatan untuk menjaga tempatnya agar yg berkunjung lebih nyaman."
Boyo Lanang,5,2 tahun lalu,Tempat mancing keluarga ter fave
jon arsis (Jon to the Are Sist),5,2 tahun lalu,cocok buat pecinta mancing. tapi ya gitu panas cuacanya hihihihi
Ahmad Nahdimudin,5,2 tahun lalu,"Lumayan lah, diparkiran agak panas, tapi saat masuk kedalam lokasi lumayan adem dan sejuk, tempat luas, banyak tempat untuk duduk, berteduh, gazebo, makanan lumayan cocok di lidah, ikan patinnya besar2"
Alfiliana Feb,5,2 tahun lalu,Sip
julie susanto,3,2 tahun lalu,"Tempat nya seh recommended utk kalangan menengah kebawah mencari rekreasi yg sesuai badget dan utk kolam ikannya banyak yg dpt trs harga tiket masuk 5rb
Klo mau bawa anak2 tlg diawasi biar tidak ada yg yg kecebur dikolam ikan
Pokoknya senanglah disana bisa leyeh2 sampai menunggu makanan"
Putut Kuswarno,5,2 tahun lalu,"Tempat yang cocok untuk rekreasi bersama keluarga bisa memancing dan makan di tempat, harga tiketnya juga murah hanya 5rb saja.."
Nency Rosy,3,2 tahun lalu,Ikannya kurang banyak kali ya..kmrn mancing koq ga dapat2 .hehe
Nhea Vlogger,5,2 tahun lalu,"Healing keluarga paling terdekat ya di sini, lengkap dengan aneka bakaran ikan, snack dll 😁 …"
Sri Harijanti,4,2 tahun lalu,"Tempat pemancingan keluarga, ikan yg dipancing bisa dimasakkan kecuali hari libur"
evi dwi,5,2 tahun lalu,Tempat mancing yg lengkap... Betah disini
ISWANTO KCS220,5,2 tahun lalu,Okk
Murti Wardhani,5,2 tahun lalu,Tempat memancing
Dika Glm,4,2 tahun lalu,tempat makan bakso gurami
fafafa vVva,1,2 tahun lalu,"Wess tidak terlihat seperti ikan, ia tidak memiliki ekor, ia hanya seekor ikan kecil, hama kecil, seekor ikan kecil."
Jati Teknik,5,2 tahun lalu,Kelihatan bagus dan ingin singgah
Christiyawan Christiyawan,5,3 tahun lalu,Liburan asyik murah meriah
Rima Agustin,4,3 tahun lalu,"Tempat mancingnya lumayan bagus dan dapat ikannya juga lumayan besar2 waktu mancing. Tapi untuk makanan yg dipesan kurang rekom hehe ya selera2an ya, setiap orang beda selera. Rasa masakannya cemderung manis."
Slow Motion,3,3 tahun lalu,"hanya mengutamakan memancing,utk kolam renangnya kurang rekomen krn kedalaman hnya se lutut ."
Putu' e Mbah aryo,5,3 tahun lalu,"Suasana nya sangat epik,sangat menyenangkan tempat nya...masakanya pass ,wuuenak polll.tempat buat makan bersama keluarga sgt bagus bersih.ramah pelayan nya.terima kasih 🙏🏽 …"
Nur Maulidiyah,2,3 tahun lalu,"tempatnya sudah agak usang ya, ikan bakarnya jg ga fresh di bakar di depan mata, sudah masuk kulkasan🥲 …"
Richi Fajar Adiputra,1,3 tahun lalu,Tempat udah usang. Low maintenance!!!. Pesan makanan baru d antar tapi udh pada dingin ikan & lauk2 lainnya. Pengelola nya yg bapak2 itu SANGAT TIDAK RAMAH. Kapok ajak kluarga kesini.!!! Masih banyak tempat lain yang jauh lebih bagus. Not recommended
arsya NZ,5,3 tahun lalu,Ikannya banyak bawalnya
jihan ferial,5,3 tahun lalu,"bayar pintu masuknya murah.. ikan bakarnya juga mantep, next kesini lagi👍 …"
Nugraha Daniswara,3,3 tahun lalu,"Sepertinya skrg tidak terlalu terawat. Tapi masih cukup menyenangkan dan boleh jadi pilihan. Wisata murah meriah, lumayanlah. Sy pribadi kurang cocok dg masakan restonya, tp anak² bs makan. Jadi masih oke. Sayang parkiran mobil kerap jeblok kalau habis hujan. Semoga segalanya semakin membaik di tahun² kedepan."
Arie Sandang,2,3 tahun lalu,"Sangat kecewa dengan masakannya, padahal sedang ajak keluarga besar. 2 ikan gurami besar dingin - tidak ada hangatnya sama sekali, tahu dingin biasa bukan crispy, 2 bakul nasi untunglah masih hangat (kemungkinan dari magic com). Suasana …"
