name,rating,date,text
R. Adha PW,5,seminggu lalu,"Seandainya pemkab serius mengelola daerah batik ini, pasti keren."
Keisha Sha,3,2 bulan lalu,sayang banget waktu beli produknya belum adanya kemasan khusus dari produk batiknya... padahal buat oleh oleh...
Jasmine Ta,3,2 bulan lalu,keren sih batiknya... tapi harga produk batik jetis tidak dapat ditawar yahh😅😅😅 …
Indah Permata,2,2 bulan lalu,variasi produknya masih terbatas dan tidak memiliki kemasan khusus.....
hekken,3,2 bulan lalu,batik jetis memiliki Produk batik yang masih tradisional
Abd Aziz,5,6 bulan lalu,Batik tulis bukan cap
Adi Gunawan,5,2 tahun lalu,kampung ku tercinta
ella nurul,5,2 tahun lalu,Kampung batik jetis itu berada pada rw 3 kemudian untuk rt nya itu rt berapa ya
Majidku Achmad,4,3 tahun lalu,Ok lah tempat nya
put_opia,5,3 tahun lalu,sore-sore jetis sangat indah
Rizkitrin Official,5,3 tahun lalu,Tempatnya masih kuno bgus untuk foto
Eko Rahmad Hermansah,5,4 tahun lalu,Ok
Nurjannah Inka,4,4 tahun lalu,"Di kampung batik ada banyak toko yg menyediakan batik bahan maupun sdh jd
Ada jg toko2 yg menyediakan busana muslim, oleh2 haji dan kuliner khas sidoarjo (klo siang hari) …"
Nekozuma Fathur,5,4 tahun lalu,"Para penjual di kawasan kampung ini sangat ramah, harganya terjangkau, dan banyak pilihan tempat dan variasi"
husnawati riviana jatim,5,4 tahun lalu,"disini ada pengrajin batik tulis, pembuat kue kue utamanya yg khas sidoarjo yaitu Bongko Menthuk dan kroket nya  yg  sangat enak halal dan  higienis. buatan nya bu hj Roihah & pak H Hasyim  yg rumahnya didepan masjid."
Fuad Fakhrudin,5,4 tahun lalu,"Sidoarjo tempo doeloe tercermin di lokasi ini.
Namun sayang jalan akses terlalu banyak polisi tidur"
Rudy Herumukti,3,4 tahun lalu,Nggak kelihatan aktivitasnya
Naniek Heldawaty,3,4 tahun lalu,"Jalanan sempit dan jadi tempat jalan potong kendaraan2 jadi kurang nyaman lokasinya, penataan toko2nya kurang menarik kurang sedap dipandang mata"
Radhitya Ditto,5,Diedit 4 tahun lalu,"Kampung asal muasal batik khas Sidoarjo tercipta, dengan model banyak bangunan kuno yg masih tertinggal dan terawat disinilah penerus generasi membatik menghuni yg sudah ada sejak th ±1675an, setiap gang dan lorong menyiratkan sejarah yg …"
Cakamet Alnain Zuhrie (Cakamet),5,4 tahun lalu,Ego
maswahyuka,4,4 tahun lalu,Orangnya ramah2..
Rey visco,5,5 tahun lalu,Bagus sekali
Abdul Malik Alim,5,5 tahun lalu,Home sweet home
fundy Bagus,5,5 tahun lalu,Banyak ragam pilihan n berkualitas
Harnik Harnik,4,5 tahun lalu,Sudah langganan
Faza Amelia,5,5 tahun lalu,Kampung yang artistik dan sejuk. Rumah2 dengan arsitektur tempo dulu juga instagramable
NUBA JAYA,5,5 tahun lalu,Tempat ini masyarakatnya rukun dan menuruti aturan pemerintah. Selain itu tempat ini ada berbagai jenis karya seni batik.
Abdurrahman Sholeh,4,5 tahun lalu,Batik khas sidoarjo tempatnya dsini
Jill Ramirez,5,5 tahun lalu,Kampung yg rata2 semua pengrajin batik tulis..dengan rumah yg jadul2 tapi elegan..batik tulisnya juga bagus dan banyak varian dengan harga yang terjangkau..
Churiyah Andayani,5,5 tahun lalu,Karena Kampoeng Batik Jetis tempat Saya dilahirkan dan dibesarkan disana
