name,rating,date,text
paud albahri,1,sebulan lalu,"Parkir 10 rb per mobil, masuk per orang 10 rb, naek motor ke arah lumpur 50 rb pp by ojek, cerita2 dg penduduk setempat seikhlasnya."
Anik Widiastutik,5,sebulan lalu,Desa-desa lenyap sama lumpur pada tahun 2006
Raden Djulhadi Joestar,5,2 bulan lalu,"Pada saat kejadian Lumpur Lapindo ini usia saya 10 tahun, dan saya ingat betul bahwa saat itu semua korban menangis menuntut ganti rugi ke PT Lapindo Brantas Inc. Saya berharap semua korban Lumpur Lapindo ini mendapat ganti rugi yang sepadan/seadil-adilnya."
Vanda Official,5,3 bulan lalu,Bagus tempat nya cuma yang bikin sedih kisah nya anak taun 2000-2006 an pasti tau🥹 …
I Gusti Ngurah Ardinatha,5,3 bulan lalu,Harga murah barang berkwalitas.
An. Jayyy (Mas Jay),4,3 bulan lalu,Sedih sebenarnya tempat suadara saudaraku yang sekarang hilang tak tersisa. Tapi skrang digunakanan tempat wisata tempat mata pencaharian warga sekitar.
MAHIRA BUKAN ARTIS,5,3 bulan lalu,Abi Rizal Bakri masih tidur nyenyak dan nyaman harta aman tak perlu ganti rugi
Prima Express Lda.,1,3 bulan lalu,"Allah SWT., sudah ingatkan, Jangan merusak bumi! Bencana dimulai oleh perusahaan swasta, tapi yg menanggung anggaran negara, ekosistem, sosial masyarakat, hancur. Dulu pasar Porong sekitarnya geliat ekonomi makmur, malam ada makanan2 …"
Feerenza,5,5 bulan lalu,"LUMPUR LAPINDO.
Buat kalian yang mau tau bagaimana kondisi terbaru dari tragedi musibah lapindo yang terkenal akibat kesalahan metode pengeboran, maka kalian harus kesini. …"
Ahmad Fauji,4,5 bulan lalu,Semburan sudah tidak begitu aktif hanya asap.. tetapi suhu di semburan masih 200°c
Tini Pangestu,1,5 bulan lalu,LUMPUR LAPINDO ( ABURIZAL BAKRIE)
Ono Marpaung,5,5 bulan lalu,Luapan nya udah 3ntek
Firman Sirait,5,5 bulan lalu,"Lokasi main sepeda gravel MTB XC paling ok di sidoarjo. Datanglah di pagi jam 6 atau sore jam 5. Masuk gratis, klo ada yg minta uang berarti itu pungli. Lawan pungli, jangan takut, videokan dan viralkan jika ada pungli disini"
Rafael seno art,1,5 bulan lalu,"Kenapa malah jadi tempat wisata? Ini adalah tragedi mengenaskan! Harusnya bukan wisata, tapi tempat ziarah. Ziarah terhadap bumi yang harusnya masih indah. Perkampungan yang harusnya baik2 saja."
Cucu Adam,5,5 bulan lalu,Bagusdan cepat
Adi Purna,5,6 bulan lalu,"03.08.2025
Waktu melewati jalan samping tanggul
Bau masih menyengat sampai saat ini"
Rahmat Hidayat,5,6 bulan lalu,"Semburan lumpur ini pertama kali muncul pada 29 Mei 2006, dua hari setelah gempa bumi di Yogyakarta. Semburan ini berasal dari lokasi pengeboran gas milik PT Lapindo Brantas. Hingga kini, ada dua pandangan utama mengenai penyebab bencana …"
Serba Serbi,5,6 bulan lalu,Lapindo Sidoarjo juga merupakan gejala alam selain dari pada penghuni Bumi ini yang kurang bisa menjaga ekosistem .
Daniel Preclík,5,6 bulan lalu,I have to give it 5 stars since we explored the place via a drone and its incredibly interesting. Its definetely not a tourist attraction but a memorial to the devastating power caused by human error.
Ananda Faza Surya Permana,5,6 bulan lalu,"Tempat semburan lumpur Lapindo ini akan menjadi ""Pompeii van Java"""
Здоров Валерий,3,6 bulan lalu,"Orang-orang meminta uang di pintu masuk, entah kenapa. Mereka bilang tiketnya untuk masuk, tapi mereka sebenarnya tidak memberikannya, meskipun kita sudah tidak heran lagi melihat pengemis di mana-mana. Saat melewati pintu masuk, dua orang …"
Milky Way Home Stay Canggu,4,7 bulan lalu,Sangat luas sekali lupur nya.
Agung Restu Saputra,3,7 bulan lalu,Ada tarikan khusus jika diluar warga lokal.
Fino Neeno,1,8 bulan lalu,Menyapa seluruh pembayar pajak yg ikut bantu menopang beban hidup bakri grup 😁 …
Sunaryo Oppoa16,5,8 bulan lalu,kontruksi bagus
Abas Lombok,3,8 bulan lalu,"Bayar karcis masuk sepeda motor 10.000.

Kalau mau keliling ada ojek, tapi tarifnya saya tidak tau, yg jadi ojek adalah warga korban lumpur."
Juli Abi Respati,1,8 bulan lalu,"Mau sedih tapi jengkel

Sedihnya kasihan tertimbun lumpur …"
G,3,8 bulan lalu,"masuk bayar 10 ribu, naik motor , yg jaga ramah dan sangat membantu
area nya luas banget, ada papan penunjuk, tapi tetap hati2 …"
Terminator Makanan,3,8 bulan lalu,Yah cukup tau
Si Abang,1,8 bulan lalu,"Hmm ini menurut ku kelalaian pelaksana proyek, namun dijadikan kejadian nasional, seharusnya para pelaksana yg bertanggung jawab dgn metode pelaksanaan yg kurang mumpuni. …"
Dodi Indriyadi,5,9 bulan lalu,Dampak dari keserakahan manusia 😵‍💫🥴 …
saebani ancilas,5,9 bulan lalu,"Bencana nasional semburan lumpur yang sangat luas, merendam beberapa desa"
"Setyo Utomo, ST",3,9 bulan lalu,"Ada biaya masuk yang ditarik oleh pengelola/warga setempat
Dewasa Rp.10.000
Anak Rp.5.000
Parkir mobil 20.000"
Dimas NuR,4,9 bulan lalu,Lumpur Lapindo blukutuk blukutuk
Wahyu Tri Ananda,3,9 bulan lalu,"Pemandangan sekitar memang indah, namun pemandangan di lokasi membuahkan kepiluan, mengingat ini adalah lokasi bencana. Meski begitu ada pihak yang tidak beranggungjawab yang malah menjadikan tempat ini sebagai ladang pungli. (Kami sudah bayar tiket, namun di lokasi masih ada yang minta lagi dengan alasan yang tidak masuk akal)"
Nothing Here Ok Guysss,5,10 bulan lalu,"Situs Bersejarah:
Blukutuk blukutuk kereta argo ngawi jes gejes jes gejes"
Frinsa Dinata,5,11 bulan lalu,spot mancing
