name,rating,date,text
Agha Azka Widyadhana,3,2 minggu lalu,Kesini gara gara Natan Suparman 🗿 …
Zongli Morax,2,5 bulan lalu,di perahu doang ngak ada pulau nya
Syabab Camp,5,6 bulan lalu,"Izin berbagi sejenak, semoga Allah mudahkan langkah-langkah kita untuk terus mendukung generasi muda yang punya akhlak dan skill kerja. Salah satu jalannya bisa melalui sponsorship Syabab Camp—penjelasan lengkap di akhir review ini. …"
Eriskadw,4,9 bulan lalu,"Tempatnya benar- benar sunyi dan asri, tumbuhan sangat rindang, sekali keberangkatan butuh waktu 15 menit, boat-nya bagus, sopir boat-nya ramah, disarankan kesana bawa rombongan karena sekali berangkat minim 11-12 orang, aman karena diberi jaket pelampung tiap pengunjungnya."
reza junaedi,5,setahun lalu,Apa untuk naik perahu nya harus tunggu banyak orang? Kalau cuma berdua apa tetap berangkat?
ham 312,1,setahun lalu,Ke pulau naik kapal seharga 25ribu tidak sepadan dengan harganya.. Sampai pulau tidak ada apa² cuma banyak bangunan terbengkalai.. Jalan jauh² ke tengah pulau cuma singgah ke WC habis itu jalan balik lagi
alasroban,3,setahun lalu,"Konon merupakan.
pulau reklamasi tanpa sengaja.
akibat pembuangan lumpur lapindo ke sini."
Toko Murah Meriah,5,setahun lalu,"gabut ngikutin sungai brantas di maps ujung nya smpk mana trnyata smpai sini wkkwkwkk,, akibat gabisa tidurrr tengah malam"
yuni maria,2,setahun lalu,"Pertama kali ke sini..kaget sih ga sesuai ekspektasi. Sepi trus liat sekeliling kayak tempat yg terbengkalai,,,,ya cuma ada kapal tapi ga beroperasi...mau foto lokasi tapi bingung apa yg di foto"
Eyiq,3,setahun lalu,Belum ada fasilitas pendukung pariwisata di pulaunya
yudi Wahyudi,5,setahun lalu,Wisata bahari di pesisir ujung timur selatan sidoarjo
Theo Andre,5,setahun lalu,Tempat yg cocok untuk liburan keluarga. Angin semilir bikin ngantuk.
Lasya Dimas _S1 TE,5,setahun lalu,"Salah satu pulau muara dari sungai porong di Sidoarjo yang terbentuk alami dari endapan Lumpur Lapindo (LUSI). Tempatnya enak, nyaman, dan sejuk tapi di beberapa bagian ada yang becek seperti terkena pasang air laut. Untuk perahunya per …"
Fadil Dzaki Efendi,4,setahun lalu,Ikan bakar e mantap..
Lail Lail,5,setahun lalu,Aku biasanya naik perahu sendiri dari tambak rejo
cholisoh umairoh,5,setahun lalu,"Kalau pas hujan tidak bisa ke pulau lusi,  harus menunggu hingga reda. Per orang mengeluarkan biaya Rp.25.000 untuk menaiki bus boat pulang pergi"
andre husnari,4,2 tahun lalu,Bagus. Bisa ngajak keluarga wisata k sini naik perahu
Istanti Aveiro,5,2 tahun lalu,"Oktober 2023
Baru tau pulau ini
Dadakan aja main ke tlocor dan ada wahana naik peragu menuju pulau ini …"
Hesti Lestari,4,2 tahun lalu,bgus
