name,rating,date,text
Yusrin Sabrina,5,23 jam lalu,Taman dikota Sidoarjo yang rekomended
Dwi Shinta,5,4 hari lalu,"Adem ,"
laili khusniah,5,4 hari lalu,"Tempatnya tambah luas, bersih dan bagus"
mohammad hepni,1,Diedit 2 minggu lalu,"Tempatnya kotor dan pengunjung membuang sampah sembarangan, seharusnya di kasih petugas dan mainannya banyak yang rusak"
Ika Nuryani,5,3 minggu lalu,Tempat murah meriah dan ramah anak.. Namun sayang pengunjungnya banyak yg tidak bisa menjaga kebersihan. Buang sampah seenaknya. Saya sampai prihatin. Dikasih fasilitas itu toling dijaga ya wahai warga kota Sidoarjo. Nggak semua org bisa …
Parmila Zulfadiyanti,4,3 minggu lalu,"Udara segar di tengah kota sidoarjo , bikin good mood"
Titan 10,5,3 minggu lalu,"A real park for community, very seldom to see this in big cities. All family members from all ages come and enjoy the park.
Beside this park is CFD foodstreet every Sunday morning.
Nice to visit and will visit again if possible."
Mama LuNa,3,Diedit sebulan lalu,"Tempat sejuk, area lumayan luas
Banyak fasilitas yg perlu diperbaiki
Di bawah area bermain yg ada atapnya ada sampah2 dari pengunjung yg tidak …"
DHaryanto Family,5,sebulan lalu,Tempat sejuk dan rindang ditengah kota sidoarjo. Nyaman buat piknik dan banyak tempat bermain anak.
Dyah Puspita Sari,2,Diedit sebulan lalu,"Tempat rindang, ramah anak, untuk kumpul2 juga nyaman. Cm perlu ditambah pengawas utk mainan anak2 dan area di pinggir selokan (ulasan 8thn yg lalu) …"
Amatullah Umujakfar,5,sebulan lalu,"Pertama kali ke sana bulan ini, antar anak rekreasi, ternyata lumayan bagus,, banyak spot foto,, ,, arena bermain anak,, lokasi strategis,, gampang aksesnya"
Tobatlah Repent,3,Diedit sebulan lalu,"Mainan bervariasi, anak suka, masuk gratis, parkir bayar motor 3ribu dan mobil 5ribu. Toilet umum ini beneran bayar kah? Setahu saya fasilitas umum dimana2 gratis. Smoga bukan pungli karna pungli itu haram.
Dan disini mainannya agak karatan dan waktunya direpair. Makasih"
Choirul Garin,5,sebulan lalu,"Untuk ukuran kota Sidoarjo, tempat seperti Taman Abhirama sangat jadi rekomendasi tempat santai dan bermain a anak yang sangat terjangkau."
Dhavan Zaki,5,Diedit sebulan lalu,Tempat relax dan taman bermain untuk balita. Tiap hari minggu pagi rame banget
Dedi Haryadi,5,sebulan lalu,Keren dan nyaman di Sidoarjo..👍🏼👍🏼 …
Bogg 1933,5,Diedit sebulan lalu,"Cocok untuk anak"" dan dewasa, tempatnya nyaman dan sejuk mantap 👍 …"
upload bal,5,sebulan lalu,"Taman favorit anak saya.
Mohon dengan sangat untuk tidak merokok di taman. Sudah ada plang dilarang merokok namun masih ada saja bapak-bapak bebal yang merokok di taman. Tolong lah, iji taman anak-anak."
Wahyu Irfan,5,2 bulan lalu,sejuk dan nyaman buat nyenengin si bocil😁 …
Syaiful Anies,4,Diedit 2 bulan lalu,"Salah satu taman bermain di tengah kota sidoarjo,  bisa untuk arena bermain maupun outbound , tersedia berbagai wahana permainan dan tanaman serta pepohonan yang asri rindang sehingga membuat suasana menjadi sejuk dan asri, lahan parkirnya juga tersedia , ada toilet serta musholla"
fidyah arini,3,Diedit 2 bulan lalu,Kotor banyak kotoran burung
Sr. Prayogi,3,2 bulan lalu,"Fasilitas banyak yg rusak Tidka terawat. Terkesan dibiarkan. Pengunjung cenderung banyak, seharusnya itu menjadi tolak ukur bahwa ruang terbuka untuk anak2 sangat dibutuhkan. Sayang sekali tidak didukung oleh perawatan dan peremajaan dari dinas terkait."
Segar Buah Sidoarjo,5,2 bulan lalu,Taman bermain anak” Gratis
Lum Barong Aji,5,2 bulan lalu,"Sekarang tempatnya lebih terawat bersih dan bagus, masuk gratis cuma bayar parkir motor aja murah 3rb doang 👍 …"
Yanti Putri,4,3 bulan lalu,toilet terbatas.. penjaganya kurang ramah
indah kusumadewi,5,3 bulan lalu,"Ada parkir yg aman, tamannya banyak mainan anak-anak & pepohonan yg rindang jd teduh di siang yg terik. Cocok buat momong karena gratis juga 😁
Tempatnya lumayan terawat kebersihannya. Ada toilet tp blm pernah pakai. Untuk …"
ferisetia rahayu,5,3 bulan lalu,Seru sekali
R. Ivan B.,4,3 bulan lalu,"Tempat bermain anak2 yg sejuk, sayangnya arena bermain naikan turunan areamya sangat kotor, mungkin perlu perhatian prtugas kebersihan agar fasum terawat"
tri yusufi Rahmadani,5,3 bulan lalu,Ramah anak
Randy Herlambang,5,3 bulan lalu,Bisa kasih makan ikan dan kuliner kalau hari Minggu
Icha_ JH06,5,Diedit 4 bulan lalu,"Udah ada tulisan begini kenapa masih banyak yang ngerokok .. please mending ada satpam keliling buat negur orang"" yang ttep bandel ngerokok .."
Bung Cokro,5,4 bulan lalu,Tempat bermain anak yg luas dn adem
Y & B,2,4 bulan lalu,Bayar parkir 3000 . Taman.nya kurang terawat . Tanaman kering . Kotor kumuh kurang bersih penghijauaan kurang mainan banyak yang rusak.  . Mohon peremajaan taman abhiramanya . Biar pengunjung betah ... toilet juga kurang bersih .
Tannaga Dessy,5,4 bulan lalu,Taman murah sidoarjo
Muhammad Ilham Romadon,5,4 bulan lalu,Tempat menyenangkan untuk anak-anak
Purwanto,5,4 bulan lalu,"Salah satu taman di tengah kota sidoarjo. Dekat dengan GOR. Tempat enak buat duduk2 santai, karena ada gubuk2nya. Sayang kalau malam tutup."
Vira Cute,5,4 bulan lalu,Nyaman untuk bermain anak anak
Uwais Al qarni,4,4 bulan lalu,"Taman abhirama dulu ramai, sekarang lebih sepi karena kurang mendapat perhatian dari pemerintah"
moh rois,5,4 bulan lalu,Enak kalau siang
Sony Ahmad,5,5 bulan lalu,Suasana rindang di perkotaan sidoarjo
Maha Diyan,4,Diedit 5 bulan lalu,"Permainannya oke tidak ada yg rusak, tapi sayang lokasinya sengaja di banjiri air dari kolam sepertinya untuk tanaman tapi itu jadi becek, bagian gerbang masuk di kandang burung terlihat kumuh. …"
Ambarwati Nggeri,5,5 bulan lalu,Wahana bermain tergratis yg ada di sidoarjo.. Cuma bayar parkir aja 3000.. Senengnya lagi bisa dapat Pelangi kalo pas kebetulan dy ada dan itu bikin anakku seneng banget.. …
Diana Krisnawati,5,5 bulan lalu,disitu saya selalu mendapatkn orderan gojek
suyono tok,5,5 bulan lalu,"Lumayan bagus buat santai ada bermain untuk anak"""
Akhmad Nj,4,6 bulan lalu,Murah meriah . Rekomendasi yg punya anak agar belajar bersosialisasi sesama anak sebaya. Bagi yg muda mudi not recommended. Jadi please kalau mau ngedate jangan di tempat ini. Ini untuk anak2...
arum mei,5,6 bulan lalu,Tempat oke.
Robet Gambas,5,6 bulan lalu,"Tempat bermain anak, murah dan menyenangkan"
Yuliana Dewi,5,6 bulan lalu,Karpetnya sudah robek2
Briona_Lavenden _Hydrangea_Owl_Nda (Aisyee Nda),5,6 bulan lalu,Ke sini emng sengaja mau tau dlmnya. . .
