name,rating,date,text
Wayan Suryanegara,5,2 hari lalu,"Keren, datanglah malam hari"
Rengga Terapi,5,sebulan lalu,Bagus sekali
Nala Zulfa,5,sebulan lalu,"Tiket masuk murah, tempatnya bersih terawat, dan sangat mengagumkan
Pemandangan gunung atau bukit sangat mempesona bikin betah disini
Semoga terus berkembang dan banyak pengunjung serta menjadi tempat yang lestari"
Shinta Indah Meilia,5,sebulan lalu,"Baru pertama kali kesini, pas pantai lagi pasang, dermaganya wajib dicoba sihh, soalnya bagusss, terus juga setiap jalan pasti ada space untuk rehatnya"
QURRATUL AINI,5,sebulan lalu,Tempat yang nyaman untuk bersantai bersama keluarga
Tapayy Gerre,5,2 bulan lalu,Selalu Ramaii Cocok Buat Nongki²👍🏼 …
Ridwan Hasyim,5,Diedit 2 bulan lalu,Mantap
lusfiatul hikmah,4,2 bulan lalu,"Udara sejuk tempat nyaman view langsung ke pantai ,makanan nya juga murah murah"
basar abi,5,2 bulan lalu,"Semilir angin laut di pantai bletok
Cocok untuk bersantai bersama keluarga"
basuki rahmad,5,2 bulan lalu,pantai di pantura... tempat parkir luas dan menu makan minum yg ramah di kantong
Rulli Widyatmoko,5,2 bulan lalu,"Pantai Blethok Situbondo, tempat yang menarik dengan dermaga yang menjorok ke tengah laut. Cocok untuk menikmati suasana pantai dengan ditemani pemandangan perahu-perahu nelayan yang sedang bersandar. Cocok juga untuk spot mancing pinggiran. Bis besar ternyata bisa masuk, maksimal 4 bis."
belanjaOK dotcom (belanjaOK),5,3 bulan lalu,Pusat belanja online terlengkap
rina andriana,5,3 bulan lalu,Tempat favorit ku.... Setiap malem sya di sana
Siti Zulaiha,5,3 bulan lalu,Tempatnya sangat indah banyk tempat kulineran juga..cocok bget buat liburan n berwisata
Kedai Hijau,4,Diedit 3 bulan lalu,"Semakin memperbaiki, cm terakhir kesana tulisan bletok dan airnya lusuh"
susi suryani,5,4 bulan lalu,"HTM 5000 bisa masuk swafoto langsung k laut, jd ada jalan setapaknya mengarah k laut"
Ulin Nihayah,5,4 bulan lalu,Suka ke sini bareng suami. Ikut suami mancing di dermaga pemandangan indah sepoy sepoy. Harga makanannya murah. Tiket masuknya juga murah.
Ronie Nyit Nyit,5,4 bulan lalu,Cocok untuk wisata keluarga
Moch Mochaimin,5,4 bulan lalu,Bagus
Bayu Xp,5,5 bulan lalu,"Tempat berhenti kami kalo otw ke Bali dari Surabaya, makan penyetan den dimari"
Fatimatus Zahro,5,5 bulan lalu,bagus sekalii
Ali Imron,5,5 bulan lalu,Suasana tenang gak habis pikir ada tempat seindah ini pas perjalanan mantap dech
Hasan Basri,5,6 bulan lalu,Pantai blitok yg indah cocok untuk santai bersama keluarga
Hantu Laut,2,6 bulan lalu,"Kotor, dilihat dari dermaga banyak sampah dibawah, toilet umum dijadikan tongkrongan anak muda dimalam hari"
Muhammad Iqbal,4,6 bulan lalu,Bersih terawat
Almahyra Nayra,5,6 bulan lalu,"Dukun picet rekpleksi,dan jual beli barang bekas,at brng rongsokan bertani melihara sapi,hobbi bersiaroh ke makam para wali"
SRI NUR INDAH A,5,6 bulan lalu,Mantap
azril channel,5,6 bulan lalu,sering mancing disini bersama anak
Penyeng Bellaret,5,6 bulan lalu,"Pantai nya indah bangett,makannya juga enak enakk"
Teguh Setiyawan,5,6 bulan lalu,"Kesini pas sore, ketemu sama sunset, cakep banget dari tempat ini, parkir mobil bayar 5rb, tempat duduk di taman banyak dan bebas"
Amalia Mahmudah,5,6 bulan lalu,"Pantai Bletok cocok banget buat yang cari pantai tenang dan bersih. Tiket masuk cuma 5k, tapi kalau mau mancing dikenakan 10k. Worth it banget sih karena tempatnya bersih, banyak tempat sampah jadi nggak ada sampah berserakan. …"
Nur Rohmat Alfiansyah,5,6 bulan lalu,Karena sy ke sini sudah malam
eka maditya,5,7 bulan lalu,"Dateng pas sore lautnya lg surut.
Bs main k bawah dermaga sampe pinggir lautnya.
Masuk cm bayar parkir mobil 5rb.
Bnyak jajanan hrganya msh murah meriah."
Fajar Erlangga,5,7 bulan lalu,"Untuk tiket masuk hanya bayar biaya parkir untuk
Roda 2 Rp. 2.000,-
Roda 4 Rp. 5.000,- …"
Halek Diman,5,7 bulan lalu,Disana kalo sore sore enak banget apa lagi penjual nya banyak kalo malam estetik tempat nya
Anwar Hidayat,3,Diedit 7 bulan lalu,Standar aja
Irfan Janti,1,7 bulan lalu,"Untuk pemandangan nya Alhamdulillah lumayan bagus tapi untuk Tukang parkir nya tidak ramah
Mangkanya itu saya kasik  nilai bintang
Satu"
