name,rating,date,text
Lintang Ramdani,3,1 hari lalu,jujur ga sesuai ekspektasi🥲 …
Meilinda Pramesty,5,seminggu lalu,"Pasir Putih Situbondo menjadi salah satu destinasi wisata yang menyenangkan untuk dikunjungi, baik bersama keluarga maupun teman-teman. Pantainya sangat indah dengan pasir putih yang bersih dan ombak yang cenderung tenang, sehingga aman dan …"
salted caramel,4,2 minggu lalu,"pantainya bagus, berpasir putih, ombaknya tenang, disini kita bisa berjemur, bermain wahana air, apalagi kesini pas sore hari jadi bisa lihat sunset. disini juga banyak warung2 orang jualan. mulai dari jual makanan sampai jual oleh2pun ada."
Roro Shinta,5,3 minggu lalu,Andalannya Situbondo
Wieds Pakarsa,5,3 minggu lalu,"Pantai cukup bagus
Bisa berenang di sini
Tersedia penyewaan alat renang …"
Salsabila SKP,5,3 minggu lalu,"pantainya bagus ko ngga jelek² amat, tanpa edit tanpa filter"
Chevia Bojes,1,4 minggu lalu,Jum.at kemarend kesini tiket masuknya 11ribu per orang motor 5ribu ..pas masuk gak d arahin motor parkir di sebelah mana di biarin gitu saja ...dan pasirnya gak warna putih malah ke mocca cenderung coklat aernya juga gak jernih beda jauh …
Mbah Wo,5,sebulan lalu,"Area wisata luar biasa.
Toilet dan ruang bilas kurang"
Adyasta Deo,4,sebulan lalu,Bersih tetapi kamar mandi nya agak kotor
Agus Sudharnoko,4,Diedit sebulan lalu,"Pantai yang sering dilewati saat akan ke Banyuwangi atau pun Bali. Berada di tepi jalan utama Kabupaten Situbondo,jalur Surabaya- Banyuwangi.  Keunikan tempat ini adalah kita bisa menyewa perahu layar yang berwarna warni menuju ketengan laut, menikmati pemandangan"
Hartati Eko Wardani,5,sebulan lalu,Asyik tempatnya buat wisata keluarga. Ada musholla juga
putri kharisma dwi cahyunia,5,sebulan lalu,"Pasir putih yang terkenal mulai dulu nih, pasirnya beesih, ombaknya tenang tapi sayang harga makanannya mahal"""
Felyana Andriani,5,sebulan lalu,Nyaman utk refreshing
i,1,2 bulan lalu,Pasirnya ternyata moca ndak putih
Diki Galih,5,2 bulan lalu,"Pemandangan indah, sangat rekomended"
Crocaffeine,5,2 bulan lalu,"Pantai favorit dari kecil. 5 jam dari Surabaya tanpa tol. Banyak toko oleh oleh. Bisa naik perahu, tersedia sewa ban 10K, pantai pasir dangkal jadi aman buat anak anak ( tetap diawasi ya) . toilet bersih banyak. usahakan kesini jangan weekend pas rush hour, toiletnya antri 🤧 …"
Rendy Njoto,5,2 bulan lalu,Beautiful calm and quiet beach. Located just at the outskirts of situbondo. A bit long drive from Surabaya but it was worth it seeking short serenity here.
isalli,4,3 bulan lalu,syange gak boleh mancing
Sulastri 234,5,3 bulan lalu,Karena bagus dan indah
Fatimatus Zahro,4,5 bulan lalu,lumayan bersih
irfan prayoga,5,Diedit 5 bulan lalu,Tidak terlalu ramai di hari-hari sibuk. Cocok untuk yang suka ketenangan.
Arya Dwi Wangsa,5,5 bulan lalu,Indah
Karis Mauyy,5,6 bulan lalu,"Pantai yang menyenangkan untjk mandi anak2 dan keluarga, meski tdk seindah puluhan tahun silam"
Dimas Faozi,5,6 bulan lalu,Wisata pantai pasir putih yang cukup terkenal di Kabupaten Situbondo. Untuk bisa masuk ke pantai ini bisa membayar tiket yang relatif murah. Saat sudah masuk pengunjung bisa menikmati berbagai fasilitas yang ada di dalamnya. Saat berenang …
Gysaila Shaqila,4,Diedit 6 bulan lalu,Dipintu masuk bayar tiket masuk + parkir tapi diparkiran masih ditarik biaya parkir lagi
Nayra Nay,5,6 bulan lalu,Happy yaaa
Qonita Nisa,4,Diedit 6 bulan lalu,Recomended untuk liburan bersama keluarga.
PIZZA and MIE JAVATO (PIZZA JAVATO CAFE),5,6 bulan lalu,Biasa saja
muhammad djoefri,5,6 bulan lalu,"Tempat wisata yg sangat indah,mandi laut yg aman tidak ada karang"
ainul roeshania,5,7 bulan lalu,Pantai Utara Jawa dengan ombak yang relatif tenang
Iqbal GhaniZz,3,7 bulan lalu,Pantai nya bagus bgt
Firda Afifah,4,7 bulan lalu,"Disamping jalan raya pas, tiketnya lupa harganya berapa soalnya kita dapet diskonan. Bisa main air dan kayaknya diujung ada jembatan tapi kita ga kesana. Kesini pas sore+mendung, jadi ga terlalu jelas sunsetnya. Airnya tenang, ga terlalu ada ombak."
rUdy liEm,5,7 bulan lalu,Always in my heart
Bambang Sumariyono,5,7 bulan lalu,Tempat untuk melepas Lelah
Hans,5,7 bulan lalu,"Tempatnya indah, ombaknya tenang jadi cocok dijadikan tempat rekreasi bagi keluarga. Tiketnya juga lumayan murah 10k/org. Bisa menaiki perahu layar jika ingin melihat terumbu karang ditengah laut."
R3D Vlog,5,7 bulan lalu,"Pasir putih situbondo merupakan tempat wisata yang sangat bagus dan indah. Cocok untuk wisata ramai ramai bersama keluarga atau bersama teman-teman. Pantai yang sangat indah dengan pasir pantainya yang putih dan ombak yang tenang, pas …"
Aminulloh DS,4,7 bulan lalu,"pantai dengan pasir putih, air yang jernih, dan fasilitas yang lengkap, pantai yang terletak di bagian utara Pulau Jawa ini menjadikannya tujuan yang tepat untuk bersantai dan melakukan aktivitas air bersama keluarga."
rapabalapliar,5,8 bulan lalu,"beli kalung kerang disini,bagus ada tali putih,hitam,pink,bagus kerang nya"
widi ary,3,8 bulan lalu,"jangan datang dihari hari weekend.rame dan susah cari tempat, sayang nya pantai pasirputih saat ini sudah tidak sebersih 10thn yglalu."
kureedhata,5,8 bulan lalu,"menurut saya, pantai pasir putih HARUS dikunjungi. kebersihan pantai sudah, makanan juga enak, bisa lihat ikan di terumbu karang- (tidak bisa menyelam tapi). viewnya bagus banget saat ada sunset, bisa juga buat scene theater- jujur. kalau …"
tri sulistiowati,5,8 bulan lalu,"beach with white sand, clear water, and full facilities, this beach located in the northern part of Java Island makes it a perfect destination for relaxation and water activities with the family. also suitable for water sports such as snorkeling, diving, mrmancing also rent a boat to go around the beach"
Dondup Sherab Дондуп жарма шрп,4,9 bulan lalu,Just fine
