name,rating,date,text
Elkana Panda,5,2 hari lalu,Suasana alamj
agus margono,5,2 hari lalu,"Savana Bekol di Taman Nasional Baluran, Banyuwangi, adalah destinasi wisata alam yang luar biasa. Savana ini sering disebut ""Africa van Java"" karena pemandangannya yang mirip dengan savana di Afrika, dengan hamparan rumput luas dan latar …"
Agus Sudharnoko,4,Diedit 3 hari lalu,"Tempat menikmati alam dan fauna liar. Disini kita semestinya hanya tamu, hewan liarnya pemilik rumah.  Kita harus menghormati mereka. Pengalaman yang paling menarik datang kesini adalah pada saat musim kemarau. Dimana satwa liar keluar dari …"
Ikbal Kemponkk,5,2 minggu lalu,"Savana Bekol menyuguhkan pemandangan padang rumput yang sangat luas dengan nuansa khas “Africa van Java”. Saat cuaca cerah, lanskap terlihat indah dengan latar Gunung Baluran dan langit biru yang luas. Suasananya tenang, alami, dan cocok …"
Afifah Bahruddin,5,3 minggu lalu,"kesini pas musim hujan jadi hijau semua, ngga kalah bagus dibanding saat kemarau"
Iman Sholehuddin,5,3 minggu lalu,"Keren...
Tapi lebih keren saat musim kemarau"
eva pujilestari,5,sebulan lalu,Hutan banyak monyet liat
GNCB CHANEL,5,sebulan lalu,Yang asli adalah Afrika dari Jawa
Noviarisa Fatima,5,sebulan lalu,"Masya Allah, sangat bagus."
Indra Fariansyah,5,sebulan lalu,pengalaman yg tak terlupakan 03122025
Endro Nur,5,2 bulan lalu,"Savana Bekol seperti sedang di negara Afrika,sarana luas, tanah kering dan banyak hewan²"
Hari Suharlim,5,2 bulan lalu,"Saat berkunjung cuaca sedikit hujan, jadi agak adem, gersang dan alami hutan savana nya terlihat kera, burung merak dan kerbau hutan"
Kusuma YF,5,2 bulan lalu,"Kebetulan sedang ada kerjaan di Banyuwangi dan gak afdol klo gak mampir ke salah satu tempat favorit turis yaitu Savana Bekol, alasannya: …"
Fino Neeno,5,4 bulan lalu,"Leave only footprints,
Take only photos"
Void Aztec,5,4 bulan lalu,panas
Jasper,5,4 bulan lalu,"I am positively surprised. We did a jeep tour and sat on top of the roof of a jeep. We saw many monkeys and a bunch of other animals. The sunset here was beautiful and although it's a tourist destination, it didn't feel like mass tourism."
Sri Purwanti,5,4 bulan lalu,Datang kesini pada musim kemarau..jadinya super panas dan gersang...tapi pemandangannya indah..dan makan nasi tempongnya enak dan komplit..pantainya indah dan bersih..tapi hati2 dengan monyet2 yg byk berkliaran...jgn taruh tas sembarangan klo ga ingin di bawa kabur monyet
Dadang,5,4 bulan lalu,Tempat andalan
Lovebale Kriya,1,4 bulan lalu,"Sungguh d sayangkann, alat danitasi Wc dan kamar mandi memprihatinkan"
Suryadi Witomo,4,4 bulan lalu,Di bawah pohon Raisa
M. Irfan Hidayat,5,5 bulan lalu,"Padang savana yang bagus utk dieksplor atau cukup berfoto.. dan ada hewan liarnya seprti burung merak, rusa dan kerbau"
Abdi D. Maulana,5,5 bulan lalu,"Dateng kesini pas sore hari, pemandangannya keren banget"
Abdi Dharma Maulana,5,5 bulan lalu,"Keren banget, berasa di Afrika"
Rury Nur Aini,5,6 bulan lalu,"sengaja kesini pas weekday, pas momen liburan sekolah selesai. tetap ramai pengunjung ternyata, tapi masih aman dan lowong jalannya. tiket masuk per orang 21rb (weekday) dan mobil 10rb. pas kesana cuma ketemu monyet-monyet aja, ngga sejail …"
Fajar Nugraha,5,6 bulan lalu,"Dateng waktu sore lebih bagus, liat sunset sambil liat binatang2 pada dipinggir jalan"
Fajar Permadi,5,6 bulan lalu,"Sangat menyenangkan, tiba disana saat sore jadi bisa lihat rusa dan sunset di savana. Hati hati dengan makanan anda karena banyak monyet di area ini"
hendra satriawan,5,6 bulan lalu,Went here with my wife and son.. it was beautiful..
Sudrajat Ahmad,5,7 bulan lalu,"View terbaik,masih banyak hewan kera bila berutung bisa bertemu dengan rusa"
Putra Pratama adit,5,8 bulan lalu,Kesini pas lagi hijau🤩 …
fanny novia,4,8 bulan lalu,seperti afrika
Dharma Patti,5,8 bulan lalu,Padang rumput yang luas..kalo lagi liburan antri foto😄 …
Heksa,5,8 bulan lalu,Wajib kesini kalau ke Taman Nasional Baluran. Dari pos pintu masuk masih masuk kedalam sekitar 30 menit berkendara dengan jalan aspal yang cukup baik. Savana Bekol yang iconic dengan hamparan padang savana dengan background gunung dan kalau …
Muhammad Nuruddins,4,9 bulan lalu,Istimewa
Irra Octavia,5,9 bulan lalu,"Tempatnya bagus banget buat foto-foto, karena lagi musim hujan jadi savana-nya hijau seger gitu. Banyak banget monyetnya, di sepanjang jalan dan di savana. Hati-hati aja kalau bawa makanan dan barang barang lucu karena bisa diambil monyet. …"
Widi Nugroho,5,9 bulan lalu,Memberikan pengalaman baru berpetualang
anastasia silviana,5,10 bulan lalu,"menarik buat foto2, banyak monyetnya juga 👍🏻👍🏻👍🏻 …"
Andry Trianto,5,10 bulan lalu,"Savana Bekol dari Taman nasional Baluran sungguh magis sekali memang layaknya seperti Afrikanya jawa. Walau belum pernah ke afrika sih, tapi memang banyak yang mengatakan seperti itu. Banyak hewan yang masih alami berada disini. Jadi naluri …"
asigit p,5,11 bulan lalu,cakeeep
Mariya Ulfa,5,11 bulan lalu,Kerennn banget! Nggak nyesel kalian kesini menikmati indahnya Alam dan Bertemu banyakkk si onyet disini dannn wajib banget mampir ke pantai Bama yang airnya sangattt bersih dan bening sekali lhoh. Saran kalau kesini jaga barang bawaan karena banyak sekali onyet~
Wahyono Wahyono,4,11 bulan lalu,"Tidak ada tour guide, sehingga unsur edukasi sangat kurang."
Kristian Wibisono,5,11 bulan lalu,Afrika nya jawa timur
About Liliana,5,setahun lalu,Banyak spot foto bagi yang suka foto
Ratnawati Markus,4,setahun lalu,"Keren!
Wajib datang menikmati keindahan alam Savana Baluran atau Savana Bekol."
Leo Nardo,5,setahun lalu,The Africa of Java 👍 …
Maureen Suanie,5,setahun lalu,Love .. itu
KIDO Tr,5,setahun lalu,Afrika Dari Jawa
Julaikah,4,setahun lalu,"Sebaiknya para pengunjung mengamankan barang bawaan Dan jangan ditinggal di motor, karena sering ada kera yang akan menghampiri Dan memeriksa apakah ada makanan disana. …"
anis setyowati,5,setahun lalu,"Aaaa bagusss bgt
Sehari keliling juga ga bakal puas, banyak spot nyaaa"
