name,rating,date,text
Rully Rachmatullah,4,Diedit 4 jam lalu,"We visited Baluran in January which is in the middle of wet season. The ground was very green and wet but climate is cooler which I loved better. We ordered an SUV so we can sit on the roof once inside the park. Other than sightseeing, not many activities can be done in this park."
Clara Claretta,5,23 jam lalu,good place to see the nature
ss.person,5,1 hari lalu,"taman savana Africa van Java; tempatnya luas bangett!! banyak spot foto. kami kesini bulan September 2025, cuacanya sedang terang bangett!! tapi menyenangkan!! cocok kesini bareng pasangan, keluarga, dan temen!! tamannya nyambung sama …"
Sania chy,5,1 hari lalu,"halooo semuanya

mau berbagi informasi tntg baluran hehe …"
Arini Elsa Azkaminnati,5,3 hari lalu,"Kesini karena sekalian abis dari Djawatan, jadi pulang lewat pantura. Sedih nyari rusa tp ngga ketemu disini, malah panik gara-gara onyett huuu. Waktu kesini masuk pake motor sendiri jadi seruu🤩 …"
Bayu Pradana,5,4 hari lalu,terimakasih Tuhan untuk alam yang indah ini.keren banget.
WAWAN BUDI HERMAWAN,4,seminggu lalu,Sungguh indah & keren alamnya utk diexplore top
Nabila Rosari,4,seminggu lalu,"Salah satu taman nasional yang indah dan ada savana bekol
Namun seperti biasa taman nasional Indonesia memiliki tarif drone yang mahal (padahal bukan untuk komersil hanya dokumentasi pribadi)"
Oscar Efendy,5,seminggu lalu,"Nature, original,,, wild ❤️❤️❤️"
widyan prakoso,5,seminggu lalu,Kopi dan teh
gungun supriadi,5,seminggu lalu,Seru sayang pas kesana lagi musim hujan
mas rijal jalan jalan,5,2 minggu lalu,"Harga tiket masih terjangkau
Akses jalan bagus
Spot foto banyak"
Zuyyin Safitri,5,2 minggu lalu,"Viewnya bagus, banyak spot foto. Tapi hewannya dikit, banyak yang sembunyi"
Anggar Kardio,5,2 minggu lalu,"Keren banget dan natural sekali…masyaAllah….pemandangannya indah, nampak bener2 dialam terbuka, yang nampak ada kumpulan satwa seperti Rusa, Banteng, Kera, Ayam hutan, Merak juga…masih banyak lagi …."
Nopitaa,5,3 minggu lalu,asri banget dan pengalaman baru explore taman nasional naik jeep
Abraham Houtman,5,3 minggu lalu,"A Must-Visit with Family — Great Stop on the Way to Banyuwangi / Ketapang!
We had an amazing time at Taman Wisata Baluran! This place is perfect for a family outing — from wide open savannah views and wildlife sightings to peaceful …"
Ika Nur Noviyanti,5,3 minggu lalu,"Datang ke sini hari Senin pas liburan semester 1 kemarin, eh beneran tutup dong. Jd kami balik lagi di hari Selasanya. Sampe sini siang bolong dimana matahari lg semangat²nya bersinar dan alhasil panasnya gak main². …"
Ninad Deshpande,4,3 minggu lalu,Very beautiful african savana landscape in middle of tropical jawa island. Beach is very clean and beautiful. Lots of monkey everywhere
an lia,5,Diedit 3 minggu lalu,"Real adventures, harus menempuh perjalan asik dengan view hutan lindung dan hewan2 via mobil atau jeep yang bisa disewa, jalur mulus"
akun random,1,3 minggu lalu,"tempatnya bagus tapi hewannya tidak ada yg keluar, apa mungkin karena waktu itu rame bangett ya jadi hewannya takut mau keluar humm dan banyak sampah di pantai bamanya"
Justin Adi,5,3 minggu lalu,"Bawa mobil sendiri lebih asik dan puas lihat satwa seperti monyet, rusa dll. Dan lanjutkan sampai pantai bama yang asik dengan sewa perahu boatnya."
Faridatul Hasanah,3,3 minggu lalu,"liburan kesana waktu long weekend kemarin, sedang hijau hijaunya dan tempatnya bagus, tapi di pantai bama gabisa parkir karena full huhu mungkin karena emang lagi musim liburan kali ya"
Ipay yani,5,3 minggu lalu,"Area parkir cukup luas.
Kebetulan  pas kesna hari Senin dan sedang di tutup
Jadi belum tau didalam itu ada wisata apa aja.
Hanya sampe didepan gerbangnya saja untuk foto2"
ERWIN ZP,5,3 minggu lalu,Josss
rendy yoenistyawan,5,4 minggu lalu,Bagus
Abu Utsman,5,4 minggu lalu,Punya keinginan ke sini sejak beberapa tahun lalu. Alhamdulillah bisa ke sini di penghujung tahun 2025. …
yang liu,4,4 minggu lalu,Nice place to go!Many aggresive monkeys around out there!
ulul azmi septidian,5,4 minggu lalu,"Pemandangan yang cantik, tapi harus bisa memilah waktu akan berkunjung kesini, karna gerimis/hujan akan merusak momen."
Helmi Abadi,5,sebulan lalu,"Tempat ini berada di kab. Situbondo,tapi kami Naik Jeep via banyuwangi krn akomodasi lebih banyak pilihan. Kebetulan kamimenggunakan Jeep experience banyuwangi"
Handoko Handoko,5,sebulan lalu,Alam dengan vibe berbeda pada umumnya di indonesia. Masih terjaga dgn baik dan smg ttp terjaga
Marisca Icha,3,sebulan lalu,"Sampai lokasi kurleb jam 15.00
Masih dapat view bagus meski ternyata masih banyak wisatawan disana.. karena musim hujan jadi terlihat subur, mini africa nya nggak dapat... dan binatang yg …"
Widia PH,5,sebulan lalu,"Menikmati pemandangan hijau savana dgn latar belakang Gunung Baluran yg keren …
Memasuki Taman Wisata Baluran di sore hari memang paling tepat - bisa menyewa jeep trooper untuk kesana - sehingga bisa berfoto dgn cantik disana . …"
Aries Susanto,4,Diedit sebulan lalu,"Datang kesini bulan desember. Jadi tidak lihat savana nya. Sebab sekelilingnya tumbuhan hijau2. Katanya jika musim kemarau akan seperti africa java. But still oke. Banyak hewan2, seperti monyet, banteng, rusa dan merak."
Yadi Rahmatriadi,5,sebulan lalu,"Kawasan hutan lindung dan wisata yang wajib dikunjungi, pengelolaannya cukup baik, sehingga nuansa suasananya terasa asri alami, kebersihan juga terjaga. Pengunjung hanya mengeluarkan biaya tiket masuk dg harga terjangkau, tidak ada pungli …"
Agus Sudharnoko,4,Diedit sebulan lalu,Sdh belasan kali motret kesini tdk pernah bosan. Suasana dan kegiatan satwa2nya sangat menarik. Bulan Juni sampai September merupakan waktu yang terbaik untuk memotret satwa di TN Baluran
Fadhil M Luthfi,3,sebulan lalu,"Jujur ini wisatanya biasa saja, antri foto di main spot sangat panjang, padahal bisa di duplicate di beberapa area. …"
Dio Jordy Alvian Official,5,sebulan lalu,"Mantap Tempatnya...
Buat Foto Foto..."
Sadewa 48,5,Diedit sebulan lalu,"One of the best places to enjoy nature in Java. As it is a national park, it is a conserved area, meaning you can find wildlife here too. It takes about a 20 minute ride by car to get to the savannah. It is one of the best to visit, as the …"
dien Novanti,5,sebulan lalu,"Bagus, banget..
Minusnya cuma minim toilet aja 😁 jadi kalau mau kesini pastikan perut sudah aman terkendali supaya bisa menikmati pemandangan dengan maksimal. …"
Lou,5,Diedit sebulan lalu,"kesini sore-sore dan ketemu kawanan rusa 😭🥹🫶
buat yg belum tau, loket pembelian tiketnya cm buka sampai jam 4 sore ya.
rasanya seumur hidup harus ngerasain ke baluran minimal 1x sih, magical bgt 😭🫶 …"
caezhara saputri,5,sebulan lalu,"seruuu bgt, sayangnya kesana pas sore jadi satwanya pd ga keliatan, mungkin next time coba siang hari pas musim kemarau kali yaa pasti lebih seru"
DI,5,sebulan lalu,"Melihat rusa, monyet, pohon pohon, merak."
Gis Traveler,4,sebulan lalu,"Dulu 2022 saya pernah kesini. Beda banget sama tahun lalu, kalo mo kesini ada pemberitahuan ga bole ngerokok ,kecepatan hrs 40km/jam. …"
harsh agarwal,1,sebulan lalu,Waste of time and money. Nothing to see inside except a few stray monkeys
riipto,5,sebulan lalu,NgeJeep ajeb ajeb
Anatawa Anita,1,sebulan lalu,"Secara taman yang dilindungi ok. Walau saya tidak melihat banyak satwa liar kecuali monyet, merak, ayam. Yang paling disayangkan, Ketika saya kesini. Ada 50 jeep yang parkir disebelah jalan dan mengambil space jalan hampir setengahnya yang …"
Yuniar Qurrota,5,sebulan lalu,"tempatnya seru banget,tp monyetnya garang2 cuy😭😭 …"
Riyadi Syamsuddin,4,sebulan lalu,Berkunjung karena melewati jalan ini menuju ke Banyuwangi. Kondisi jalan yang dilalui yaitu jalan beraspal yang mudah dijangkau baik kendaraan besar maupun kendaraan kecil. Pemandangan yang menarik saat berada di salah satu titik sebelum …
Putu Adi Surya,5,sebulan lalu,"Last year, I visited this Baluran National Park during my trip to Banyuwangi, East Java with my wife. It took five hours riding from our hometown in Bali and one hour crossing Bali Strait by Ferry Ship to Banyuwangi. …"
LιττΙε Vαιhαιια,5,sebulan lalu,❤️❤️❤️
Laras Puriastiti,5,sebulan lalu,"Tidak hanya padang savana, kita bisa menikmati indahnya pantai bama dan tracking walk bakau di Taman Nasional Baluran. Kalau datang pagi2 bisa menyaksikan hewan2 keluar untuk memulai aktifitas cari makan, kalau datang sore bisa menikmati …"
Ghina Annisa Nabilah,5,sebulan lalu,"oke lah ya, tapi saran jgn pakai motor, jok motor saya di gigit monyet dan tumblr saya juga di curi. Pokoknya kalo pake mobil oke lah ya. Gas aja udah, yg penting yakin."
Satriyo Wicak,5,sebulan lalu,Tempat yg indah pereda stress
Nisa'ul Kasanah,5,sebulan lalu,Cocok banget buat liburan seperti di hutan Afrika untuk tiketnya beli pakai Aris yaa
Muhammad Syahrul Munir,5,sebulan lalu,Tempatnya bagus beda dari yang lain. Seperti di savana Afrika. Kalau weekdays cukup sepi. Tapi awas banyak monyet
Ardhana Raswari,5,Diedit sebulan lalu,"Bagusnya ke sini pas musim panas. Kalau musim hujan becek,tapii savana nya jadi hijau"
Ilham Ahmad,5,sebulan lalu,rumah
Liya Suci Lestari,5,Diedit sebulan lalu,"Ke sini pas weekdays, nggak terlalu ramai. Kondisi tanahnya lumayan basah karena abis ujan di malam sebelumnya, jadi banyak tanah yang nempel di sepatu. Untuk harga tiketnya 21.000/orang + 10.000 kalo pakai mobil (pembayaran pakai QRIS). …"
Indra Fariansyah,5,sebulan lalu,Pengalaman yang tak terlupakan 03122025
Mikha Setiyawati,4,sebulan lalu,"Pantai Bama (sering disebut Pantai Rama) di kawasan Taman Nasional Baluran menawarkan suasana pantai yang masih alami dengan pasir putih, air laut yang relatif jernih, dan latar hutan mangrove yang cantik sehingga cocok untuk santai, foto, …"
cicipdonk,5,Diedit sebulan lalu,"Taman Nasional Baluran, Banyuwangi... Taman eksotik dengan segala pesonanya. Melihat langsung kerbau, monyet dan binatang lainnya yang dengan bebas berkeliaran merupakan suguhan yang sangat menakjubkan. Kesini, tentu saja harus membawa kendaraan pribadi atau bisa datang ditemani local tour guide."
Irwan Suparman,4,sebulan lalu,Beautiful nature
Nur Muflikhah,5,sebulan lalu,Bagus bgt liat sunset disiniii
Galang Hashfiansyah,5,sebulan lalu,Atas
D A,5,sebulan lalu,Seru
Muhammad Kevin,5,sebulan lalu,"tempat bangus untuk refreshing, dan kita bisa melihat satwa secara langsung"
masboy mn,3,sebulan lalu,Sedang hijau hijaunya
Oksendi Vitra,5,sebulan lalu,"Viewnya bagus, sayangnya sewaktu berkunjung ke sini masih kurang beruntung untuk bertemu dengan kawanan rusa"
Dwi Jayanti,5,Diedit sebulan lalu,"Tempat wisata alam yg cocok buat yg suka pemandangan gunung dan laut, karna bisa liat jelas gunung baluran dan ada laut bama yg tidak jauh dari savana bekol, aksesbilitas masuk ke dalam hutan sekarang juga udah bagus diaspal, tiket masuk ya …"
Abbas Ishaq,5,2 bulan lalu,Salah satu tempat wisata alam yang wajib dikunjungi
Sabah romdhani Danu,5,2 bulan lalu,Wusata yg sangan menakjubkan
ftr Dmy,5,2 bulan lalu,"tempat paling hits yg dekat banyuwangi , savana nya jawa timur, pemandangan nya masyallah luar biasa beberapa kali kesini tp memang jd ajang beesyukur dgn keindahan alam saja buat foto2 sayangnya trakhir kesini siang hari suasanya sedang …"
Nimas Ayu,5,2 bulan lalu,SERU BANGETTT SAFARI ON JAVAA!! 😚 …
faricha,5,2 bulan lalu,"viewnya bagus banget apalagi pas musim kemarau, cuma kadang ga setiap waktu satwanya keluar"
Thierry,2,2 bulan lalu,"Kunjungan ke Taman Nasional Baluran agak membosankan. Kami melihat tiga atau empat kerbau dan sekawanan rusa di kejauhan. Seekor merak berkeliaran, dan ada banyak monyet. …"
Isabelle,1,2 bulan lalu,"Teruslah berjalan, sayang, hewannya sangat sedikit. 1,5 jam dari Banyuwangi. Pantai kecil yang tidak boleh berenang. Mengecewakan!"
rivandcemal pasha,5,2 bulan lalu,Sangat memuako
Zahra Aulia,5,2 bulan lalu,baguss
Rachmat Wijaya Mukti,5,2 bulan lalu,"Monyet 🐒 masuk mobil, Alhamdulillah gpp karena mereka nggak menemukan makanan.. mereka banyak banget di Pantai Bama, di beberapa spot foto, dll. Ada banteng dan sapi liar bagus sabana nya. Kalau mau asik pagi mereka keluar semua binatang cari makan..bisa pakai mobil pribadi. Tiket tidak mahal.. …"
Widia Widodo,4,2 bulan lalu,"Seru....sepanjang jalan hujan deras,pas sudah masuk spot fotonya tidak hujan."
Ramadan Febriyanto,5,2 bulan lalu,Tempat yang sangat luas nan indah
Rachmat Mulyono,5,2 bulan lalu,"Tempatnya masih alami, kita kesini pas musim hujan jadi padang sabananya penuh rumput hijau dan gagal estetik ala Afrika 😁 …"
Tara Cinnamon,5,2 bulan lalu,"Menjadi pengalaman berharga untuk bisa datang ketaman Nasional Baluran. Salah satu sarana untuk mengajak anak lebih mengenal alam, mencingai serta melestarikan Alam. …"
Batra Nugraha,5,2 bulan lalu,Baguss
Adi Prasetya,5,2 bulan lalu,Padang Afrika nya Jawa timur
Nuvaris Rivera,5,Diedit 2 bulan lalu,Nice & spot foto banyak
Nadia Upadani,5,2 bulan lalu,Wah akhirnya bisa kesampaian ke taman nasional Baluran. Untuk tiket masuk hari kerja dan libur beda yaa. Tempatnya super luas. Ada beberapa spot untuk foto yang bagus. Tapi sayangnya waktu kami kesini mendung jadi pemandangan gunung itu …
Kyraaa,5,2 bulan lalu,"Little africa in East Java. Perjalanan bulan November mulai memasuki musim hujan tapi di Baluran masih gersang. Overall sangat menyenangkan, masih ada sinyal di beberapa titik. …"
Agung Ananta,5,2 bulan lalu,"One of hidden gem in Java. Located at the Situbondo - Banyuwangi border (but the entire are in Situbondo). This place is also known as ""Africa van Java"". You could found some wild animal like bulls and monkeys (be careful with your …"
_Strainer_,4,3 bulan lalu,"Baluran National Park is often praised as the ""Africa of Java"" for its unique savannah landscape and wildlife, but reviews are mixed regarding the experience and value, with some citing high fees for foreigners and limited activities beyond …"
Dietha Kusuma,4,3 bulan lalu,Luas dan banyak spot foto
shelly kusuma,4,3 bulan lalu,"Datang kesana jam 13:00 siang, satwa nya gak kelihatan cuman ketemu monyet sama kerbau."
Leo Sooter,5,3 bulan lalu,"Baluran is a great park for wildlife watching or birding with many beautiful landscapes.
I do a lot of wildlife watching and photography around the world, and I thought …"
Wiwit Pudyaningrum,5,3 bulan lalu,Tempat yg fotogenik..
Fajar E. Saputra,5,3 bulan lalu,"Taman Nasional Baluran adalah kawasan konservasi alam di Situbondo, Jawa Timur, yang dikenal sebagai ""Africa van Java"" karena hamparan sabananya yang luas, mirip dengan lanskap di Afrika. Taman nasional ini memiliki luas sekitar 25.000 …"
Hareesh Manoharan,1,3 bulan lalu,Waste of time and money. Please skip.
Oktafia Nasution,4,3 bulan lalu,Sepi banget dan tidak menemukan seorang petugas pun di dalam. Namun jalanan di dalam bagus. Dan saya tidak menemukan sampah. Semoga satwa di sana selalu senang hidup di alam liar walau manusia suka bertamu ✨
Iwan Al Rizqy,5,3 bulan lalu,Perlu banyak ditinjau dilokasinya
Rony Zakaria,5,3 bulan lalu,Superb experience. Good to visit if the weather is good. Lots of monkeys
muhammad sibli,4,3 bulan lalu,sangat indah apalagi di waktu sore hari yang cerah
Erik Surya,5,3 bulan lalu,"keren banget, harus keliling 360"
andry pramunanto,5,3 bulan lalu,"Sejak kecil sdh sering mendengar namanya dari alm bapak, setelah sekian puluh tahun akhirnya ke sini bersama anak-anak. Panas bet kalo siang 😂 tapi tetap menarik u/ dikunjungi. Semoga fasilitas umum yg sdh ada, bisa dirawat lebih baik & yg kondisi rusak bisa segera diperbaiki. Welcome to Africa van Java! …"
Fajar agung Pribadi,5,3 bulan lalu,"Bagus bgt, bersih, terawat, tertata."
Sumiyanto Wicaksono,5,3 bulan lalu,"Baluran adalah Africa van Java, pemandangan bagus, banyak berkeliaran binatang buas, dari Solo Riding bareng, Alhamdulillah tak pernah capek."
Daphney,4,3 bulan lalu,"Penasaran sama salah satu destinasi wisata di banyuwangi yang cukup viral ini, sehingga pas di bwi mampir ke baluran yang identik dengan savana luas dan gersang. Biaya masuk sekitar 20 ribuan dan kalau mau sewa jeep di harga 500 ribuan all …"
Igo,5,3 bulan lalu,Dia (laki-laki)
endah dewi,5,3 bulan lalu,Keren banget.. pas banget dg julukan Africa van Java
