name,rating,date,text
R fathur Rahman,5,seminggu lalu,Sejarah terbaik keraton sumenep
Roby DK,5,seminggu lalu,Alhamdulillahirobbilalamin. Barakallah bisa bersilaturrahim dan ziarah ke Asta Tinggi Sumenep bersama keluarga besar Nur Robithoh Jember saat tanggal 11 Januari 2026 😊 Kita do'akan Almarhum dan Almarhumah para leluhur kota sumenep yg dimakamkan disini dan di pulau Madura diterima segala amal kebaikannya dan diampuni kesalahannya 🙏 …
Holik Marsuki,5,sebulan lalu,Penuh dengan sejarah
"ZALI, ANYUONA TOLONG PABERES AKI SALAMET",1,sebulan lalu,Bismillahir Rohmanir Rohim Anyuona tolong paberes aki salamat sehat samporna
Maya Christine Al,1,sebulan lalu,"Tempat kunjungan byk org tapi fasilitas buruk. Tempat sholat sempit toilet buruk, kan sudh banyak infaq itu masak tdk bisa memperbaiki fasilitas? Banyak org berkunjung padahal. Uang infaq untuk apa klw untuk tidk memeprbaiki fasilitas. …"
Bryan Andika,1,3 bulan lalu,Ini tempat bersejarah bukan tempat para pengemis atau pemuja d bebaskan 🥴 harus y budaya wali di lestarikan agar jika ad tmu peeziaroh luar kota .. nyaman 🙏 tolong tata kembali tempat ini …
Sulistiyo Utomo,2,5 bulan lalu,"Bangunan bersejarah yang harus dilestarikan
Sayangnya terlalu banyak dengan kotak/tempat permintaan sumbangan. Di pintu masuk utama, di pintu kelompok makam, di depan tiap nisan
Kenapa tidak terpusat di pintu masuk utama atau di mana gitu"
Antoni Aja,5,5 bulan lalu,Luar biasa
Saipol Bahri,5,6 bulan lalu,Keren
Kicau Mania Sangkar,4,6 bulan lalu,tempatnya bagus tapi sangay disayngkan dan perlu peehatian pemerintah/dan dinas kebudayaan sumenep...alangkah lebih bagus dikasih mushola/tempat untuk jemaah/pengunjung buat sholat
Wahyu Wijanarko,5,6 bulan lalu,"Bagus, bersih"
Maz Hamz,5,7 bulan lalu,"tujuan ziarah wali di sumenep madura.
makam berada di atas bukit.
jalan tanjakan, ramai peziarah.
suasana tenang."
Yosi Priyo Nugroho,5,7 bulan lalu,"Jadi pengen nyambangi tempat ini. Apakah mungkin nenek moyang saya dikuburkan di sini? Rama dari kakek buyut saya namanya Raden Aryo Purwowinoto Cokroadiningrat (Moh Ali), saya tidak tahu bagaimana ceritanya bisa pindah ke Situbondo. Cuma denger ceritanya dari Mbah dari saudara perempuan Mbah buyut saya (Ki Mohali/Moh Ali)"
rzkmhammd,5,7 bulan lalu,First time kesini sewaktu ada kerjaan jadi nyempetin mampir.
JAWAD BAHONAR,5,7 bulan lalu,Makam para leluhur ku...
Chalily Abdullah,5,9 bulan lalu,Keren makam raja raja sumenep
Sukron tv,4,9 bulan lalu,Bagus banget
B. fernanda,5,10 bulan lalu,Asta Tinggi atau areal pemakaman bertempat di dataran tinggi daerah Sumenep Madura adalah makam raja raja dan keluarga raja Sumenep Madura. Namun ada juga pembesar maupun bupati dari daerah lain yg dimakamkan di Asta tinggi mungkin beliau …
Widhi Lamong,5,10 bulan lalu,Asta Tinggi sakral penuh sejarah leluhur
Gloria Bali Official,5,10 bulan lalu,Makam raja raja sumenep
Baharuddin Rosyid,5,10 bulan lalu,Wisata religi yg wajib dikunjungi kllo kesumenep madura
Iffah Asith,5,11 bulan lalu,MasyaAllah
Jimbob Hughes,3,11 bulan lalu,"2 Cemetries with alot of Muslim pilgrims.
The Kings are in bulidings at the back.
Take off shoes to walk up to them. …"
Gandang Lelono,3,setahun lalu,makam raja2 Madura
Adi mulyadik,4,setahun lalu,Layak di jadikan wisata religi
Dejavu Lovarzand,5,setahun lalu,Bagus
Moh Irsyad Irsyad,1,setahun lalu,juriyanto mandin daya
Husnul Jawad Al-Arba'iey,5,setahun lalu,"Pelayanan baik, petugasnya ramah. Tempatnya bersih. Ada tong sampahnya"
Moh. Syuib Asy'ari,5,setahun lalu,Distinasi wiasata religi di Kabupaten Sumenep
ANEKA TRANSINDO,4,setahun lalu,Menyenangkan
Penjaga Hati,4,setahun lalu,Bersih dan dekat lokasi parkirnya
Nuha Story,5,setahun lalu,Kental banget aura peninggalan kerajaannya... Sejuk dan sepi dari pengamen ilegal...
PROPERTY ART official,5,setahun lalu,"Secara keseluruhan Asta tinggi di Sumenep merupakan destinasi wisata religi yang patut dikunjungi. Keindahan arsitektur, nilai sejarah, dan suasana yang tenang menjadi daya tarik utamanya."
Dapur Andut,5,setahun lalu,Tempat ziarah madura
Fajar Brata,5,setahun lalu,"saya mengaguminya, sangat mengaguminya"
nur mannan,5,setahun lalu,Lingkungannya bersih bikin nyaman ziarah
Ali Mudin,4,setahun lalu,nice experience. 2 klai datang dengan kondisi yang sangat sangat sepi. Barakallah para pejuang dulu
Zainal Abidin,5,setahun lalu,Alhamdulilah tempat sangat bersih nyaman
Agus Budianto,5,setahun lalu,Tempatnya sangat bersih
Ibranameera1,5,setahun lalu,Tempatnya tenang dan damai
Ahmad Faikul Anam,5,setahun lalu,Keren
S NR,5,setahun lalu,Bismillah semoga berkah barokah.. aamiin
Rikzan Failani,5,setahun lalu,"Entahlah, menurut saya nama ""asta tinggi"" tsb sangat coxok dengan lokaai disana yang mana lokasinya di dataran lumayan tinggi"
Rahman Konclet,5,setahun lalu,Sangat rekomdasi
buah abadi,5,setahun lalu,"Salam treten ....
adakah yg tau makam mbah pupus termasuk leluhur mbah mad Rois yg makamnya ada di jepara dan Pati jateng?"
Muhdlari Assyuro,5,setahun lalu,Tempat pemuka Sumenep disemayamkan
Mari Tani,5,setahun lalu,Tempat bersih dan nyaman
Nisreena Nisreena,5,setahun lalu,Masih terawat sangat baik
Ika Nurvia Widarti,5,setahun lalu,Bersih tertib tenang
Nadira Ainun rizqi,5,2 tahun lalu,Alfatihahhh...mbahh buyut...🥹🥹🥹 …
Raden Bagus Wahyudi,5,Diedit 2 tahun lalu,Alhamdulillah bisa silaturrahmi dan berziarah
Febrian Priandono,5,2 tahun lalu,Tempat ziarah di Kabupaten Sumenep
Fauzisahril Sahril,5,2 tahun lalu,Tempat orang suci
cewek imut,5,2 tahun lalu,"Alhmdulillah bisa ikutan wisata realigi, jadi bisa berkunjung kesini next semoga kalau ada rezeki bisa dateng lagi kesini"
Arik Sumenep,5,2 tahun lalu,Keren
Jefri Ramadhan,5,2 tahun lalu,"Tempat penuh sejarah dari para raja sumenep, selain itu tempatnya nyaman untuk para peziarah"
wahyu kurniawan,5,2 tahun lalu,"Makam para raja sumenep, disarankan membawa payung saat siang hari karena cuaca cukup terik"
Abim Habibi,5,Diedit 2 tahun lalu,"Asta Tinggi adalah komplek pemakaman raja-raja kraton Sumenep, Madura. Asta Tinggi menjadi destinasi wisata religi bagi ribuan peziarah dari berbagai daerah di Indonesia. Bentuk dan arsitektur gapura, gerbang, serta kubah-kubah yang menaungi makam terlihat mengagumkan. Merupakan perpaduan gaya Madura, Jawa, China, hingga Eropa."
Sudi Pratikno,5,2 tahun lalu,"Tempat Makam Para Raja-raja Sumenep.
Jika Anda pernah ke Jogja, ini sama seperti
Makam Para Raja-raja Mataram Islam di Imogiri. …"
Nawaji,5,2 tahun lalu,Pemakaman para wali Allah dan raja-raja yang pernah berkuasa di Sumenep.
dewibowele Kabmalang,5,2 tahun lalu,Tempat wisata Religi yang luar biasa
MOH. HAFIDURRAHMAN,5,2 tahun lalu,"Asta Tinggi sumenep merupakan tempat bersejarah yang sangat sakral karna asta tinggi merupakan tempat Makam para raja2 sumenep dan Pejuang dalam menyebarkan agama islam di daerah madura,,untuk itu Wajib di Jaga kelestariannya,,"
JULIAN DANI,3,2 tahun lalu,"TDK ada fasilitas kamar mandi dan WC. Parkir luas, tersedia jajanan rakyat."
Ilyasi Ilyasi,5,2 tahun lalu,Ya begitu
Punokawan TV,5,2 tahun lalu,tempat ziarah yg wajib didatengi ngalap berkah
zonamedia grafika,5,2 tahun lalu,Semoga Anda menerima berkat dari orang-orang kudus.
Ima Rahmawati,5,2 tahun lalu,"Pertama kali kesini..seperti nama nya,, tempatnya juga tinggi..Qt langsung ke makam raja muda asta tinggi,, nggak ke tetua (leluhur)..di karenakan waktu yg sudah terjadwal"
Naufal El Fany,5,2 tahun lalu,Tempat sejarah yang masih lestari
Safira,5,2 tahun lalu,"Alhamdulillah senang bis kesini :)
Dindingnya aesthetic sekali, dan suasana religinya sangat terasa:)"
topo riwayanto,1,2 tahun lalu,Religion journey
Hidayat Alisukron,5,2 tahun lalu,Kerren
Es Kristal,5,2 tahun lalu,Monggo
akhmad zubaidi,5,Diedit 2 tahun lalu,"An outstanding Moslem cemetery for the noble and royal figures as well.
Recommended religious destination in Sumenep Madura."
Apect Stiker,5,2 tahun lalu,Cutting dan sablon
Judy Gunawan,4,2 tahun lalu,Makam leluhur para Eyang Penguasa pulau Madura. Berkah dalem.
Iswahyudi Wahyudi,5,2 tahun lalu,Tempat jiaroh yg bagus
Mulut Pitono,5,2 tahun lalu,Keturunan ke 5 dari Raden Cokro Aminoto 🙏 …
Dewi Karimah,5,2 tahun lalu,Jadi kangen. Bismillah tahun ini berangkat ziarah bareng kluarga
Imortal Hadi,5,2 tahun lalu,bagus
Muhammad Ismail123,5,2 tahun lalu,Bagus
