name,rating,date,text
aang kojem,5,3 bulan lalu,Mewahh
Mohamad Dhofir,5,3 bulan lalu,bagus banget...hanya kurang terawat
Matt Surabaya,5,7 bulan lalu,"Pertama kali ke Gili Labak dan hari biasa, membuat kami bener-bener menikmati pulau ini tanpa adanya orang lain. Dari ujung pulau sebelah barat hingga timur, terasa milik kami berlima saja, tentunya dengan orang atau masyarakat yang ada disana juga."
Roni Priyo Sejati,5,Diedit setahun lalu,Pantai remote paling dekat dg surabaya
Hengki Barnaba,5,setahun lalu,Mantap. Panas ngentang ngentang.
Pandi Kecee,5,setahun lalu,Keren bettt
freds wasudy,5,setahun lalu,Salah satu Pulau terindah yang dimiliki Kabupaten Sumenep... Wajib datang dan kunjungi ke Pulau Gili Labak Kabupaten Sumenep
Tedjo 545,4,setahun lalu,Msh alami
Sobir Nafhan,5,setahun lalu,Nikmati nikmat yang telah Allah berikan kepada kita semua dengan bersyukur kepada Allah SWT.
Faris Bahabazy,5,2 tahun lalu,Heaven on earth I say. Water is crystal clear. No crowds. Awesome trip. Period
osama bin posting,5,2 tahun lalu,tempat wisata yg bagus
Raditya Bagus,5,2 tahun lalu,"Only 3 words can describe this place, ""Paradise on Earth""

This place is very very beautiful, it's like paradise on earth, only a few …"
Nirmalasari Idha Wijaya (Nirmala),2,2 tahun lalu,"Perlu penanganan cepat, agar kerusakan terumbu karang tidak semakin parah, karena patah dan penyakit karang."
Dedi Irawan,5,2 tahun lalu,Coral reef
Kholil Rahman,5,2 tahun lalu,Mantap min
Ghathaf Jalanjalan,5,2 tahun lalu,Perjalanan yang melelahkan terbayar dengan indahnya Pulau gili labak
Imron Ayubi (Yubi),5,2 tahun lalu,"Sampai madura diri hari, uda pesan penginapan. Pagi pagi langsung berangkat nyeberang ke pulau gili labak. Jika ada badai berangkat nya bisa di tunda. Pemandangan nya sangat bagus, aman untuk snorkling."
Setia,5,2 tahun lalu,"bagus kesini kemarau y, gelombang tinggi kalau hujan"
MIKi61,3,3 tahun lalu,GOOD ISLAND GOOD SEA BUT THE PEOPLE DONT TAKE CARE OF BEACH  A LITTLE DERTY AND THE SMALL HOME IN THE ISLAND HAVE A SMALL HOME WITH asbestos roofs
Daniel Nelson,5,3 tahun lalu,Topeng jokernya keren banget.
Rangga Timplek,5,3 tahun lalu,😊😊 …
Jelajah Jawa Timur,5,3 tahun lalu,"Sempatkan kesini sekali seumur hidup, keren banget. Kl tinggal diluar Madura mending ikut Open trip, karena perjalanan jauh dan harus jalan malam"
Muhammad SyaihYudi,5,3 tahun lalu,"Klo mau kesini harus pesan tempat nginep bagi yng jauh dan takutnya kemalaman smpai d pelabuhan nya trus jngn lupa bawa sabun n shampo sendiri soalnya dsna sabun shampo mahal bnget mendingan buat makan kenyang, kecuali yng masih muda gak …"
Moh Soleh,5,4 tahun lalu,Keren
silvi rianto,5,4 tahun lalu,"PuLau dg pantai pasir putih, masi sepi, sangat indah, berasa jadi puLau pribadi, penduduk yg mendiami puLau ada 38 KK. Disna ada yg juaLan mie instan, air mineraL, kmr mndi bersih, tapi air masi payau rasanya. …"
sulaiman idris,5,4 tahun lalu,Pemandangan bawah lautnya bagus banget rekomendasi buat yg suka snawkling 😁🤭 …
Cherry,5,4 tahun lalu,"The beauty is undescribable. Hidden gems belong to Madura Island, the most natural one. The peace, the air, the sound of the waves, the corals, the blue of the sea, the softness of the sand, and the sunlight thru the island are beyond …"
Aditya D. Jati,5,4 tahun lalu,Suka itu
zhul. aimah,3,4 tahun lalu,Tak apa bagiku juga.
Mochammad Sokhib,5,5 tahun lalu,"Tempat untuk menikmati sunrise dan sunset
Dan tempat untuk melihat terumbu karang serta habitat ikan nemo"
Didin Sahudin,5,5 tahun lalu,Very beutiful
Agus Ulum,5,5 tahun lalu,"very beautifull place, subhanalloh"
Arnet Hugo,5,5 tahun lalu,Saya sudah 2x kesini.. emang luar biasa bagusnya..bersih pula..mantap ini pulau
Nabilla Arifahny,5,5 tahun lalu,It takes 2 hours from Kalianget to this island by boat. The island is clean & beautiful! Really worth to visit!
