name,rating,date,text
muhammad junaidi,5,seminggu lalu,"Ciamik Soro
Ziarah Wali Madura NU Sukolilo Surabaya
Ahad 11012026"
Fatur rohman,5,2 minggu lalu,"Saya suka tempat ini sangat luas, cuman kamar mandinya kebanyakan pintu gaada pengunci nya hehe."
Kotoran Tikus,5,2 minggu lalu,Kota kelahiran
Moh Yusri Musa,5,3 minggu lalu,Masjid agung favorit khususnya untuk masyarakat Sumenep
Bagus Ardi,5,3 minggu lalu,Salah satu masjid ikonik yang estetik dan destinasi wajib setiap berkunjung ke Sumenep. Suasana & lingkungannya selalu bikin betah dan ingin berlama-lama. Vibes dan konsep masjid yang tradisional tapi homey menambah daya tarik masjid ini.
Mas Jep,5,4 minggu lalu,Vibes tengah malam sangat sejuk dan nyaman
Desainer Edukatif Photoshop,5,sebulan lalu,"Nyaman, adem. Parkir luas, bersih."
Agung Pribadi,5,sebulan lalu,"Masjid Agung Jamik Sumenep adalah salah satu masjid tertua dan paling bersejarah di Pulau Madura, yang terkenal dengan arsitektur unik perpaduan budaya lokal, Tiongkok, Eropa, dan Jawa. …"
Ahmad Yani,4,sebulan lalu,Destinasi wisata religi
Alvi Rahma,5,sebulan lalu,Salah satu masjid agung peninggalan raja sumenep yang dibangun oleh arsitek asal tiongkok.
Lie Nuk,5,sebulan lalu,Masjid bersejarah di Sumenep
Tika W,4,sebulan lalu,"Alhamdulillah sempat shlt ashar disini
Masjid nya bagus pilar² khas masjid jamiknya masih kokoh berdìri. sayang kurang perawatan diarea tempat wudhu wanita"
Adjisaka Panjalu,5,sebulan lalu,"Mantap masjid paling bagus yang saya kunjungi saat ini ya karena saya nolep juga, tapi ka em nya bersih banget sayang lupa foto gaya bangunan epik, dalamnya bersih nan adem, jan lupa infak supaya masjid gini tetep bagus yan"
Annas Musoffan,5,sebulan lalu,Masjid yg teduh dan bersejarah
Fi La,5,2 bulan lalu,Sejarah yang cukup istimewa di masanya
Iwan Arisandi,5,2 bulan lalu,bagus
arifandi kurniawan,5,2 bulan lalu,"Tempat yang menyejukkan hati, pikiran dan tempat ku berdoa  kepada Sang Pencipta"
FAIS aje,5,2 bulan lalu,Masjid Jamik Sumenep (nama lengkapnya Masjid Jamik Sumenep atau Masjid Agung Sumenep) dibangun pada tahun 1779 Masehi dan selesai pada 1787 Masehi. …
Syaiful Bahri,4,3 bulan lalu,Masjid yang arsitektur nya bergaya Eropa dan sangat bagus terletak di jantung Kota Sumenep
imam mundarisman,5,3 bulan lalu,Masjid bersejarah di sumenep
Ali Muhlisin Gombeng,5,4 bulan lalu,Smanu Gombengsari hadir
Arif H. Ayik,5,4 bulan lalu,"Masjid Jamik Sumenep, yang juga dikenal sebagai Masjid Jamik Panembahan Somala, berdiri anggun di jantung kota Sumenep dan kini menjadi salah satu landmark kebanggaan Madura. Dibangun pada masa pemerintahan Panembahan Somala pada tahun 1779 …"
Joko Tole,5,4 bulan lalu,Masjid Jamik pas di depan alun alun taman bunga cocok buat yang mau beribadah sekalian santai di taman bunga bersama keluarga
Lenggenda Bayanggan,1,4 bulan lalu,Proses Pembangunan Masjid Agung Jamik Sumenep
Anak Kemarin,5,5 bulan lalu,Masjid nya Keraton Sumenep yang masih terawat dengan sangat baik
MOHAMAD ZAMANI,5,5 bulan lalu,Baguss...
ptr dprkpp,2,5 bulan lalu,"kebersihan karpetnya yg di dalam trutama shaf 1 dan 2 kurang terjaga, tempat sujud bau apek. warna nya juga keliatan kalau kotor yg diarea tempat sujud. parah sih, sekelas masjid agung yg didanai apbd untuk pemeliharaannya tapi kebersihan karpetnya kurang"
Mbenk Ach Abbasi,5,6 bulan lalu,Sarana ibadah yang paking nyaman dan sejuk. Segala fasikitasa lengkap.
Sulistiyo Utomo,4,6 bulan lalu,"Sebuah masjid yang masih menampakkan arsitektur dari zaman kerajaan, terutama tampak dari ornamen dan warna pagar depan. Berfoto di depan masjid ini memberi kesan seperti barada di antara arsitektur Jawa Kuno dan negeri Cina"
Jokoanna Sosrodiharjo,5,6 bulan lalu,Masjid Sejarah & Perkembangan Zaman
Suandi1997,5,7 bulan lalu,Tempat adem
Miftakhul Salam,5,8 bulan lalu,Semoga Tuhan memberkatimu
Roziana Amalia Ilyas,5,Diedit 8 bulan lalu,"Icon Sumenep,
Sebelah selatannya ada toserba
Sebelah utaranya ad pusat pertokoan …"
Sarif Amrullah,5,9 bulan lalu,Bangunan serta suasananya bagus
Bagus Purwanto,5,9 bulan lalu,Bangunan masjid kuno namun artistik dan terkesan megah di zamannya dahulu
Bulent Pesi,5,10 bulan lalu,Masjid yang sangat bagus. Bersejarah dan besar.
hendra hardiyanto,5,10 bulan lalu,Masjid jamik sumenep merupakan Masjid dengan penuh sejarah. Perpaduan arsitek timur tengah
Moh Rofiqi,4,10 bulan lalu,"Beribadah Lebih Nyaman dan Berkah
Jgn tinggalkan Shalat ... Selalu Jaga Shalat"
Mata Dewa,4,10 bulan lalu,"Salah satu tempat Ibadah yang juga sebagai daerah tujuan wisata sejarah,berlokasi di kecamatan Bangselok bersebrangan dengan Alun alun kota Sumenep"
kadariyanto kadariyanto,5,10 bulan lalu,Nama yang benar MUSHOLLA AL HIDAYAH
Arichi Reyji,5,11 bulan lalu,"Masjid paling iconic di kabupaten Sumenep. Selain menjadi tempat ibadah, masjid jamik Sumenep juga menjadi salah satu tempat wisata religi dan historis di Sumenep. Nilai sejarahnya sangat tinggi, arsitekturnya juga masih terjaga. Masjidnya …"
Gibran Adipati Suryo,5,11 bulan lalu,Indah sekali
Gusti Azadi,5,11 bulan lalu,masjid yang memiliki sejarah religius di sumenep
Fahrur Rosi,2,11 bulan lalu,Sarana Kamar mandi/toilet sangat tidak nyaman
Alaric Rasendriya A,3,11 bulan lalu,Masjidnya bagus tapi tolongg pintu kamar madi diperbaiki 🙏🏻 …
cv duaputrabisma (CVDPB),5,setahun lalu,Baik
muhamad febriafriyanto,5,setahun lalu,"Masjidnya Keren dg bangunan utama yang masih terjaga keasliannya,..
Bagi yg mau istrahat disini perjalanan jauh boleh banget ada tempat disediakan untuk pengunjung.asal tetap menjaga kesopanan, kebersihan dan ketertiban...."
Watir Pradhika,1,setahun lalu,"Keterangannya 24 jam, tp saya mau masuk masjid jam 8 malam katanya ditutup dan dibuka kembali jam 3 subuh. Mana yg benar ini?"
