name,rating,date,text
Fatur rohman,5,2 minggu lalu,"Sangat sangat penuh sejarah, tiket masuk termasuk murah banget dan pelayanan sangat memuaskan diceritakan semua sejarahnya sama guide nya dan tempat sangat bersih. Tiket masuk + parkir 40 ribu untuk 4 orang dewasa dan itupun sudah sepuasnya tak ada batasan waktu."
Yusuf Gunawarman,5,2 minggu lalu,"@Sumenep.

Jalan2 di pulau Madura. …"
Rizky Afreza Febryanto,5,sebulan lalu,Museum Keraton Sumenep adalah cagar budaya warisan Kerajaan Sumenep yang masih terawat dengan baik.
Fia Masfiah,5,sebulan lalu,Mas penjaganya ramah.
Citra Larasati,5,sebulan lalu,"Masuk itu tiket per orang 10rb.

Nanti kita akan dijelaskan sama guide yg ada disana. Akan diantar dari 1 ruangan …"
Jefri Ramadhan,5,sebulan lalu,"tempat bersejarah yang tak boleh dilewatkan jika berwisata ke Sumenep, tempatnya klasik nuansa keraton yang elegan, dengan semua peninggalan sejarah yang masih utuh, tidak lengkap rasanya berkunjung ke Sumenep kalau tidak berkunjung kesini."
edi subianto,4,sebulan lalu,Tempatnya bersih
Adjisaka Panjalu,5,sebulan lalu,"Mantap dapat insight baru disini dateng dengan rombongan banyak orang sepertinya akan kurang worth it dan mending ajak temen kalian dikit aja, kalo rombongan nanti kena speed run gak dapet apa apa, kalau pen tau soal bagaimana sejarah madura dan pemimpinya keknya ini tempat yang yoi sekali seh, jan lupa dateng mabrooh"
ANDHI SHAPUUTRA,5,2 bulan lalu,Hari guru
Ummul Khair Ahmaya,5,2 bulan lalu,Selalu rekomendasi client aku untuk prewedding disini karena atmosfer adat kental bangettttt
Stanis Ari,5,2 bulan lalu,Bagus dan sangat terawat
Arsya,5,2 bulan lalu,"Keraton Sumenep adalah istana peninggalan Kesultanan Sumenep di Madura, dibangun sekitar abad ke-18, masa Panembahan Somala. Gaya arsitekturnya campur. Ada unsur Jawa, Madura, Belanda, bahkan Tionghoa. Catnya dominan kuning-putih, penuh …"
Wasilatur Rohmah,5,3 bulan lalu,"Bekas tempat tinggal anggota keluarga keraton sumenep. Bagus, tapi beberapa peninggalan kurang terawat dengan baik. Untuk masuk ke museum bayar tiket masuk seharga sekitar Rp 20.000"
yus man,5,3 bulan lalu,Sering lewat
Arif H. Ayik,5,4 bulan lalu,"Keraton Sumenep bukan sekadar bangunan tua, melainkan saksi bisu perjalanan panjang sejarah Madura timur. Dibangun pada tahun 1781 oleh Panembahan Somala, penguasa Sumenep ke-31, keraton ini berdiri di atas tanah pribadi dengan sentuhan …"
Ach. Bukhori,5,4 bulan lalu,"Sungguh luar biasa namun yg saya belum paham lokasi keraton sumenep dimana, apa di musium itu atau dimana"
Ahmad Mawardi,4,4 bulan lalu,"Tempat bersejarah, sayang kurang maksimal pengelolaannya"
Ricky Rachman,5,5 bulan lalu,"Museum Pendopo Agung Sumenep merupakan destinasi wisata budaya yang sangat bernilai. Di tempat ini pengunjung dapat mengenal sejarah Keraton Sumenep, koleksi pusaka, serta warisan budaya Madura yang terjaga dengan baik. Lingkungan museum …"
Supri Yadi,5,5 bulan lalu,"Edukasi sejarah yang sangat luarbiasa.
Semoga tetap terjaga kelestariannya"
Sulistiyo Utomo,4,5 bulan lalu,"Situs peninggalan sejarah yang wajib dipelajari. di dalamnya masih tersimpan dengan rapi berbagai perabot, dokumen, dan senjata dari masa kerajaan Sumenep.
untuk tiket tidak terlalu  mahal. Pemandu tour juga sangat baik penampilannya …"
yunita eka ningsari,5,7 bulan lalu,Tempat seru banyak informasi pengalaman yg dapat kita ketahui sejarah yang luar biasa cocok untuk edukasi anak2 saat mengisi waktu liburan
Asih Wulandari,5,7 bulan lalu,"Masih kerasa aura magis nya..tempatnya masih terawat bagus, sering dijadikan sebagai tempat untuk acara resmi"
NJ BagShop,5,7 bulan lalu,"Tempat bersejarah yang masih terjaga keasliannya, pemandunya menjelaskan dengan sangat baik dan mudah dipahami, terimakasih semoga tetap mempertahankan pelayanannya"
faisal aming,5,8 bulan lalu,"Wajib banget kalo ke Sumenep mampir ke keraton, karena dari situ kita banyak tahu bagaimana perkembangan kehidupan dari zaman dulu sampai sekarang. Intinya keren banget lahh tempatnya"
Deri Budi PERCI chanel,5,Diedit 8 bulan lalu,Berlibur sambil tambah wawasan jika berkunjung ke tempat ini. Banyak kesenian dan budaya purbakala di jaman kerajaan pada masanya.
Bang Kholid,5,8 bulan lalu,Ayo ke sumenep
Shofi Wahyudi,5,9 bulan lalu,"Keraton Sumenep adalah tempat kediaman resmi para Adipati/Raja-Raja selain sebagai tempat untuk menjalankan roda pemerintahan. Kerajaan Sumenep sendiri bisa dibilang sifatnya sebagai kerajaan (setingkat Kadipaten) kala itu, sebab sebelum …"
Yoko Setiawan,5,9 bulan lalu,"Seru banget bisa berkunjung dan belajar sejarah di Kawasan Keraton Sumenep Madura, disini kita bisa melihat berbagai barang peninggalan keraton Sumenep yang dulu pernah dipakai oleh keluarga keraton, serta terdapat benda benda antik dari negeri cina dan sebagainya"
Tika Marita H,5,9 bulan lalu,"Buat para pecinta keraton dan sejarah sangat cocok sekali,banyak ilmu pengetahuan yang menarik diketahui,goalsnya pemandian raja & ratu.
Semoga makin bagus & menarik lagi.
Mas guidenya juga sangat ramah&informatif."
Sarif Amrullah,5,9 bulan lalu,Sangat bermanfaat bagi pengetahuan bersejarah
rully dafirul,5,9 bulan lalu,Tetap terjaga walaupun sudah ratusan tahun..
Hermiyawan Yuliyanto,5,10 bulan lalu,Satu-satunya keraton yang masih ada di Jawa Timur. Bagian dari peninggalan sejarah jaman kerajaan yang masih terjaga dengan baik
Widhi Lamong,5,10 bulan lalu,Tempat sakral penuh sejarah
Sams AMing,5,10 bulan lalu,Kraton Sumenep dibangun pada 1762. Didalamnya ada banyak area wisata yang bisa dinikmati pengunjung.
Maman Surahman,5,11 bulan lalu,Sebuah bukti kebesaran nusantara kita yg perlu dijaga dan dilestarikan untuk anak cucu kita selanjutnya.
freds wasudy,5,11 bulan lalu,Yang belum datang ke keraton satu-satunya di Madura ayo segera kunjungi keraton Sumenep
nanang fadhori,4,Diedit 11 bulan lalu,"Tempat bersejarah di Sumenep.
Satu²nya keraton yg ada di Pulau Madura"
Ferdianto Luluk,5,11 bulan lalu,Salah satu Museum keraton sumenep yang menyimpan banyak riwayat cerita dan peninggalan raja raja di sumenep
Fauzan Putri,5,11 bulan lalu,cukup bagus
Jimbob Hughes,4,11 bulan lalu,"Pay 20k Rp at Loket across the road from the entry.
An old Palace grounds. Just walk around freely no map or guides. Historic items displayed in glass cabinets in one area. Swords, knifes, batik fabrics etc. …"
amirul mukminin,5,11 bulan lalu,Bersejarah
Kurniadi Wijaya,5,Diedit 11 bulan lalu,Bagus & Lestari
Nesri,4,11 bulan lalu,"Museum yang lumayan luas. Ada 4 area yang bisa dimasuki. Koleksinya kurang terawat. Ada yang berdebu ada pula yang sudah rusak. Pemandunya cukup informatif, meski di tengah kunjungan malah menawarkan produk milik orang lain. …"
Maulana Fahrizal,5,setahun lalu,tempat bagus cmn sepih aja🙂👍 …
Kamil Lesmana,5,setahun lalu,Satu satunya keraton di Madura yang terjaga dg baik
Rizky Trisepta Multazam,5,setahun lalu,"Suasana nyaman, bersih, pelayanan bagus, cepat, baik, dan terawat. Gunakan pakaian sopan, celana/rok panjang, tertutup. Museum menyediakan kain jika menggunakan celana/rok pendek dan payung ketika hujan."
rayakanharimu official,5,Diedit setahun lalu,Legenda sumenep
Deby Agustia Widyasuci,5,setahun lalu,"Baru pertama kali berkunjung ke kota Sumenep, dg waktu yg sgt singkat hanya bisa berkunjung ke keraton.
Dengan HTM yg affordable sudah bisa berkeliling di area keraton beserta …"
Dwiretno Yuliarti,5,setahun lalu,"Ke Sumenep dengan niat mengunjungi museum Keraton Sumenep, dan benar...tak rugi datang ke sini,  keratonnya begitu megah dan masih terjaga dengan baik, koleksinya juga cukup lengkap, sangat berharga."
Fajar NP,5,setahun lalu,Banyak barang peninggalan sejarah & semuanya ada hal yang bisa di ceritakan. Yang paling menarik ada Al-Quran raksasa.
idayati ghazali,5,setahun lalu,Masyarakat sekitar Sumenep dan luar Sumenep masih banyak yang mengunjungi museum sebagai tempat edukasi mengenal sejarah Sumenep.
Syaharuddin Umngelo,5,setahun lalu,Tempat yang layak buat jujugan saat berkunjung ke Sumenep. Tempatnya sejuk dan bersih dan berada di sekitar alun-alun. …
Sih Yuniarsasi,5,setahun lalu,"Kondisi Kraton Sumenep, bersih terawat. Pemandunya ramah, familiar.
Ketika kami kesana, disambut hujan deras. Ada ruangan yg bocor, shg ada air tergenang dilantai. Mengurangi keindahan."
Retno Indah Wahyuningsih,5,Diedit setahun lalu,Peninggalan budaya yang wajib dilestarikan
Maulindawaty Husain,4,setahun lalu,"Tempatnya bagus, banyak benda2 peninggalan jaman dulu"
daffa aldhiyachandra,5,setahun lalu,"Salah satu Keraton yang masih ada di Jawa Timur , Sumenep is the best culture ,,"
Mawaddah Waddah,5,setahun lalu,Tempat atau tokonya sangat bersih dan peleyanan sangat ramah
Jefry Akhmad,5,setahun lalu,Mantap
Lutpi,5,setahun lalu,"serem cuy dulu perna kesini pas sd, gordenya gerak sendiri pintu jendelanya kebanting sendiri tapi seru  tour guidenya menjelaskan setiap detail dri bangunannya top markotop deh"
Zahri Abadi,5,setahun lalu,Ok
PMII NURUD DHALAM,5,setahun lalu,Salah satu tempat religi yang ada di Kabupaten Sumenep
Didik Hariyanto,5,setahun lalu,Tempat yang bagus dan indah
Dimas Bashori,5,setahun lalu,Bagus budaya kami Sumenepku
basar abi,5,setahun lalu,hebat warisan leluhur
Vindha Nur hidayah,5,setahun lalu,"Tempat yg bagus,"
SULTHON CONDRO KIRONO,5,setahun lalu,Istana Soengennep
Arif Supriadi,5,Diedit setahun lalu,Sangat direkomendasikan sebagai sarana mengenal dan melestarikan budaya leluhur Sumenep tercinta
Sumanto Jamblang Studio,5,setahun lalu,Pertama kali ke Sumenep
