name,rating,date,text
Zaelani Jane,2,3 bulan lalu,"Pantai nya bagus tpi sayang knp disini ada orng musik an  dangdut yg amat besar volume nya .
Kita sebagai wisata untuk healing dri bising nya kota , klau begini ga jauh beda dengan orng hajatan"
Ivan Prayoga,5,5 bulan lalu,"Pantai Lombang di Sumenep adalah salah satu pantai terindah di Madura dengan pasir putih lembut dan deretan cemara udang yang ikonik. Suasananya sejuk dan teduh, sangat cocok untuk bersantai bersama keluarga atau teman. Air lautnya jernih …"
Musti Nzli,5,7 bulan lalu,Permukiman kumuh tempat saya tinggal terlihat sama saja.
Frans Fiby,5,8 bulan lalu,"Pantai yg indah , berpasir putih bersih , tp sayangnya tidak didukung prasarana yg menunjang seperti jalan aspalnya dr pintu masuk sampai di lokasi pantainya sudah mengelupas semuanya"
Tiya Zubaer rahmani,5,9 bulan lalu,Pantainya indah sekali meski perjalanan dr rumah sangat jauh terbayarkan dg keindahan pantainya
Muhibbur Rosul,5,setahun lalu,Ok lah pokoknya
nimatul hdyh29,1,setahun lalu,"sebenarnya bagus, tetapi mengganggu para wisatawan, saya ingin berinteraksi dengan keluarga saya & merasakan ketenangan, tetapi ada sound yg bikin berisik"
IMAM WAHYUDI,5,setahun lalu,"Tempat yg eksotik di sumenep madura, pantai pasir bersih"
Mada Baskara,5,setahun lalu,"Pantai yang masih alami..
Lautnya dg ombak yg landai aman dari karang"" dan masih sangat elok Dimata
Pasirnya halus.. aman buat anak"" bermain pasir dan ombak.. …"
ria,4,setahun lalu,pertama dan terakhir kali ke situ tahun 2016
Putri Nurina,5,setahun lalu,"Pertama kali mengunjungi Sumenep, langsung jatuh cinta sama pantai lombang ini. Meskipun banyak kuda, tp tergolong bersih dr kotoran kuda. …"
Ong Fastiasu,4,Diedit setahun lalu,"Salah satu pantai keren di sumenep madura, pantai lombang identik dengan ribuan hamparan cemara udang dipinggir pantai sekaligus sebagai tempat pengunjung berteduh dan tak kalah indahnya dengan pasir putihnya yang sangat halus juga dengan pantai sangat rekomended untuk mandi karena ombak dan gelombang yang cukup tenang."
Nur Fadhilah,5,setahun lalu,Deretan pohon Cemaranya yg bikin kangen..anak2 bebas bermain di pantai
Karis Akmal Hussin,5,setahun lalu,"Pantai pasir putih di Sumenep. Ada beberapa gazebo di sekitarnya. Sangat cocok untuk wisata keluarga di akhir pekan. Terdapat persewaan kuda, beberapa penjual makanan, dan banyak fasilitas toilet/kamar mandi."
Puji Astutik,5,setahun lalu,"Tempatnya bagus .. bersih
Cocok untuk yg mau quality time bersama keluarga di akhir pekan.."
Mukhlis Stvn,5,setahun lalu,tempatnya ramah
Firdaus Ubaidillah,5,setahun lalu,"Nyaman .. Tiket masuk 20ribu,  makan masih relatif tidak mahal"
Pandu Tribakti,5,2 tahun lalu,"Pantainya indah, pasirnya putih, bagus untuk bermain air"
M wahdi (DAFFA CELL),4,2 tahun lalu,tak terawat
ivan must,3,2 tahun lalu,"pantai yg berpotensi, namun masih butuh banyak perbaikan apalagi terkait sampah dan pengelolaan"
Sukamto Sukamto,5,2 tahun lalu,"Pantai masih bersih riak ombaknya melepaskan penat otak, Siwalan manis mantap, Cemara perlu dilestarikan, akses jalan perlu perbaikan, kalao ada hotelnya sangat menyenagkan"
Advokat Pengacara Deky,1,2 tahun lalu,"Saya mau masuk sekeluarga 5 orang, dan ternyata tiketnya 85 Ribu, benar² tidak worth it."
Fikri Zainurrahman,5,2 tahun lalu,"Salah satu pantai terbaik yang berada di kec. Batang batang, kab.sumenep"
F. Masitoh,5,2 tahun lalu,"Pemandangan pantai yang indah. Pasir putih halus di sepanjang pantai. Tumbuhan asli di sini, yaitu Cemara Udang, tumbuh di sana. Area parkir yang luas. Toilet yang tidak bersih. Mudah dijangkau."
Jefri Ramadhan,5,2 tahun lalu,"Pantai yang indah dengan ciri khas cemara udangnya, namun perlu diperhatikan untuk agar pengelola mengatasi pengunjung ilegal bersepeda motor yang masuk tidak melalui pintu resmi dan mengendarai motornya di tepi pantai, karena itu membuat kurang nyaman pengunjung"
Anisah Fikri,5,2 tahun lalu,Pantainya cantik bagus bnyk pohon cemara udangnya 🥰🥰🥰 …
SIP Soetta,5,2 tahun lalu,Tak jauh beda dari tahun ketahun keindahannya
Team Kreatif daoen djeruk,5,2 tahun lalu,"Pantai yg indah, sebenarnya diatas ekspektasi kita juga ....karena pantai disini bersih tidak seberapa ramai, puas menikmati view laut, banyak pohon Cemara buat neduh, aman dong meskipun panas...kalo yang ngebayangin Madura gimana....ini …"
Ivadatul Arifa,5,2 tahun lalu,"Pantai pasir putih di Sumenep. Ada beberapa gazebo di sekitarnya. Sangat cocok utk wisata keluarga di akhir pekan. Terdapat persewaan kuda, beberapa penjual makanan, dan banyak fasilitas toilet/kamar mandi."
wahyudi 07,5,2 tahun lalu,Mantap
camet heri,3,2 tahun lalu,Pernah sekali datang.. sdh lama sekali.. acara lulusan SMA. Ada kengan tertinggal disana👍 …
Nifi Maulidya,5,2 tahun lalu,"lokasinya bagus, pantainya luassss jadi banyak spot lalu khas disini pohon cemaraa yang buanyaakkkkkkkk sehingga rindang. Disini juga disediakan kamar mandi yang bisa dikatakan cukup bersih, kantin dengan harga terjangkau, tempat bermain …"
Lu'lu'a,4,2 tahun lalu,"Aslinya bintang 3, kasih bonus 1 lagi Karna ada kenangan tak terlupakan di ini. Tiket masuk 5K per orang, parkir mobil di dalam. Naik kuda 20 per orang tapi kalau naiknya 2 orang sekaligus jadi 30. Sebenarnya banyak tempat duduk gazebo. …"
Dewi ALmadinah,5,2 tahun lalu,"sangat bagus, cuma lebih ditingkatkan lagi kebersihannya..
orng disnaa ramah²,penjual mkananya,penyewaan kuda jg ramah² banget, sejuk banget dipantai lombang. samapi ketiduran hehehe"
Muhammad Rahmad Wahyudi,5,2 tahun lalu,"Datang di hari senin pagi jam 7, alhamdulillah suasana masih sepi.
Biaya masuk per orang 5 ribu dan parkir mobil 10 ribu.
Pantainya cukup luas dan panjang, pasir putihnya juga bersih. …"
Tribudi Yulianto,4,2 tahun lalu,Istimewa
Yuyun Susanti,5,2 tahun lalu,Pasirnya putih banget dan lembutttt
M. Ibnu Alwan,5,2 tahun lalu,Pantai yang indah disertai dengan pohon Cemara yang rimbun
Rifa N,5,2 tahun lalu,"Tempat bagus untuk foto, ada kuda & makanan d pinggir pantai."
Suganda Ganda,5,2 tahun lalu,Klapa ijo mantap murah ramah parkir bisa dirapikan lagi masih banyak Tunggul pohon...adem bersih.
Shufri Gaming,5,2 tahun lalu,Mantap
Jay Nandow,5,2 tahun lalu,Lombang beac lebih maju
rozzy rezza,5,2 tahun lalu,Senang sekali bisa Turing keee sini
Axl Dylan Laksono,5,2 tahun lalu,Uapikkkkk
nrlef_,5,2 tahun lalu,Seru
ALFIAN DARMAWAN,3,2 tahun lalu,"Sudah sepi tidak seperti dulu, banyak sampah"
REANITA PUTRI ARDANA,5,2 tahun lalu,Pantainya bersih
mah rodin,5,3 tahun lalu,Bisa untuk santai
FYan sajah,2,3 tahun lalu,Suasana dan kondisi pantai tidak sesuai dengan tiket masuk
Noval Antra,5,3 tahun lalu,"Kalau mau kesini sebaiknya datang di pertengahan tahun, antara April - Juli. Sebab selain matahari terbenam dan terbit lebih condong ke Utara, ombaknya juga paling tenang di pertengahan tahun."
SIR channel,5,3 tahun lalu,Momen-momen indah
Roni Prayibno,5,3 tahun lalu,Tempat nyaman
sri widiyaningsih,1,3 tahun lalu,"Pantainya bagus tapi sayang banyak sampah bekas pampers, plastik dll, akses masuk jg msh jelek kurang tertata. Sayang sekali."
Samsul Huda (Abu Nizam),4,3 tahun lalu,"Tiket masuk 5K per orang, parkir mobil 10K, Pantai bersih dan luas, weekday lumayan sepi, ada naik kuda, banyak gazebo buat duduk santai"
Khatib Syarbaini Husni,5,3 tahun lalu,Seruuu
Prap To,4,3 tahun lalu,suasana laut tenang dengan hamparan pasir putih serta hijaunya pepohonan cemara udang... aman buat anak2 mandi....
Bara Boge,5,3 tahun lalu,Tempat perkemahan
Abdul Qodir Assya'roni,5,3 tahun lalu,Mantab bngt tiada duanya.
Nazziruddin Niam,5,3 tahun lalu,"jauh2 dari nganjuk jawa timur ke pantai ini.. overall cukup oke, tapi kurang fasilitas dan jalan ke lokasi kurang bagus... …"
JAGRA Channel,5,3 tahun lalu,"Pantai bersih dari sampah, sepanjang jalur menuju pantai kita di suguhkan pemandangan pohon bonsai cemara udang. Pemandangan pantai pulau jawa sangat bagus, ombak tidak besar, jadi aman untuk bermain."
maulana nurilhuda,5,Diedit 3 tahun lalu,"Pantai yang keren dan bersih.. pasir putih dan cemara udang jadi ciri khas pantai ini.. jalan sebelum masuk pantai terdapat banyak tanaman bonsai cemara udang di pinggir jalan.. tiket masuk waktu itu Rp. 5.000 per orang, parkir mini bus / …"
MUNASA MUNASA,5,3 tahun lalu,"Garis pantai luas dan panjang,  ombak tenang, banyak pohon cemara"
KD. vino,5,3 tahun lalu,Lombang top
Yuda Kurniawan,5,3 tahun lalu,Pantai cantik di Sumenep
Ana Aja,5,3 tahun lalu,Tempatnya bagus wisatanya itu sejuk gitu loh pengunjungnya ramai
Yustinus Saputra,4,3 tahun lalu,"Pasir putih, panjang, cuma ada saluran air ke pantai n tdk bersih. Kurang perawatan... pdhal kena tiket masuk yg lumayan. Tapi pembangunan fasilitas umumnya kurang baik...."
marchiano anselmus,2,Diedit 3 tahun lalu,"Lokasinya jorok dan kotor.
Karena ada beberapa ekor kuda yang untuk foto foto pengunjung"
Masternya Martabak,5,3 tahun lalu,Cukup seru lokasinya apalagi dibuat santai bersama kelrg besar ... MantaBBBak
