name,rating,date,text
hairul mufidz,5,seminggu lalu,Berbelanja segala kebutuhan sembako pelayanannya ramah sekali
Citra Larasati,4,sebulan lalu,"Bingung mau kasih bintang berapa...
Karena tidak sesuai ekspektasi.
Dulu banyak gunung pasir sekarang sepertinya sudah habis pasirnya. Dulu disini …"
Alif Smart,5,4 bulan lalu,Hati-hati ada hantu 😥😥 …
fanniya dyah,5,4 bulan lalu,Pantainya nyaman
Ivan Prayoga,5,5 bulan lalu,"Pantai Slopeng di Sumenep adalah destinasi wisata bahari yang memikat dengan pasir putih luas dan garis pantai yang panjang. lautnya biru jernih, cocok untuk bermain air maupun menikmati pemandangan. Daya tarik utamanya adalah bukit pasir …"
passa il,1,6 bulan lalu,"coba deh untuk direvitalisasi pantai ini, bagus sebenarnya cuma karena dibangun pembatas jadi kurang alami dan jadi ga bagus. rada kotor juga pantainya dan fasilitasnya dibenerin lah minimal. kamar mandi juga masak bayar 🗿semoga bisa berbenah …"
Ahmad Ripaldi,4,7 bulan lalu,Mantap
Djarot subroto,5,7 bulan lalu,Blm kesampaian ke sana
Safi Channel,4,7 bulan lalu,Pantai lumayan bersih.. Tapi saat mandi air bersih ada pungli.. Bukannya gratis payah
Licha Hari,4,9 bulan lalu,"Jalan pulang balik dari Sumenep, mampir beli es degan..."
akbarr akbar,5,9 bulan lalu,"Umpannya bgus untuk pemula dan yg berpengalaman, udangnya sehat2"
Anggi Anggraini,2,9 bulan lalu,Ada kudanya. Kudanya pake pampers tapi pengunjung² pantai buang sampah sembarangan. Pantainya jadi kotor
Nathifa Dwi Hessaputri,3,10 bulan lalu,"Lautnya indah ya tipe pantai yang banyak karangnya hati hati karangnya banyak yang lumutan di bawah batu dan karang karangnya kadang banyak kepiting kecil kecil, kutu laut, dan hewan lainnya yg kecil kecil di karangnya juga kadang ada …"
luluk lailiah,1,10 bulan lalu,"Pantainya disko'an..
Kayak mantenan ae..
Sy pribadi pemudik, merasa tak nyaman.. …"
Rifki Aulia Rahman,2,10 bulan lalu,"Pantai Kotor, Sampah berserakan. HTM 20k perorang 10 ribu per mobil
Ditawarin tanpa karcis jadi 10k perorang …"
Evadatus Sholihah,5,10 bulan lalu,Buat kita yang suka pantai ini sangat menyrnangkan
Gufron Haryadi,5,10 bulan lalu,Memanjakan mata
Aceng Aceng,5,10 bulan lalu,Dari jkt ke sana mantap
Andi Brata,4,11 bulan lalu,Salah satu pantai madura yang sudah lama dan masih bertahan hingga sekarang. Banyak penjual makanan jadi tak perlu khawatir kelaparan. Untuk pasir bersih namun bagian pojok ada beberapa plastik kotor jika dibersihkan maka area bermainnya lebih luas. Harga tiket masuk dan parkiran normal.
BID. PEMBINAAN SD SUMENEP,5,setahun lalu,Wisata pantai dan pasir putih yang memukau
Hendrik anto Hartono,5,setahun lalu,Cabin hino 500
Kurokazeo,5,setahun lalu,Tempat wisata yang recommended jika ingin berlibur ke pantai
Ezzah Nuranisa,5,setahun lalu,Sangat menyenangkan liburan bersama keluarga di pantai selopeng. Pentol gepeknya udah jadi favorit buat kita
Ach Zulkifly,5,setahun lalu,Indah bangt
Jelajah Surga Nusantara,4,setahun lalu,"Pantai Slopeng, salah satu pantai yang berada di Utara Pulau Madura. Pantai ini areanya cukup luas. Akses menuju lokasi sudah jalan aspal yang masih bagus, namun lebar jalannya cukup sempit. …"
ihwan syafi'i,4,setahun lalu,"Tempatnya bagus dan cocok buat rekreasi bersama keluarga,mungkin hanya masukan saja kalau harga tiketnya lebih murah pasti akan lebih banyak wisatawan lokal yang memanfaatkan keindahan tempat ini. Fasilitas cukup lengkap kamar mandi ada, …"
