name,rating,date,text
Elita Nursetiari,5,6 bulan lalu,"Air terjun dengan telaga yang cantiiiik.

Sekitar 38 km jarak dari Kota Trenggalek menuju desanya. Mobil parkir di rumah …"
Yuli yuanisti,5,2 tahun lalu,"Bagus banget air terjunnya, memang tipikal air terjun yang ngga bisa kita sentuh langsung😁 karena terhalang batu batuan unik cantik dan ceruk air nya lumayan dalam ya, tetapi seriously ini bagus banget. Akses menuju kesana memang lumayan …"
SENBE RAHARDJO,5,Diedit 2 tahun lalu,"Keren,cuma akses nya belum diperhatikan ,bekasnya sdah ada pembangunan tp tdak dilanjutkan,yg spesial warga sekitar sangat baik² ramah tamah sopan sekali,🥰🙏🙏🙏👍 …"
Naura Kenzio,5,3 tahun lalu,di munjungan ceweknya cantik cantik
Suliyah Widia,5,3 tahun lalu,Aq sangat senang tempat itu
Iwin Winarko,4,4 tahun lalu,Imdah
Ridho Q Kasih Kasih,3,Diedit 5 tahun lalu,wisata
Bella Fitrya,5,5 tahun lalu,"Juli-agustus thn lalu Kkn didesa deket sm jurug waru. Kalau mau ke jurug tinggal jalan kaki kurang lebih 15menit. Dan untuk wisatawan yg mau ke jurug waru harus disiapkan tenaganya karna akses menuju jurug waru masih susah, jalannya menjorok kebawah dan berbatu"
Mfarikh V.A,5,5 tahun lalu,"Airnya yg jernih, sejuk, dan segar. Kebersihan airnya masih terjaga, sangat wajib untuk dikunjungi. Namun harus hati"" karena harus naik turun bukit dan melewati semak"" yg cenderung terperosok ke bawah."
Lia Dewi,5,5 tahun lalu,keren
