name,rating,date,text
Pengguna Google,5,4 bulan lalu,Tukang kayu
Arinarin_,5,7 bulan lalu,"Sekarang lebih rimbun, banyak tempat foto yang tertutup semak-semak."
Resah Visual Production,5,10 bulan lalu,"Kalo abis hujan bagus ada kabutnya, cocok buat liat sunsrice"
Ariq We Ka,4,setahun lalu,"Dengan ketinggian dan modan yang mudah ditempuh, view yang didapat benar-benar lebih dari yang diharap."
wahyu usti,5,setahun lalu,Aesthetic
Lisa Mila,5,setahun lalu,Cantik banget tempatnya
Ika Kristantina75,5,setahun lalu,Lumayan
Iven Nav,4,setahun lalu,"Pemandangan bagus kalau awan datang, kita menunggu sampai jam 7 pagi datangnya masih tipis tipis. Mungkin kalau jam 9 sudah banyak"
Yurike Meikawati,5,setahun lalu,"Indah luar biasa pada saat berkabut.
Nyaman buat refreshing.
Suasana tenang, adem ayem, sejuk."
Danang Firmansyah_09,5,setahun lalu,sangat bagus dan tidak mengantri
Umar Tajjudin,5,2 tahun lalu,"Udara sejuk, alami serta pemandangan desa dibawahnya yang indah sebagian tertutup awan dipagi hari👍👍👍 …"
Khusnul Fadilah,1,2 tahun lalu,"Abis subuh kesini, tapi subuhnya kesiangan 🤭😂 …"
Crazy Story,4,2 tahun lalu,Sangat enak suasana nya asri
kang eWog,5,2 tahun lalu,Suuuuuuuuuuckkk
Ferrum Iron,5,2 tahun lalu,Tempat yang indah.
Sadi Moon,4,3 tahun lalu,Bagus kalau pas mendung atau pagi hari saat tadi malam hujan.......masih alami.....cocok buat pecinta gowes atau camping pemula......
Khoirul Anwar,4,3 tahun lalu,"Lokasi sudah tidak ter urus, tapi masih bisa buat nyantai dan ngopi disini, untuk akses jalan sudah mudah dijangkau"
VIOLET GAMING,5,3 tahun lalu,"disarankan untuk kalian yang ingin melepaskan semua beban yang ada...
cocok buat camping, ngopi sambil menikmati indahnya alam.."
Dapur Ameliaa,5,3 tahun lalu,Viewnya bangys banget
Rofiq Haryani,4,3 tahun lalu,"No tiket, no parkir. Bawa cemilan lebih mantap. Cocok buat nyantai dari ketinggian dgn view dusun trenggalek yg hijau"
Andhika Rio,4,3 tahun lalu,"Tempatnya cocok untuk bersantai dan melakukan camping atau berkemah, pemandangan bagus di pagi hari ada sunset dan lautan awan.
Tempatnya dekat warung kopi yang menyediakan makanan, rokok, serta minuman. …"
Mifta K,3,3 tahun lalu,Makin hari makin tak terawat :( sayng banget padahal viewnya lumayan loh
Fariz Wibisono,5,3 tahun lalu,Tidur siang dengan gas
Guswie Lorinser,5,3 tahun lalu,"Rumah gus wie, H.agus dwi santoso"
Putri Astuti,5,3 tahun lalu,Sangat keren
M Syafii,4,3 tahun lalu,"Ketika berada di puncak bukit Banyon , Tampak panorama alam yang sangat indah.
Bisa dipakai untuk berkemah dan pada malam hari pemandangan lampu kota Trenggalek sungguh menawan ."
Pak Doni,5,3 tahun lalu,"Saya harus ke sana lagi, ya?"
Rahino Hadi,5,Diedit 3 tahun lalu,"Lokasi sangat sunyi dan sepi, jalan sudah bagus, utk roda 4 sangat sempit (pas), bagus bagi yang suka tempat sepi, masih alami dan sedikit kurang perawatan, jikalau ditambah gardu pandang view bisa lebih bagus lagi, sayang banyak pohon2 …"
bintang kehidupan,3,Diedit 3 tahun lalu,Tempat indah dan damai ..
Fatih Ardiansyah,5,3 tahun lalu,Luar biasa
Doni Alex,5,3 tahun lalu,indah
gunawan setiabudi,5,3 tahun lalu,Tempat ngopi paling nyaman dengan view lembah
tagor aditya,3,3 tahun lalu,"Jalan menuju kesana gak begitu ekstrim, mobil ga bisa lewat yaa sebab ga bisa simpangan / lawan arah. Yang bagus adalah view gunung dan awan dan foto2. Cocok untuk hanya sekedar nongkrong dan foto2 karena di bukit tersebut ada warkopnya. Sayangnya sampahnya berserakan"
Cino Poco,5,3 tahun lalu,mantap
Nizar Rwt,5,4 tahun lalu,Tempat recommended untuk di kunjungi
Hatta Maulana,5,4 tahun lalu,Such lovely place
Bang iedo22,5,4 tahun lalu,"sangat bagus, tapi tolong untuk sampah2 bekas gelas kopi dll untuk di bersihkan,,"
Anggota Organisasi,5,4 tahun lalu,Sangat cocok untuk menenangkan pikiran
Tongkrongan Papa Muda,4,4 tahun lalu,Lokasi dan pemandangannya cukup indah
yerusa -,3,4 tahun lalu,Tmpt nya agak panas ...   agak susah kalo ke bukitnya ini .. jalan sempit kalo pakai mobil agak sulit kalo pas berpapasan dgn mobil lain .. lebh baik pakai motor aja ..
Busyairi Mukhlis,3,4 tahun lalu,"Bukit mbanyon, merupakan salah satu destinasi wisata alam pegunungan yang ada di Wilayah Kab.Trenggalek.
Bukit mbanyon atau yang lebih di kenal dengn sebutan Negeri atas awan ,terletak …"
Vonezyo Dharomesz,3,4 tahun lalu,"Semoga diperhatikan oleh pengelola dan mungkin pemerintah, karena berpotensi menjadi tempat wisata. Perlu juga kepedulian pengunjung utk jaga tempat dg baik. Masih banyak sampah yang luar biasa banyaknya dan menjadikan tempat kotor."
Aditya Budi,5,4 tahun lalu,Tempatnya cukup indah
MaronViLL,5,Diedit 4 tahun lalu,Mantappp
Fahima Rifki,4,4 tahun lalu,Bagus tempat nya tapi kebanyakan cowok hohoho
Dwi Mahendra Putra,4,4 tahun lalu,"Banyak sampah, tidak ada tempat sampah memadai"
Lewunggondrong Gondrong,5,4 tahun lalu,Bukit nya tinggi bangettt and hawa nya suejuk bisa menikmati pemandangan alam yang indah and pemukiman warga cocok buat refresing/rekreasi bersama keluarga/Teman-teman bossss ku 👍👍👍 …
