name,rating,date,text
ragenah blaz,5,4 minggu lalu,27/12/25 tiket 15rb
Galang Adhe Sukma,2,sebulan lalu,"Lokasinya berada di wilayah perbatasan dengan Kabupaten Tulungagung. Sejujurnya, Goa Lowo memiliki potensi besar untuk menjadi destinasi wisata andalan Kabupaten Trenggalek, namun sangat disayangkan pengelolaannya terkesan kurang serius dan …"
Fuad Fauzi Wijaya,5,sebulan lalu,Good
henny susanti,3,Diedit sebulan lalu,Sebenarnya gua lowo ini indah banget...besar banget...tp kurang perawatan dan pencahayaan.. Tidak ada yg jaga di dalam gua... Lampu sorotnya kurang... Coba di tingkatkan lagi pasti bagus bngt. ..indah bngt...soalnya di dalam guany asli bngt...
Annisa Nurul Fadhilah,4,2 bulan lalu,Goanya baguss bangettt. Tapi sayang agak gelap jadi keliatan seremm
Koko Cweet,5,3 bulan lalu,Suasana Goa yg masih alami
Ohma d Nik,5,3 bulan lalu,Sebagai orang Trenggalek harus mencintai wisatawan wilayah aku
Happy Tour Surabaya,3,3 bulan lalu,Sepi banget meskipun week end
Mart Satria,4,4 bulan lalu,Destinasi wisata yang pernah viral pada masanya. Sekalipun sekarang sudah mulai berkurang pengunjungnya tapi tidak mengurangi keindahan nya. Semogatetap terjaga dengan baik
Rizka Sp,4,5 bulan lalu,"Goa dengan jalur menuju kesana dari parkiran sekitar 500an meter tp teduh dengan disambut aliran deras sungai di depan parkiran, menyebrangi jembatan mini, lalu arena bermain dan disampingnya both2 penjual makanan, yg mana semuanya sepi, …"
miniatur kapal,4,7 bulan lalu,"Bernuansa magis, gua yang sangat luas dengan panorama alam yang menakjubkan.
Cuma bangunan di luar gua banyak yang tidak terawat"
Dwi A Wijayanto,5,8 bulan lalu,Sayang sekali tempat bagus begini jarang ada yang tau. Padahal satu jalan kalau ke Prigi / ke JLS. …
Ajeng Triyani,5,8 bulan lalu,Sangat menarik untuk ber libur
R.L. 25,5,Diedit 8 bulan lalu,"Saya sarankan membawa masker, karena guanya sedikit beraroma kuat"
perdana surya,5,9 bulan lalu,"Dtg sabtu jm10an msih sepi,
Gua ny luas,
Ad lampu, tp disarankan bawa senter spy bs leluasa melihat"
Teguh wibowo,5,9 bulan lalu,Pedagang ramah dan sembako dan Snack komplit
ABD GHOPUR,4,9 bulan lalu,Indah banget tpi sepi pengunjung
Yeni aw,5,9 bulan lalu,"tempat yg sangat estetik🥰🥰🥰
yg suka horror sebaiknya berkunjung di jam 17:00 …"
Kurnia Dewi,5,10 bulan lalu,Tempatnya bersih dan tertata
Arif Setiawan,5,11 bulan lalu,"sangat potensial untuk dikembangkan untuk wisata edukasi dan minat khusus ""bat watching"" pengamatan kelelawar, ketika keluar atau ketika kelelawar masuk goa, guide perlu di tingkatkan kapasitasnya untuk menginterpretasi fungsi penting …"
Omaga 98,5,11 bulan lalu,"Jujur miris, dulu rame tapi sekarang sepi banget cuma ada keluarga saya doang sama ada ibu² penjual kasihan jualannya nggk ada yg beli, saat masuk goanya ternyata lampunya mati jadi nggak bisa masuk lebih dalam lagi"
Bambang Suharto,4,11 bulan lalu,Sngat bagus saya pernah ke sana
Coins Legit (Admin),5,setahun lalu,stabil
NICKLAS P. (Silvia),5,setahun lalu,"Obyek wisata alam, sangat baik untuk edukasi anak. Perlu dukungan pemerintah daerah untuk dipromosikan lebih luas."
d.e. Prasti,5,Diedit setahun lalu,"Berkunjung hari Minggu sekitar jam 10.00. Suasana masih sepi. Tempat parkir luas. Untuk R4 = 5 ribu. Tiket masuk @10 ribu. Mushollah cukup luas, dan pedagang mamin ramah dan harga terjangkau. Seperti : es campur 5rb, bakso, es jeruk, dll …"
Supri Yono,5,setahun lalu,"bagus ..,👍👍👍👍👍 …"
mbah rono kiwil,5,Diedit setahun lalu,"Bagus tapi sayang sepi peminat
Mungkin di trenggalek banyak destinasi wisata jadi nya yang dulu udah bagus jadi kyak mangkrak …"
Rusli Sadikin,4,setahun lalu,"Wisata goa yang sudah tertata, pengalaman unik exciting .. jalan masuknya sudah di semen"
basar abi,5,setahun lalu,sungguh sangat menakjubkan
octopus saga,5,setahun lalu,"Sengaja ngajak anak kesini karena belum pernah liat gua.. tempatnya cukup representatif.. pemandangan dalam gua juga cukup bagus.. lampu penerangan ada beberap yg mati (saran kalo kesini bawa senter) , jalan cukup licin karna lembab.. untuk …"
Ali Syafaat,4,setahun lalu,Bagus dan luas namun masih sepi pengunjung
Adimas Ario Afrilando,5,setahun lalu,Tempat terbaik bagi penyuka Goa dan Bebatuan terutama stalagmit dan stalagtit
Rifda Isna Hanifa,5,setahun lalu,"Tempat berwisata bagi yang suka explore alam, kurang disarankan untuk anak anak dan orangtua"
Bunga Bangun,4,setahun lalu,"Seru buat hiking. Fasilitasnya juga udah banyak diperbarui, aksesnya jadi lebih proper. Sayangnya masih sepi, padahal areanya depannya luas dan potensial. Saran: sebaiknya ke sini pakai sandal/sepatu yg memang utk aktifitas outdoor, krn track-nya makin masuk ke dalam goa makin licin"
Ibnu Dwijayanto,5,setahun lalu,Indah 👍👍👍👍 …
amelia puri,5,setahun lalu,bagus
HANN _GZ,4,setahun lalu,Bagus
noe rina,5,2 tahun lalu,"bagus, tapi hati2 yaaaa licin..,🤗😷 …"
sahlan abdulrozak,5,2 tahun lalu,Mengajari Cucu Tentang Bentang Alam Berupa Guo Lowo
Irni Puspita,4,2 tahun lalu,Mungkin bukna tujuan wisata favorit. Jadi sepi. Meskipun hari libur. Sy tidak masuk ke guanya. Tp kata anak2 pemandangannya keren di dalam gua. Bau kotoran kelelawar cukup menyengat. Disarankan menggunakan masker.
Febry Rachmandhany,5,2 tahun lalu,Bersih dan bagus tempat nya
Agnisotya,5,2 tahun lalu,"Melihat keindahan batuan yang terbentuk begitu indahnya apalagi tempat ini dikelola dengan baik menambah kesan indah digoa
Kalo soal bau kelelawar karena goa ini dihuni banyak kelelawar jadi ya …"
Bunda Dien,4,2 tahun lalu,"Menyusuri goa terpanjang se Asia Tenggara
Rasanya... Amazing..."
Abdul Manan,5,Diedit 2 tahun lalu,Goa yang besar dan dalam. Diujung terdaoat sarang kelelawar sesuai namanya. Agar hati hati lantai cukup licin khususnya diujung sarang kelelawar.
Bapaknya Muadz,5,2 tahun lalu,"Tempatnya keren dan tertata, pengalaman baru bagi yg suka wisata, penjaga Pak Kasidi sangat mengerti sejarah"
Nunung Agustia Rini,4,2 tahun lalu,"Goa nya masih terawat dengan baik, hanya di beberapa lokasi pagarnya ada yang berkarat, masih banyak kelelawar yang ada disana, penerangan cukup karena ada lampu di sepanjang jembatan jalan masuk, htm 10 ribu, ada yang menyediakan senter …"
jeff hadianto,4,2 tahun lalu,"Datang kesini masih pagi sekitar jam 08.00 sedikit pengunjung, tidak ada pengunjung dalam jumlah besar/bus. Tiket 10 ribu per orang. Jalan masuk ke area cukup curam tapi masih aman. …"
Nanang Devandra,4,2 tahun lalu,Indah alami dari dulu tetep saja...
Reza Alfian,5,2 tahun lalu,"Goa lowo merupakan salah satu destinasi wisata yang wajib dikunjungi ketika berada di Kota Trenggalek. Tempat ini masih satu jalur menuju ke pantai prigi, menawarkan wisata telusur goa dengan banyak kelelawar. …"
Umi Khasanah,5,2 tahun lalu,Bagian depan area wisata terkesan panas dan gersang karena dominasi pohon jati. Jadi awalnya sempat meragukan tempat ini. Tapi begitu memasuki mulut gua hawa lembab khas gua memberi aura tersendiri.    Semakin dibuat kagum dengan megahnya …
Rayap Pasar05,5,2 tahun lalu,Good
andry pramunanto,5,2 tahun lalu,"Goa alami yg panjang & luas, penerangan buatan yg baik, sudah tersedia walking track yg cukup terawat, lalu suasana di dalam goa begitu sejuk dg gemericik air. Bapak guidenya jg ramah 👍👍 …"
Dheni Prasetyo,5,2 tahun lalu,"Bagus, udaranya adem"
TAUFIK HIDAYAT ARDI S,5,2 tahun lalu,Siap beli jelantah dengan harga terbaik
Tya Yusiana,4,2 tahun lalu,Goa nya bagus banget.. Hny saja jalan menuju goa sangat jauh.. Dan taman nya tdk terawar
Fauzi Moh,5,Diedit 2 tahun lalu,Tempatnya eksotik.
Tan Tjun Liang Sangkuriang Shop Banten (Benedictus Edi Sutanto),5,2 tahun lalu,Keindahan alam luar biasa
Masandi Yuliadi,5,2 tahun lalu,Sedekat goa seplawan aja
Ridwan Rimoo,5,2 tahun lalu,"Sabtu , 29 Juli 2023"
Hammam tok,5,2 tahun lalu,Keren
Teguh Sando,5,2 tahun lalu,Asline indah gowonya..luas banget adem.. dlam gua ada sungai mngalir... kurang perawatan
Djamalijah lijah,5,Diedit 2 tahun lalu,Wisata alami yg bagus
Rosalina Linda,5,2 tahun lalu,Super wonderful place to visit... It's good for kids knowledge and learning about nature.
Mecca Stone,4,2 tahun lalu,"Guanya bagus, sayang kurang perawatan, jalan masuk dan keluar masih satu jalur. Sayangnya yang bisa dijangkau hanya beberapa ratus meter. Sisanya belum memungkinkan dilalui wisatawan."
mukhtarom ali rakhman,4,2 tahun lalu,Creepy 😄 …
indra widjaja,5,2 tahun lalu,Bagus
Endang lestari,5,2 tahun lalu,sangat senang
Arif Usman,4,2 tahun lalu,Waktu kmren kesitu tmnku ku ajak masuk gak mau jadi cmn di luar an saja
Dany Ifallah,5,2 tahun lalu,Sangat indah dan mengesankan..puas banget dengan pelayanan disana
candra ardhianee,5,2 tahun lalu,"goa terpanjang di Asia Tenggara,
legendaris,
luarbiasa kerenn.."
kangmaz supendi,5,2 tahun lalu,"Agak Sepi sy kesana, apa mungkin sore jd sdh mau tutup, byk yg perlu di benahi utk tempat bermain anak, dan ornamen spot foto."
andhita nusa,5,2 tahun lalu,Sungguh mengagumkan
PAKPUH sigit,4,2 tahun lalu,"Seru dan menantang, tinggal petlu dikelola dengan baik."
Sedesa Sedusun,5,2 tahun lalu,bagi penggemar petualangan ... ini tempat yg recommended
Kartini Indonesia,5,2 tahun lalu,Gua yg luas dan bagus banget. Amazing pokoknya
Nesia Nidya yananta muhamad,1,2 tahun lalu,"Sayang bgt, wisata alam yg alami malah gak terawat"
Test account,5,3 tahun lalu,Terakhir kesini pas 30 tahun yg lalu. Sangat nostalgic.
Bukan Youtuber,5,3 tahun lalu,bagus
Ice Panda,3,3 tahun lalu,a lot needs to be fixed
Nuryani Dtt,5,3 tahun lalu,Sempurna' Gowa alami yang penuh ketakjuban untuk di kunjungi
Ahmad,3,3 tahun lalu,"Goa-nya bagus dan terawat.
Di luar goa tempatnya family banget.
Tapi sayang wahana di luar goa-nya tidak terawat parah. Padahal itu bisa jadi …"
Zulfa Azmi Azizah,5,3 tahun lalu,"Sebelum ke pantai pasir putih tadi mutusin untuk kesini, dan sepi sekaliii kayanya pengunjung disana tadi cuman keluargaku aja. Tiket masuknya murah per orang nya kena 10k, kalo kalian kesini aku saranin harus masuk ke dalam guanya definisi …"
Teguh Krisnowidodo,5,3 tahun lalu,"Tempat yg luar biasa  yg di ciptakan Allah
Goa yg terbesar di asia Tenggara"
prasastimarmer 34,5,3 tahun lalu,tempat wisata yang menghibur dan menyenangkan
Ana Nurush,5,3 tahun lalu,Istimewa kereeeen hanya saja fasilitas kamar mandi nya kurang terawat.
Riska Amanda,4,3 tahun lalu,"Goanya bagus sih, cuma perlu hati-hati krn didlm biasanya becek. Harga tiket kl tdk salah 10k. Taman sebelum masuk goa jg krg terawat, mungkin bisa dibenahi lg supaya bisa jd alternatif bermain anak-anak. Note: toilet kurang bersih."
Jual Marmer Online,5,3 tahun lalu,Tempatnya menarik dan rekomended
Widarti Hadi Suprapto,5,3 tahun lalu,Wisata alam yg bagus. Agak sayang pujaseranya/yg jualan sepi dan terkesan kurang terawat. Alangkah indahnya kalau dirawat dgn baik
Kunti Kumala Sari,3,3 tahun lalu,Lebih g kuat baunya
Riska nayla elviana,5,3 tahun lalu,Banyak membantu
Susi Yosiko,5,3 tahun lalu,"Suka banget, beautiful place..👍 …"
Natsu Sedeeng,5,3 tahun lalu,Bagus
hendrian febri,5,3 tahun lalu,"Destinasi wisata bagus, nuansa alam yg menarik."
Vandraxx Senang,3,3 tahun lalu,Sebenarnya viewnya bagus... mungkin akibat pandemi agak sepi dan sedikit kurang terawat.
Abdulrahman Pribadi,5,3 tahun lalu,Bagus
tanung 87,4,3 tahun lalu,Didalam goa terlihat bagus akan tetapi diluar goa kurang natural
Mahesa Kicak,5,3 tahun lalu,"Pemandangan alamnya bagus banget,,
SDH 2x Mengunjungi tempat ini"
Alit Walker,4,3 tahun lalu,Just like that
Joko Huruhara,4,3 tahun lalu,"Sebenarnya sih sangat indah hanya kurang perawatan
Berkesan seperti biasa2 saja."
Minthux Rista,4,3 tahun lalu,"Bnyak permainan ank yg rusak, mngkn kdpnx bsa diperbaiki lgi..."
Unsi Alexandrite,4,3 tahun lalu,Mengunjungi ulang tempat ini. Sudah sepi kelelawarnya. Playground dah kaya ga terawat. Tiket 10k. Parkir luas. Kalau mau masuk harus melewati jembatan. Banyak penjual jajanan oleh oleh khas trenggalek.
Atiem Ra,5,3 tahun lalu,"Natural, Terawat , Tapi perlu Dikembangkan Lagi Area taman Masuk ke Gua. Masih Kotor & Semrawut, Kebanggan Jawa Timur.. Lah.. Gua Terpanjang Seasia"
Anang Dwijo Suryanto,4,3 tahun lalu,"Amazing. Benar² Maha Karya Sempurna dan Luar Biasa Sang Maha Pencipta. Benar² ""The Great Masterpiece of The Greatest Creator"". Sungguh, Maha Suci Alloh dengan segala Ciptaan-NYA. Jika masuk Goa, pastikan sandal jepit yang anda pakai masih tebal, karena jalan di sepanjang jalan di Goa sangat licin, basah dan becek."
Meeling Meeling,5,3 tahun lalu,Napsk tilas  setlh  40  th   yang llu   skrg  lebih  enk  jln  nya  bgs
Ayum Candra,3,3 tahun lalu,Kebersihan kurang terjaga
Dedit Kurnianta,5,3 tahun lalu,Sekarang lebih baik lagi. Akses mudah
Fajar Rahmadhi,5,3 tahun lalu,Semenjak covid 19 berangsur2 hilang wisata goa lowo ini mulai rakai kembali dikunjungi para wisataean
