name,rating,date,text
Agus Susilo,5,2 minggu lalu,Tempat rekreasi murah bersama keluarga
Bunda Dien,5,sebulan lalu,"Ekowisata khas di Trenggalek
Jika ke sana kita akan semakin kagum akan ciptaanNya"
Ahbibzahro Wiadi,5,sebulan lalu,Sampah ada di mana mana
Makara,5,sebulan lalu,Asri
Fbr Dian,5,2 bulan lalu,jembatan kayunya udah banyak yg rusak...
Romi D Nanda,5,Diedit 3 bulan lalu,"Ada yang baru nih di Mangrove Pancer Cengkrong... Selain bisa edukasi mangrove dan tanam mangrove, Kalo kesini nyesel kalo ga ikut mangloventure petualangan naik wisata perahu keliling hutan mangrove. Bisa mencicipi kepiting bakau yang super lezat. Nah juga bisa mencoba sirup mangrove atau teh mangrove. Jangan lupa beli souvenirnya"
Re ZZz,5,4 bulan lalu,"Baguuus, tidak bakalan nyesel main kesini. Parkir luas, seafood murah, warga masyarakat ramah2, akses mudah di jangkau dengan kendaraan R2 dan R4"
Genteng Nglayur,4,5 bulan lalu,"Eksotis
Alami
Layak dikunjungi"
Muntaha taha,5,5 bulan lalu,Kenalan
sandi bagus,5,5 bulan lalu,Bagus  cuma  harus di tambahi wahana lagi
gun dul,4,6 bulan lalu,Tiket masuk 5 rbu untuk bantuan konservasi..ada spot foto hutan bakaunya lebat tp syang airnya surut jdi di bawah hutan bakau g ad airnya
Ali Masduki,5,6 bulan lalu,Menarik
Mas bro,4,6 bulan lalu,Kebersihan perlu ditingkatkan.
Nur Hamida,4,7 bulan lalu,"Pertamakali kesini saat weekend dan liburan sekolah, sepi tidak tampak banyak pengunjung. Lokasi ada di seberang pantai Cengkrong. Ada warung sebelum masuk ke hutan mangrove menyediakan menu makanan seafood, minuman dll. …"
Tinie Winie,5,Diedit 7 bulan lalu,"Asri alami...
Tiket masuk murah..
Pengenalan pada alam😘 …"
Endrawan Duwi,5,7 bulan lalu,"Hutan mangrove, asri. Pemandangan yg indah."
Suheri Jodo,5,7 bulan lalu,Tempatnya indah  untuk foto bagus
Salim Soto ayam,5,8 bulan lalu,"Dulu terkenal dg hutan mangrove, tp sekarang punah dan keliatan sepi pengunjung, tp nyaman utk outbond
Dengan warung makanan yg sangat terjangkau, juga tersedia tempat karaoke yg cukup utk melepaskan penat .."
Fawzi Ramadhan,3,8 bulan lalu,Sama seperti hutan mangrove lain nya
Niaprima,4,8 bulan lalu,"Kesini untuk kesekian kalinya, kadang kena tiket masuk kadang enggak (mintanya sih sumbangan yaaa)
Jadi kek kurang terurus, banyak kayu yg udah bolong hiks jadi takut buat …"
Raden Kicau 181,3,9 bulan lalu,Bagus untuk di kunjungi
Fina Zukhrufin,5,9 bulan lalu,"Terakhir kesini udh hampir 10 th yg lalu, belum ada pantai gemah dan jls. Tempat ini masih buka,
Hutan mangrove nya semakin lebat."
Slamet Waluyo,5,10 bulan lalu,mantaaap
Dina dearthaa,4,Diedit 11 bulan lalu,"Mangrove nya masih baru, sehat, asrii, kalo sore dapet sunset lebih bagus lagi!! Bisa beli jagung juga buat kasi makan burung dan video ala ala!😻 …"
budi siswanto,3,Diedit setahun lalu,"Bagus, cuma jembatan mulai ada yang rusak"
Dwiana Binti Yulianti,5,setahun lalu,"Kami tidak berkunjung ke hutan Mangrove nya tapi berkunjung ke pantai Cengkrong yang berada beesebwrangan dengan hutan Mangrove. Pantainya bersih, pasirnya lembut, ombaknya kecil jadi aman untuk bermain. Ada beberapa warung yang menyediakan …"
Adi Fahdiar,5,setahun lalu,Mantap pelayanan
averyz seoo,4,setahun lalu,"bagus tempatnya, cmn pas kesana airnya gak ada, kering+panas banget ㅠㅠ tp ada tempat neduhnya kok"
Wahyu Sugeng Riyadi,5,setahun lalu,Pagi hari terasa dingin
Seyla ananda Hestin,1,setahun lalu,Tidakbterawat
D4TE_MAYO AHMAD K,5,setahun lalu,👌🏻 …
Marghareta Ayu,5,setahun lalu,"Pantainya masih sepi, jangan lupa beli ikan asap harga murah"
ihsan nudin (ichan),4,setahun lalu,Oke
Pujiono Yeni,2,setahun lalu,Sangat indahh
Ajeng Dhira,5,setahun lalu,"Pantai nya sedikit tidak terawat, lumayan sepi tapi malah enak buat take foto & video, ombaknya tenang, ada warung di pinggir pantai tp worth it buat bawa bekel, pas kesana bareng"" rombongan & makan soto rasanya bener"" kurang, kaya makan sayur asem pun msh mending sayur asem, es teh nya juga kurang banget dr segi rasa."
timy trenggalek,5,setahun lalu,Tempatnya nyaman.
Diyahayu Purtintasari,4,setahun lalu,Indah
Rudi Purwanto,4,setahun lalu,Oke juga
Fika Khoirina,5,setahun lalu,"Lokasi sejuk, rindang... Parkir luas. Toilet ada, warung ada. Ombak landai.
Buat nenda/camping recomended."
Like Febriani,5,setahun lalu,"Kesana pas hari jumat cuti bersama suasana sepi, saran kalau ke sini bawa topi atau kacamata karena panas..banyak spot foto yang menarik."
Aning Mardiana,1,setahun lalu,Tempatnya indah
Redmi 10,5,setahun lalu,"Lanskapnya bagus: pantai, mangrove dan perbukitan.

Untuk sampah memang perlu perhatian khusus ya"
Rifda Isna Hanifa,5,setahun lalu,asri nyaman tiket murah
Baitul Mustopa,5,setahun lalu,Pemandangannya bagus. Tempat yang pas buat menikmati akhir pekan.
Yubin Tiii,5,Diedit setahun lalu,"Sembari bersepeda mampir ke mangrove tapi sekarang tempat ini sangat dan sangat sepi dengan pengunjung... Seharusnya bisa di promosikan lagi tempat ini, tetapi di tepi laut ini tetap ramai pengunjungnya."
Cincin Cristanto,5,setahun lalu,"Sejuk dan Asri, untuk refresing"
Erina Wiji Lestari,5,setahun lalu,enak pantainya ngga terlalu rame. trus banyak juga jenis makanan seafoodnya. kedeoannya mungkin kebersihan area pantai lebih ditingkatkan soalnya tidak jarang sampah yang terbawa air ke pantai
Jejak Lensa,4,setahun lalu,Asri nyaman sejuk
Anton Triwidodo,5,setahun lalu,Mantap
sam yons,5,setahun lalu,"Pantai nya sangat bersih dan terawat pengunjung nya blm terlalu ramai.
Sempat nginap di sini semalam di area camping .fasilitas nya cukup memadai cuma klo malam warung nya tutup semua jadi harus siap bekal untuk mlm hari"
Aurel Kipty,4,setahun lalu,"Untuk acara keluarga lumayan sih, kuliner seafood murah, enak jg tp arena bermain dikit"
Akbara Balqhia,5,setahun lalu,"Enak banget buat merenung, apalagi di weekday dan hujan gerimis. I Love this place"
Bagus Oktoharyanto,5,2 tahun lalu,"Tidak terlalu ramai, cocok untuk wisata keluarga"
INI KARSUM,4,2 tahun lalu,"Bagus , sayang masih banyak sampah"
Anava Eva,4,2 tahun lalu,"Pantai masih asri, tp kurang perawatan. Kalo buat camping dan santai dengan keluarga bisa jd alternatif pilihan. Ngga bgtu ramai, tp ada warung di tepian pantai. Bawa tenda sama alat masak portable sungguh asik sekaliii...🥰🥳 …"
HANIFAH DAROJAT,5,2 tahun lalu,"Pantainya bagus, tapi kurang nyaman kalau datang siang. Sore terasa lebih nyaman"
imam Syafi'i,1,2 tahun lalu,tidak rekomindet
