name,rating,date,text
Salsabela Widya Amelia,5,1 hari lalu,pantaii yg cukup ramai di weekend ini... ada sedikit saran untuk petugas yaitu tempat sampah diperbanyak lagi yaa... dan sering adakan untuk pembersihan pesisir pantai disaat weekday atau saat jam2 sepi pengunjung🙏🏻🙏🏻 …
Fajar Nugraha,5,3 hari lalu,"Pantainya ramai banyak pengunjungnya. Dekat dengan parkirannya jadi jalannya tidak jauh. Kebersihan terjaga, tidak ada sinyal"
wanda meilindaaa,4,4 hari lalu,"ternyata B aja pantai nya, banyak sampah🙏🫠 …"
Upiq Kafiudin2,5,4 hari lalu,"Pantainya tdk begitu luas, adem krn banyak pohon²nya"
Aprilia violinist,5,4 hari lalu,Tempat yang lengkap untuk semua jenis minuman
Rama Budi,5,3 minggu lalu,"Pantainya teduh, banyak pohon dipinggiran pantai. Sangat cocok untuk orang yang suka pantai tapi takut panas."
Nika Woelan,5,4 minggu lalu,"Keren lah pokoknya. Ramah, administrasi jelas, tidak ada pungli. Tinggal perlu peningkatan kebersihan, kelengkapan dan kualitas fasilitasnya, keragaman oleh².
Tolong tetap jaga JANGAN SAMPAI ADA PUNGLI seperti di Banten, Jabar, sebagian …"
AINUN NURFADZILAH,5,sebulan lalu,"Pantainya bagus banget, bayarnya 15rb dewasa parkir 2rb. Harga makanan disana relatif masih masuk akal."
Dwi Wahyuningsih,4,sebulan lalu,"Pantai nya bagus..
Tapi saat beli oleh oleh ikan asap di area pasir putih ikannya sampai rumah busuk dan banyak belatung nya,,, …"
Binti Nur Fadilah,5,sebulan lalu,"Pantainya terawat dengan cukup baik dan akses menuju lokasi relatif mudah. Pemandangannya bagus, terutama saat cuaca cerah."
kafabih Abdullah,4,sebulan lalu,Pantainya agak kotor. Banyak sampah dari laut. Bahkan ada bangkai ikan juga. Saya kesini di bulan desember dan ombak biasa aja. Pantai juga banyak batu2 nya. Bukan batu karang tapi bulat kayak batu kali yg hitam. Kalau di bersihin ok banget ini pantainya.
Achmad Nadhif,5,sebulan lalu,tempat e bagus n nyaman bwt rekreasi kluarga
Fauzi Zizo,5,sebulan lalu,Bagus n ikannya murah
Yakuza',1,sebulan lalu,Tiket mahal 32 ribu
