name,rating,date,text
Excel havis,5,1 hari lalu,Pengalaman saya
Hertiani Dewi,3,3 hari lalu,"Minim toilet umum, sayang sekali pengunjung banyak bgt padahal"
Elsa Wahyuu,5,4 hari lalu,"baguss bangetttt, apalagii kalo ga mendungg😍 …"
serba tanaman hias,4,seminggu lalu,"Lumayan bagus...wahana main banyak,tp pantainya masih bagus pasir putih"
Khusnul Khotimah,5,2 minggu lalu,Tempatnya sangat seru dan tempatnya baik walaupun ada sebagian sampah
A Zain (Zain Petualang),5,2 minggu lalu,Pantai yang indah dan nyaman untuk dikunjungi. Pasirnya bersih dan terawat dengan sampah yang sedikit sekali. Bibir pantainya sangat lebar dan panjang. Terdapat pantai mutiara 1 dan 2 dengan jarak yang lumayan dekat (bayar cuma pas di loket …
Ari Adiyanto,5,2 minggu lalu,Bagus pantainya
Aries Basuki,5,2 minggu lalu,"Tempatnya nyaman sekali untuk di kunjungi bersama keluarga,ada beberapa wahana yg bisa kita nikmati bersama keluarga. Tks"
Jauhari Bahri,5,2 minggu lalu,Mantap....
Brian Purnama Putra,5,2 minggu lalu,"Bagusnya kalo sepi. Sayangnya rame jd gitu dehhh jd kotor bangett wkwkwkw
Banyak yg bawa bekel tp sampahnya gak dibuang di tenpat sampah makannya kontor bgt"
yayuk srie,5,2 minggu lalu,"Pantanya vukup bersih dn viewnya gunung itu yg bikin kita serada di raja ampat.
Pungin naik jet sky yg lagi viral eh pas giliran aku badai datang tiba2..gak jdi dech...next time kesana lagi..."
Edy Kurniawan,5,2 minggu lalu,Tempat sangat bagus buat liburan keluarga
Anwar Ontrip,4,2 minggu lalu,Top
Baraya Soenda,4,2 minggu lalu,"Pemandangan bagus, asri dan alami, tolong tingkatkan kebersihan di sekitar pantai"
Eka Puji,5,2 minggu lalu,Sangat bagus
MOH WILDAN MUKHOLADUN M,5,3 minggu lalu,"Terasa berwisata di danau,  dikelilingi gunung"
Ali Java,5,3 minggu lalu,Mantappp
Kilya KF,5,3 minggu lalu,"📍Pantai mutiara trenggalek 🎣
Kesini mancing sma doi tp boncoss 😭😂
Pantainya bagus ada banyak pohon kelapa,ada bbrapa wahana waterspot banana boat, …"
