name,rating,date,text
Xydho,5,1 hari lalu,"Air terjun sangat besar dan aman
Ombak pantai sangat besar, selalu utamakan keselamatan."
kurnianfuadputu sihastra,5,3 hari lalu,Kalau kesini cari saja pemandu wisata mas satria... recomended... tiktok e ptbiroperjalananwisata
ika trilaksono,5,seminggu lalu,"Seruuu maen di air terjunnya, anak2 suka dan betah maen air.
Akses jln kepantai/air terjun gampang dilalui."
Hon's,5,2 minggu lalu,Tempat indah sejuk dan syahdu
Y Agus Hariyanto,5,3 minggu lalu,Pantai dgn air terjun di depannya walau tidak tinggi tp ainya sejuk..tempatnya juga rindang...
Wiro Sableng,4,3 minggu lalu,cantik
Maria Istiana,5,4 minggu lalu,"Sangat rekomendet..... Jln bagus fasilitas sdh lengkap kamar mandi, musholla sdh ad👍👍👍 …"
Donz,5,sebulan lalu,"Pantai bagus dan ada air terjunnya juga fi sisi yg lain pantai
Seru bermain air di pantai dan air terjun"
Faeyza Amira,4,sebulan lalu,So far so happy
Galeri LLM,5,sebulan lalu,Sangat menyegarkan
Ifan Hermawan,5,sebulan lalu,Pantai yang masih benar benar asri
Angga,5,sebulan lalu,Kombinasi pantai yang indah dengan air terjun yang menawan menjadikan tempat ini sebagai destinasi yang wajib dikunjungi
Bagja Jay,5,sebulan lalu,Pantai yang ada air terjunnya. Unik
Naomi Misaki prealy,5,sebulan lalu,"Bagus banget Pemandangan Air Terjun dan Pantai nya.
Puas banget..
Perjalanan 3,5jam tidak sia² sampai sini"
Fadjar Putra Anoraga,5,sebulan lalu,Masya Alloh bagus masih asri... sering sepi. Alhamdulillah malah bs men̈ikmati di dalam sepi
ukie rampage,5,sebulan lalu,"Keren, ada air terjun n punya spot buat mancing, sayangnya kurang terawat dng baik, tpi tetap ok buat pepas penat"
Tua Nakal,3,sebulan lalu,"Alamnya bagus,sayang minim perawatan,kolam renang kotor banget dan licin,ga dibersihin,terkesan jorok"
Chaca Deasy Kusuma,5,sebulan lalu,"Best experience datang ke pantai pelang, pantainya bagus namun tidak cocok untuk berenang karena ombaknya besar, tapi tenang aja kita bisa main air di air terjunnya tinggal jalan sedikit dari pantai dan air terjunnya indah banget"
Guruh Hadi Putranto,5,2 bulan lalu,"Air terjunnya bagus, cocok untuk liburan bareng keluarga"
Nina Reyna,5,2 bulan lalu,Bggus
Septiawan Pandu Sasongko,5,2 bulan lalu,"Cocok untuk dikunjungi, tidak begitu ramai"
Bagus Arianto,5,3 bulan lalu,"Ombaknya cukup gede .lokasinya dapat dengan ditemukan
Dekat dengan air terjun dan ada kolam renang juga
Klo laper juga tersedia warung di sekitaran pantai .
Banyak pendopo untuk istirahat"
Axzioma Adhitia,5,3 bulan lalu,"Dengan pasir pantai yang sangat luas, pantai ini tergolong cukup bersih dari sampah."
Ahmad Sulvi Fafiru,5,3 bulan lalu,Dulu pas kelas 3 SD kesini.
Bima Aditya,5,3 bulan lalu,Suka tempatnya sepi pengunjung
muhammad ervan,5,4 bulan lalu,"Bagus pantainya ada air terjunya juga, akses masuk mudah R4 bisa langsung masuk parkir dekat dengan pantai jajan di warung pun harganya normal, semoga rezeki para pedagang berkah barokah dan semakin banyak pengunjungnya."
Donny Styanto,5,5 bulan lalu,"Keren ,,, gak.sia sia jauh dari Surabaya"
Gorlami Sugiono,5,6 bulan lalu,Pantai bagus. Ada hutan air terjun dan juga pantai. Banyak kepiting kecil yang gesit-gesit. Pantai tidak terlalu ramai. Cocok untuk yg suka ketenangan sambil menikmati deburan ombak. …
Izzieq Azza,1,6 bulan lalu,"Jelek.. kecil.. sepi.. bayar mahal, tapi gak ada jual ikan2.."
Diawinasis Mawi Sesanti,5,Diedit 6 bulan lalu,"Pantai dekat air terjun. Ada kolam, gazebo, gardu pandang. Ada toilet, mushala, warung."
pilano dicky,5,7 bulan lalu,dulu pernah tahun 2019 kesana tempatnya masih sepi sekali dan kesana niatnya juga mau lihat air terjun tapi kering dan disana tempatnya bagus bersih dan saya mendapat teman akamsi yang baik
Imam Supii,5,8 bulan lalu,Pantai pelang plus view air Terjun tiket masuk terjangkau fasilitas memadai
Bobby Yonan,5,8 bulan lalu,diperbanyak lagi tempat sampahnya
Geas Adventure,5,8 bulan lalu,Ok👍🏿 …
Andrea Kopi Hitam,5,9 bulan lalu,"Salah satu pantai unggulan di Trenggalek, waktu itu jam 4 sore saya ke sini. Petugas tiket udah ga ada, tiket parkir udah ga ada, hujan rintik - rintik. Ada warung yang masih buka, batu karang di sebelah kanannya sangat iconik, pasirnya …"
Peni DS,4,9 bulan lalu,"Air terjunnya cantik dan pantainya sebenarnya juga indah, terlebih dulu ada bukit yg bisa melihat pemandangan pantai dari atas tersebut
Sayangnya..bbrp kali kesana..makin kesini kurang perawatan,jg dari segi …"
nicky minaj,5,9 bulan lalu,"Pantainya sendiri bagus ya, luas dan bersih, ada beberapa tebing karang yg bagus buat foto2an. Pantainya menyambung sampai ke pantai kili2.
Salah satu pantai yg ada air terjunnya di JLS, namun air terjun kering saat musim panas."
