name,rating,date,text
Kilya KF,5,3 minggu lalu,"📍Prigi Trenggalek
Bagus banget banyak spot buat foto
Ombak tenang, banyak bukit” yg cantik 🤩 …"
Yuwono Aris,3,3 minggu lalu,Pantai cantik. Hanya saja perlu ditingkatkan kenersihannya
sitta cinta,5,3 minggu lalu,"pantai yg tenang n syahdu..
tp jalanny mnuju ksna ckup bkin pucet..heheheheh"
atok kusnanto,5,4 minggu lalu,Pantainya aman karena ombak tidak besar
Nika Woelan,4,4 minggu lalu,"Perlu dijaga kebersihan dan ditingkatkan fasilitasnya. Ombak besar, gak bisa renang/main air."
Gus Yanto,5,Diedit sebulan lalu,"Ke 3 kali main ke sini ..semakin bagus dan asri ..kombinasi pas untuk dapat durian + ikan laut
Update Jan2026...kok banyak sampah dan tdk ter urus..sayang banget"
Ghifary Rizky,5,sebulan lalu,"Cocok untuk yang ingin berwisata rombongan karena punya garis pantai panjang. Cocok untuk bersantai dan menikmati pemandangan laut. Fasilitas cukup lengkap dan akses mudah, pas untuk liburan singkat."
Luluk Lailatul Farida,5,sebulan lalu,"Hemm kesorean mpe sini, blm sempat masuk ke pantainya...harusnya turun bentar lihat doang 10 menit baru pulang, cm muter armada doang karena tempat parkir n warung warung dah tutup. Boleh gk yaa"
A r i f,4,sebulan lalu,"Big area for having fun with friend, colleague, family and others.
There are places for lunch or dinner.
Nice view and quite hot while time is close to noon time."
krisna bagus,5,sebulan lalu,Ya ampun
cahaya electric,5,2 bulan lalu,tempat yg cocok untuk liburan bersama keluarga
Arief Budiman,4,2 bulan lalu,Rute kerja saya..harap maklum sales gaplek santoso blitar 🤗 …
Moch. Ady Wahyu Saputra,5,2 bulan lalu,"sejuk dan bersih, pantainya luas parkiran juga luas, bisa untuk kemping keluarga."
Bayuu Dennis 05,5,2 bulan lalu,Indah sekali
febrian Xtryn (Febriandi ekos),5,2 bulan lalu,Thn baru
Markaban 2025,5,2 bulan lalu,good
Nur Haya Indah,4,Diedit 2 bulan lalu,Suasana yg sangat asri dengan angin sepoi² menikmati pemandangan di pinggir pantai
WHY NOW,4,3 bulan lalu,bagus dan lumayan terawat
Sandratimur Pradopo,5,3 bulan lalu,"Cocok untuk meredam panasnya pikiran yg ngebul"""
Nana,5,3 bulan lalu,Pantai nya lembut samping kanan kiri ada pemandangan gunung nggak banyak sampah didalam air nya
Dyra Ria,5,4 bulan lalu,♥️
Yulianggabekti Basuki,5,4 bulan lalu,Setiap mudik selalu tidak lupa berkunjung
Tawang Kulon,5,4 bulan lalu,Warung sumber rejeki menu ikan bakar bumbu rempah mantap
Ahmad Safii,5,4 bulan lalu,Tempat nya luas 👌 …
Sri Winarsih,5,5 bulan lalu,Indahnya pantai prigi 360
Adnan Rizki Ramadhani (Rama),4,5 bulan lalu,Akses mudah dan josjis
Permana,5,5 bulan lalu,Bagus
Aida FR,5,5 bulan lalu,Bagus
Supermi Enak,2,5 bulan lalu,"Pantai nya kotor,,, kurang Bersih dan kalau malam banyak ditemukan aktivitas orang mabuk2 an satpam nya kemana,,, banyak Vasilitas rusak,, Kamar mandi nya sush dicarii"
Rochman Apandi,5,5 bulan lalu,Di pantai prigi 360 trenggale
Muhammad Farhan,5,6 bulan lalu,karya indah alam
musmus _love,4,6 bulan lalu,Suuuangat bagus dan pemandangannya juga bagus
Alif Asikin,5,6 bulan lalu,"Pantai jmn sy msh kecil 🥲 ...trkhir berkunjung 2010 (klo gk slh). Tk terhitung berkunjung ke pantai ini, termasuk karanggongso & pasir putih. Sering bgt diajak bpk sy camping. KANGEN 🤗 masa itu, smg suatu saat bs kesana lg. …"
