name,rating,date,text
ONez channel,5,1 hari lalu,"Tempat nya indah,sejuk dan terasa dingin kalo di bawa air terjunnya"
HaiiMoon,5,Diedit 4 hari lalu,"Air terjun dsni bagus banget banget...
Airnya sesuai sama foto aku, itu aku real pke kamera s22ultra, no edit, no filter... …"
Ribut Wahyudi,5,seminggu lalu,"🌿💦 Grojogan Nglirip, Tuban
Alam selalu punya cara untuk menenangkan.
Air yang jatuh deras, mengalir jernih, dikelilingi hijau yang menyejukkan mata. …"
Tumis Kacang,5,seminggu lalu,Bagus murah tiketnya
iNews Tuban id,5,Diedit seminggu lalu,Lokasi wisata bersejarah yg vintage banget pemandangannya
Sri Wahyuni,5,2 minggu lalu,Air terjun yang memiliki warna air hijau  toska terutama jika cuaca mendukung. Relatif dekat menuruni beberapa anak tangga dengan beberapa pilihan spot buat foto serta ada penjaga yang rutin membersihkan batu batu agar tidak licin buat …
Anisa Ae,4,2 minggu lalu,"Air terjunnya cukup cantik. Lokasi parkir juga luas. Lokasinya menurun jika mau ke air terjun, tapi sudah enak karena bentuknya tangga. Masuk ke sini cukup dengan membayar tiket 8k. Banyak penjual di sepanjang jalan, jadi tidak khawatir kelaparan.  Toiletnya juga gratis jika sudah masuk ke air terjun. Sangat membantu pengunjung."
rayna da,4,2 minggu lalu,hemm.. bayangan saya waterfall pasti airnya jernih bening dingin sejuk.. dan taraaa.. dibilang buatan bisa jadi karena ternyata air terjun berasal dari sungai DAM dn turun sekitar 700mtran kebawah.. dan berwarna kehijauan karena tercampur …
Doni Hariadi,5,2 minggu lalu,"Air Terjun Putri Nglirip
Datang tgl 17 Januari 2026
Lokasi di jalan Raya Nglirip, namun tetap memastikan pintu masuk jika memakai …"
Isa Ikbalul Surur,4,2 minggu lalu,"Pengalaman berkunjung 17 Januari 2026, letak titik parkiran nya berada cukup jauh dari turunan pintu masuk air terjun, lokasinya masih masuk gang, untuk kondisi di lapangan jalur masuk belum ramah untuk disabilitas dan lansia karena masih …"
Andri anto,4,2 minggu lalu,"Dengan harga tiket masuk yang hanya 8 ribu rupiah, kita bisa menikmati keindahan air terjun dengan warna air yang hijau tosca. Tidak disarankan ke sini saat musim hujan karena air akan berubah warna menjadi coklat. Banyak penjual di sekitar dan toiletnya di belakang pintu masuknya gratis."
zakky rohman,4,2 minggu lalu,"Menikmati keindahan pemandangan di kawasan wisata Air Terjun Nglirip menjadi salah satu hiburan untuk melepas kepenatan dari kesibukan sehari-hari.
Lokasinya berada diantara jalur Montong, Tuban ke Trucuk, Bojonegoro.  Sangat mudah dijangkau dan tidak terlalu jauh dari jalan raya."
