name,rating,date,text
CANSABALAS ADVENTURE,5,2 minggu lalu,"Bagus masih alami, tapi jalan licin"
Konsultan Pajak,5,4 bulan lalu,Pengen mampir tp takut ibuku kecapekan... semoga makin bagus... trakhir kesini puluhan thn yg lalu 🤭 …
Kang Was,5,4 bulan lalu,"Keindahan Goa Akbar terletak pada formasi stalaktit dan stalagmit yang unik, lorong-lorongnya yang luas dan diterangi lampu berwarna-warni, relief sejarah di dinding tentang penyebaran Islam, serta fosil kerang laut purba yang menunjukkan …"
Luqman Najib,4,4 bulan lalu,"Berkunjung di weekend tapi sepi pengunjung, tiket masuk per orang Rp 10.000 parkir mobil Rp 10.000 juga."
Sutrisno -,5,6 bulan lalu,"bisa jadi wisata alternatif khususnya bagi warga tuban dan sekitarnya, bisa utk edukasi bagi anak2 juga, tentu anak2 akan sangat antusias jika diajak menelusuri bawah tanah"
Pak Jemono,4,Diedit 7 bulan lalu,Goa bawah tanah yang indah dan menakjupkan. .salah satu destinasi kota tuban.bernuansa sejarah terutama para wali penyebar agama islam...tempat cukup strategis banget...
Ratna Yuwono,5,8 bulan lalu,"Goa ini ternyata lokasinya ada disebagian bawah pasar
Sangat besar dan luas
Walau tidak ada petugas yg antar tuk menyusuri goa tsb cukup aman krn ada penunjuk arah jalannya 👍🏻 …"
Milatur Royyana,4,8 bulan lalu,Oke
fika yeol,5,8 bulan lalu,"Bagus masih asri, masih banyak kelelawar jdi lebih berasa vibes nya bener"" Di gua alam,  hanya saja menurut saya lampu warna warni disko kurang cocok dipasang, mengurangi vibes, mungkin akan lebih baik jika berwarna warm white atau senadanya."
Alfan Novan,5,10 bulan lalu,Goa alami
masdipi seng ganteng,5,10 bulan lalu,"Bagus, semoga terpelihara dengan baik seterusnya"
Dian Rivia,4,setahun lalu,"Tempatnya bagus, kalau kesini pakai alas kaki yang anti slip karena jalanan agak licin.Perlu peremajaan kembali supaya terlihat menarik."
dd wahyulianto,5,setahun lalu,Goa yang sangat luas dan menakjubkan
Putri Sidharta,3,setahun lalu,Sensasi jelajah gua yg masih aktif + pasar tradisional saat selesai/ keluar lokasi
Ikhsan Asrafi,1,setahun lalu,Ngaek ngaek ne tidak asli buatan tidak asli
Edy Sulestyono,4,setahun lalu,Cukup panjang goanya dan lumayan bersih
awl (awelia),4,setahun lalu,"Tiket masuk libur lebaran, april 2024 pada saat weekend 10rb per orang.

Kantong parkir tersedia di sebrang pintu masuk. Area parkirnya terbatas ya. …"
Sitta Rahayu,1,2 tahun lalu,"BAU
KOTOR
Tidak terawat"
HD Channel,5,2 tahun lalu,bagus
Hery Setyawan,5,2 tahun lalu,Indah dan asri
Abdul Halim,5,2 tahun lalu,Fantastis
Sella's Htrt,5,2 tahun lalu,Ternyata tempatnya besar dan jalanannya cukup panjang. Di dalam goa d lengkapi dengan keterangan sehingga memudahkan pengunjung untuk mengetahui penggunaan ruangan/sudit yg ada di dalam goa
Devi Khan,4,2 tahun lalu,"Kesini Januari 2023..
Sepi pengunjung..
Lumayan keluar pagar ada yg jual es legen"
Yayan Ahmad Romdoni (Yayan),5,2 tahun lalu,Gua ditengah kota
