name,rating,date,text
Rachmad Triyogo,5,sebulan lalu,Hanya dari jalan raya.nonton hiburan warga lokal
Sillya Kosasi,5,sebulan lalu,"Luas banget, sudah di cat bersih dan bagus"
Baphomet Lilith,5,2 bulan lalu,kembali ke sini setelah 20 taon lebih ....
muraiya ayumirat,5,2 bulan lalu,"One of the most beautiful Klenteng in Jawa Timur. So huge and I really love the vibe, so calming."
Agus Suyanto,5,2 bulan lalu,"Tempatnya gede bgt,sayang ga sempat bermalam,ktnya kl malem tuh bagus bgt..."
SHEILLA RAMADHANI,5,2 bulan lalu,"Tempatnya besar, nyaman, orang² yang disana ramah semua"
Eka Andika,5,2 bulan lalu,Tempat yg sangat tenang
Kenny J. Sutomo,4,2 bulan lalu,"inget samar samar dulu waktu masih sd pernah ke sini. dulu rameee dan seru. ada yg sembayang, ada yg makan gratis, ada yg donasi dan lain lain. skrg udh mulai kerja datang ke sini lagi. Ternyata skrg ga serame dulu, untungnya masih terawat …"
Devina Isna Cahyani,5,2 bulan lalu,"Segeeer sotonya, enakrasanya"
Bambang Hermawan,5,2 bulan lalu,Tempat ini luas banget dan bagus viewnya
Mu Alim,5,3 bulan lalu,Mau masuk
samuel hot4,5,3 bulan lalu,"Bagus, tepi laut pantura"
Haryanto Agung,5,3 bulan lalu,Nostalgia waktu kecil saya tinggal di sekitar daerah ini. Maen layangan dan cari kerang di pantai depan klenteng sama temen². Sekarang sdh tinggal di sby.
July Waskito,5,4 bulan lalu,"Jalan² aja, gak ketemu biksunya"
Kritis Kritis,5,4 bulan lalu,Bagus
helmi ls,5,Diedit 4 bulan lalu,"Parkiran luas ..lokasi sangat bersih. Bisa mampir istirahat, atau sekedar foto bangunannya ..petugasnya ramah ramah .waktu saya berkunjung juga ada pembagihan makanan gratis .sangat recommended ..untuk semua umat manusia yaa. Tanpa perduli golongan apa."
Ade Gouw,5,4 bulan lalu,⭐⭐⭐⭐⭐
Kukuh Pradana,3,5 bulan lalu,Cocok untuk menikmati sunset di pinggir pantai
Dwiky Wijaya,5,5 bulan lalu,Kesini ga bisa foto di lampion nya soal nya ada yg lagi ibadah
Kartika mete,5,5 bulan lalu,"Tempat yg nyaman, tenang,bersih,
Makanan dan minuman disuguhkan dengan baik, gratis, oleh pegawai klenteng yg ramah sopan..."
MYS Kingdom,5,6 bulan lalu,"Keren banget, parkiran-nya juga luas banget, tempatnya juga luas banget, banyak spot yang bisa dipake buat foto .. …"
Eko Adi Santoso,5,6 bulan lalu,"Salah satu klenteng terbersih yg saya kunjungi, banyak wisatawan di sana, dekat dengan laut"
Sugiarto Giamnyoto,5,6 bulan lalu,Semoga lekas pulih
Dewi Chandra,5,6 bulan lalu,"18 juli 26 kemaren hut.sungguh luarr biasa. Sy belom boking,, dapat tempat nginap.meski lantai 3.trimakasih klenteng kwann sing bio. Sukses selalu...tahun depan seperti biasa.kesana lagi."
allen devi,4,6 bulan lalu,Nice
