name,rating,date,text
Rifnoviar Rivai,5,sebulan lalu,"Kesan

Perjalanan ziarah ke Makam Sunan Bonang memberikan pengalaman spiritual yang …"
Mas Andryan,5,2 bulan lalu,"Kenyamanan tidak bergantung pada kakimu sedang berpijak dimana, tetapi di hatimu ada siapa."
Isti Yanah,5,2 bulan lalu,"Tempatnya bersih, dekat alun² Tuban, jadi bisa berziarah berwisata, & beribadah di masjid yg megah"
k4ng 4li,5,3 bulan lalu,"keberkahan itu seperti angin, tak tampak namun terasa, itulah yang kami rasakan setelah ngalap berkah sowan ziarah ke makam sunan Bonang Tuban.
اللهم بارك لنا"
Yudi Minitrek,5,4 bulan lalu,"Sekarang lebih tertata rapi dan lebih bersih, dekat masjid agung Tuban, dekat alun-alun kota Tuban, dekat pantai Boom dan dari parkiran bus ke makam kanjeng Sunan Bonang sebaiknya naik becak"
Sabila Putri Ramadhani,5,4 bulan lalu,"tempat wudhu dan toilet bagus, mushola nyaman tapi tidak disediakan mukenah untuk wanita jd harus bawaa dari rumah"
aji putra,5,5 bulan lalu,Makam sunan Bonang
Muhamad Aliv Fahrudin,1,5 bulan lalu,Sangat ironis sekitar reng 1 sunan bonang banyak makam makam lama keluarga dan keturunan diganti dengan yang bukan keturunan maupun keluarga mereka kaum pendatang yang menggantikan. …
EQi Qris,5,5 bulan lalu,Disini untuk tolak balak kekhususan umat peningkatan amal sholeh untuk pertolongan surat motor.
Apa*lu pribadi,5,5 bulan lalu,👍🏼👍🏼👍🏼 …
Yuli P,1,6 bulan lalu,Kemarin pas waktu ke sunan bonang tak kirain wudhu disitu ngk ditarik uang ternyata ada oranh yang menarik uang...padahal disitu ada kotak amal...tp sama orang di minta uang ngk boleh dimasukkan ke kotak infaq..dianya maksa harus …
Imroatush Sholihah,5,6 bulan lalu,Makam sunan Bonang terletak di Tuban Jawa Timur.. Lokasinya mudah dijangkau yakni dekat dengan masjid agung Kota Tuban.
Alfian Skd,3,6 bulan lalu,"Mobil Elf di larang drop off di sekitar alun² padahal lalin sepi tdk macet, ini akal²an saja agar becak²nya laku (mengurangi pengangguran)
• Jasa becak nya perlu di tertibkan, masak dari parkiran ke makam 15.000 tp dr …"
Mas Yono,5,6 bulan lalu,"Salam pecinta WISATA RELIGI
MAS YONO dari Tukdana Indramayu"
anik baru nurcahya,5,7 bulan lalu,wisata religi yg setahun sekali pasti kesini 😁 …
uviex chan (Uviex),5,8 bulan lalu,"tempat ziarah, terletak di pusat kota
semakin bersih, jalan raya awal masuk yang sebelumnya penuh dengan PKL sekarang sudah tidak ada lagi, jadi terlihat semakin bersih dan luassss"
ardhi muttaqin,5,8 bulan lalu,Masya Allah
Sugeng Siswanto,5,8 bulan lalu,"Sangat tentram di makamnya juga enak , peminta sumbangan gak ada yang maksa cuma seikhlasnya itupun tidak ada yang maksa atau yang bilang harus amal . Intinya nyaman untuk wisata religi"
Umar Alfaruq,4,8 bulan lalu,Rame bgt kalau mlm jumat
Muhammad Sam Hadi,5,8 bulan lalu,Pesantren Sunan Bonang Berani Kirim Doa Pribadi Langsung ke Makam Sunan Bonang Tuban
Ahmad Zai,5,9 bulan lalu,Minal aidin wal faizin
Fani Rahmasari,5,11 bulan lalu,"Salah satu makam walisongo yang cocok untuk wisata religi atau berziarah, kondisi disana cenderung ramai. Saat sudah dekat makam utamanya, harap menundukkan kepala karena bangunan makamnya sedikit pendek."
Arobiatul adawiyah,5,setahun lalu,Masjidnya lagi di renof ga bisa foto2
Rohmat Sarmani,1,setahun lalu,pas di bagian lorong hati2 di beri minyak wangi suruh bayar 10rb
Rifky Nur Hakim,1,setahun lalu,"Preman berkedok Wali Allah. Saya dari penginapan ke Makam gak bawa apa bahkan uang juga gak bawa, tapi ada bapak² jual parfum maksa banget, udh saya bilang saya gak bawa uang masih maksa dan bilang jangan bilang gitu sama Wali Allah. Mau …"
Tjhondro Khiwoo,5,setahun lalu,Dekat dgan alu2 tuban
Anaphalis javanica,5,setahun lalu,"Dulu sebelum berangkat merantau pengen ke Makam sunan Bonang sama ibu tapi nggak jadi"" Dan akhirnya setelah 2 Tahun merantau pulang ke kampung inget keinginan yang belum tercapai, sebelum kembali ke tanah rantau aku dan ibu mengunjungi makam sunan Bonang. Alhamdulillah...."
Yaqeen Mohammad Noor,5,setahun lalu,"Makam Raden Makdum Ibrahim
Sunan Bonang …"
Alfiya,5,setahun lalu,"Parkir motor bisa didepan Masjid Agung Tuban, terus tinggal masuk lewat jalan kecil samping masjid, di wilayah makam jga ada Mushola, tempat istirahat, toilet bersih,dll"
Ibun Farida,4,setahun lalu,Kamar mandinya bersih banget
Eny R. M.,5,setahun lalu,Alhamdulillaah...bisa berziarah ke salah satu makam Waliyullah Sunan Bonang dan kalo pas bulan puasa (Ramadhan) ada tradisi memasak bubur buat buka puasa masyarakat sekitar...
Luthfi sihab,5,setahun lalu,Tempat yg namanya nyaman dan tenang untuk bertaqorrub
Nhia Nada,5,setahun lalu,"Tempat makam salah satu waliyullah, Sunan Bonang yang lumayan nyaman. Hanya saja, makamnya terlihat banyak rumah laba2 diatapnya. Semoga lebih dijaga lagi kebersihannya. Aamiin. Beliau adalah Putra sunan Ampel. Banyak KM yg tersedia ditiap2 …"
Libra,5,setahun lalu,Banyak jual oleh-oleh.
a_listiany,5,setahun lalu,"Lokasi cukup luas, nyaman untuk berziarah"
Andi Satria,5,setahun lalu,Dari Masjid Agung Tuban berjalan sebentar sampai ke lokasi makamnya
