name,rating,date,text
Aura Shifa,5,2 hari lalu,"tempatnya baguss, cocok untuk liburannn dan di depannya banyak macam"" kuliner🤍🫶🏻 …"
Nurul Hakim,5,seminggu lalu,first time kesini
Rumah sewah kost Sewaah kost,5,2 minggu lalu,"Kutorejo, Kec. Tuban, Kabupaten Tuban, Jawa Timur 62311(𝑰𝒏𝒇𝒐)
Kontak 𝘞𝘢
(𝒑𝒆𝒎𝒊𝒍𝒊𝒌) 𝐎ꖉᘖ𝐥ᒣƼƼЧ𝐥Ƽᘖ …"
iNews Tuban id,5,3 minggu lalu,"Yess, eksotis banget, pantai bersejarah"
N. Wulan,3,sebulan lalu,"kamar mandi super duper kotor, pdhl semua ditarik tiket masuk 8rb/org. Mohon diberikan kenyamanan walaupun cm kamar mandi, krn yg lain sdh bagus"
Tri Junaedi Sabri,1,sebulan lalu,"Parkiran mobilnya d sktr sini mahal.
Ngalah ngalahin parkir di Surabaya"
Nohan Apriantono,5,sebulan lalu,"Parkir 5 ribu.
Sunsetnya mayan sih..
Bbrp fasilitas tdk terawat"
Misbakhul Munir,4,sebulan lalu,"Pantai Boom di Tuban adalah destinasi wisata yang cocok untuk liburan keluarga dan santai. Konsepnya bukan pantai berpasir luas untuk berenang, melainkan sebuah tanjung yang menjorok ke laut yang kini berfungsi sebagai dermaga dan area rekreasi yang kaya akan sejarah."
Ilma Nada Aulia,5,2 bulan lalu,Asri
Dessy Nilasari,4,2 bulan lalu,"Lebih bersih dari 2013 lalu, area parkir dan penjual agak ditertibkan supaya lebih bersih dan rapi"
camaya 91,5,Diedit 2 bulan lalu,"Masuknya murah meriah ...
Lumayanlah buat refreshing"
Sagita Fia,2,2 bulan lalu,"Yth. Pengelola/Pihak Berwenang,
Saya ingin menyampaikan bahwa meskipun pantainya sangat indah, pengalaman saya di sana menjadi kurang nyaman karena adanya tindakan cat-calling dari beberapa …"
Damayanti Yanti,4,2 bulan lalu,Pas kesana sepi... Sebenarnya bagus kalo terawat sepertinya kurang terawat aja
Agus s,2,2 bulan lalu,Tempat rekreasi yang sangat indah
Paramita Asra,3,3 bulan lalu,"Masuk jam 6.30 pagi utk jogging masih sepi & sejuk, tiket masuk membayar 8rb/orang.
Sayang banget, dalamnya banyak fasilitas tidak terawat, mainan anak2 rusak, pedestrian keramik  pecah tp tidak segera dibuang apalgi di arena bermain anak."
Silviana Arief,5,3 bulan lalu,"Salah satu wisata pantai di Tuban, Jawa Timur yang cocok untuk liburan keluarga. Lokasinya dekat dengan alun-alun dan masjid agung, juga makam Sunan Bonang.
Suasana yang nyaman dengan semilir anginnya sangat pas untuk menenangkan pikiran …"
Yudhar Sensigus,5,4 bulan lalu,Keren
Kang Was,5,4 bulan lalu,"Keindahan Pantai Boom Tuban terletak pada kombinasi pesona alamnya dan nilai sejarahnya yang kaya. Keindahan alamnya meliputi pemandangan laut yang tenang, matahari terbit dan terbenam yang memukau, dermaga ikonik yang panjang, serta …"
Shehka Purwanti,5,5 bulan lalu,"Pantai Boom, alun2 Tuban, masjid Agung Tuban wisata religi sunan Bonang masih dalam satu kawasan, bisa dijangkau dengan jalan kaki.Ada becak juga kalo capek jalan kaki. Sedikit saran untuk yang mau beli oleh2  buah ental alias siwalan …"
Bisri Mustofa,1,5 bulan lalu,"Tiket parkir mahal 5k untuk motor, sebelumnya 2k kadang gratis. Tidak direkomendasikan untuk ke pantai boom beda jauh sama dulu."
Ari,5,6 bulan lalu,Buat meditasi baguss
Pak Jemono,4,7 bulan lalu,"Nyaman dan sejuk dg semilir anginnya,pantainya baik cuma kurang jernih,cukup dekat dg alun2 dan Masjid agung Tuban,fasilitas lumayan mungkin perlu penambahan  biar,lebih ramai.cocoknya sore hari waktu matahari akan tenggelam lebih oke."
Koko Senopati,5,Diedit 8 bulan lalu,Oke
Spider Man,5,8 bulan lalu,"Wisata murah meriah, tempat adem"
Alfarizi Putra,5,8 bulan lalu,Enak buat bersantai luas memandang lautan
Umar Alfaruq,4,8 bulan lalu,"Yang pingin melepas penat, bisa jadi pilihan 🤩 …"
Master Burger Kebab Baba Ali,5,9 bulan lalu,Tempat yang menarik
Nadhia Rachma,5,Diedit 9 bulan lalu,"Bagus banget, semakin berkembang bangunannya dan fasilitas nya semakin maju"
wiwis sasmitaning hidayah,4,9 bulan lalu,Pas kesini pas ndak banget suasana dan kondisinya... Pas rame banget barengan ada acara apa gitu... Baru tau ternyata pantainya sudah berbatas beton... Pasirnya dikira di tepi pantai ternyata di tengah tamannya... Kalau aku sih bilangnya …
S. A,5,9 bulan lalu,"Bagus, bersih,nyaman, ada jalan yg bisa di buat naik sepeda listrik dan seakan akan berada di tengah laut."
TRX Nice,4,9 bulan lalu,"Seru , cuma gak terawat aja seperti nya .
Dan saran .   Di tambah lagi kalo bs spot fto²nya d dalam pantai . ."
Erlangga Satria M,2,10 bulan lalu,"bagus pantainya banyak pepohonan untuk berteduh, tetapi untuk tempat bermain anak"" tolong diperhatikan, kalau bisa diperbaiki sehingga anak"" yang kesana bisa bermain disana, soalnya pengalaman saya kesana adik dan ponakan saya yang masih anak"" menangis karena ingin bermain tidak bisa"
Ramadhani A.S,5,10 bulan lalu,"Unique coastal destination with historical significance and various attractions. Situated in the Kelurahan Kutorejo area, just north of Tuban's Alun-Alun (town square), the beach is easily accessible and offers a distinctive experience …"
Lamijo Setyo Pramono,5,Diedit 10 bulan lalu,"Luar biasa, penampilan pantai BOOM Tuban sekarang sudah sangat bagus dan nyaman sekali."
Dalvizar,2,11 bulan lalu,Tempat nya kotor dan kurang nyaman. Masih Banyak sampah Pemandangan lumayan. Sebagai orang tuban saya kadang gk berani rekom tempat ini ke teman saya yang berkunjung.
Arjunadi bjo,5,11 bulan lalu,Utara alun2 tuban
Yudhis Tira,4,setahun lalu,"Pantai Boom Tuban merupakan salah satu destinasi wisata bahari yang wajib dikunjungi di Kota Tuban, Jawa Timur. Pantai ini memiliki keindahan alam yang luar biasa, dengan pasir putih yang halus dan air laut yang jernih. Pantai Boom Tuban …"
Tunggal manik sri kantil,5,setahun lalu,Bagus viewnya.....bersih.....
Achmad Dewa Tani,3,setahun lalu,Tempatnya  indah akan tetapi kurang nyaman sb banyak komplotan anak2 kecil yg memalak disekitar Parkiran mobil bahkan berani merusak body mobil ... Mohon segera ditindak tegas demi keamanan kenyaman para pengunjung
