name,rating,date,text
APRILIANO REONALDO AFREDO,5,2 hari lalu,"Pantai yang bagus, apalagi jalan sebelum ke pantai nya, sangat asri dan penuh pepohonan, ada juga kandang monyetnya"
tataa,5,3 minggu lalu,"recommend bangett kesini bersihh pantainyaa.
seruuu sekaliii timaciww bebe🤍🤍🤍🤍🤍 …"
Jihan Zahra,5,3 minggu lalu,bagusss
Lina Natialia,5,3 minggu lalu,tempatnya bagus🤩 …
hanif alwi,5,4 minggu lalu,"Hening, seperti pantai private"
hendi irwansah,1,sebulan lalu,Bauk banget ikanya
suhendik,1,sebulan lalu,Sbnernya pantainya indah cuma baunya ikan gk nguati
Ines Wara,5,sebulan lalu,baguss bangettt
ocaaa,5,Diedit sebulan lalu,"demi apaaa view nyaa kaya di balii,ga nyangka di tuban ada pantai kaya gini,cuma ya karena tempatnya sangat luas jadi kalo sampe malem agak horor sih,kurang penerangaan,dengan tiket masuk yg cukup lumayan harusnya dana dikelola dengan baik supaya lebih ramai pengunjung"
027 Mamlu'atur Rohmah,5,sebulan lalu,"Makanannya enak rasanya juga nggak kalah sama yang diresto resto
Sudah 2 kali tetap enak"
nikta,5,sebulan lalu,"Pantainya bagus, sangat memuaskan. Pemandangannya juga bagus. Saya kesana airnya bersih dan warnanya biru"
Tunas Eka,5,3 bulan lalu,Wisata pantai dengan area luas dan rindang membuat suasana sejuk menenangkan hati.
Fahmi Dwi Alfino,5,3 bulan lalu,Kalau kalian mau makan dengan pemandangan atau tempat yang bagus kalian wajib nyobain tanah restoran aku jamin kalian akan puas dengan menu dan pemandangannya
Wito Yanto,5,3 bulan lalu,Bgus
Ka Fa,2,3 bulan lalu,Jelek
adesasongko putra,5,4 bulan lalu,Bgus nyaman
Aik Kurni,5,4 bulan lalu,"Bagus pantainya, tdk begitu ramai sejuk jg banyak pohon2 rindang, petugas jg ramah, pas masuk parkir lngsung di samperin dksh tau kawasan pantai sowan, trnyata ada lg pantainya dpasir putih, pas di pasir putih jg di samperin lagi diajak ngobrol,"
Widiana Mei,1,5 bulan lalu,Tiket masuknya mahal 25 ribu anjirrrr lahhhh🙂 …
Tirza Zahira,5,6 bulan lalu,"Pantai dengan pasir putih yg bersih, rindang karna banyak pepohonan, sepi ga terlalu ramai meski akhir pekan, banyak penjual makanan dan minuman di sekitar pantai"
Chrysanthemum Al fatihah,5,6 bulan lalu,"Tiketnya murah suasananya enak cocok dipake camping, tapi agak panas"
Khoirul,5,6 bulan lalu,ngga cuman jualan mereka juga ngerti trend dan bisa bantu cari item yang cocok buat saya
Towing Polda metro,5,6 bulan lalu,Panas full
Ariya Kusuma,5,8 bulan lalu,Viewnya kerennn
Den Aghna,1,8 bulan lalu,mahal
devita tyas,5,8 bulan lalu,"Pantai Sowan adalah pantai yang memiliki luas wilayah yang sangat  besar, pantai ini cantik. Banyak pepohonan rimbun yang enak buat bersantai untuk keluarga. Kemarin habis camping disana suasana malamnya luar biasa indah, toilet yang bersih …"
Ailamka Adiraf,5,8 bulan lalu,"Waktu kesana sepi trs jadi serasa milik sendiri hehe, cuma htm nya yang mehong"
ayu panda,5,8 bulan lalu,"Menyenangkan, area pantai bersih dan luas..."
FIKY RAMAHDANI,5,9 bulan lalu,"harsa kerenn parkirne murah, wajib datangg"
Shobikh Sahirar,5,9 bulan lalu,"Pantainya bagus, area luas"
Apsari Puspitaningtyas,5,9 bulan lalu,Libur lebaran. Bersih. Luas. Berbeda dengan stigma pantai utara pada umumnya
Abdul Ghoni,1,9 bulan lalu,"Ini bukan pantai gays
Udah kayak hutan🙏🙏🙏
Tolong ditambah i kreatifitasnya,,,,gak ada warung jajan juga disana …"
Rissa Cindy Rosalia,5,9 bulan lalu,"another wish list yang terealisasikan, pantai nya bagus cocok untuk quality time bersama teman atau keluarga 🙌🏻 …"
Ucok Baba,1,9 bulan lalu,Terpilih
Pujiee Cah bjn,5,9 bulan lalu,Rumah kos pak saiful Bahri.. Rt 1 rw 3 gedong ombo sumur kembang semanding tuban
Khoirul Anam,1,9 bulan lalu,"Nyesel ke sini, bayar tiket masuk nya per orang. Kalau pantai2 lain di Tuban cuma bayar parkir kendaraan. Tiket weekend 12 rb/orang, ehh gak sebanding dgn pantainya. Kirain pantai nya bagus, malah zonk..GAK RECOMMENDED"
Hadziq Dzulfikri,1,9 bulan lalu,54 ribu untuk 2 sepedah? ngotak dikit nying
Abi Shifa Assaum,4,10 bulan lalu,Nice beach
