name,rating,date,text
Eko Lugito Mulyo,5,sebulan lalu,sudah sepi
kholid Kediri,4,9 bulan lalu,Seperti kolam alami cocok untuk berdua pasangan.
Zainal Arifin,2,setahun lalu,Blm ada parkir roda mpay
Dwi Waluyo,2,setahun lalu,"Sangat bagus alami
Sarana jln yg agak susah untuk menuju lok air terjun..."
ー Vigor,3,setahun lalu,masih renov
Arif Usman,3,Diedit setahun lalu,Air terjun musiman katanya... Kalok g musim hujan g ada airnya
kusumà w,3,setahun lalu,"Bagus, ada tempat buat parkirnya. tapi jalannya licin bgt, pas kemaren kesana ternyata ga ada arahan pas pulang malah jadi nyasarr jauhh bgt sama tempat parkiran & jalan masuk tadii. belum sempet naik ke atas karena udah cape bgt, hm tapi …"
Ainun Ilma,5,setahun lalu,"Dulu saya ke cuban rondo karena ada kompetisi jambore se jatim , sayakira cuban rondo tempat yang menyeramkan justru sebaliknya , indahhhhh sekaliiiii"
Dedik Siswanto,5,setahun lalu,"Tempatnya bagus, masih alami, seneng pokoknya.."
ismail gledek99,4,2 tahun lalu,👍 …
wilis afin,5,2 tahun lalu,Nice
Mas Edy,5,3 tahun lalu,"Hutan masih rimbun,, hati2 licin jlnY."
nenny paulina,4,3 tahun lalu,Sangat indah cocok buat camp
Mila Yuniar,4,Diedit 3 tahun lalu,"Tempatnya sangat indah. View pemandangan sangat menarik apalagi jika datang pagi-pagi/sore hari. Jalan menuju tempat ini belum beraspal, dan lokasi air terjun berada di atas sehingga perlu berjalan kaki untuk sampai ke lokasi. Meskipun …"
Sadi Moon,4,3 tahun lalu,"Pas musim kemarau airnya sedikit,tidak sebanyak dan seindah di kala musim penghujan...."
Hadi Hariyadi,4,3 tahun lalu,"Keren banget..
Ingin mengulang..."
Kim Ah Yu,2,3 tahun lalu,Rute nya mudah di capai. Tapi klo sudah masuk ke area air terjun nya Susah jalan nya. Kurang ada penanda jalan yg tepat. Biar bisa sampai ke tujuan. Al hasil nyampek pun air nya lagi kering. Susah payah tidak dapat apa apa.  Tapi seru karna …
Zulfikar Abdullah,5,3 tahun lalu,👍👍👍 …
Dema Saputra,5,4 tahun lalu,SERING ke tempat itu buat mandi wkwkwk
Ainul Yakin,3,4 tahun lalu,"Hanya Di Cuaca Tertentu Bisa Di Akses
jika Waktu Air Nya Meluber Mungkin Lebih terlihat Wah Di Banding Di saat Volume air Nya Kecil"
Herrikurnia Wasis,5,4 tahun lalu,Indah dan alami
Eka Dhany Kurniawan,4,4 tahun lalu,"Selain jalan yang agak licin, Hati-hati kalau mau berendam atau berenang disini. Buat yang belum bisa berenang dengan baik, lebih baik jangan berendam/ berenang disini, karena disini tempatnya sangat dalam. Stay save teman-teman 🙏 …"
muhammad ibnu khotob (ibnu),5,4 tahun lalu,Kering kalau kemarau
Vakriss Affandhi,4,4 tahun lalu,Lumayan seru sihhhh
ian suhendra,5,4 tahun lalu,"Hidden gem di tulungagung.
Akses gampang dicari dengan maps.
Disini sebenarnya ada 2 spot. …"
Asyammms Official,3,4 tahun lalu,"Terakhir kesini, kemarin 1 hari sebelum puasa.
Mau ke sumur nya itu muter"" kayak gajelas gitu.
Sempat ketemu bocil Katanya bocil disana lah disitulah. …"
Anwar Alwi,4,5 tahun lalu,"Akses mudah, dekat"
Jazzy Birama,1,5 tahun lalu,Ga air terjunnya
ANURA.concept,5,Diedit 5 tahun lalu,"sekali kesana ada 2 tempat wisata, air terjun dan coban. Tapi kalo musim kemarau jadi sedikit airnya"
Hafidh Irvan Rahmaddani,5,5 tahun lalu,Tempat yang bagus buat nenangin pikiran
Silvia Arum,5,5 tahun lalu,Sangatt segar sekali
Burhan Nurkhibatulloh,5,5 tahun lalu,Tempat yang sangat strategis... Bagus sekali
Zona Tujuh,3,5 tahun lalu,Suasana agak menyeramkan..☺
firdaus nuzula,3,5 tahun lalu,Karena pas kering..Ndak keluar air
Ikinta Winanto,5,5 tahun lalu,Musim kemarau tak lagi mampu menunjukan paras elok coban kromo di desa pelem campurdarat. Berkaca dari penghujan di masa sebelumnya wisata ini menyuguhkan lekuk lesung pipit dg deraian air seakan menghadirkan kisah para budadari yg turun …
Gagang Djiwo,4,5 tahun lalu,Hebat tak terawat
AVIF L.H,1,5 tahun lalu,"Gw nyasar anying,gw tanya"" ama penduduk malah nyasar ke hutan"
Adi Yuwono,5,5 tahun lalu,Alami...segarrr alamnya
Muhammad Iqbal,1,5 tahun lalu,Musiman kek
Fitra Zoen,3,5 tahun lalu,G terjangkau coban kromo nya. Mobol g is masuk
