name,rating,date,text
Mamas Sipit,5,23 jam lalu,"Tempatnya sejuk dan Asri.
Spot foto terbaik.
Bisa naik ke gunung pemandangannya keren parah"
Rudy Prayitno (Rudy SP),5,5 bulan lalu,"Meski tidak setenar Goa Selomangleng, Kediri.

Persamaan satu nama di dua tempat, kadang menghadirkan polemik diantara para …"
Ajay Khan,5,6 bulan lalu,"Tempatnya bagus dan keren pgn kesni lagi, suasana sunyicocok bwt merenung 🙂🙂 …"
Pandu Adjie Baskoro,5,7 bulan lalu,"Salah satu dari banyaknya peninggalan sejarah, energinya bagus, semoga terawat dan terjaga kemurniannya"
I Wayan Sudiatnaya Chung Chung,5,10 bulan lalu,"Kira* kapan Mulai di buka buat Wisatawan min ? sy Thn 1999 Ke sana masih lewat semak"" lewat kebun Singkong warga..."
Bondan Yuwono,1,setahun lalu,"Dulu waktu kecil, rame banget banyak yang suka bersepeda disini

Dulu diatas ada penjualnya, tp sekarang sudah tidak terawat, bagi org yg luar …"
Nabila Shinta Maylia,2,setahun lalu,Kurang bagus
Faried Rasyidy Ilyas,5,setahun lalu,"Lokasinya bagus n cocok utk refreshing dgn kelg. Area, parkir luas, bisa d tempuh dgn bus, mobil kecil ato motor jg tiket masuk murah, serta msh ada sedikit bau mistiknya. 👍👍👍 …"
agus suherman,5,setahun lalu,"Tempat bsejarah di tulungagung yang tidak terjamah, parkir tidak ada, jalan tanah masuk hutan"
Agnisotya,4,setahun lalu,"Situs yang sekarang sudah tidak.terawat
Sebenernya sangat disayangkan situs peninggalan leluhur yg tidak terawat
Tidak ada lagi juru kunci …"
Ranger Land,1,setahun lalu,"Titiknya gak akurat..keliling muter2 sampai 2 jam tdk ada petunjuk arahnya,,akhirnya pulang,,kecewa"
lenz,3,2 tahun lalu,"Sebenarnya, itu bukan gua. Itu hanya bukit berbatu kecil dengan cekungan-cekungan yang konon menjadi tempat meditasi."
fajar doank,5,2 tahun lalu,Tempat meditasi yang sangat rekomendasi
Arantika Dwi Fibriana,4,2 tahun lalu,"Jalannya paling 10-15 menit dari pintu masuk ke area goa, areanya bersih tapi gak tau kenapa di goanya bau pesing"
emtien cool,5,2 tahun lalu,Asri dan nyaman.
Bagus Utomo,1,2 tahun lalu,Barcode tidak berfungsi
Febrian Eka Ardhiansyah,5,Diedit 2 tahun lalu,"Salah satu bentuk peninggalan kerajaan Majapahit. Terletak di dekat gunung Budheg. Anda dapat memperoleh foto bagus dengan mendaki bukit, menyusuri jalan setapak, walaupun tidak terlalu jauh dan curam, tetapi diperlukan kewaspadaan dan extra hati-hati karena jalan agak licin saat musim hujan."
Aji ULC MLG,5,3 tahun lalu,Nok omah e Mbah ku.. Boyolangu..
amanda yunita,5,3 tahun lalu,Bagus.. Reliefnya pun terlihat jelas.. Dideket goa jg ada air terjun nya.. Pemandangan juga bagus.. Naik ke altar jg gak tinggi..
Ahsandy Indra,5,3 tahun lalu,Parkirnya di selo green dekat dengan kolam renang anak dengan membayar 3rb sudah bs masuk ke goa dengan menyusuri jalan lumayan sekitar 1 km an diantara pohon bambu
sopingi sp,5,3 tahun lalu,GOA YANG SANGAT INDAH DAN SANGAT BAGUS SAYA BERSYUKUR PUNYA PANORAMA ALAM SEPERTI INI
lutfiana lutfiana,5,3 tahun lalu,Cocok banget sebagai wisata edukasi. Lokasi asri khas perbukitan dengan udara yang relatif sejuk semilir...😍 Mudah dijangkau dengan semua moda transportasi pribadi dan umum. Fasilitas Umum juga tersedia dan berfungsi dengan baik. …
