name,rating,date,text
Agung Pribadi,5,sebulan lalu,"Pantai Popoh adalah destinasi wisata bahari klasik yang terletak di Desa Besole, Kecamatan Besuki, Kabupaten Tulungagung, Jawa Timur. Menghadap langsung ke Samudra Hindia, pantai ini menawarkan perpaduan pemandangan teluk yang tenang dengan …"
Alfin Alfin,5,sebulan lalu,ini adalah tempat om ku majing aku berangkat disini
Tutur P. Purbosayekti,3,2 bulan lalu,"Pantai popoh, sekarang sepi, katanya dulu hits banget"
moh choirun nasichin,3,2 bulan lalu,"Hari Minggu pagi sepi banget kata orang-orang, dulu pas masih baru diresmikan disini ramai tapi sekarang sepi tidak terawat toko dan warung sudah banyak yang tutup kalo kalian mau kesini pikir-pikir dulu tapi disini pemandangan pantai lumayan bagus sih tapi area sekitarnya aja yang kurang menkudung"
Senpi Cerys,5,2 bulan lalu,Pantainya kotor sekaleee
WHY NOW,4,3 bulan lalu,lumayan kalo mau kuluner....😁 …
Ira Arista,5,3 bulan lalu,Jus buah yang enak rekomended
Arin Antikasari,5,3 bulan lalu,Tempat ngadem kala di pondok tulungagung
Akpar Sby,5,4 bulan lalu,"Pantai ini sebenarnya bagus banget
Tolong di perbaiki pengelolaan nya
Jaga kebersihannya, akses jalan perlu perbaikan, dan perlu perawatan bangunannya"
Robby Fara,5,5 bulan lalu,Tempatnya nyaman.tiket masuk terjangkau.harga makanan relatif murmer.
Ivan HP Siregar,5,Diedit 5 bulan lalu,tempat yang lebih bersih dan menyenangkan untuk berdiam diri
Fadly Putra Darutama,5,6 bulan lalu,"Mantap, Semoga Terus Berkembang."
Fajar Rulloh,5,6 bulan lalu,Baguss
Dadan Darmady,4,6 bulan lalu,"Pemandangan nya keren , dari malang via pantai popoh menuju Jogyakarta"
Lovyasc,4,6 bulan lalu,Bagus
Gherin Ryo,4,7 bulan lalu,"Kondisi pantai popoh yg dulunya sangat ramai saat saya masih kecil, sekarang tinggal kenangan karena tidak terawat, padahal memiliki potensi besar karena dekat dengan pelabuhan nelayan. Akses jalan kesini juga tidak dibenahi, aspalnya …"
Yustyono Fatoni,5,8 bulan lalu,"Pantai popoh seolah telah lumpuh, sepeninggal pemilik reco pentung, sekarang menjadi tempat pelelangan ikan disebelahnya, tempatnya sebenarnya masih bagus, tapi mungkin sudah tidak sepopuler seperti dulu, semangat warga lokal untuk kembali membangkitkan potensi wisata ini"
nicky minaj,4,9 bulan lalu,"Dulu pantai ini sangat terkenal, sekarang sudah di alih fungsikan jadi pelabuhan nelayan, pantainya jadi kotor, pas aku kesana ada tumpukan sampah yg menggunung di pantainya. …"
Amell,4,9 bulan lalu,"baguss bangett, cuman aku kesini nya waktuu airnya pasangg, jadi gabisa main air dibawah soalnya ombaknya gedee, tapii bagusss 😻😻🤍 …"
Dika Joyo,5,10 bulan lalu,Mantap ramah
Odading Enak,4,10 bulan lalu,"Terakhir kesini 2024 awal bulan, Ombaknya sedang,tidak terlalu kencang tidak terlalu lemah juga,Tapi buat temen2 tolong dijaga kebersihannya ya🙏,saya lihat masih byk Sampah di pinggir².. …"
yuwan dika,5,11 bulan lalu,Keren
ahmad aziz,4,setahun lalu,Sayang sekali sudah kurang perawatan
Puput Anggrenia,1,setahun lalu,"Pantainya kotor tercium bau"" amis...
Sepi juga...."
Halbie Kanoa,4,setahun lalu,"Lumayan,tempatnya indah tapi kulinernya kurang"
uzsr uzsr,4,setahun lalu,Seru ygy😁 …
Ekojohan Dermawan,3,Diedit setahun lalu,"Pantainya lumayan ,ada tempat jualan oleh-oleh juga makanan tidak bisa buat berenang karena merupakan jalur perahu nelayan ,jalur masuk sedikit ada turunan/tanjakan lurus"
Prasetyo Budi Aji,5,setahun lalu,Rame pantainya
Irvan Dio,1,setahun lalu,Kotor tidak terawat
Nur Fatimah,3,setahun lalu,Lumayan buat liburan
Chandra Adya Anggana,5,setahun lalu,Bagus
Mbah Nardi,4,setahun lalu,Lautnya ok
mayrzzarysa,3,setahun lalu,pemandangan indah dan udara sejuk tpi syngnya kotor seperti tidak dirawat🙏🏻 …
not matt,4,setahun lalu,"dulu pernah ramai tp sekarang terlihat tdk terawat, padahal view nya jg ga kalah sama pantai yg lain"
Alfin Nurayuni,5,setahun lalu,"Disini bisa liat sunset,namung sayang udah gak bgitu terawat pdhal view tempatnya bagus"
Yanto Dwi,5,setahun lalu,Kesini klo mau Ziarah makam saja
albizz,5,setahun lalu,bagus banget pas sunset
petrek 83,4,setahun lalu,lama tidak kesini ........tak banyak yg berubah dulu sangat ramaii dan jadi tujuan wisata......apa kabar para pedagang souvernir yg dulu berjajar disepanjang jalan mau naik ke atas
Inisial Pawangmu,4,setahun lalu,Pantainya sih bagus tetapi ada banyak sampah
Masih Ngantuk,4,Diedit setahun lalu,"Pantai nya bagus sejuk dan nyaman, tapi sayang sekarang pantai nya agak kotor dengan sampah, mungkin karna kekurangan pengunjung agak kasian sama tenant warung yg agak sepi. Semoga bisa ramai dan dikelola dengan baik"
Desi Iswanda,5,Diedit setahun lalu,"Cukup dingin disini. Suasananya beda banget. Terakhir kesini 2017 dan sekarang baru kesini lagi, 2024"
Mas Kahfi,1,setahun lalu,Sepi gak seramai dulu
slamet widodo,5,setahun lalu,cool
Dika Sean,5,setahun lalu,Saya senang di pantai popoh
Black Bird,3,setahun lalu,"Sekarang sepi pengunjung, dan kurang terawat. Kayaknya lebih banyak untuk kegiatan ekonomi non wisata. Karena tempat lain muncul dan lebih instagramable"
Evandio Mahvin,1,setahun lalu,Skibidi Gyat Rizzler Sukmanto i eat bakso sumanto and i Mewing to Oily Skibidi
Asdar Widiya,5,setahun lalu,Karena disana aku membantu ayahku jualan dan begitu menikmati keindahan alam 🌿🍃 …
Fatur Rahman,3,setahun lalu,"Dulu pantai yang bagus dan populer, tp skrg beralih fungsi menjadi tambak /pelabuhan, pantai tidak ter urus dan berbau amis"
Terminal Lumut,5,2 tahun lalu,Yaaaaaaaa
ABDUL HARIS,4,2 tahun lalu,"Pantai yang menakjubkan dengan pasir putih lembut dan ombak yang menenangkan. Keindahan alamnya sangat memukau, dan suasana santai membuatnya tempat ideal untuk bersantai. Lokasi yang bersih dan terawat dengan baik. Cocok untuk piknik …"
Fendik penna Setyawan,1,2 tahun lalu,Buruk
nidita hafizna,4,2 tahun lalu,"beberapa hari yg lalu kesana dan ya sepi bgt mungkin karna udah lama ya
jg banyak sampah di pantainya 😥💔 …"
Hamudha Lubna,4,2 tahun lalu,"tempatnya kotor, kurang terawat tapi lumayan buat cari ikan segar dan ikan asap harga nya murah"
Fransiscus Fiko,5,2 tahun lalu,Good
Aan Prianto,5,2 tahun lalu,Sangat bagus sekali
Sasa,1,2 tahun lalu,"Pantai yang bagus sebenarnya, sayang sampah banyak dipinggiran pantai"
askhabul khafi,5,2 tahun lalu,👍👍👍 …
Luken Sam,3,2 tahun lalu,Ini pantai khusus bagi kalian yg suka belanja belanja ikan atau kulineran klo untuk berenang kayaknya kurang pas ya
Bambang soto Soto,5,2 tahun lalu,Bagus
Jaysen Millen,5,2 tahun lalu,Airnya kurang bersih kotor warna coklat banyak sampah sekarang
Gen San,5,2 tahun lalu,"Tempatnya adem. Pemandangannya indah. Cuman waktu itu ke sini pas jam 4 sorean + lg mendung jadi udah sepi, penjual makanan ada, cuma jarang ditemui. Cuma beberapa aja. Untung ada tukang bakso, seporsi cuma 5000. Jadilah makan bakso sambil menikmati indahnya pantai popoh"
Siti Khunariyah,3,2 tahun lalu,pantai popoh nyaman tdk bising
emtien cool,5,2 tahun lalu,Ok
Joko Tarup007,3,2 tahun lalu,"Gak jadi masuk, tidak seperti dulu sepi, kotor tamannya banyak yang rusak."
cvradiokresna media,5,2 tahun lalu,"lihat pantai dg hamparan perahu perahu nelayan,  dan jangan lupa ada bakso yang lumayan enak serta murah bisa dicoba"
Dunia Tenang,2,2 tahun lalu,Kotor banyak sampah
Moch. Khilmy Aziz,5,2 tahun lalu,Mantab
"Suadi, Mr.",4,2 tahun lalu,"Pantai dan teluk yang bagus, bentang alam yang indah. Akses tentu masih jadi isu, tapi dengan terbangunnya jalur jalan lintas selatan Jawa akan mempermudaj akses ke pantai ini."
Ant Budi,1,2 tahun lalu,Jelek...g sesuai ekspektasi
Sagiku 7,5,2 tahun lalu,Good view and favourite of white sand beach at southern Tulungagung Regency East Java.
Fendri Suswanto,5,Diedit 2 tahun lalu,"jika dikelola dgn baik, bukan tidak mngkn bakal ramai seperti dulu"
dody feryanto,5,2 tahun lalu,Untuk santai² lumayan bagus
indra widjaja,4,2 tahun lalu,Kurang terawat
RIDWAN HAMSAYU S.P,4,2 tahun lalu,Mayan adem..
rashel nafanda,1,2 tahun lalu,KOTOR!
Raffael Ariffiyanto,3,2 tahun lalu,"Sudah Bagus Tetapi tidak ada tempat yang Cocok, karena Pantainya Campur Dengan Dermaga🙏 …"
RK S,1,2 tahun lalu,Bukan pantai dgn pesisir pasir. Lebih mirip ke dermaga perahu nelayan. Tiket masuk 10rb/orang. Sampe lokasi parkiran masih ada yg minta uang parkir mobil 10rb. …
Candra Yong,1,2 tahun lalu,"jauh jauh dari rumah nyampe pantai mo liburan, ga taunya lokasi nya jorok n ga terawat udah gitu bayar lg.."
zall sinathrya,5,2 tahun lalu,Pantai yang asri
Hans Aji,3,2 tahun lalu,"Came here to check out the southern beaches of Java. Among several other beaches nearby, I personally find Popoh really special. Though the trip to Popoh isn't like what it used to be several decades ago with the broken asphalt roads and …"
Suci Aristanti,5,2 tahun lalu,Pemandangan bagus
Ari Adiatman,3,2 tahun lalu,Oke.
Arista Putri,1,2 tahun lalu,Pantai popoh sekarang udah kotor dan air nya gk sebersih dulu & sepi kayak terbengkalai tak ter urus.Aku lupa ambil foto nya.
Ari Setiawan,5,2 tahun lalu,Keren
Dewi Chen,3,2 tahun lalu,"Pantai nya sepi dan sayangnya kurang terawat, di sekitar ada seafood mak War bs untuk tempat persinggahan makan siang.."
Cah Rantau,5,2 tahun lalu,Liburan bersama teman dan keluarga
adi saswono,5,2 tahun lalu,Bagus
