name,rating,date,text
ian suhendra,4,seminggu lalu,Pantai Sine bagian selatan ini lebih ke pantai pasir coklat yang berbentuk seperti teluk. Ombaknya tergolong medium karena ada di cekungan jadi lebih aman untuk main ombak. Banyak warung makan juga disekitarnya cuman mungkin tidak seramai dan hidup  pantai sine bagian utara yang dekat arah pantai cemoro sewu.
Elis Sinta,4,sebulan lalu,"Udah kali ke 2 berkunjung ke pantai ini,, dulu namanya pantai cemoro sewu,, sekarang jadi satu sama pantai sine. Aku kesini terakhir kemarin tgl 30 Desember 2025. Pantai nya bersih,, ada sungai nya juga,ada persewaan ATV nya,, jadi seru …"
Bethari Annichlah,4,4 minggu lalu,"tiket masuk masih terjangkau walau jalanan disini aksesnya masih jelek. tukang parkirnya ramah dan membantu banget. pantainya cantik, banyak pol pengunjungnya sampe agak penuh. disini banyak kegiatan yang bisa dicoba, mulai dari piknik, main air, atv, dan banyak orang jualan macam-macam."
Luki Pare - Tuban PP,5,4 minggu lalu,"Panoramanya sungguh menakjubkan, telah disebutkan di Quran surat Al Mulk 15, Allah SWT menjadikan bumi mudah untuk dijelajahi, memerintahkan manusia untuk berjalan di penjuru-penjurunya sambil menikmati rezeki-Nya, dan mengingatkan bahwa hanya kepada-Nya manusia akan kembali setelah dibangkitkan untuk pertanggungjawaban"
Evi Yuliati,1,3 minggu lalu,"Dirty (trash everywhere), smelly, disappointing. Wes pay 5.000 for car to enter the beach. Yet, we have to pay another 5.000 for parking. Why don't they just charge 10.000 for car and save a piece of paper each time. Road towards the beach …"
Rahmat Taufik Afandi,5,3 bulan lalu,"Sangat rekomended buat Mantai dengan nuansa santai, menikmati suasana, serta ingin melihat Sunrise, karena menghadap ke timur matahari terbit. Dapat juga digunakan sebagai camping karna terdapat pepohonan yang cukup rindang. Harga tiket …"
MR Bib,5,3 minggu lalu,"Didepan jauh sana adalah pantai sine. Tetapi saya mencoba wahana baru di sekitarnya. Ini adalah cafe atau warung kopi, jajanan ringan yang terletak di atas tebing dengan view JLS serta pantai Sine"
aditya mahendradata,4,4 bulan lalu,"Tidak ada yang spesial di pantai sine. Ombak tidak terlalu besar tapi malas main air karena pasir hitamnya. Plusnya, pantai relatif bersih. Baru coba di salah satu warung seafood, rasa dan harga standar. Geser nongkrong menikmati sore di bukit sine view yang paling atas, view bagus banget."
Nisya'ban Mhoza2en,5,sebulan lalu,"Pantai yg luas akan pemandangan harga tiket murah toilet banyak yang paling aku suka di kampung nelayan ikan asap"" Langsung fresh dan murah harganya"
salsa bella,5,2 minggu lalu,"pantainya bagus dan bersih, suka banget liburan bersama keluarga 🩷 …"
Dwi Dian P.,4,5 bulan lalu,aksesnya mayan gampang. deket sekali dr JLS masuk ke dalam. pantainya ombaknya besar. bukan utk berenang. pantainya bagus. bnyak penjual dan toilet. sinyal bagus namun sampah berserakan disepanjang bibir pantai …
Christina Wii,3,sebulan lalu,Perjalanan dr blitar ke sini akses jalannya jelek banyak yang rusak.. Yg bagus cuman JLS nya aja🥲.. Disini banyak warung jualan baik makanan maupun baju …
Krupuk ophel Pakis,5,6 hari lalu,"Perjalanan jauh yg melelahkan terbayar dgn keindahan alamnya,alhamdulillah dua kali sampai gak bosen"
Aulia Khairunisa,4,sebulan lalu,"Lumayan tinggi ombaknya, jadi gk bisa renang. Yg bikin jelek itu t4 makan di sana lama banget, kemarin saya pesen makan nunggu 1 jam gk selesai². Saya tunggu ½ jam juga gk di kasih, alhasil saya cancel 😤 …"
sitta cinta,5,4 minggu lalu,"pantai yg syahdu..
tp jalan mnuju ksna bkin jantung berdebar..wkwkwkwkwk"
Lukhayati,5,sebulan lalu,"Tahun baru 2026, kami lewat Jls   dan di suguhi  pemandangan yang sungguh luarbiasa ,dari jls terlihat  laut  yang seolah  ada di atas ,berbatas dengan langit,gunung ""  berjajar ,jalan bagus diantara himpitan gunung  yang telah …"
Awaludin Nur Khoiron,4,6 bulan lalu,"Pantai yang berada di Tulungagung ini tidak seperti biasa pantai lintas selatan biasanya karena menghadap ke timur, menjadi tempat para nelayan mencari ikan, memiliki bibir pantai yang sangat luas, banyak fasilitas toilet dan musholla, …"
Sefta Nuril Huda,4,4 bulan lalu,"Pantai yang sangat indah di Tulungagung, ada sungai kecil untuk main anak kecil dan juga sewa ATV atau motor trail kecil tapi sayang waktu kesana pantainya kotor"
fan vane,4,3 bulan lalu,Pantainya bagus sih bisa buat renabg renang kecil. Ombaknya gakbterlalu besar dan ada muara sungai.
Nenik Susana,5,5 bulan lalu,Ombak tenang  tidak terlalu besar . Bnyak perahu nelayan . sesekali ada yg sandar dan  kita bisa ikut bantu tarik jaring  atau  langsung beli ikan di . Nelayan yg selesai angkat hasil tangkapan . 👍🏻 …
syamoho,4,Diedit 4 minggu lalu,pantainya lumayan  cuma masalah kebersihan yang selalu jadi nilai minus
