name,rating,date,text
Diah Ayu Wilasari,5,4 hari lalu,new experience unlocked!!✨
Muhammad Izza,5,seminggu lalu,Ini waduk terbesar di jawa timur
Siti Khoiriyah,5,4 minggu lalu,"Bagus banget tempatnya, berasa dipantai sejuk"
Sasa Sayang,5,sebulan lalu,"Parkirnya dobel.
Katanya tiket sudah termasuk biaya parkir, nyatanya sampai dalam di minta bayar parkir lagi.
Tempat duduk kurang memadai."
tomas mulyosuharjo,3,sebulan lalu,Beautiful reservoir with a calm atmosphere and scenic views. Good place to relax and enjoy nature.
Binti Nur Fadilah,5,sebulan lalu,"Bendungan yang bagus dan bersih, pemandangannya menarik, apalagi pas musim hujan, suasananya sejuk dan dingin. Cocok untuk tempat singgah dan foto-foto"
Toni Prasetyo,5,sebulan lalu,tempatnya asri dan sejuk
Nanda bayu Saputra,4,sebulan lalu,"Biaya masuk 1 motor 2 orang 26,500 , di atas masih di tarik parkir  ,jadi yang ingin ke waduk wonorejo harus menyiapkan uang 29.500 untuk masuknya saja sangat mahal"
Nia,5,2 bulan lalu,Seruuu. Ada sewa scooter dan paket paddle jugaaa ❤
Anita Puspitasari,5,2 bulan lalu,"Satu kalimat: “Pengen ke sini lagi.”
Bisa paddle, bisa main skuter, bisa piknik ala-ala :) kemaren book shuttle dr stasiun ke waduk, paddle, drone sama Wonorejo Hotel & Resort. Rekomen staff smuanya ramah dan fast respon"
Dadang Rohmad,4,2 bulan lalu,Masuk pakai mobil 2 orang 20.000 plus parkir 5000 jd 25.000 itupun dikasih air botol mineral kecil 2
ZENI ZULAIKAH,4,2 bulan lalu,Pemandangan bagus juga rapi. Bayar parkir 3 rb 😂 …
dain nasikin,5,3 bulan lalu,Tempat wisata keluarga yang recomended
Ahmad Alkhoir,1,3 bulan lalu,"Karcis masuk mahal
Fasilitas buruk"
rezsal alfaqih,1,4 bulan lalu,bayar tiket masuk mahal. tapi kotor sekali
eenk gabriel,5,4 bulan lalu,sepi
Ndyy25,5,4 bulan lalu,♥️
barang kedungwaru,2,5 bulan lalu,masuk tiket relatif mahal. per orang 12rb. motor 2rb. diatas masih ada parkir lagi. smoga ada perubahan tarif masuk. sayang banget
Ummu Faruq,5,6 bulan lalu,"klo pagi enak banget buat joging, udaranya bersih dari polusi, earung2 makannya hrg ramah dikantong, dilengkapi dengan toilet yg bersih juga."
Rohmatun Mu'awanah,5,8 bulan lalu,"Kemarin kesana paddle an dibantu sama coach yg super ramah, sweruuu polll mauu kesini lagi sihhhhh hihi"
Kang Agoes,5,8 bulan lalu,"tempatnya bagus buat hiling
jalan menuju kesana bagus dan halus
tiket masuk 1 motor isi 2 orang 26 ribu …"
Fitria Oktafiani,5,10 bulan lalu,Pemandangannya bagus masih alami. Tempatnya bersih. Kemarin weekend kesini ga terlalu rame
titah aprilia riadiani,5,10 bulan lalu,"Lokasi nyaman dan asri, cocok untuk refreshing dan piknik bersama keluarga."
Tati Suprianty,5,10 bulan lalu,"Setiap ke tulung agung saya selalu berkunjung ke wonorejo reservoir pemandangnya indah sekali, sepi baget banyak warung di sana. Karcis masuk 10 ribu per orang dan mobil 5 ribu murah sekali."
Ita Nur,4,10 bulan lalu,"Pemandangannya bagus, untuk tiket masuk 15rb/org dan parkir 2rb so far masih terjangkau. Ada wahana bermainnya juga seperti kayak/paddle, naik perahu, sama playground anak. Mungkin saran yg bisa dipertimbangkan adlh tempat duduk kali yaa:)"
Iswanabad Jukut Babadotan,3,11 bulan lalu,Salah satu bendungan tua di daerah Tulungagung yang kini memiliki pemandangan mrmanjakan mata.
Triwulan,5,setahun lalu,Tempat yang sangat recommend untuk bersepeda dan hanya sekedar menikmati suasana sejuk dari waduk wonorejo
DE ID,1,setahun lalu,JANGAN KESINI.. TIKETNYA MAHAL. 1 ORANG 20K. parkir 5K. MAKANAN JUGA MAHAL MAHAL
Ditya Suci Ratnawati,1,setahun lalu,penjaga masuknya tidak ramah suka memarahi
TNEL TV,4,setahun lalu,"Tempat wisata waduk wonorejo Tulungagung, wisata alam pegunungan dan hutan pinus."
Massosul Choiriyah,5,setahun lalu,Tempat yg nyaman unt bersantai.. msk gratis
Dessy,5,setahun lalu,nice place
husna berry,5,setahun lalu,Cocok buat jalan* sore pemandangan bener* menakjubkan
Riz,5,setahun lalu,"Overall bagus

Saran : jangan datang siang"" karena panasnya bukan maen"
Naufal Dafa Alauddin Wafiy (Dafa),4,setahun lalu,Tempat yang cocok buat menghabiskan waktu luang
yonnnツ,5,setahun lalu,nyaman bgt tempatnyaa 🙇‍♂️ …
Agus Setiawan,5,setahun lalu,Sejuk n asri.. Dimana spot tuk cari ikan masih melimpah
Fatma Syifa,5,Diedit setahun lalu,"suka pemandangan dari atas nya, bener-bener indah banget sekalipun buatan manusia wkwk. tapi di bawah kalo siang bener-bener panas sampe mau jalan aja pengen payungan wkwk."
Alex Purwo,5,setahun lalu,"Alami , jagalah kelestarian hutan dan alam sekitar"
Zanuar Zee,5,setahun lalu,"Di antara semua ikan di sana, ada satu yang istimewa, yaitu Si Ikan Kecil. Ikan ini memiliki warna biru cerah yang mempesona dan mata bulat yang selalu penuh dengan rasa ingin tahu. Si Ikan Kecil selalu ingin tahu segala sesuatu yang …"
sindi diah ningtyas,5,setahun lalu,"Pemandangannya MasyaaAllah cakep banget.
Kalau ke sini mending pagi atau sore hari, kalau siang panas sekali. …"
hanik masrurin,5,setahun lalu,Cakeeep bwanget
Yoyon Antion,5,setahun lalu,Mantap buat liburan
artika rianawati,5,2 tahun lalu,"Pemandangannya bagus,udara sejuk,banyak sepot menarik, enak buat joging dan wisata keluarga"
Muhammad Farhan Habibullah,5,2 tahun lalu,"Enak untuk refreshing dan tempatnya sangat luas, masuk lumayan murah juga"
Pe Li,5,2 tahun lalu,Aku bakol cak
M. Fajar Wirayudha,5,2 tahun lalu,Pemandangannya sangat bagus dan banyak spot foto yang estetik. Disini juga disediakan tur keliling waduk dengan perahu harga 15.000/orang. Lebih enak kesini waktu sore hari pasti sejuk karena di siang hari sangat panas di area waduk.
imam samudra0774,1,2 tahun lalu,Asyik untuk acara gowes
Hilmi fatah TA,5,2 tahun lalu,"seru, kece"
venanda putra,5,2 tahun lalu,bagus
Tofan Yulian,4,2 tahun lalu,"Kunjungan kesekian kali, airnya makin menyusut"
Farid Stpd,2,2 tahun lalu,Sangat tenang..bagus pemandanganya
Mohamad Dimas,5,2 tahun lalu,sangat sejuk dan rindang
Hamzah Maulana A.,3,Diedit 2 tahun lalu,"Lumayan wort it, dengan htm 12k dan biaya masuk sepeda 2k, parkir 2k
Sewa 2 kursi+1 meja 20k tp banyak tempat yang panas jadi sulit menemukan spot yg enk+adem …"
katong uhuuuii,5,2 tahun lalu,WNJ WD👌 …
Itsna Rusydiana,1,2 tahun lalu,utk tiket masuk per org 12rb sih mahal krna layaranan dan hiburan apa yg diberikan cuma air doang.. dan itu kan alam bukan mall.. aq sih gak banget.. mana gk sopan lgi yg jaga
Sakura Aprilia,5,2 tahun lalu,Tempat yang indah buat rekreasi
L Febriana N,5,2 tahun lalu,Dingin untuk penyembuhan
Melina Sita Dewi,5,2 tahun lalu,"Weekend tetep ok kok meskipun aga rame.
Tiket masuk 25k parkir 2k. Ada kantin, mushola, toilet. Recomended banget. Bersih. Jalannya juga bagus."
Wawan ardiansyah Zami,1,2 tahun lalu,Tolong tiketnya jangan kemahalan/saya hanya lewat saja gak dibolehin
Wawan Sahputra,1,2 tahun lalu,"Mahal amat tiket masuknya ,pungli nih pasti"
Rama dina La,1,2 tahun lalu,"Masuknya bayar,fix pungli"
Ramli Ali (Babe),5,2 tahun lalu,Mantap syahdu
Rizka Laila,5,2 tahun lalu,"Tempatnya bagus, asri dan luas, kesana udah sore jadi gabayar tiket masuk, cuma tiket parkir aja, worth the view"
sarantoni budi,5,2 tahun lalu,"salah satu tempat wisata yang bagus, banyak warung dan orang jualan jajan."
Ahmad Achyar,5,2 tahun lalu,Keren
Sendi Santoso,5,2 tahun lalu,Baik
Sismiranda Putri Asmarani,5,2 tahun lalu,"Tempat yang pas untuk olahraga, kebetulan kesana di pagi hari sekitar pukul 6.30 dan weekdays, jadi tidak bayar tiket masuk, hanya bayar parkir 3rb.
Kamar mandi juga bersih"
OKTAFIA NURAZIZAH,4,2 tahun lalu,Keren deh apalagi naik perahu nya the best lah
010. Zulfa Fatimatuz Zahro',5,2 tahun lalu,"Akses jalannya baguss dan juga aman. Untuk tiket masuk dikenakan biaya 13.000 per orang. Di waduknya, pemandangannya baguss. Bisa menyewa scooter, sepeda, kursi, dll. Ada juga kapal yang bisa di naikin buat jalan2. Aesthetic juga buat …"
Retno Palupi,4,2 tahun lalu,"Nyaman siih...
Tapi sayang masuknya kemahalan, dan lagi belum termasuk parkir.
Dan lagi agak kecewa soalnya dah hilang perahu di samping mushollany tapi …"
Nizar Hilmawan,5,2 tahun lalu,"Sungguh begitu indah keindahan yg diciptakan Tuhan, yg akan selalu membuat kita tiada henti untuk slalu bersyukur akan kehidupan ini.."
Ki Rom,5,2 tahun lalu,Nyeni
Hendrik Nur cahya,5,2 tahun lalu,Mantab
NUR NUR,5,2 tahun lalu,Bagus untuk wisata keluarga
Arif Usman,3,2 tahun lalu,Sejuk
Yoyon Diharto,5,2 tahun lalu,"Waduk wonorejo yang terletak didesa Wonorejo kecamatan Pagerwojo kabupaten Tulungagung, merupakan sarana yang dipakai untuk irigasi maupun PLTA, dimana memiliki kapasitas debit air 15.000 m3 perdetik. Dan bagi pengunjung dimanjakan dengan …"
Ari Adiatman,3,2 tahun lalu,Lumayan
ardha sefta,5,2 tahun lalu,Salah satu hidden gem nya tulungagung 👏 …
DT andrian,1,2 tahun lalu,"Sayang tiket terlalu mahal sepedah motor jg byar sendiri
blum lagi parkir dalam lokasi
tempat gk terawat taman bermain anak jg gk ad"
Sopingi Sopingi 1212,1,2 tahun lalu,Pertama datang tahun 1999
Reni Puspita Sari,5,2 tahun lalu,"Semakin sore semakin ramai, akses jalan mudah. Fasilitas yang disediakan ada mushola dan toilet umum. Banyak penjual."
Mila Diyah,5,2 tahun lalu,Baru pertama sih kesana....bagian cukup buat liburan
ardi sulanjana,5,2 tahun lalu,tempat favorit waktu pulang kampung ke pagerwojo
Mohamad Ansori Nurdin,5,2 tahun lalu,WADUK WONOREJO JOSH
Trisnawan Heru Martantio,3,2 tahun lalu,"Joging disini rutin tiap Minggu pagi, udara bersih & segar tapi sayang kurang bersih, banyak sampah berserakan, masuk di atas jm 7 harus bayar yg cukup mahal utk tempat wisata yg minim fasilitas."
Veri Effendy,3,3 tahun lalu,Lumayan bagus view nya
Emi Puspita Sari,5,3 tahun lalu,"Pemandangannya bagus banget
Anginnya sejuk dan dingin segar
Jalan menuju lokasi menanjak ada yg terlalu curam juga
Banyak pohon-pohon dan bukit"
sis wanto,5,3 tahun lalu,Good
Nur Nisa,5,3 tahun lalu,Bagus banget viewnya
Nyono Windarto Jovani,5,3 tahun lalu,TOP
Edy Supriyanto,5,3 tahun lalu,Tempat nya lumayan bagus dan tiketnya  sangat terjangkau
Bayuyudhalelana aaaeee,5,3 tahun lalu,Mantap
Choirul Eko Dewantoro,5,3 tahun lalu,"Akses jalan menuju lokasi sangat mudah..
Suasana adem, sejuk..
Tiket masuk cukup terjangkau. …"
Local Guides,5,3 tahun lalu,"Waduk terbesar di asia tenggara, berfungsi sebagai PLTA dan irigasi."
Rangga SENA,5,3 tahun lalu,Jozz
Max Zonahero,5,3 tahun lalu,Wisata favorit murah meriah di Tulungagung
kaos dan sablon Tulungagung jatim,5,3 tahun lalu,mantap
Anam Prianata,5,3 tahun lalu,"Waduknya indah, suasananya sejuk."
Yuaniroida,4,3 tahun lalu,"Tempat yang nyaman,tenang damai dan udaranya segar."
Mia Mila Rizki,5,3 tahun lalu,"Paling nyaman datang kesini saat pagi hari. Udara sejuk dan pasti belum panas. Siang hari juga bagus tapi setidaknya sedia payung kalau sedang membawa balita. Ada Musholla, ada kamar mandi dan ada biaya tiket masuk."
