name,rating,date,text
agus margono,5,Diedit 5 jam lalu,"Candi Penataran terletak di Desa Penataran, Kecamatan Nglegok, Kabupaten Blitar, Jawa Timur. Lokasinya berada di lereng barat daya Gunung Kelud, sekitar 12 kilometer dari pusat Kota Blitar. Untuk mencapai candi ini, Anda bisa mengikuti rute …"
Raden Harbie M,5,2 hari lalu,Nyaman
Meilinda Pramesty,5,6 hari lalu,"Masuk ke Candi Penataran rasanya langsung beda, karena suasananya tenang tapi tetap terasa megah dan penuh sejarah. Banyak pepohonan di sekitarnya yang bikin area ini adem dan enak buat jalan santai. Areanya juga luas, cocok buat keliling …"
erna wati,5,seminggu lalu,"Tempat wisata di Blitar merupakan tempat yg bersejarah.Bangunan beberapa candi yang kokoh sangat indah.
Tempat yang panas terasa dingin karena rumput hijau yang membuat sangat segar . …"
Ika Septiana,5,seminggu lalu,Tempatnya bersih dan nyaman. Sangat indah untuk tujuan refreshing
Pry Soepry,5,seminggu lalu,"Kesini 30 tahun yang lalu..kesini krn anak kpingin lihat obyek wisata di blitar,sklaian pulkam"
Evi Yuliati,5,2 minggu lalu,Beautiful old temple. Very clean.
Alya Farida Anggraini,5,2 minggu lalu,"Candi Penataran tuh vibes nya tenang tapi tetap megah banget. Begitu masuk area candinya langsung kerasa aura sejarahnya.
Kompleks candinya luas, jadi enak buat jalan santai sambil foto-foto. Spot …"
Alisa Nur,4,3 minggu lalu,pelayanannya ramah
Saiful Arif,4,3 minggu lalu,"Bagus bersih, semua tertata rapi pedagang juga tertata rapi, cuma kok ada pungutan seikhlas nya untuk apa"
Endah Widi,5,4 minggu lalu,Nice place
Dokter Gustrin,5,4 minggu lalu,Candi Penataran merupakan candi tertua dan terbesar di Jawa Timur. Di dalam kompleks candi kita bisa berfoto sembari mendengarkan penjelasan sejarah dari tour guide. Sebaiknya akses di pagi atau sore hari agar tidak terlalu panas.
Lia Agustina,5,4 minggu lalu,Candi Penataran memberikan nuansa masa klasik Hindu-Buddha yang kental akan sejarah. Sangat direkomendasikan bagi para pengunjung yang berminat akan wisata sejarah dan arsitektur klasik.
Robby Affandi,5,4 minggu lalu,Salah satu jejak sejarah yang harus terus di lestarikan
furri shoffa,5,sebulan lalu,peninggalan sejarah yg megah
Anita Djatmiko,4,sebulan lalu,Free entry. Very hot at noon so it will be good if you bring umbrella. No tour guide at the place. There was a warung inside the temple and they sold mineral water and snacks.
Wra Baestha,5,sebulan lalu,"tempatnya kelihatannya tidak luas tapi sebenernya pas udah masuk cukup luas dan puas banget keliling di sini. areanya bersih dan banyak hijau hijauan, jadi seger di mata, bener bener well maintenance! masuk gratis, cuma bayar parkir aja. …"
Rifki Darmawan,5,sebulan lalu,murah meriah
Nico Kristiawan,4,sebulan lalu,tidak ada tempat buat berteduh soalnya disana panas
Sulistyo Nufikawati,5,sebulan lalu,Tempatnya bagus indah dengan arsitektur candi khas jawa
fransisca aurora,4,sebulan lalu,"Tempat literasi budaya, tempatnya memang tidak luas tapi terawat dengan tatanan yang rapi, ditumbuhi rumput taman yang tidak boleh diinjak, bisa juga untuk foto preweed, tempat parkir menuju candi memang harus jalan kaki tapi tidak jauh"
Bayu AnomeJagaD,5,sebulan lalu,"Cagar budaya bisa untuk menambah wawasan dan pengetahuan, mengetahui tempat bersejarah"
yas,5,sebulan lalu,Saya pernah kesana beberapa kali dan tempatnya cukup nyaman untuk wisata edukasi keluarga
Heru d'Santos,5,sebulan lalu,"Peninggalan bersejarah yang sangat estetik
Kadang berfikir jaman dulu itu apakah suada ada alat grafir
Bisa sedetail ini tanpa alat yg secanggih sekarang …"
Bowo Ardianto,5,sebulan lalu,"Dari catatan sejarah yang ditemukan,  Candi Penataran dibangun pada masa pemerintahan Raja Kertanegara dari kerajaan Singasari sekitar abad ke-13. Candi ini sebagai persembahan agama Buddha Mahayana yang pada masa itu menjadi agama resmi …"
Dewo Broto,4,sebulan lalu,"Desa yang asri, komplek Candi yg tenang. Beberapa Kali ke sini.. Masih gk Bosen.."
Sandy Abdilla,5,sebulan lalu,"Ikon Kab. Blitar yang minimal harus dikunjungi. Masuk gratis dan isi buku tamu dahulu. Area candi luas, bersih dan terjaga kondisinya. Tersedia guide/pemandu untuk menceritakan sejarah candi ini"
Miftahul Farhan,5,sebulan lalu,"Candi Penataran di Blitar, Jawa Timur, benar-benar mengesankan. Kompleks candinya luas, bersih, dan terawat dengan baik, menghadirkan suasana sejarah yang kental dan pemandangan yang memanjakan mata. Kebetulan hari Minggu kemarin ada acara …"
Achmad Dill,5,2 bulan lalu,"Pertama kali masuk melewati gapura utama yang terdiri dari dua batu andesit besar. Setelah itu terdapat halaman depan yang luas dengan sisa2 bangunan kecil. Setelanya ada pendopo teras, struktur berbentuk panggung yang di tengah kompleks …"
Wibowo Heru,4,2 bulan lalu,Sebuah karya oleh pendahulu bangsa
Roqib Durohim,5,2 bulan lalu,Maps sering hilang
Angka Asli,5,2 bulan lalu,Apakah Pura Penataran bisa dijadikan tempat upacara pernikahan?
ATHAFARIZ CHANNEL,5,2 bulan lalu,Mantab sekarang ada cfd di sekitaran area candi penataran
Amin Farhan,5,2 bulan lalu,Tempat wisata bersejarah
Rizki Akbar,5,2 bulan lalu,Situs bersejarah terawat
Mochamad Habib (CatatanSeorangHabib),5,2 bulan lalu,Panas kalau siang disana. Banyakin pohon buat berteduh biar asri
antonius agung,5,2 bulan lalu,Tempat bersejarah
Adit RejoWilis,5,2 bulan lalu,sangat bersih dan terawat..
MUCHAMAD ROMADLON,5,3 bulan lalu,Salah satu tempat di blitar dengan udara yang masih segar dan sejuk
Firda Badrie,5,3 bulan lalu,The place where I could connect to my Ancestors..
dwirini purwanti,5,3 bulan lalu,Tempat rekreasi yg bagus dengan sejarah nya tempat nya bersih nyaman suasananya tidak panas karena banyak pohon2 yg membuat susana menjadi teduh
Munib Munib,5,3 bulan lalu,"Selamat datang,semoga anda puas,terima kasih 🙏🏻🤲🏻☕🍜 …"
dewi kusumaningrum,5,3 bulan lalu,"Relief yang menceritakan kisah tanpa rekayasa , sebagian mengandung misteri tentang kehidupan"
lek yudi,5,3 bulan lalu,Tempat bersejarah yang wajib dijaga dan dilestarikan.
Layla Farhan,5,3 bulan lalu,"Bersih, amazing, nenek moyang kita masih meninggalkan jejak cerita , dan kita merawatnya dengan baik , Rahayu ..."
