name,rating,date,text
elfian zupikar,5,Diedit sebulan lalu,Air terjun tersembunyi di barat daya Gunung Kawi. Ke sini dalam rangka Latber Lawean Kawisari. Air terjunnya eksotis. Jalan ke sana masih tanah. Tidak direkomendasikan untuk mobil. Cocoknya sepeda motor trail atau gowes ekstrim. Tempat ini …
Hendrik Suhendrik,5,5 bulan lalu,"Tempat yg asri, sepi"
firman y,5,5 bulan lalu,Sunyi.sepi
Wahyu Tri Ananda,4,8 bulan lalu,"Lumayan. Air terjun tersembunyi ini memiliki akses yang berliku dan sulit walau kita bisa menggunakan kendaraan kita hingga kemari. Akses jalan berupa batuan lepas lalu lumpur yang lengket, sehingga cukup menyiksa kendaraan."
lega Setianda,5,10 bulan lalu,Tempat sejuta kenangan. Apij pol
dwi indah,5,setahun lalu,Akses jalan masih makadam. Jauh dr jalan utama.  Dipakai motor matic bisa tapi agak susah
Dhika Rifqi,4,setahun lalu,Sebuah air terjun yang masih alami yang terletak di perkebunan kawisari. Untuk akses jalannya lumayan ekstrim disarankan tidak memakai motor matic jika kesini. Jalan bebatuan tanpa aspal. …
Azril Nashrullah,3,setahun lalu,"Untuk rute sangat extream mantap untuk pecinta touring atau trail.

Cuman kordinat gasesuai maps. Harus nanya akamsi atau patokan perumahan kosong …"
Chaos Guy,3,setahun lalu,"Lumayan. Air terjun yang tidak begitu tinggi dan bisa diakses dengan kendaraan bermotor hingga ke dekat air terjun. Jalanan cukup jauh dan berbatu lepas, sehingga bisa membahayakan dan merusak kendaraan."
Rizki Aditia,4,setahun lalu,"Aksesnya super sulit dari arah pasar semen/Sirah kencong, Medan jalan berupa bebatuan tajam dan jalur tanah berlumpur BERBAHAYA (Lokasi tidak sesuai google map jadi apabila memakai matic silahkan putar balik )gak ada orang pas waktu kesini …"
Qoirun Nisa,2,setahun lalu,astaghfirullah adalah 1 kata yang saya ucapkan berkali2 ketika menuju coban lawean ini. sudah kesasar 3 kali padahal pakai jalur yang berbeda2. akhirnya jalur terakhir saya lewat yang arah sirah kencong itu (NAIK MOTOR) …
Majapahit Kursus,5,2 tahun lalu,Jalurnya makadam sekitar 2kilo..bisa dilalui dengan sepeda gowes maupun sepeda motor..tempatnya jg asri tp sayang seiring mulai banyaknya pengunjung sampah jg mulai ada..butuh kesadaran kita smua untk kebersihan disana
lisa zahro,5,3 tahun lalu,"Maka nikmat Tuhan mana yang aku Dustakan.... Subhanallah..... 🥺 sangat terkagum-kagum sma Ciptaan-MU....
Pecinta Alam wajib banget sih berkunjung ditempat ini, ya Allah ini sangat Indah …"
Setyo Ritno,5,3 tahun lalu,Tempat yang sangat indah
putri septiana,5,3 tahun lalu,ngecamp di 📍wonosalam …
Lalamiauw official,5,3 tahun lalu,"Amazing banget Lah,, pastikan kondisi badan lagi fit aja kalau mau kesini"
Ono Muji,5,3 tahun lalu,Real air terjunnya lebih megah dari foto
Max Zonahero,5,3 tahun lalu,Akses jalan yang cukup menantang. Menelusuri jalan tanah dan makadam diantara bukit perkebunan kopi. Tapi terbayar lunas dengan kesegaran dan keindahan air terjunnya.
Firnanda Mohammad,5,3 tahun lalu,bagus
Hendriko SRM,5,3 tahun lalu,Mantap luar biasa 📸🤗 …
Ganif Prasetya,5,3 tahun lalu,"Air terjun terbagus di blitar.
Jarang yg tau, jadi tempat tetap asri"
muhammad yusuf bahtiar,5,4 tahun lalu,Secret
Enrico Fermi (Noft),5,4 tahun lalu,"Tempatnya masih asri, jalan menuju kesini jika dari kebun teh lumayan agak susah. Tapi masih bisa dilewati pakai motor biasa. Klo dari arah lain (perbukitan) juga sama susahnya tapi masih bisa dilewati. …"
Yani Rukani,5,4 tahun lalu,Masih penasaran
Kukuh Eko Prasetyo,5,4 tahun lalu,"Rarely unique waterfall, because its like a water curtain. the conditions are still natural without facilities, only nature. the water is clear, the air is fresh and cool. because it is in the middle of the forest and difficult road access, …"
Benny Thama,5,4 tahun lalu,Segerrr lokasinnya lumayan sih dengan jalan yang aduhai tapi recommended
Daniel Januarianto,5,5 tahun lalu,Air terjun yg masih asri dan sangat sejuk.Recomended
krisna advertising,5,5 tahun lalu,Medan bebatuan. Dari portal kawisari lurus 2km belok  kiri
Cahyo Suryo Utomo,4,5 tahun lalu,Tempat yang sejuk untuk menenangkan hati
Febrialdy Eng,5,5 tahun lalu,"Lawéan Gandusari, Yang berkunjung tolong menjaga kebersihan lingkungan ini, jangan meninggalkan sampah. Sumber air ini untuk minum!!!!"
