name,rating,date,text
Danang Hariadi,2,1 jam lalu,"Kampung coklat skrng luas..bnyk wahana baru.
Trmasuk bombomcar..tp sayang petugas yg jaga bombomcar gk profesional.
Udh antri luaamaaa...tiba giliran mau naik..malah di dahulukan org yg antri …"
Niniex Sweet,5,4 jam lalu,Tempat dan suasana nyaman banget banyak spot foto
drg naruly herfi daniar,5,4 jam lalu,"Tempat tertata rapi bersih, petugas sopan rapi bersih, tempat wisata yang sangat bagus walaupun tempat di pinggiran."
Rental Mobil Pasuruan,5,18 jam lalu,"Tempat wisata keluarga yang sangat recommended di Blitar! Masuk ke sini langsung disambut aroma cokelat yang manis. Fasilitasnya lengkap banget: ada galeri cokelat, tempat pengolahan, hingga area bermain anak. Paling suka suasana …"
Fadilla Mekky,5,1 hari lalu,"Waww the best pokoknya holiday bareng keluarga ke kampung coklat , tempatnya luas , nyaman , sejuk dan banyak spot fotonya, dan yang pasti anak” bakalan happy , kalo mau cari oleh” disini juga ada jadi perlu ribet ☺️"
Togex Pramudya Chanel,5,1 hari lalu,Lokasi wisata yg terletak di Daerah Kademangan tepatnya di dusun Plosorejo Blitar
"Agung Tresno Nugroho, S.Psi, M Si",5,3 hari lalu,"Tempat wisata yang lagi hits di blitar,
Banyak wisatawan dalam kota maupun luar kota yang datang ke sini,
Harga nya juga sangat terjangkau dan banyak wahana nya, …"
Nida Izzatia,5,3 hari lalu,"tempatnya luas banget. banyak spot foto bagus. aneka olahan coklat sangat bervariasi. ada wahana permainan untuk anak-anak juga, kolam renang, panggung, dll. bisa sewa sepeda listrik/mobil golf. good place for take a rest"
Dyah Putri,5,seminggu lalu,"Seru, bisa nikmatin wahana sambil wisata coklat.. Bisa ngicipin coklat gratis juga"
Eky Roziana,5,seminggu lalu,ATV
khurniatu lubna,5,Diedit seminggu lalu,"Renovasinya sangat fantastis, membuat kampung coklat yang dulunya hanya kebun coklat kecil, sekarang menjadi obyek wisata yang indah dan sangat nyaman untuk seluruh pengunjung, …"
Ruly Arviana,4,seminggu lalu,"Tempatnya asri, tempat edukasi untuk anak anak.
Ada wahana permainan untuk anak. Untuk keluarga juga cocok."
Adriana,5,seminggu lalu,Nice
Kalimaya BF,5,seminggu lalu,"Bagus, lumayan lengkap, nyaman dan bervariasi..."
Fitria Ummu,4,seminggu lalu,"Banyak wahana, saat weekday bisa explore lebih banyak"
Agus Wartono,5,seminggu lalu,"Tempatnya cukup strategis diantara kampung coklat, dekat dengan pintu masuk jadi langsung terlihat oleh pengunjung."
MR. Yossh,5,seminggu lalu,"Kedua kali kesini udah beda banged dulu masih awal awal buka.

Aku ga expect di dalamnya ada masjid, masjid ya ini bukan mushola.. gila banged …"
virgiawan widy castrena,5,2 minggu lalu,"Akses ke lokasi mudah, parkir aman dan nyaman tempat nyaman juga"
Lokal Guide Purwodadi Pasuruan,4,2 minggu lalu,Parkir luas
Nia KURNIA,5,2 minggu lalu,Tidak perlu bingung kalau hujan. Tertutup kanopi semua. Tempat luas cocok untuk bawa anak2
Tutik Winarsih,5,2 minggu lalu,Enak nyaman buat duduk santai
yahya prayoga,5,2 minggu lalu,Recomend
Bambang Safril,5,2 minggu lalu,"Kalo pas ke Blitar pasti mampir kesini, tempatnya bagus dan luas.
Hari libur dijamin ramai"
Nadia Rahmawati,5,2 minggu lalu,"Kesana waktu liburan idul fitri, sangat ramai. Tempatnya cukup luas, ada resto juga didalem."
Han Han,5,2 minggu lalu,"Tempatnya luas bagus ada oleh""nya juga
Ada tempat buat duduk""nya
Bagus pokoknya"
roberdo novellino,5,2 minggu lalu,"Tempat bersih , makanan minuman harga terjangkau"
Hendro Asisco,4,2 minggu lalu,Kalo mau kesni jangan pas high season
Adinda Ariasyah,5,2 minggu lalu,Tempat nya lumayan cmn tingkat kan lagi sprti kolam tenang buat orang dewasa dll
Aninda Quinsy Aurentia,5,2 minggu lalu,"kampung coklat sekarang bagus!!!!!!! tempatnya semi outdoor jd ga panas, penataannya bagus, rapi dan bersih. sekarang area kolam renangnya udah ada 2, masjidnya gede & bersih, area food courtnya banyak dan harga makanannya terjangkau utk di …"
Heny's Family,5,2 minggu lalu,"Wisata edukasi yg bener"" menarik ditambah lagi wahana""nya yg komplit,satu tujuan tp dapet semuanya,dan aq sarankan kalau berkunjung bawa anak kecil mending beli tiket terusan lbh hemat🥰 …"
Kurisu Miyu,5,2 minggu lalu,"Pengen kesana lagi, belum sempat foto2 , spot foto banyak dan bagus ~"
Ichwan Fikru,5,2 minggu lalu,Mantap
Heriandaru Indradarma,5,2 minggu lalu,Good place
Diajeng Maharani,5,2 minggu lalu,banyak tempat untuk foto²
Evi Yuliati,4,2 minggu lalu,Quite nice and cool place. Good chocolate. Toilets needs improvement
W Unik,5,2 minggu lalu,Kampung coklat bagus dulu semasa kuliah belum ada ternyata pas ke Blitar sudah berubah jauh tambah bagus keren pokoknya mantul
Fatimah Alkatiri,5,2 minggu lalu,"Tiket Rp 25.000 di saran kan yang membeli tiket terusan anak anak saja karena wahana nya kebanyakan untuk anak anak, harga makanan lumayan, tempat bersih, harga oleh oleh lumayan terjangkau"
Dimas Joyo (MasJoy),5,2 minggu lalu,seruuuuu..
Budi Utomo,5,3 minggu lalu,Bagus
MUCHAMAD ROMADLON,5,3 minggu lalu,"Destinasi wasata di desa yang tempatny lumayan luas,bersih & nyaman"
Niken Novilia,5,3 minggu lalu,"seruuu banget main di kampung coklat, banyak spot foto foto centilll wkw, tempat nya luasss banget dijamin seru keliling di kampung coklat 😇 …"
MOCHAMAD TAUFIK WIDIYANTO S Sos MPd,5,3 minggu lalu,"Tempat rekreasi educasi yg luarbiasa, saran supaya diperbanyak tempat sampahnya minimal 2 di setiap permainan serta dikembangkan tanaman anggur dan melon shg pengunjung dapat memetik panen sendiri"
lulus andika,5,Diedit 3 minggu lalu,Fasilitas lengkap
Dinda Nathania,5,3 minggu lalu,Nyaman
YS. “Gohan”,5,3 minggu lalu,"Sekarang udah luasss bangett, bisa sewa scooter listrik/atv/sepeda kalau aku kemarin sewa golf cart bisa rame rame. Untuk mainannya mostly untuk anak anak sih, buat dewasanya ada beberapa aja. Kalau mau mainan disarankan sekalian tiket …"
Muhammad Fajri Basuki,5,3 minggu lalu,Sekarang tempatnya semakin luas dan nyaman
mas huri,5,3 minggu lalu,Kampung coklat yang sekarang tidak kampungan sangat mewah dan indah
