name,rating,date,text
Erpra 79,5,3 jam lalu,Kesini petama kali nya dari rumah nenek trus seklian ke sini pemandangan bagus bgt
bayu uyap,5,4 hari lalu,Tempat yang bagus dan nyaman.
Rahayu Dwi,5,seminggu lalu,"bagus kok , pokok pinter2 nyari spot bagus
misal ramai harus sabar gantian"
sarry anggraeni,4,seminggu lalu,Dua kali kesini suejukkk meski jauh dan pas kehujanan. Yg pasti seger buat pernapasan orang kota....mengurangi tingkat ke stres an..wkwkw
Diah Ayu,5,seminggu lalu,"Suka banget kesini,sejuk dan segar pemandangannya"
Wawan,2,seminggu lalu,"Serah Kencong perlu memperbaiki pelayanan, bukan hanya menarik uang dari pengunjung.
Jalan harus dibenahi, kebersihan dijaga, fasilitas diperbaiki, dan keamanan …"
Satria Budhi Wicaksono,5,2 minggu lalu,Makin keren tempate ada cafenya juga sekarang
Deriiista Rista,4,3 minggu lalu,⭐️⭐️⭐️
Titin Bhainatul Irodha,5,3 minggu lalu,Udara sejuk yang menyegarkan
Desert People,5,3 minggu lalu,A beautiful place
Muhammad Syamsul Badi',5,3 minggu lalu,Udara sejuk. Pemandangan yang asri. Tempat untuk berlibur keluarga!
Okky Dwi Chandra,5,3 minggu lalu,"adem tempatnya, cocok menenangkan diri"
FERO ZONE,5,3 minggu lalu,Luarbiasa
Dony wahyu,5,4 minggu lalu,Hawanya adem...enak buat ngademin pikiran
Mohammad Billal,5,4 minggu lalu,"Pertama kali kesini dan Wow banget panorama nya. Pas weekend rame banget disini tp kami tidak mencoba ke cafenya. Udaranya suejuuk, airnya sungai nya brrr.... Kalian disini bisa camping, ngopi bahkan glamping pun ada. Aksesnya lumayan jauh …"
Natalia Reinnati,5,4 minggu lalu,Dingin dan sejuk.. anak2 suka. Sepertinya kalau keblitar akan mampir lg
evamellya nurfadila,1,4 minggu lalu,mbak2 loketnya gak ramah bintang 0 jadi gak mood mau liburan disitu.bayar pakai uang 100rb orangnya tidak ada kembalian malah nyolottt. harusnya pintar2 ngasih pecahan waktu kembalian yaa😀kalo gak ada kembalian ya nyari masak customer sruh pakai uang pas. nyolot banget.males banget. tidak rekomendasi.ganggu kenyamanan …
Setyawan Setyawan,5,sebulan lalu,Cocok buat healing. Udaranya fresh
Hari Purwanto,5,sebulan lalu,"Bagus utk tempat refreshing, cari inspirasi, healing, cangkruking dsb bersama keluarga. Ada cafenya dan karaoke juga. …"
Bagus Dwi,5,sebulan lalu,Hari Rabu malam tahun baru tutup jam berapa
Ririn Ernawati,5,sebulan lalu,"Tempatnya bagus,, adem,  dan nyaman"
Abdi Youandi,5,sebulan lalu,Enak banget buat ngopi
Muhammad Vedo Prasetyo Nugroho,5,sebulan lalu,View bagus dan asri. Sangat dingin apalagi pas musim hujan
Sofiana zara,3,sebulan lalu,"Tempatnya asri dan tenang, tapi jalannya nggak good, tapi ya yang suka blusukan ke pegunungan oke lahh"
Rahila Amanatul Ummah,5,Diedit sebulan lalu,"Mantaaapp dan mudah untuk di akses motorrr
Jalan menuju sirah kencong sangaat mudahh😄 …"
Dewi Sari,5,Diedit 2 bulan lalu,Tempat dimana udara segar dan hawa sejuk bisa kita dapatkan
Wiwin Dwi Santika,5,2 bulan lalu,Suasananya sejuk cocok buat healing dari hiruk pikuk ramainya perkotaan dan pekerjaan🫣😂 …
Ellzio,4,2 bulan lalu,"tempat cukup nyaman, pemandangan yg indah, udara sejuk, hanya saja untuk makanan kurang cocok dilidah saya"
Dodik Riyanto,5,Diedit 2 bulan lalu,"View nya bagus, kebun teh yg hijau, suasana tenang, cocok untuk menenangkan diri bagi mereka yg stress karena kerja atau putus cinta 🤣 …"
Fajar Kurnia,5,2 bulan lalu,Tempat yg nyaman untuk bersantai
Rakhmad Tri Yusworo,5,2 bulan lalu,Sejuk dan asri
Latihan Umroh,5,2 bulan lalu,Baik..tingkatkan lagi pelayanannya..jalan akses menuju kesana tolong diperbaiki biar ramai pengunjungnya
alexander rama,5,3 bulan lalu,tempat ngadem di blitar
NARULITA DWI ARDIYANTI,5,3 bulan lalu,"Segar, masih sangat asri. Cocok buat short escape. Meskipun jalan menuju kesananya sempit, agak susah kalau papasan mobil."
dewi kusumaningrum,5,3 bulan lalu,"Nice place , view also culinary . All is great ."
M KH Hidayatulloh,4,3 bulan lalu,bagus dan tiketnya cukup terjangkau
Leni Listiani,4,Diedit 3 bulan lalu,Kesekian kalinya kesini nggak bosan2 😍 …
Dedi Pujoprastowo,5,3 bulan lalu,"Sudah 5 kali, suasana sejuk dan pemandangan hijau...kok nggak bosan yaa🙂 ada sedikit jalan yg agak rusak menuju lokasi, masih bisa ditolerir lah💪 …"
Grey Sky,5,Diedit 3 bulan lalu,Tempatnya adem... sukaaa sekali ☺️☺️☺️
Service Elecktro Pak Gun gunawan,4,3 bulan lalu,"Tempatnya bagus terawat, pas sekali dengan harga tiket cocok buat refresh otak fikiran atara tiket dan fasilitas tidak mengecewakan."
Suachiyat. Sulaiman,3,4 bulan lalu,Pemandangan bagus
abu faith,4,4 bulan lalu,Akses jln nya butuh perbaikan
wira ho,5,4 bulan lalu,"Udara dan alam yang asri...semoga terus terjaga ..para pengunjung please jaga kbersihan,jangan buang sampah sembarangan...."
Nancy Tasha,5,4 bulan lalu,"Udah beberapa kali kesini, tiap dateng selalu ada perubahan, jadi lebih bagus lagi, lebih banyak spot foto, bahkan tersedia penginapan.. Tempatnya asri, adem, udaranya sejuk dan segar. Cocok buat merileks kan diri, di tambah dengan suasana perkampungan jaman dahulu membuat kita merasa seperti kembali ke masalalu.."
kawasaki jatim,5,4 bulan lalu,"Seru-seruan bersama keluarga Horeq, sewa jip keliling perkebunan Sirah kencong menikmati sejuknya hawa pegunungan.. Pengalaman yang tidak terlupakan menjadi semangat menjalani kehidupan"
Setia Aji,5,4 bulan lalu,Bagus...spot fotonya banyak
Yoru,4,4 bulan lalu,"Adem, pemandangannya bagus, toiletnya pun bersih. Tempat ini hidden gem yang beneran hidden. Akses ke sananya butuh perjuangan, jalannya tanah berbatu. Semoga segera diaspal atau dicor oleh pengelola."
Desi Arsyadani31,5,4 bulan lalu,Seru disana sangaaat dingin dan banyak orang jualan jadi gak bingung deh kalau gak bawa bekal
Renata Desy,5,4 bulan lalu,"tempatnya bagus adem sejuk, apalagi air terjunnya"
lidya citra,4,5 bulan lalu,"suasananya adem pol, tenang, ditambah pemandangan ijo ijo bikin mata seger 🍃🤌. kalau gamau rame, mending dateng pas weekday karena sepiii bgt. tapi kalo weekday emg cuma ada satu tempat makan yg buka, dan jujur agak overpriced dengan rasa yg biasa aja 🥲. tapi overall, masih worth it buat nikmatin view nya 💚 …"
Farid Ali Yafi,5,5 bulan lalu,Keren poll
Elsii,5,5 bulan lalu,"Naiknya jauhh bangett, yg naik motor harus siap sakit. Jalannya berlubang, Masuk beli tiket dan parkir offline langsung di sana. Tp sekarang udah ga begitu terawat yaa.."
Citra Arunika,5,5 bulan lalu,"Weekdays menu di warung sekitar kurang lengkap, pasword wifi berbayar :)"
Ddee Are Dee,5,6 bulan lalu,"Jalannya d beberapa titik perlu diperlebar,,, karena g bs bt berpas2an..."
Widya Inthig,5,6 bulan lalu,"Menyenangkan sekali,,, suejukkk,,, krasan disana. Meskipun kaki terasa njarem setelah naik turun di kebun teh tp terbayar dgn keindahannya yg luar biasa... Tp mohon maaf agak kecewa dgn cafe yg diatas, sdh order minuman dan snack tp gk dtg² …"
SARIF HIDAYAT,5,6 bulan lalu,Belajar sekaligus bermain dan mengetahui banyak hal baru
Suyoto T,3,6 bulan lalu,Suasana sejuk suka tp tolong kebersihan nya dijaga dan pihak pengelola semoga membenahi nya  biar lebih segar LG dilihat mata💪 …
leosin “Lumintu Dental” tjio,5,6 bulan lalu,lumayan..
Fela prabowo,5,6 bulan lalu,"Suka banget sama tempat ini😍
udaranya dingin sejuk, suasana oke
pasti balik lg …"
imam arifin,5,6 bulan lalu,"Saya tidak menyangka kab blitar punya tempat seindah ini udara yang sejuk suasana yang tenang
Ditemput sekitar 1 jam dari kecamatan kesamben melalui peternakan sapi greenfield yang berstandar internasional"
CA Taufik Taufik,5,6 bulan lalu,Tggl 16 /7/2025 ada acara di kebun teh Sirah kencong siap hadir
Praisye Beatrix,4,6 bulan lalu,"Perjalanan lumayan menanjak. Mau main flying fox tapi ternyata wahananya cuma dibuka weekend aja.
Anyway...nice trip..bisa nikmati udara segar pegunungan"
AVINASHOP,5,7 bulan lalu,"Kebun teh sirah kencong terletak di kabupaten Blitar, kebun teh yang sangat indah. Hijau, sejuk dan menyegarkan udaranya.
Kesini staycation di wisma yg ada di sirah kencong. Trekking pagi2 ternyata …"
