name,rating,date,text
wanda meilindaaa,5,3 jam lalu,"Pantai nya gk yg membentang luas, tp baguuuuussss & bersih"
Harin Wardajati,5,1 hari lalu,"Pantai yang cantik dg pohon pandan menjuntai, pasir putih, gelombang pecah nan putih bersemangat. Apalagi naik ke Singgolangit, laksana lukisan alam maha cantik. Puasss ke sana"
سنْط,4,3 hari lalu,"Tau pantai ini dr reels ig yg d post 8 bulan yg lalu. Posting view pantai dr cafe songgolangit yg jg memfasilitasi glamping. Tampak menarik dan bagus banget.
Penasaran akhirnya berangkat. Dan yaa,, sampai sana ternyata cafe songgolangit …"
Sitinur Jana,5,4 hari lalu,Pantai yg masih sangat asri+pemandangan yg indah tapi tidak dengan jalannya yg terlalu sempit kalau mw masuk haris gantian sama mobil
Muhlis Fatoni,5,6 hari lalu,"Masih lumayan alami, gak terlalu ramai. Akses jalan masuk yg perlu diperluas"
Bambang Suharyanto,5,seminggu lalu,"Selayaknya pantai,, asik poll buat main air
Tambah siang tambah besar ombaknya, tetep KEEP SAFETY yaaaa"
Siti Maesaroh,5,seminggu lalu,Kami rombongan senam sangat antusias ke Pantai pudak..Asir putih bersih..karena hujan kami tidak naik melihat pemandangan diatas bukit ...lain waktu kembali lagi
Mohammad Tri Harko,5,seminggu lalu,Bagus banget tempatnya pokoknya bagus 👍 …
Wiwin Dwi Santika,5,seminggu lalu,Kesini niatnya liat sunset. Bagus pantainya. Pas kesana rame banget soalnya macet. Tp tersuguhkan dengan pemandangan yang indah
Devi,5,2 minggu lalu,"Pantainya bersih, bagus, akses jalannya mudah, yang pasti lebih enak kesini bareng pasangan atau keluarga kalian🫶 …"
Kiki Sui,5,Diedit 2 minggu lalu,Bersih makanannya murah dan tidak ada pungutan liar
Phiphi,5,2 minggu lalu,"Salah satu pantai yang wajib dikunjungi jika main ke kota Blitar. Pantainya bersih, airnya biru kehijauan. Akses kesini sesuai google map, jalan masuk ke pantai cukup untuk 1 mobil tapi sudah ada penjaga yang mengatur kapan kendaraan bisa …"
HARLUTHFI WIRANTONO,5,2 minggu lalu,Tempat yang bagus untuk bersantai
Kilya KF,5,2 minggu lalu,"📍 Pantai pudak blitar 🌊
Kita berdua suka bgt sama pantai, suara ombaknya, lebih punya banyak waktu utk ngobrol” bareng 🫶🏻 …"
alyeshanaaz,5,2 minggu lalu,"dah lama bgt ga kesana, jadi kangen beach date sama cowo gantengku🤍 …"
maghdalena nurhazah,5,3 minggu lalu,Pantainya bersih
diwantra dpp,3,3 minggu lalu,"Fasilitas kamar mandi perlu ditambah, mengingat banyaknya pengunjung yang datang, waktu bermain habis hanya untuk mengantri di kamar mandi. Selebihnya bagus, pemandangan pantai bagus, minim sampah, akses masuk lumayan."
Fhallisca Naura,5,4 minggu lalu,bagus bangett pantainya tp pas liburan ruame tapi bagusss
Chindi Faticha,1,4 minggu lalu,"Serius se enggak wort it ituuu, kesana niat nya mau camp dan dengerin suara ombak ehh malah banyak orang bawa sound dan di putar keras poll²an dan itu di setiap ujung, malahan ada ibu² pengajian juga, dan untuk pengelolaan nya sekurang itu, …"
Luluk Ratnawati,5,4 minggu lalu,"Pantainya oke bagus.. tpi syang nya untuk warung"" penjualan yang di bawah untuk lebihh di perbaiki i lagi pelayanan nya sekali ke situ saat"" mengecewakan sekali sudah nunggu lama pesanan nya sudah di bayar tpi malah nota nya hilang lah... …"
ales sela,3,sebulan lalu,"fasilitas terbatas, kamar mandi hanya sedikit jadi antri banget, dan kotor, saran saya kasih pancuran didepan kamar mandi, atau ada tempat tersendiri untuk pancuran nya biar tanah dari habis mandi pantai tidak tercampur dan jadi kotor saat …"
Eka Hidayati,5,sebulan lalu,"Pantainya bagus, bersih pasir putih air nya jernih, mampir ke songgolangit juga dapat view yang baguuuss bangeett... Sukaaa 😍😍 …"
Ghena Oki,5,sebulan lalu,"Pantainya bersih 🥰 Akses cukup mudah. Tiket masuk Rp 10.000 per orang, Parkir R2 Rp 5.000, dan parkir R4 Rp 10.000.
Sdh bnyak warung di sekitar. Kamar mandi dan tempat perlu diperhatikan lagi kebersihannya. …"
Samsul Mujid,2,Diedit sebulan lalu,Kondisi jalan masuk untuk mobil per april 2025 masih cukup terjal dan berbahaya kalau papasan sama motor pas di tanjakan..ngeri..utk pengelola agar lebih diperhatikan..pas kita naik ditanjakan dan nikung..motor berhenti diatas..waduch..ban sampai keluar asap.. 🚴‍♂️🚴‍♂️🚴‍♂️ …
Angga,5,sebulan lalu,"Pantai paling top se-blitar view cakep, pantai bersih, dan pasir putih lembut. Destinasi yang wajib dikunjungi saat libur panjang."
lutfia amalia,5,sebulan lalu,"Pantai bagus 😍😍😍,,, masih asri dan pemandangan buat betah lama-lama disana.. cuma minusnya kamar mandinya kotor sekali.. saran untuk pengelola, untuk amar mandi ditambah lagi, berbayar tidak masalah yang penting bersih. …"
Edi Susono,5,sebulan lalu,Pantai airnya bening seger dan nyaman buat santai bareng anak anakku..
