name,rating,date,text
Sambel Kecombrang,4,22 jam lalu,"Cocok buat keluarga., mobil mobilanya kemahalan harga 60ribu 25 menit. Sebaiknya 50ribu 30 menit"
Andriyo Edi,4,seminggu lalu,Bagus.. recommended pokoknya
Supri Yono,4,seminggu lalu,Akhir pekan bersama keluarga asyik
Btrx Timus17,5,2 minggu lalu,"Pantai terdekat area Blitar perbatasan malang, untuk pantai nya bagus. Cuman di hri Minggu banyak pungli parkir,hati2 aja. Untuk pedagang dan toilet umum banyak jgn kawatir"
Maya Enggar,5,2 minggu lalu,"Pantai serang mulai 8 januari 2026 tiket masuk dan parkir gratis...
Sampai batas waktu yg belum di tentukan...
Ayo gass ke pantai serang hari biasa tidak terlalu ramai... 👍🏻👍🏻 …"
Erik Irfanda,5,3 minggu lalu,"Tempatnya indah pantai nya bersih dan parkir luas, serta banyak tempat makan yg recommended sekalian ada Gazebo nya buat Menikmati pemandangan pantai"
jagunk tok,5,3 minggu lalu,Kesukaan anak²..
Zulia Dwi,4,3 minggu lalu,"Masuk pantai tiket 10k/orang parkir gratis
Ada penyewaan ATV 100k/jam
Main ATV 1 jam udah puas😅😅😅 kita Dateng pas hari Sabtu jadi blm rame pengunjung …"
Achmad Malik Dwianandita,5,3 minggu lalu,Ramai agak kotor
Hary Wijaya,4,3 minggu lalu,"Pantai Serang Blitar menawarkan hamparan pasir luas, ombak khas pantai selatan, dan pemandangan laut yang menenangkan. …"
Qoma quzr,4,4 minggu lalu,5hr yang lalu
Rasti Natasya,4,sebulan lalu,Bersih... Cuma suka ada kyk sampah kayu gtu klo maen aer kena itu jdinya kaki luka🙂 …
pamor ngudisusetyo,4,sebulan lalu,Per4an pantai serang saja
Rifatul Hidayah,5,Diedit sebulan lalu,"🤧Si kecil tdak berkenan mandi.. Padahal bagus bangeeed pantai nya, 4 jam perjalanan menuju pantai, setengah jam (ishoma), lalu pulang 💪🤢 pekan depan sini lagi.. 😅 …"
Lukman Qakim,5,sebulan lalu,Pantai serang belitar
Syafi'atul H.A.,5,sebulan lalu,"pas kesini weekday sore, jadi udah sepi banget.. masih ada yg jualan tapi cuma beberapa aja. pas dateng juga ga perlu beli tiket masuk?? apa karna udah sore aja ya? belum pernah ke sini soalnya, baru kesini sore kemaren jadi gatau memang ga ada tiket masuknya apa gimana.."
jvc cellular,4,sebulan lalu,kurng perawatn pantainya
Siti Umey,5,sebulan lalu,Menyenangkan.
Den Bagoes YTB,5,sebulan lalu,Spot josjis
Vitha Rachmawati,5,sebulan lalu,Pantainya sepi mungkin karena saya datang di hari biasa lingkungan sekitarnya bersih dan menyenangkan
Andika Prasetiyo,3,sebulan lalu,Mantap
SUWITO PANDU,4,sebulan lalu,Bagus dan bersih
Rian Prananda,4,2 bulan lalu,"Pantai lumayan bagus, harga makanan terjangkau"
ANA KHOIRUN NISA,5,2 bulan lalu,Wisata pantai dan kuliner olahan ikan laut
irwanto 12,5,2 bulan lalu,Sip
Muklas Safii,5,3 bulan lalu,Parkir mahal
dwi yuni,4,3 bulan lalu,"Bagus, ramai penjual, tapi msih ada sampah berserakan, ayo para pengunjung kita jaga pantai kita agar tetap bersih"
Wridyang bagus Misgiantoro,5,3 bulan lalu,"Tiket masuk murah, tempat parkir luas, toilet mudah di temukan, harga makanan yg masih worth it"
Anggreani,5,3 bulan lalu,"Makan ikan di pantai yang bisa dipilih sendiri, langsung di bakar dan disajikan
Mantul banget 👍👍
Kebersihan di pantai Serang juga terjaga meski banyak tenant. …"
ithoarek arblim,5,4 bulan lalu,Pembukaan bengkel baru
hamba Allah,1,4 bulan lalu,"Pintu masuknya ditutup untuk parkir...kalau bagian dalam ditutup, saya harap tempatnya sepi."
Ugik Sutrisno gati,5,4 bulan lalu,Indahhhh
Pak wan Pijet,5,4 bulan lalu,Liburan keluarga
Soepeno,5,4 bulan lalu,Sayang bangunan atas tidak terawat.... sangat pas untuk pemandangan...
Poppy Aris Khana,4,4 bulan lalu,"Pantainya lumayan bersih, tp ombaknya gede..."
Andista Pangestika Okta Widyawati,5,4 bulan lalu,Asriiii
Ahmad in'am Ziddan,5,4 bulan lalu,"ATV 25 menit 60k 1jam 120k nett
Pantai bersih, puenak di GE jogrok mwehee"
M. Fajar Wirayudha,5,4 bulan lalu,"Dulu mungkin ramai tapi sekarang cenderung sepi,, meskipun begitu dengan menikmati pemandangan, dan banyak tempat berteduhnya membuat suasana menjadi lupa waktu. Ada juga ATV untuk bermain tapi tidak direkomendasikan untuk berenang karena ombaknya sangat tinggi."
yuli kristianingsih,5,4 bulan lalu,"Pantai bersih, view cantik, cafe atau tempat makan buka sampai malam jd kalau ngecamp tidak usah kuatir kelaperan.
Jalan menuju lokasi bisa dilalui mobil."
Budi ono,5,4 bulan lalu,Meski  akses jln masuk Sempit tpi pantainya sangat indah
DEV,5,5 bulan lalu,Pantai Serang
Annchi,5,5 bulan lalu,Tempatnya bagus banget
Yoni,5,5 bulan lalu,sip
GW Yayang,4,Diedit 5 bulan lalu,"Untuk masuk 10k per orang... Parkir 10k..

Untuk acara layang tahun ini (2025) sebenarnya menarik. …"
Mahfudz Nasuha,4,5 bulan lalu,Lumayan Rame saat sore hari hinga petang hari .. asik buat melepas Penat setelah pulang kerja.bagus pula buat olah raga  lari lari di pinggir Pantai.
Jefri Blitar,5,5 bulan lalu,Suasananya keren
