name,rating,date,text
wanda meilindaaa,5,3 jam lalu,"Jangan ditanya, disini gk kalah bagus & sangat"" bersih"
Edi Waluyo,5,3 hari lalu,"Pantai sejuk, banyak warung"
Lina Nirmala,5,seminggu lalu,"❤️❤️
Tapi klo kesni pas liburan masyaallah padet bgt, harus berangkat pagi banget"
M Fadjar Kharisma Putra,5,2 minggu lalu,Pantai yang aesthetic dan aspal sudah bagus
viki kurnia,3,2 minggu lalu,"Sebenarnya keindahan bahari lautnya bagus, tetapi berhubung saat saya kesana ombaknya sangat besar jd kurang bisa menikmati, karena takut & was-was saat anak-anak bermain ditepi pantai. Jalannya juga bingung kalau untuk lewat jls itu lewat arah mana."
Rian Susanti,4,2 minggu lalu,makanan dan minumannya rasanya tidak mengecewakan.. harganya terjangkau
Faizin 789,5,2 minggu lalu,"Kebersihan patut di acungi 2 jempol, hanya saja ketersediaan WC umum kurang"
RADIN INDRA,4,2 minggu lalu,"Ramah anak, harga makanan terjangkau, angin sepoi-sepoi"
Sulistyorini Ardi,5,3 minggu lalu,Bisa belanja ikan laut bermacam² 😁 …
Novy Romy,5,3 minggu lalu,Mantap poll
Ulfatul Hidayati,5,3 minggu lalu,"Kalo cari oleh oleh ikan asap di pantai Blitar, paling rekom di pantai Tambak sih"
Siska Sari,5,3 minggu lalu,Untuk berlibur cocok sekali
Fitri nur indahsari,5,4 minggu lalu,"Bagus pantainya
Rekomend untuk sama keluarga"
Fathan Udin,5,4 minggu lalu,Tempatnya bagus
Yudek,5,4 minggu lalu,Suasana bagus untuk rekreasi
Dealova Yuri,5,4 minggu lalu,"Sekarang sangat bersih pantainya, ikan bakarnya dijual dimana2... dan harga terjangkau 👍 …"
Rofi amril Fadhilah,5,4 minggu lalu,"Pantainya bagus,bersih...dan tiket masuk murah...harga ikan asap juga murah..naik perahu juga murah...makin siang semakin ramai...next time semoga bisa kesini lagi"
Aku Wonogiri,5,sebulan lalu,pantainya bagus. cuma minus banyak orang buang sampah sembarangan disana. mohin untuk pengunjung jangan buang sampah sembarangan kalo ga bisa buang sampah ditempatnya
Supriyana Basuki,3,sebulan lalu,"Pantainya ombak tidak terlalu besar, cocok jika bersama keluarga dengan membawa anak-anaknya."
Fitri Aningsih,5,sebulan lalu,paporit pantai tambak.....tempatnya enak....orangnya ramah ramah......makanannya mantab dan murah meriah
Pak Ye,4,sebulan lalu,"Bagus, sayang pas ombak tinggi
Banyak sarung jual ikan asap, not bad lah
Murce 😁 …"
Rifki Darmawan,5,sebulan lalu,keren
Ketut Noer,5,sebulan lalu,Ikan Asapnya 👍👍 …
Gregorius Bhakti Satriono,4,sebulan lalu,Challenging
Ardion Elraya,5,sebulan lalu,sangat seru karena bisa memancing di dekat tebing dan pemandangan sangat bagus
Edo Nugraha,5,Diedit sebulan lalu,"Semenjak Jalur lintas selatan jadi, bisa menembus pantai sepanjang blitar sampai tulungagung"
